epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1668182402403,2022-11-11T18:00:02.403,0.000,-0.732,-0.427,0.488
1668182402443,2022-11-11T18:00:02.443,0.040,-0.884,-0.091,0.671
1668182402483,2022-11-11T18:00:02.483,0.080,-0.396,-0.183,0.488
1668182402523,2022-11-11T18:00:02.523,0.120,-0.274,-0.244,0.305
1668182402563,2022-11-11T18:00:02.563,0.160,-0.701,-0.335,0.457
1668182402603,2022-11-11T18:00:02.603,0.200,-0.427,-0.213,0.427
1668182402643,2022-11-11T18:00:02.643,0.240,-0.427,-0.244,0.427
1668182402683,2022-11-11T18:00:02.683,0.280,-0.579,-0.305,0.518
1668182402723,2022-11-11T18:00:02.723,0.320,-0.427,-0.366,0.579
1668182402763,2022-11-11T18:00:02.763,0.360,-0.366,-0.305,0.366
1668182402803,2022-11-11T18:00:02.803,0.400,-0.091,-0.396,0.335
1668182402843,2022-11-11T18:00:02.843,0.440,-0.061,-0.518,0.335
1668182402883,2022-11-11T18:00:02.883,0.480,0.091,-0.305,0.213
1668182402923,2022-11-11T18:00:02.923,0.520,-0.518,-0.335,0.335
1668182402963,2022-11-11T18:00:02.963,0.560,-0.305,-0.396,0.396
1668182403003,2022-11-11T18:00:03.003,0.600,-0.457,-0.305,0.488
1668182403043,2022-11-11T18:00:03.043,0.640,-0.366,-0.244,0.488
1668182403083,2022-11-11T18:00:03.083,0.680,-0.427,-0.274,0.488
1668182403123,2022-11-11T18:00:03.123,0.720,-0.579,-0.335,0.396
1668182403163,2022-11-11T18:00:03.163,0.760,-0.274,-0.305,0.457
1668182403203,2022-11-11T18:00:03.203,0.800,-0.305,-0.213,0.335
1668182403243,2022-11-11T18:00:03.243,0.840,-0.122,-0.305,0.244
1668182403283,2022-11-11T18:00:03.283,0.880,-0.457,-0.427,0.396
1668182403323,2022-11-11T18:00:03.323,0.920,-0.457,-0.396,0.457
1668182403363,2022-11-11T18:00:03.363,0.960,-0.244,-0.366,0.274
1668182403403,2022-11-11T18:00:03.403,1.000,-0.366,-0.366,0.335
1668182403443,2022-11-11T18:00:03.443,1.040,-0.427,-0.335,0.427
1668182403483,2022-11-11T18:00:03.483,1.080,-0.305,-0.305,0.274
1668182403523,2022-11-11T18:00:03.523,1.120,-0.213,-0.305,0.213
1668182403563,2022-11-11T18:00:03.563,1.160,-0.488,-0.335,0.244
1668182403603,2022-11-11T18:00:03.603,1.200,-0.183,-0.335,0.213
1668182403643,2022-11-11T18:00:03.643,1.240,-0.152,-0.366,0.183
1668182403683,2022-11-11T18:00:03.683,1.280,-0.366,-0.396,0.274
1668182403723,2022-11-11T18:00:03.723,1.320,-0.244,-0.457,0.335
1668182403763,2022-11-11T18:00:03.763,1.360,-0.366,-0.335,0.457
1668182403803,2022-11-11T18:00:03.803,1.400,-0.091,-0.305,0.366
1668182403843,2022-11-11T18:00:03.843,1.440,-0.305,-0.427,0.457
1668182403883,2022-11-11T18:00:03.883,1.480,-0.549,-0.305,0.579
1668182403923,2022-11-11T18:00:03.923,1.520,-0.305,-0.335,0.518
1668182403963,2022-11-11T18:00:03.963,1.560,-0.701,-0.274,0.610
1668182404003,2022-11-11T18:00:04.003,1.600,-1.006,-0.396,0.793
1668182404043,2022-11-11T18:00:04.043,1.640,-0.640,-0.274,0.701
1668182404083,2022-11-11T18:00:04.083,1.680,-0.671,-0.213,0.701
1668182404123,2022-11-11T18:00:04.123,1.720,-1.402,-0.366,1.159
1668182404163,2022-11-11T18:00:04.163,1.760,-2.287,0.030,1.463
1668182404203,2022-11-11T18:00:04.203,1.800,-2.287,0.244,1.189
1668182404243,2022-11-11T18:00:04.243,1.840,-1.646,0.274,1.006
1668182404283,2022-11-11T18:00:04.283,1.880,-1.768,0.030,0.793
1668182404323,2022-11-11T18:00:04.323,1.920,-1.463,0.305,0.457
1668182404363,2022-11-11T18:00:04.363,1.960,-1.372,0.945,0.427
1668182404403,2022-11-11T18:00:04.403,2.000,-1.738,0.732,0.701
1668182404443,2022-11-11T18:00:04.443,2.040,-2.378,0.305,0.915
1668182404483,2022-11-11T18:00:04.483,2.080,-1.738,0.152,0.915
1668182404523,2022-11-11T18:00:04.523,2.120,-0.701,-0.091,0.335
1668182404563,2022-11-11T18:00:04.563,2.160,-0.274,-0.305,0.122
1668182404603,2022-11-11T18:00:04.603,2.200,-0.061,-0.396,0.030
1668182404643,2022-11-11T18:00:04.643,2.240,-0.213,-0.549,0.000
