epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1668182402479,2022-11-11T18:00:02.479,0.000,-0.293,-0.107,-0.968
1668182402519,2022-11-11T18:00:02.519,0.040,-0.295,-0.112,-0.974
1668182402559,2022-11-11T18:00:02.559,0.080,-0.295,-0.109,-0.972
1668182402599,2022-11-11T18:00:02.599,0.120,-0.293,-0.109,-0.973
1668182402639,2022-11-11T18:00:02.639,0.160,-0.293,-0.111,-0.972
1668182402679,2022-11-11T18:00:02.679,0.200,-0.293,-0.109,-0.970
1668182402719,2022-11-11T18:00:02.719,0.240,-0.293,-0.110,-0.974
1668182402759,2022-11-11T18:00:02.759,0.280,-0.293,-0.109,-0.972
1668182402799,2022-11-11T18:00:02.799,0.320,-0.293,-0.111,-0.971
1668182402839,2022-11-11T18:00:02.839,0.360,-0.293,-0.108,-0.972
1668182402879,2022-11-11T18:00:02.879,0.400,-0.294,-0.114,-0.974
1668182402919,2022-11-11T18:00:02.919,0.440,-0.294,-0.109,-0.971
1668182402959,2022-11-11T18:00:02.959,0.480,-0.295,-0.111,-0.971
1668182402999,2022-11-11T18:00:02.999,0.520,-0.296,-0.109,-0.972
1668182403039,2022-11-11T18:00:03.039,0.560,-0.293,-0.110,-0.971
1668182403079,2022-11-11T18:00:03.079,0.600,-0.293,-0.112,-0.972
1668182403119,2022-11-11T18:00:03.119,0.640,-0.294,-0.108,-0.970
1668182403159,2022-11-11T18:00:03.159,0.680,-0.294,-0.111,-0.971
1668182403199,2022-11-11T18:00:03.199,0.720,-0.294,-0.107,-0.972
1668182403239,2022-11-11T18:00:03.239,0.760,-0.294,-0.112,-0.971
1668182403279,2022-11-11T18:00:03.279,0.800,-0.293,-0.110,-0.970
1668182403319,2022-11-11T18:00:03.319,0.840,-0.294,-0.109,-0.971
1668182403359,2022-11-11T18:00:03.359,0.880,-0.294,-0.111,-0.971
1668182403399,2022-11-11T18:00:03.399,0.920,-0.295,-0.110,-0.971
1668182403439,2022-11-11T18:00:03.439,0.960,-0.295,-0.109,-0.972
1668182403479,2022-11-11T18:00:03.479,1.000,-0.293,-0.111,-0.971
1668182403519,2022-11-11T18:00:03.519,1.040,-0.293,-0.112,-0.969
1668182403559,2022-11-11T18:00:03.559,1.080,-0.294,-0.108,-0.970
1668182403599,2022-11-11T18:00:03.599,1.120,-0.294,-0.110,-0.970
1668182403639,2022-11-11T18:00:03.639,1.160,-0.294,-0.113,-0.970
1668182403679,2022-11-11T18:00:03.679,1.200,-0.295,-0.109,-0.971
1668182403719,2022-11-11T18:00:03.719,1.240,-0.296,-0.111,-0.970
1668182403759,2022-11-11T18:00:03.759,1.280,-0.293,-0.111,-0.970
1668182403799,2022-11-11T18:00:03.799,1.320,-0.292,-0.112,-0.970
1668182403839,2022-11-11T18:00:03.839,1.360,-0.295,-0.113,-0.971
1668182403879,2022-11-11T18:00:03.879,1.400,-0.293,-0.109,-0.970
1668182403919,2022-11-11T18:00:03.919,1.440,-0.296,-0.113,-0.970
1668182403959,2022-11-11T18:00:03.959,1.480,-0.294,-0.113,-0.970
1668182403999,2022-11-11T18:00:03.999,1.520,-0.295,-0.108,-0.970
1668182404039,2022-11-11T18:00:04.039,1.560,-0.294,-0.110,-0.971
1668182404079,2022-11-11T18:00:04.079,1.600,-0.294,-0.112,-0.969
1668182404119,2022-11-11T18:00:04.119,1.640,-0.301,-0.112,-0.970
1668182404159,2022-11-11T18:00:04.159,1.680,-0.295,-0.108,-0.973
1668182404199,2022-11-11T18:00:04.199,1.720,-0.293,-0.104,-0.972
1668182404239,2022-11-11T18:00:04.239,1.760,-0.291,-0.106,-0.971
1668182404279,2022-11-11T18:00:04.279,1.800,-0.293,-0.103,-0.972
1668182404319,2022-11-11T18:00:04.319,1.840,-0.300,-0.102,-0.972
1668182404359,2022-11-11T18:00:04.359,1.880,-0.291,-0.106,-0.972
1668182404399,2022-11-11T18:00:04.399,1.920,-0.284,-0.107,-0.973
1668182404439,2022-11-11T18:00:04.439,1.960,-0.290,-0.100,-0.971
1668182404479,2022-11-11T18:00:04.479,2.000,-0.291,-0.095,-0.975
1668182404519,2022-11-11T18:00:04.519,2.040,-0.289,-0.098,-0.973
1668182404559,2022-11-11T18:00:04.559,2.080,-0.290,-0.101,-0.974
1668182404599,2022-11-11T18:00:04.599,2.120,-0.290,-0.101,-0.974
1668182404639,2022-11-11T18:00:04.639,2.160,-0.292,-0.098,-0.972
