epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1668248328987,2022-11-12T12:18:48.987,0.000,-0.100,0.399,-0.926
1668248329027,2022-11-12T12:18:49.027,0.040,-0.108,0.384,-0.939
1668248329067,2022-11-12T12:18:49.067,0.080,-0.108,0.393,-0.933
1668248329107,2022-11-12T12:18:49.107,0.120,-0.101,0.399,-0.934
1668248329147,2022-11-12T12:18:49.147,0.160,-0.090,0.400,-0.934
1668248329187,2022-11-12T12:18:49.187,0.200,-0.092,0.403,-0.933
1668248329227,2022-11-12T12:18:49.227,0.240,-0.096,0.402,-0.933
1668248329267,2022-11-12T12:18:49.267,0.280,-0.099,0.404,-0.931
1668248329307,2022-11-12T12:18:49.307,0.320,-0.099,0.402,-0.932
1668248329347,2022-11-12T12:18:49.347,0.360,-0.100,0.399,-0.933
1668248329387,2022-11-12T12:18:49.387,0.400,-0.102,0.400,-0.934
1668248329427,2022-11-12T12:18:49.427,0.440,-0.101,0.401,-0.933
1668248329467,2022-11-12T12:18:49.467,0.480,-0.101,0.402,-0.931
1668248329507,2022-11-12T12:18:49.507,0.520,-0.100,0.401,-0.932
1668248329547,2022-11-12T12:18:49.547,0.560,-0.100,0.398,-0.934
1668248329587,2022-11-12T12:18:49.587,0.600,-0.098,0.407,-0.932
1668248329627,2022-11-12T12:18:49.627,0.640,-0.097,0.406,-0.931
1668248329667,2022-11-12T12:18:49.667,0.680,-0.100,0.397,-0.932
1668248329707,2022-11-12T12:18:49.707,0.720,-0.098,0.410,-0.930
1668248329747,2022-11-12T12:18:49.747,0.760,-0.099,0.405,-0.932
1668248329787,2022-11-12T12:18:49.787,0.800,-0.101,0.404,-0.930
1668248329827,2022-11-12T12:18:49.827,0.840,-0.105,0.398,-0.932
1668248329867,2022-11-12T12:18:49.867,0.880,-0.102,0.397,-0.933
1668248329907,2022-11-12T12:18:49.907,0.920,-0.103,0.405,-0.931
1668248329947,2022-11-12T12:18:49.947,0.960,-0.098,0.413,-0.929
1668248329987,2022-11-12T12:18:49.987,1.000,-0.096,0.403,-0.932
