epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1668183718999,2022-11-11T18:21:58.999,0.000,-0.518,-0.427,0.457
1668183719039,2022-11-11T18:21:59.039,0.040,-0.396,0.091,0.335
1668183719079,2022-11-11T18:21:59.079,0.080,-0.335,-0.122,0.366
1668183719119,2022-11-11T18:21:59.119,0.120,-0.396,-0.274,0.335
1668183719159,2022-11-11T18:21:59.159,0.160,-0.274,-0.396,0.335
1668183719199,2022-11-11T18:21:59.199,0.200,-0.335,-0.366,0.335
1668183719239,2022-11-11T18:21:59.239,0.240,-0.244,-0.305,0.427
1668183719279,2022-11-11T18:21:59.279,0.280,-0.335,-0.396,0.335
1668183719319,2022-11-11T18:21:59.319,0.320,-0.518,-0.274,0.396
1668183719359,2022-11-11T18:21:59.359,0.360,-0.457,-0.305,0.366
1668183719399,2022-11-11T18:21:59.399,0.400,-0.366,-0.305,0.488
1668183719439,2022-11-11T18:21:59.439,0.440,-0.427,-0.213,0.488
1668183719479,2022-11-11T18:21:59.479,0.480,-0.335,-0.274,0.305
1668183719519,2022-11-11T18:21:59.519,0.520,-0.213,-0.213,0.549
1668183719559,2022-11-11T18:21:59.559,0.560,-0.335,-0.366,0.488
1668183719599,2022-11-11T18:21:59.599,0.600,-0.457,-0.335,0.274
1668183719639,2022-11-11T18:21:59.639,0.640,-0.366,-0.274,0.305
1668183719679,2022-11-11T18:21:59.679,0.680,-0.457,-0.305,0.396
1668183719719,2022-11-11T18:21:59.719,0.720,-0.396,-0.274,0.305
1668183719759,2022-11-11T18:21:59.759,0.760,-0.305,-0.305,0.244
1668183719799,2022-11-11T18:21:59.799,0.800,-0.427,-0.152,0.427
1668183719839,2022-11-11T18:21:59.839,0.840,-0.213,-0.213,0.335
1668183719879,2022-11-11T18:21:59.879,0.880,-0.335,-0.366,0.274
1668183719919,2022-11-11T18:21:59.919,0.920,-0.549,-0.305,0.457
1668183719959,2022-11-11T18:21:59.959,0.960,-0.305,-0.335,0.335
1668183719999,2022-11-11T18:21:59.999,1.000,-0.335,-0.366,0.366
1668183720039,2022-11-11T18:22:00.039,1.040,-0.427,-0.335,0.396
1668183720079,2022-11-11T18:22:00.079,1.080,-0.366,-0.305,0.427
1668183720119,2022-11-11T18:22:00.119,1.120,-0.396,-0.335,0.335
1668183720159,2022-11-11T18:22:00.159,1.160,-0.396,-0.305,0.396
1668183720199,2022-11-11T18:22:00.199,1.200,-0.396,-0.274,0.366
1668183720239,2022-11-11T18:22:00.239,1.240,-0.335,-0.335,0.335
1668183720279,2022-11-11T18:22:00.279,1.280,-0.427,-0.335,0.305
1668183720319,2022-11-11T18:22:00.319,1.320,-0.366,-0.305,0.366
1668183720359,2022-11-11T18:22:00.359,1.360,-0.335,-0.335,0.366
1668183720399,2022-11-11T18:22:00.399,1.400,-0.366,-0.396,0.335
1668183720439,2022-11-11T18:22:00.439,1.440,-0.366,-0.366,0.305
1668183720479,2022-11-11T18:22:00.479,1.480,-0.335,-0.274,0.366
1668183720519,2022-11-11T18:22:00.519,1.520,-0.335,-0.213,0.335
1668183720559,2022-11-11T18:22:00.559,1.560,-0.457,-0.274,0.427
1668183720599,2022-11-11T18:22:00.599,1.600,-0.335,-0.183,0.366
