epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1667927946733,2022-11-08T19:19:06.733,3.240,-0.091,-0.305,0.305
1667927946773,2022-11-08T19:19:06.773,3.280,0.000,-0.305,0.274
1667927946813,2022-11-08T19:19:06.813,3.320,-0.335,-0.244,0.152
1667927946853,2022-11-08T19:19:06.853,3.360,-0.457,-0.213,0.274
1667927946893,2022-11-08T19:19:06.893,3.400,-0.915,-0.091,0.457
1667927946933,2022-11-08T19:19:06.933,3.440,-1.128,-0.366,0.396
1667927946973,2022-11-08T19:19:06.973,3.480,-1.037,-0.305,0.335
1667927947013,2022-11-08T19:19:07.013,3.520,-0.152,-0.549,0.122
1667927947053,2022-11-08T19:19:07.053,3.560,0.061,-0.518,0.091
1667927947093,2022-11-08T19:19:07.093,3.600,-0.457,-0.335,0.274
1667927947133,2022-11-08T19:19:07.133,3.640,-0.518,0.061,0.427
1667927947173,2022-11-08T19:19:07.173,3.680,-0.335,-0.244,0.305
1667927947213,2022-11-08T19:19:07.213,3.720,-0.061,-0.274,0.396
1667927947253,2022-11-08T19:19:07.253,3.760,-0.640,0.000,0.518
1667927947293,2022-11-08T19:19:07.293,3.800,-0.518,-0.122,0.488
1667927947333,2022-11-08T19:19:07.333,3.840,-0.244,-0.213,0.366
1667927947373,2022-11-08T19:19:07.373,3.880,-0.671,-0.122,0.427
1667927947413,2022-11-08T19:19:07.413,3.920,-0.854,-0.091,0.549
1667927947453,2022-11-08T19:19:07.453,3.960,-0.244,-0.488,0.274
1667927947493,2022-11-08T19:19:07.493,4.000,-0.244,-0.213,0.366
1667927947533,2022-11-08T19:19:07.533,4.040,-0.488,-0.122,0.396
1667927947573,2022-11-08T19:19:07.573,4.080,-0.244,-0.274,0.396
1667927947613,2022-11-08T19:19:07.613,4.120,-0.549,-0.030,0.488
1667927947653,2022-11-08T19:19:07.653,4.160,-0.518,-0.335,0.274
1667927947693,2022-11-08T19:19:07.693,4.200,-0.274,-0.274,0.244
1667927947733,2022-11-08T19:19:07.733,4.240,-0.091,-0.274,0.366
1667927947773,2022-11-08T19:19:07.773,4.280,-0.030,-0.427,0.305
1667927947813,2022-11-08T19:19:07.813,4.320,-0.396,-0.091,0.427
1667927947853,2022-11-08T19:19:07.853,4.360,-0.427,-0.366,0.366
1667927947893,2022-11-08T19:19:07.893,4.400,-0.518,-0.091,0.488
1667927947933,2022-11-08T19:19:07.933,4.440,-0.396,-0.274,0.305
1667927947973,2022-11-08T19:19:07.973,4.480,-0.335,-0.305,0.366
1667927948013,2022-11-08T19:19:08.013,4.520,-0.549,0.000,0.457
1667927948053,2022-11-08T19:19:08.053,4.560,-0.396,-0.244,0.396
1667927948093,2022-11-08T19:19:08.093,4.600,-0.305,-0.427,0.305
1667927948133,2022-11-08T19:19:08.133,4.640,-0.457,-0.244,0.366
1667927948173,2022-11-08T19:19:08.173,4.680,-0.518,-0.457,0.305
1667927948213,2022-11-08T19:19:08.213,4.720,-0.335,-0.396,0.335
1667927948253,2022-11-08T19:19:08.253,4.760,-0.427,-0.488,0.335
1667927948293,2022-11-08T19:19:08.293,4.800,-0.335,-0.427,0.366
1667927948333,2022-11-08T19:19:08.333,4.840,-0.549,-0.366,0.366
1667927948373,2022-11-08T19:19:08.373,4.880,-0.335,-0.305,0.427
1667927948413,2022-11-08T19:19:08.413,4.920,-0.701,-0.152,0.518
1667927948453,2022-11-08T19:19:08.453,4.960,-0.671,-0.152,0.427
1667927948493,2022-11-08T19:19:08.493,5.000,0.305,0.549,0.366
1667927948533,2022-11-08T19:19:08.533,5.040,0.701,0.610,0.457
1667927948573,2022-11-08T19:19:08.573,5.080,0.000,1.037,0.305
1667927948613,2022-11-08T19:19:08.613,5.120,1.311,-0.030,0.122
1667927948653,2022-11-08T19:19:08.653,5.160,0.976,-0.762,0.396
1667927948693,2022-11-08T19:19:08.693,5.200,0.122,-0.915,0.945
1667927948733,2022-11-08T19:19:08.733,5.240,0.793,-0.823,0.640
1667927948773,2022-11-08T19:19:08.773,5.280,1.921,-0.915,0.427
1667927948813,2022-11-08T19:19:08.813,5.320,1.341,-1.311,0.518
1667927948853,2022-11-08T19:19:08.853,5.360,1.159,-1.098,0.671
1667927948893,2022-11-08T19:19:08.893,5.400,-0.793,-0.427,0.762
1667927948933,2022-11-08T19:19:08.933,5.440,-2.683,0.427,0.701
1667927948973,2022-11-08T19:19:08.973,5.480,-2.378,0.000,0.427
1667927949013,2022-11-08T19:19:09.013,5.520,-2.043,0.488,0.244
1667927949053,2022-11-08T19:19:09.053,5.560,-2.165,0.915,0.366
1667927949093,2022-11-08T19:19:09.093,5.600,-2.134,0.549,0.152
1667927949133,2022-11-08T19:19:09.133,5.640,-2.744,1.159,0.701
1667927949173,2022-11-08T19:19:09.173,5.680,-3.018,1.463,0.671
1667927949213,2022-11-08T19:19:09.213,5.720,-1.280,1.006,0.305
1667927949253,2022-11-08T19:19:09.253,5.760,-0.610,0.854,0.213
1667927949293,2022-11-08T19:19:09.293,5.800,0.122,0.579,0.152
1667927949333,2022-11-08T19:19:09.333,5.840,0.152,1.250,0.274
1667927949373,2022-11-08T19:19:09.373,5.880,1.067,1.372,0.244
1667927949413,2022-11-08T19:19:09.413,5.920,1.250,1.280,0.671
1667927949453,2022-11-08T19:19:09.453,5.960,0.244,1.006,1.585
1667927949493,2022-11-08T19:19:09.493,6.000,1.341,-0.091,1.890
1667927949533,2022-11-08T19:19:09.533,6.040,0.549,-0.640,2.134
1667927949573,2022-11-08T19:19:09.573,6.080,-0.335,-0.640,2.043
1667927949613,2022-11-08T19:19:09.613,6.120,-0.427,0.000,1.890
1667927949653,2022-11-08T19:19:09.653,6.160,-0.152,-0.732,1.768
1667927949693,2022-11-08T19:19:09.693,6.200,0.701,-0.884,1.585
1667927949733,2022-11-08T19:19:09.733,6.240,0.000,-0.427,1.799
1667927949773,2022-11-08T19:19:09.773,6.280,-0.884,-0.549,1.738
1667927949813,2022-11-08T19:19:09.813,6.320,-0.610,-0.640,1.280
1667927949853,2022-11-08T19:19:09.853,6.360,-0.152,-0.488,0.701
1667927949893,2022-11-08T19:19:09.893,6.400,-0.518,-0.579,0.488
1667927949933,2022-11-08T19:19:09.933,6.440,0.061,-0.579,0.518
1667927949973,2022-11-08T19:19:09.973,6.480,-0.671,-0.183,0.671
1667927950013,2022-11-08T19:19:10.013,6.520,-0.305,0.549,1.037
1667927950053,2022-11-08T19:19:10.053,6.560,1.311,-0.274,0.549
1667927950093,2022-11-08T19:19:10.093,6.600,2.500,-0.854,-0.091
1667927950133,2022-11-08T19:19:10.133,6.640,1.494,-0.884,-0.061
1667927950173,2022-11-08T19:19:10.173,6.680,0.976,-1.159,-0.427
1667927950213,2022-11-08T19:19:10.213,6.720,-0.152,-0.488,-0.305
1667927950253,2022-11-08T19:19:10.253,6.760,-2.043,0.213,0.152
1667927950293,2022-11-08T19:19:10.293,6.800,-2.165,0.457,0.152
1667927950333,2022-11-08T19:19:10.333,6.840,-1.494,-0.091,-0.183
1667927950373,2022-11-08T19:19:10.373,6.880,-0.915,-0.061,-0.244
1667927950413,2022-11-08T19:19:10.413,6.920,-1.799,0.579,-0.244
1667927950453,2022-11-08T19:19:10.453,6.960,-2.591,0.823,0.000
1667927950493,2022-11-08T19:19:10.493,7.000,-2.500,1.220,0.610
1667927950533,2022-11-08T19:19:10.533,7.040,-1.159,0.183,0.701
1667927950573,2022-11-08T19:19:10.573,7.080,0.274,-0.457,0.732
1667927950613,2022-11-08T19:19:10.613,7.120,1.037,-1.189,0.518
1667927950653,2022-11-08T19:19:10.653,7.160,0.854,-1.037,0.427
1667927950693,2022-11-08T19:19:10.693,7.200,0.671,-0.549,0.549
1667927950733,2022-11-08T19:19:10.733,7.240,0.061,-0.488,0.427
1667927950773,2022-11-08T19:19:10.773,7.280,-0.335,-0.793,-0.091
1667927950813,2022-11-08T19:19:10.813,7.320,-0.488,-0.152,0.091
1667927950853,2022-11-08T19:19:10.853,7.360,-1.128,-0.244,0.091
1667927950893,2022-11-08T19:19:10.893,7.400,0.457,-0.701,0.000
1667927950933,2022-11-08T19:19:10.933,7.440,0.427,-0.610,0.000
1667927950973,2022-11-08T19:19:10.973,7.480,-0.030,-0.457,0.061
1667927951013,2022-11-08T19:19:11.013,7.520,0.122,-0.305,0.000
1667927951053,2022-11-08T19:19:11.053,7.560,0.335,-0.640,-0.152
1667927951093,2022-11-08T19:19:11.093,7.600,0.244,-0.244,0.000
1667927951133,2022-11-08T19:19:11.133,7.640,-0.274,-0.061,0.061
1667927951173,2022-11-08T19:19:11.173,7.680,-0.091,-0.549,-0.305
1667927951213,2022-11-08T19:19:11.213,7.720,-0.091,0.091,-0.152
1667927951253,2022-11-08T19:19:11.253,7.760,-0.549,-0.061,-0.366
1667927951293,2022-11-08T19:19:11.293,7.800,-0.274,0.122,-0.579
1667927951333,2022-11-08T19:19:11.333,7.840,-0.457,0.183,-0.579
1667927951373,2022-11-08T19:19:11.373,7.880,-0.915,0.122,-0.518
1667927951413,2022-11-08T19:19:11.413,7.920,-0.366,-0.091,-0.671
1667927951453,2022-11-08T19:19:11.453,7.960,-0.854,0.030,-0.854
1667927951493,2022-11-08T19:19:11.493,8.000,-0.640,0.549,-1.128
1667927951533,2022-11-08T19:19:11.533,8.040,0.091,0.640,-1.341
1667927951573,2022-11-08T19:19:11.573,8.080,-0.701,0.915,-1.585
1667927951613,2022-11-08T19:19:11.613,8.120,-0.762,0.701,-1.159
1667927951653,2022-11-08T19:19:11.653,8.160,0.061,0.579,-1.250
1667927951693,2022-11-08T19:19:11.693,8.200,0.366,0.213,-0.732
1667927951733,2022-11-08T19:19:11.733,8.240,0.030,-0.274,-0.213
1667927951773,2022-11-08T19:19:11.773,8.280,-0.488,0.000,0.030
1667927951813,2022-11-08T19:19:11.813,8.320,-0.213,-0.061,0.396
1667927951853,2022-11-08T19:19:11.853,8.360,0.091,-0.762,0.610
1667927951893,2022-11-08T19:19:11.893,8.400,0.488,-1.372,1.128
1667927951933,2022-11-08T19:19:11.933,8.440,-0.701,-0.671,1.372
