epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1668254190709,2022-11-12T13:56:30.709,0.000,-0.273,0.317,-0.931
1668254190749,2022-11-12T13:56:30.749,0.040,-0.276,0.330,-0.933
1668254190789,2022-11-12T13:56:30.789,0.080,-0.284,0.314,-0.926
1668254190829,2022-11-12T13:56:30.829,0.120,-0.269,0.331,-0.937
1668254190869,2022-11-12T13:56:30.869,0.160,-0.265,0.334,-0.935
1668254190909,2022-11-12T13:56:30.909,0.200,-0.267,0.307,-0.940
1668254190949,2022-11-12T13:56:30.949,0.240,-0.273,0.328,-0.931
1668254190989,2022-11-12T13:56:30.989,0.280,-0.264,0.347,-0.931
1668254191029,2022-11-12T13:56:31.029,0.320,-0.270,0.322,-0.935
1668254191069,2022-11-12T13:56:31.069,0.360,-0.280,0.335,-0.927
1668254191109,2022-11-12T13:56:31.109,0.400,-0.271,0.342,-0.929
1668254191149,2022-11-12T13:56:31.149,0.440,-0.267,0.331,-0.933
1668254191189,2022-11-12T13:56:31.189,0.480,-0.263,0.324,-0.937
1668254191229,2022-11-12T13:56:31.229,0.520,-0.266,0.318,-0.936
1668254191269,2022-11-12T13:56:31.269,0.560,-0.272,0.334,-0.930
1668254191309,2022-11-12T13:56:31.309,0.600,-0.271,0.328,-0.932
1668254191349,2022-11-12T13:56:31.349,0.640,-0.273,0.332,-0.932
1668254191389,2022-11-12T13:56:31.389,0.680,-0.272,0.329,-0.932
1668254191429,2022-11-12T13:56:31.429,0.720,-0.269,0.327,-0.933
1668254191469,2022-11-12T13:56:31.469,0.760,-0.270,0.338,-0.932
1668254191509,2022-11-12T13:56:31.509,0.800,-0.274,0.322,-0.931
1668254191549,2022-11-12T13:56:31.549,0.840,-0.272,0.336,-0.931
1668254191589,2022-11-12T13:56:31.589,0.880,-0.273,0.325,-0.934
1668254191629,2022-11-12T13:56:31.629,0.920,-0.272,0.329,-0.930
1668254191669,2022-11-12T13:56:31.669,0.960,-0.270,0.339,-0.930
1668254191709,2022-11-12T13:56:31.709,1.000,-0.266,0.328,-0.937
1668254191749,2022-11-12T13:56:31.749,1.040,-0.271,0.315,-0.936
1668254191789,2022-11-12T13:56:31.789,1.080,-0.272,0.330,-0.932
1668254191829,2022-11-12T13:56:31.829,1.120,-0.271,0.344,-0.930
1668254191869,2022-11-12T13:56:31.869,1.160,-0.274,0.313,-0.934
1668254191909,2022-11-12T13:56:31.909,1.200,-0.269,0.327,-0.933
1668254191949,2022-11-12T13:56:31.949,1.240,-0.265,0.329,-0.934
1668254191989,2022-11-12T13:56:31.989,1.280,-0.267,0.331,-0.933
1668254192029,2022-11-12T13:56:32.029,1.320,-0.269,0.324,-0.932
1668254192069,2022-11-12T13:56:32.069,1.360,-0.268,0.328,-0.933
1668254192109,2022-11-12T13:56:32.109,1.400,-0.266,0.336,-0.932
1668254192149,2022-11-12T13:56:32.149,1.440,-0.269,0.323,-0.934
1668254192189,2022-11-12T13:56:32.189,1.480,-0.267,0.333,-0.932
1668254192229,2022-11-12T13:56:32.229,1.520,-0.267,0.331,-0.932
1668254192269,2022-11-12T13:56:32.269,1.560,-0.269,0.327,-0.934
1668254192309,2022-11-12T13:56:32.309,1.600,-0.267,0.328,-0.933
1668254192349,2022-11-12T13:56:32.349,1.640,-0.267,0.337,-0.932
1668254192389,2022-11-12T13:56:32.389,1.680,-0.266,0.327,-0.933
1668254192429,2022-11-12T13:56:32.429,1.720,-0.267,0.325,-0.936
1668254192469,2022-11-12T13:56:32.469,1.760,-0.268,0.332,-0.933
1668254192509,2022-11-12T13:56:32.509,1.800,-0.266,0.332,-0.933
1668254192549,2022-11-12T13:56:32.549,1.840,-0.268,0.330,-0.932
1668254192589,2022-11-12T13:56:32.589,1.880,-0.267,0.324,-0.934
1668254192629,2022-11-12T13:56:32.629,1.920,-0.266,0.333,-0.932
1668254192669,2022-11-12T13:56:32.669,1.960,-0.267,0.327,-0.932
1668254192709,2022-11-12T13:56:32.709,2.000,-0.268,0.329,-0.933
1668254192749,2022-11-12T13:56:32.749,2.040,-0.268,0.327,-0.933
1668254192789,2022-11-12T13:56:32.789,2.080,-0.267,0.330,-0.932
