epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1668190522199,2022-11-11T20:15:22.199,0.000,-0.701,0.061,0.274
1668190522239,2022-11-11T20:15:22.239,0.040,-0.274,-0.518,0.122
1668190522279,2022-11-11T20:15:22.279,0.080,-0.213,-0.427,0.183
1668190522319,2022-11-11T20:15:22.319,0.120,-0.427,-0.244,0.244
1668190522359,2022-11-11T20:15:22.359,0.160,-0.274,-0.183,0.183
1668190522399,2022-11-11T20:15:22.399,0.200,-0.274,-0.305,0.122
1668190522439,2022-11-11T20:15:22.439,0.240,-0.274,-0.183,0.152
1668190522479,2022-11-11T20:15:22.479,0.280,-0.213,-0.183,0.213
1668190522519,2022-11-11T20:15:22.519,0.320,-0.183,-0.305,0.244
1668190522559,2022-11-11T20:15:22.559,0.360,-0.152,-0.183,0.213
1668190522599,2022-11-11T20:15:22.599,0.400,-0.122,-0.274,0.244
1668190522639,2022-11-11T20:15:22.639,0.440,-0.213,-0.244,0.274
1668190522679,2022-11-11T20:15:22.679,0.480,-0.549,-0.213,0.396
1668190522719,2022-11-11T20:15:22.719,0.520,-0.579,-0.213,0.396
1668190522759,2022-11-11T20:15:22.759,0.560,-0.427,-0.122,0.396
1668190522799,2022-11-11T20:15:22.799,0.600,-0.732,-0.030,0.579
1668190522839,2022-11-11T20:15:22.839,0.640,-0.518,0.244,0.518
1668190522879,2022-11-11T20:15:22.879,0.680,-0.335,-0.030,0.244
1668190522919,2022-11-11T20:15:22.919,0.720,-0.427,-0.244,0.244
1668190522959,2022-11-11T20:15:22.959,0.760,-0.335,-0.152,0.366
1668190522999,2022-11-11T20:15:22.999,0.800,-0.671,-0.244,0.579
1668190523039,2022-11-11T20:15:23.039,0.840,-0.884,-0.457,0.610
1668190523079,2022-11-11T20:15:23.079,0.880,-0.579,-0.518,0.396
1668190523119,2022-11-11T20:15:23.119,0.920,-0.274,-0.305,0.030
1668190523159,2022-11-11T20:15:23.159,0.960,0.091,-0.183,-0.152
1668190523199,2022-11-11T20:15:23.199,1.000,-0.274,-0.366,0.122
1668190523239,2022-11-11T20:15:23.239,1.040,-0.762,-0.427,0.183
1668190523279,2022-11-11T20:15:23.279,1.080,-0.244,-0.396,0.061
1668190523319,2022-11-11T20:15:23.319,1.120,0.183,-0.213,-0.030
