epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1668193034035,2022-11-11T20:57:14.035,0.000,-0.335,-0.396,0.305
1668193034075,2022-11-11T20:57:14.075,0.040,-0.427,-0.274,0.305
1668193034115,2022-11-11T20:57:14.115,0.080,-0.366,-0.244,0.396
1668193034155,2022-11-11T20:57:14.155,0.120,-0.335,-0.335,0.366
1668193034195,2022-11-11T20:57:14.195,0.160,-0.396,-0.335,0.457
1668193034235,2022-11-11T20:57:14.235,0.200,-0.396,-0.213,0.396
1668193034275,2022-11-11T20:57:14.275,0.240,-0.366,-0.274,0.274
1668193034315,2022-11-11T20:57:14.315,0.280,-0.366,-0.305,0.335
1668193034355,2022-11-11T20:57:14.355,0.320,-0.366,-0.274,0.396
1668193034395,2022-11-11T20:57:14.395,0.360,-0.427,-0.213,0.427
1668193034435,2022-11-11T20:57:14.435,0.400,-0.427,-0.305,0.427
1668193034475,2022-11-11T20:57:14.475,0.440,-0.427,-0.305,0.457
1668193034515,2022-11-11T20:57:14.515,0.480,-0.396,-0.213,0.213
1668193034555,2022-11-11T20:57:14.555,0.520,-0.152,-0.274,0.122
1668193034595,2022-11-11T20:57:14.595,0.560,-0.335,-0.335,0.457
1668193034635,2022-11-11T20:57:14.635,0.600,-0.335,-0.244,0.396
1668193034675,2022-11-11T20:57:14.675,0.640,-0.396,-0.335,0.305
1668193034715,2022-11-11T20:57:14.715,0.680,-0.488,-0.335,0.488
1668193034755,2022-11-11T20:57:14.755,0.720,-0.366,-0.244,0.335
1668193034795,2022-11-11T20:57:14.795,0.760,-0.335,-0.274,0.305
1668193034835,2022-11-11T20:57:14.835,0.800,-0.427,-0.305,0.335
1668193034875,2022-11-11T20:57:14.875,0.840,-0.366,-0.244,0.335
1668193034915,2022-11-11T20:57:14.915,0.880,-0.335,-0.274,0.366
1668193034955,2022-11-11T20:57:14.955,0.920,-0.427,-0.396,0.457
1668193034995,2022-11-11T20:57:14.995,0.960,-0.366,-0.244,0.427
1668193035035,2022-11-11T20:57:15.035,1.000,-0.335,-0.213,0.335
1668193035075,2022-11-11T20:57:15.075,1.040,-0.396,-0.244,0.305
1668193035115,2022-11-11T20:57:15.115,1.080,-0.366,-0.305,0.396
1668193035155,2022-11-11T20:57:15.155,1.120,-0.335,-0.274,0.427
1668193035195,2022-11-11T20:57:15.195,1.160,-0.366,-0.335,0.366
1668193035235,2022-11-11T20:57:15.235,1.200,-0.305,-0.305,0.396
1668193035275,2022-11-11T20:57:15.275,1.240,-0.427,-0.305,0.488
1668193035315,2022-11-11T20:57:15.315,1.280,-0.396,-0.213,0.396
1668193035355,2022-11-11T20:57:15.355,1.320,-0.396,-0.213,0.366
1668193035395,2022-11-11T20:57:15.395,1.360,-0.274,-0.366,0.366
1668193035435,2022-11-11T20:57:15.435,1.400,-0.488,-0.366,0.488
1668193035475,2022-11-11T20:57:15.475,1.440,-0.488,-0.305,0.549
1668193035515,2022-11-11T20:57:15.515,1.480,-0.488,-0.305,0.244
1668193035555,2022-11-11T20:57:15.555,1.520,-0.396,-0.305,0.183
1668193035595,2022-11-11T20:57:15.595,1.560,-0.213,-0.152,0.274
1668193035635,2022-11-11T20:57:15.635,1.600,-0.366,-0.274,0.457
1668193035675,2022-11-11T20:57:15.675,1.640,-0.549,-0.427,0.488
1668193035715,2022-11-11T20:57:15.715,1.680,-0.396,-0.274,0.427
1668193035755,2022-11-11T20:57:15.755,1.720,-0.213,-0.366,0.274
1668193035795,2022-11-11T20:57:15.795,1.760,-0.305,-0.396,0.244
1668193035835,2022-11-11T20:57:15.835,1.800,-0.244,-0.122,0.427
1668193035875,2022-11-11T20:57:15.875,1.840,-0.457,-0.152,0.610
1668193035915,2022-11-11T20:57:15.915,1.880,-0.579,-0.518,0.183
1668193035955,2022-11-11T20:57:15.955,1.920,-0.274,-0.396,-0.244
1668193035995,2022-11-11T20:57:15.995,1.960,-0.061,-0.183,-0.244
1668193036035,2022-11-11T20:57:16.035,2.000,0.000,0.000,-0.183
1668193036075,2022-11-11T20:57:16.075,2.040,-0.274,-0.091,-0.030
1668193036115,2022-11-11T20:57:16.115,2.080,0.000,-0.244,0.305
1668193036155,2022-11-11T20:57:16.155,2.120,-0.610,-0.274,0.762
1668193036195,2022-11-11T20:57:16.195,2.160,-0.549,-0.244,0.579
1668193036235,2022-11-11T20:57:16.235,2.200,0.183,0.091,0.366
1668193036275,2022-11-11T20:57:16.275,2.240,-0.366,-0.061,0.610
1668193036315,2022-11-11T20:57:16.315,2.280,-0.518,-0.366,0.457
1668193036355,2022-11-11T20:57:16.355,2.320,-0.457,-0.305,0.396
1668193036395,2022-11-11T20:57:16.395,2.360,-0.549,-0.335,0.549
1668193036435,2022-11-11T20:57:16.435,2.400,-0.549,-0.366,0.701
1668193036475,2022-11-11T20:57:16.475,2.440,-0.549,-0.274,0.671
1668193036515,2022-11-11T20:57:16.515,2.480,-0.518,-0.244,0.427
1668193036555,2022-11-11T20:57:16.555,2.520,-0.457,-0.213,0.274
1668193036595,2022-11-11T20:57:16.595,2.560,-0.274,-0.122,0.274
1668193036635,2022-11-11T20:57:16.635,2.600,-0.396,-0.213,0.274
1668193036675,2022-11-11T20:57:16.675,2.640,-0.427,-0.183,0.335
1668193036715,2022-11-11T20:57:16.715,2.680,-0.579,-0.244,0.183
1668193036755,2022-11-11T20:57:16.755,2.720,-0.488,-0.274,0.213
1668193036795,2022-11-11T20:57:16.795,2.760,-0.427,-0.305,0.335
1668193036835,2022-11-11T20:57:16.835,2.800,-0.366,-0.213,0.427
1668193036875,2022-11-11T20:57:16.875,2.840,-0.427,-0.152,0.518
1668193036915,2022-11-11T20:57:16.915,2.880,-0.457,-0.183,0.488
1668193036955,2022-11-11T20:57:16.955,2.920,-0.335,-0.122,0.274
1668193036995,2022-11-11T20:57:16.995,2.960,-0.244,-0.244,0.274
1668193037035,2022-11-11T20:57:17.035,3.000,-0.457,-0.366,0.396
1668193037075,2022-11-11T20:57:17.075,3.040,-0.366,-0.183,0.427
1668193037115,2022-11-11T20:57:17.115,3.080,-0.427,-0.244,0.396
1668193037155,2022-11-11T20:57:17.155,3.120,-0.457,-0.335,0.396
1668193037195,2022-11-11T20:57:17.195,3.160,-0.457,-0.152,0.427
1668193037235,2022-11-11T20:57:17.235,3.200,-0.366,-0.122,0.396
1668193037275,2022-11-11T20:57:17.275,3.240,-0.427,-0.366,0.457
1668193037315,2022-11-11T20:57:17.315,3.280,-0.671,-0.457,0.457
1668193037355,2022-11-11T20:57:17.355,3.320,-0.488,-0.305,0.396
1668193037395,2022-11-11T20:57:17.395,3.360,-0.396,-0.305,0.335
1668193037435,2022-11-11T20:57:17.435,3.400,-0.488,-0.427,0.305
1668193037475,2022-11-11T20:57:17.475,3.440,-0.366,-0.305,0.122
1668193037515,2022-11-11T20:57:17.515,3.480,-0.305,-0.274,0.000
1668193037555,2022-11-11T20:57:17.555,3.520,-0.335,-0.274,0.091
1668193037595,2022-11-11T20:57:17.595,3.560,-0.427,-0.305,0.183
1668193037635,2022-11-11T20:57:17.635,3.600,-0.335,-0.366,0.183
1668193037675,2022-11-11T20:57:17.675,3.640,-0.518,-0.335,0.427
1668193037715,2022-11-11T20:57:17.715,3.680,-0.366,-0.335,0.274
1668193037755,2022-11-11T20:57:17.755,3.720,-0.335,-0.427,0.091
1668193037795,2022-11-11T20:57:17.795,3.760,-0.396,-0.274,0.091
1668193037835,2022-11-11T20:57:17.835,3.800,-0.122,-0.274,0.061
1668193037875,2022-11-11T20:57:17.875,3.840,-0.488,-0.427,0.244
1668193037915,2022-11-11T20:57:17.915,3.880,-0.671,-0.396,0.396
1668193037955,2022-11-11T20:57:17.955,3.920,-0.305,-0.213,0.305
1668193037995,2022-11-11T20:57:17.995,3.960,-0.427,-0.274,0.274
1668193038035,2022-11-11T20:57:18.035,4.000,-0.518,-0.335,0.305
1668193038075,2022-11-11T20:57:18.075,4.040,-0.396,-0.305,0.427
1668193038115,2022-11-11T20:57:18.115,4.080,-0.427,-0.335,0.366
1668193038155,2022-11-11T20:57:18.155,4.120,-0.518,-0.335,0.305
1668193038195,2022-11-11T20:57:18.195,4.160,-0.396,-0.183,0.244
1668193038235,2022-11-11T20:57:18.235,4.200,-0.366,-0.274,0.122
1668193038275,2022-11-11T20:57:18.275,4.240,-0.396,-0.305,0.152
1668193038315,2022-11-11T20:57:18.315,4.280,-0.335,-0.213,0.152
1668193038355,2022-11-11T20:57:18.355,4.320,-0.335,-0.244,0.274
1668193038395,2022-11-11T20:57:18.395,4.360,-0.488,-0.274,0.213
1668193038435,2022-11-11T20:57:18.435,4.400,-0.213,-0.457,0.274
