epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1667826933880,2022-11-07T15:15:33.880,0.000,0.671,-0.366,-0.335
1667826933920,2022-11-07T15:15:33.920,0.040,0.427,-0.396,1.341
1667826933960,2022-11-07T15:15:33.960,0.080,1.250,-0.091,-0.366
1667826934000,2022-11-07T15:15:34.000,0.120,2.012,0.030,-0.640
1667826934040,2022-11-07T15:15:34.040,0.160,1.951,-0.183,-0.640
1667826934080,2022-11-07T15:15:34.080,0.200,2.348,-0.213,-0.854
1667826934120,2022-11-07T15:15:34.120,0.240,0.793,-0.457,-0.793
1667826934160,2022-11-07T15:15:34.160,0.280,2.195,-0.091,-1.006
1667826934200,2022-11-07T15:15:34.200,0.320,2.927,0.152,-1.128
1667826934240,2022-11-07T15:15:34.240,0.360,0.915,-0.701,-0.854
1667826934280,2022-11-07T15:15:34.280,0.400,-0.030,-0.884,-0.884
1667826934320,2022-11-07T15:15:34.320,0.440,1.616,-0.518,-0.945
1667826934360,2022-11-07T15:15:34.360,0.480,0.854,-1.006,-0.884
1667826934400,2022-11-07T15:15:34.400,0.520,0.762,-1.829,-1.067
1667826934440,2022-11-07T15:15:34.440,0.560,1.006,-2.073,-1.220
1667826934480,2022-11-07T15:15:34.480,0.600,0.549,-0.549,-0.701
1667826934520,2022-11-07T15:15:34.520,0.640,1.646,0.366,-0.366
1667826934560,2022-11-07T15:15:34.560,0.680,0.000,-0.091,-0.274
1667826934600,2022-11-07T15:15:34.600,0.720,-0.152,-0.732,-0.396
1667826934640,2022-11-07T15:15:34.640,0.760,-0.122,-0.854,-0.030
1667826934680,2022-11-07T15:15:34.680,0.800,1.250,-0.396,0.030
1667826934720,2022-11-07T15:15:34.720,0.840,-0.335,-0.335,0.335
1667826934760,2022-11-07T15:15:34.760,0.880,-0.610,-0.152,0.305
1667826934800,2022-11-07T15:15:34.800,0.920,0.518,0.000,0.183
1667826934840,2022-11-07T15:15:34.840,0.960,-0.152,-0.274,0.122
1667826934880,2022-11-07T15:15:34.880,1.000,0.000,-0.183,-0.061
1667826934920,2022-11-07T15:15:34.920,1.040,0.762,0.091,-0.061
1667826934960,2022-11-07T15:15:34.960,1.080,0.915,0.091,-0.122
1667826935000,2022-11-07T15:15:35.000,1.120,0.335,-0.274,-0.091
1667826935040,2022-11-07T15:15:35.040,1.160,0.732,-0.213,0.122
1667826935080,2022-11-07T15:15:35.080,1.200,-0.152,-0.122,0.152
1667826935120,2022-11-07T15:15:35.120,1.240,1.280,-0.061,-0.091
1667826935160,2022-11-07T15:15:35.160,1.280,1.402,-0.274,0.213
1667826935200,2022-11-07T15:15:35.200,1.320,0.427,-0.244,0.305
1667826935240,2022-11-07T15:15:35.240,1.360,0.122,-0.183,0.274
1667826935280,2022-11-07T15:15:35.280,1.400,0.183,-0.305,0.274
1667826935320,2022-11-07T15:15:35.320,1.440,0.152,-0.335,0.335
1667826935360,2022-11-07T15:15:35.360,1.480,0.640,-0.305,0.244
1667826935400,2022-11-07T15:15:35.400,1.520,0.579,-0.244,0.244
1667826935440,2022-11-07T15:15:35.440,1.560,0.366,-0.305,0.366
1667826935480,2022-11-07T15:15:35.480,1.600,0.701,-0.305,0.335
1667826935520,2022-11-07T15:15:35.520,1.640,1.189,-0.152,0.366
1667826935560,2022-11-07T15:15:35.560,1.680,0.915,-0.122,0.274
1667826935600,2022-11-07T15:15:35.600,1.720,0.640,-0.213,0.244
1667826935640,2022-11-07T15:15:35.640,1.760,1.159,-0.030,0.000
1667826935680,2022-11-07T15:15:35.680,1.800,0.671,-0.244,0.061
1667826935720,2022-11-07T15:15:35.720,1.840,0.610,-0.274,0.152
1667826935760,2022-11-07T15:15:35.760,1.880,0.762,-0.244,-0.122
1667826935800,2022-11-07T15:15:35.800,1.920,1.220,-0.427,-0.213
1667826935840,2022-11-07T15:15:35.840,1.960,1.280,0.000,-0.335
1667826935880,2022-11-07T15:15:35.880,2.000,1.372,-0.030,-0.183
1667826935920,2022-11-07T15:15:35.920,2.040,0.640,-0.244,-0.061
1667826935960,2022-11-07T15:15:35.960,2.080,1.067,-0.183,-0.213
1667826936000,2022-11-07T15:15:36.000,2.120,1.159,-0.152,-0.061
1667826936040,2022-11-07T15:15:36.040,2.160,0.305,-0.213,0.000
1667826936080,2022-11-07T15:15:36.080,2.200,0.823,-0.183,-0.061
1667826936120,2022-11-07T15:15:36.120,2.240,0.884,-0.366,0.000
1667826936160,2022-11-07T15:15:36.160,2.280,0.610,-0.244,0.000
1667826936200,2022-11-07T15:15:36.200,2.320,0.915,0.000,-0.091
1667826936240,2022-11-07T15:15:36.240,2.360,1.067,-0.213,-0.091
1667826936280,2022-11-07T15:15:36.280,2.400,0.610,-0.335,0.152
1667826936320,2022-11-07T15:15:36.320,2.440,0.396,-0.122,0.091
1667826936360,2022-11-07T15:15:36.360,2.480,1.037,-0.213,-0.061
1667826936400,2022-11-07T15:15:36.400,2.520,0.488,-0.030,-0.030
1667826936440,2022-11-07T15:15:36.440,2.560,0.793,-0.061,-0.030
1667826936480,2022-11-07T15:15:36.480,2.600,0.732,-0.122,0.091
1667826936520,2022-11-07T15:15:36.520,2.640,0.030,-0.091,0.122
1667826936560,2022-11-07T15:15:36.560,2.680,0.793,0.000,-0.091
1667826936600,2022-11-07T15:15:36.600,2.720,1.098,0.000,0.122
1667826936640,2022-11-07T15:15:36.640,2.760,0.701,-0.030,0.152
1667826936680,2022-11-07T15:15:36.680,2.800,0.396,-0.030,-0.030
1667826936720,2022-11-07T15:15:36.720,2.840,0.183,0.396,0.000
1667826936760,2022-11-07T15:15:36.760,2.880,1.494,0.732,0.122
1667826936800,2022-11-07T15:15:36.800,2.920,0.579,0.579,0.061
1667826936840,2022-11-07T15:15:36.840,2.960,0.335,0.335,0.274
1667826936880,2022-11-07T15:15:36.880,3.000,-0.030,0.396,0.396
1667826936920,2022-11-07T15:15:36.920,3.040,-0.854,0.244,0.518
