epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1668178343622,2022-11-11T16.52.23.622,0.000,0.427,-0.183,0.488
1668178343662,2022-11-11T16.52.23.662,0.040,0.701,-0.030,0.579
1668178343702,2022-11-11T16.52.23.702,0.080,0.610,-0.274,0.579
1668178343742,2022-11-11T16.52.23.742,0.120,0.793,-0.152,0.488
1668178343782,2022-11-11T16.52.23.782,0.160,0.610,-0.213,0.579
1668178343822,2022-11-11T16.52.23.822,0.200,0.732,-0.122,0.549
1668178343862,2022-11-11T16.52.23.862,0.240,0.488,-0.213,0.549
1668178343902,2022-11-11T16.52.23.902,0.280,0.732,-0.122,0.427
1668178343942,2022-11-11T16.52.23.942,0.320,0.701,-0.061,0.549
1668178343982,2022-11-11T16.52.23.982,0.360,0.823,-0.122,0.366
1668178344022,2022-11-11T16.52.24.022,0.400,1.098,-0.122,-0.244
1668178344062,2022-11-11T16.52.24.062,0.440,0.884,-0.183,-1.250
1668178344102,2022-11-11T16.52.24.102,0.480,0.701,-0.091,-1.006
1668178344142,2022-11-11T16.52.24.142,0.520,-1.037,-0.427,0.549
1668178344182,2022-11-11T16.52.24.182,0.560,1.341,-0.061,-0.061
1668178344222,2022-11-11T16.52.24.222,0.600,2.104,-0.274,0.579
1668178344262,2022-11-11T16.52.24.262,0.640,0.823,-0.366,1.159
1668178344302,2022-11-11T16.52.24.302,0.680,0.884,-0.091,0.701
1668178344342,2022-11-11T16.52.24.342,0.720,1.159,0.091,0.457
1668178344382,2022-11-11T16.52.24.382,0.760,1.189,-0.030,0.366
1668178344422,2022-11-11T16.52.24.422,0.800,0.976,-0.152,0.366
1668178344462,2022-11-11T16.52.24.462,0.840,1.067,-0.213,0.152
1668178344502,2022-11-11T16.52.24.502,0.880,0.793,-0.457,0.152
1668178344542,2022-11-11T16.52.24.542,0.920,0.915,-0.335,0.274
1668178344582,2022-11-11T16.52.24.582,0.960,0.945,-0.274,0.457
1668178344622,2022-11-11T16.52.24.622,1.000,0.213,-0.366,0.945
1668178344662,2022-11-11T16.52.24.662,1.040,0.366,-0.122,0.945
1668178344702,2022-11-11T16.52.24.702,1.080,0.945,0.030,0.457
1668178344742,2022-11-11T16.52.24.742,1.120,0.854,0.000,0.488
1668178344782,2022-11-11T16.52.24.782,1.160,0.732,-0.030,0.427
1668178344822,2022-11-11T16.52.24.822,1.200,1.037,-0.091,0.152
1668178344862,2022-11-11T16.52.24.862,1.240,0.976,-0.244,0.030
1668178344902,2022-11-11T16.52.24.902,1.280,1.250,-0.183,-0.183
1668178344942,2022-11-11T16.52.24.942,1.320,0.854,-0.335,0.152
1668178344982,2022-11-11T16.52.24.982,1.360,0.823,-0.274,0.305
1668178345022,2022-11-11T16.52.25.022,1.400,1.098,-0.183,0.244
1668178345062,2022-11-11T16.52.25.062,1.440,0.945,-0.244,0.457
1668178345102,2022-11-11T16.52.25.102,1.480,0.671,-0.213,0.579
1668178345142,2022-11-11T16.52.25.142,1.520,0.884,0.030,0.366
1668178345182,2022-11-11T16.52.25.182,1.560,1.006,-0.061,0.244
1668178345222,2022-11-11T16.52.25.222,1.600,1.006,-0.183,0.244
1668178345262,2022-11-11T16.52.25.262,1.640,0.884,-0.213,0.274
1668178345302,2022-11-11T16.52.25.302,1.680,1.037,-0.122,0.061
1668178345342,2022-11-11T16.52.25.342,1.720,1.159,-0.152,0.030
1668178345382,2022-11-11T16.52.25.382,1.760,0.976,-0.213,0.152
1668178345422,2022-11-11T16.52.25.422,1.800,0.915,-0.122,0.122
1668178345462,2022-11-11T16.52.25.462,1.840,0.701,-0.152,0.427
1668178345502,2022-11-11T16.52.25.502,1.880,0.579,-0.244,0.518
1668178345542,2022-11-11T16.52.25.542,1.920,-0.091,-0.396,0.701
1668178345582,2022-11-11T16.52.25.582,1.960,0.213,-0.183,0.457
1668178345622,2022-11-11T16.52.25.622,2.000,0.213,-0.183,0.762
1668178345662,2022-11-11T16.52.25.662,2.040,-0.122,-0.305,0.976
1668178345702,2022-11-11T16.52.25.702,2.080,0.457,-0.274,0.610
1668178345742,2022-11-11T16.52.25.742,2.120,0.793,-0.244,0.488
1668178345782,2022-11-11T16.52.25.782,2.160,0.762,-0.274,0.457
1668178345822,2022-11-11T16.52.25.822,2.200,0.732,-0.213,0.427
1668178345862,2022-11-11T16.52.25.862,2.240,0.823,-0.122,0.366
1668178345902,2022-11-11T16.52.25.902,2.280,0.701,-0.183,0.457
1668178345942,2022-11-11T16.52.25.942,2.320,0.610,-0.213,0.457
1668178345982,2022-11-11T16.52.25.982,2.360,0.671,-0.152,0.427
1668178346022,2022-11-11T16.52.26.022,2.400,0.823,-0.152,0.366
1668178346062,2022-11-11T16.52.26.062,2.440,0.854,-0.091,0.305
1668178346102,2022-11-11T16.52.26.102,2.480,0.762,-0.122,0.396
1668178346142,2022-11-11T16.52.26.142,2.520,0.549,-0.152,0.610
1668178346182,2022-11-11T16.52.26.182,2.560,0.701,0.030,0.549
1668178346222,2022-11-11T16.52.26.222,2.600,0.610,-0.061,0.549
1668178346262,2022-11-11T16.52.26.262,2.640,0.549,-0.122,0.396
1668178346302,2022-11-11T16.52.26.302,2.680,0.640,-0.030,0.427
1668178346342,2022-11-11T16.52.26.342,2.720,0.671,0.000,0.488
1668178346382,2022-11-11T16.52.26.382,2.760,0.854,0.030,0.396
1668178346422,2022-11-11T16.52.26.422,2.800,0.732,0.000,0.610
1668178346462,2022-11-11T16.52.26.462,2.840,0.366,0.000,0.823
1668178346502,2022-11-11T16.52.26.502,2.880,0.427,-0.061,0.640
1668178346542,2022-11-11T16.52.26.542,2.920,0.701,-0.122,0.427
1668178346582,2022-11-11T16.52.26.582,2.960,0.915,0.030,0.427
1668178346622,2022-11-11T16.52.26.622,3.000,0.884,0.061,0.549
1668178346662,2022-11-11T16.52.26.662,3.040,0.793,0.000,0.488
1668178346702,2022-11-11T16.52.26.702,3.080,0.762,0.000,0.396
1668178346742,2022-11-11T16.52.26.742,3.120,0.854,-0.122,0.213
1668178346782,2022-11-11T16.52.26.782,3.160,0.976,-0.122,0.244
1668178346822,2022-11-11T16.52.26.822,3.200,-0.061,-0.335,1.098
1668178346862,2022-11-11T16.52.26.862,3.240,0.030,-0.091,1.220
1668178346902,2022-11-11T16.52.26.902,3.280,0.305,-0.122,1.189
1668178346942,2022-11-11T16.52.26.942,3.320,0.305,-0.213,1.037
1668178346982,2022-11-11T16.52.26.982,3.360,0.335,-0.244,0.732
1668178347022,2022-11-11T16.52.27.022,3.400,1.098,0.000,0.122
1668178347062,2022-11-11T16.52.27.062,3.440,1.037,0.030,0.122
1668178347102,2022-11-11T16.52.27.102,3.480,0.884,0.091,0.183
1668178347142,2022-11-11T16.52.27.142,3.520,0.793,-0.061,0.030
1668178347182,2022-11-11T16.52.27.182,3.560,0.945,-0.183,-0.152
1668178347222,2022-11-11T16.52.27.222,3.600,1.220,-0.152,-0.091
1668178347262,2022-11-11T16.52.27.262,3.640,1.280,-0.122,0.061
