epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1667733080967,2022-11-06T13:11:20.967,0.000,3.140,-1.280,0.976
1667733081007,2022-11-06T13:11:21.007,0.040,2.988,-1.220,1.006
1667733081046,2022-11-06T13:11:21.046,0.079,1.646,-0.213,0.183
1667733081086,2022-11-06T13:11:21.086,0.119,0.701,-0.396,-0.244
1667733081125,2022-11-06T13:11:21.125,0.158,-0.152,-1.585,-0.549
1667733081165,2022-11-06T13:11:21.165,0.198,-2.043,-1.555,-0.701
1667733081204,2022-11-06T13:11:21.204,0.237,-3.902,-1.463,-0.366
1667733081244,2022-11-06T13:11:21.244,0.277,-5.183,-1.372,-0.579
1667733081283,2022-11-06T13:11:21.283,0.316,-4.299,-1.159,-0.610
1667733081323,2022-11-06T13:11:21.323,0.356,-2.622,-1.494,-0.122
1667733081363,2022-11-06T13:11:21.363,0.396,-2.927,-2.378,-0.183
1667733081402,2022-11-06T13:11:21.402,0.435,0.000,-1.037,-0.030
1667733081442,2022-11-06T13:11:21.442,0.475,1.433,-0.274,0.274
1667733081481,2022-11-06T13:11:21.481,0.514,1.220,0.335,0.396
1667733081521,2022-11-06T13:11:21.521,0.554,1.890,-0.366,0.762
1667733081560,2022-11-06T13:11:21.560,0.593,0.244,-0.945,0.793
1667733081600,2022-11-06T13:11:21.600,0.633,1.677,-0.122,0.488
1667733081639,2022-11-06T13:11:21.639,0.672,1.768,0.061,0.396
1667733081679,2022-11-06T13:11:21.679,0.712,0.640,-0.427,0.335
1667733081719,2022-11-06T13:11:21.719,0.752,0.213,-0.793,0.183
1667733081758,2022-11-06T13:11:21.758,0.791,0.122,0.183,0.122
1667733081798,2022-11-06T13:11:21.798,0.831,-0.976,-0.366,0.061
1667733081837,2022-11-06T13:11:21.837,0.870,-1.067,-0.762,-0.061
1667733081877,2022-11-06T13:11:21.877,0.910,-0.732,-0.854,0.122
1667733081916,2022-11-06T13:11:21.916,0.949,-1.372,-0.427,0.305
1667733081956,2022-11-06T13:11:21.956,0.989,-0.793,-0.457,0.305
1667733081995,2022-11-06T13:11:21.995,1.028,-0.610,-0.610,0.061
1667733082035,2022-11-06T13:11:22.035,1.068,-0.488,0.274,0.061
1667733082074,2022-11-06T13:11:22.074,1.107,-0.854,-0.030,-0.061
1667733082114,2022-11-06T13:11:22.114,1.147,-0.488,0.701,-0.305
1667733082154,2022-11-06T13:11:22.154,1.187,0.945,1.037,-0.427
1667733082193,2022-11-06T13:11:22.193,1.226,0.000,-0.183,-0.427
1667733082233,2022-11-06T13:11:22.233,1.266,0.610,0.701,-0.732
1667733082272,2022-11-06T13:11:22.272,1.305,1.829,1.128,-1.128
1667733082312,2022-11-06T13:11:22.312,1.345,1.098,0.244,-0.823
1667733082351,2022-11-06T13:11:22.351,1.384,-0.366,-0.701,-0.305
1667733082391,2022-11-06T13:11:22.391,1.424,-0.549,-0.762,-0.244
1667733082430,2022-11-06T13:11:22.430,1.463,-0.915,-0.854,-0.427
1667733082470,2022-11-06T13:11:22.470,1.503,-0.854,-0.793,-0.183
1667733082510,2022-11-06T13:11:22.510,1.543,-1.372,-0.640,0.091
1667733082549,2022-11-06T13:11:22.549,1.582,-0.457,-0.305,0.091
1667733082589,2022-11-06T13:11:22.589,1.622,0.152,-0.671,0.061
1667733082628,2022-11-06T13:11:22.628,1.661,-1.280,-0.549,-0.091
1667733082668,2022-11-06T13:11:22.668,1.701,0.152,-0.061,0.274
1667733082707,2022-11-06T13:11:22.707,1.740,-0.915,-0.457,0.274
1667733082747,2022-11-06T13:11:22.747,1.780,-1.585,0.457,-0.305
1667733082786,2022-11-06T13:11:22.786,1.819,-0.152,-0.244,-0.823
1667733082826,2022-11-06T13:11:22.826,1.859,-0.793,-1.646,-0.244
1667733082865,2022-11-06T13:11:22.865,1.898,-2.104,-0.762,0.518
1667733082905,2022-11-06T13:11:22.905,1.938,-1.463,-0.579,0.488
1667733082945,2022-11-06T13:11:22.945,1.978,-0.732,-0.488,-0.122
1667733082984,2022-11-06T13:11:22.984,2.017,-0.183,-0.335,-0.122
1667733083024,2022-11-06T13:11:23.024,2.057,1.250,0.488,-0.244
