epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1667426106552,2022-11-02T23.55.06.552,0.000,-0.292,-0.038,-1.035
1667426106593,2022-11-02T23.55.06.593,0.041,-0.340,0.042,-0.919
1667426106632,2022-11-02T23.55.06.632,0.080,-0.333,0.138,-0.892
1667426106673,2022-11-02T23.55.06.673,0.121,-0.371,0.136,-0.926
1667426106714,2022-11-02T23.55.06.714,0.162,-0.422,0.098,-0.904
1667426106755,2022-11-02T23.55.06.755,0.203,-0.412,0.156,-0.922
1667426106795,2022-11-02T23.55.06.795,0.243,-0.408,0.167,-0.909
1667426106836,2022-11-02T23.55.06.836,0.284,-0.395,0.171,-0.889
1667426106877,2022-11-02T23.55.06.877,0.325,-0.386,0.206,-0.899
1667426106918,2022-11-02T23.55.06.918,0.366,-0.403,0.189,-0.866
1667426106958,2022-11-02T23.55.06.958,0.406,-0.441,0.166,-0.808
1667426106999,2022-11-02T23.55.06.999,0.447,-0.505,0.129,-0.802
1667426107040,2022-11-02T23.55.07.040,0.488,-0.538,0.092,-0.862
1667426107081,2022-11-02T23.55.07.081,0.529,-0.535,0.102,-0.857
1667426107120,2022-11-02T23.55.07.120,0.568,-0.551,0.147,-0.795
1667426107161,2022-11-02T23.55.07.161,0.609,-0.529,0.139,-0.828
1667426107202,2022-11-02T23.55.07.202,0.650,-0.524,0.101,-0.892
1667426107242,2022-11-02T23.55.07.242,0.690,-0.545,-0.002,-0.890
1667426107283,2022-11-02T23.55.07.283,0.731,-0.478,0.005,-1.016
1667426107324,2022-11-02T23.55.07.324,0.772,-0.411,0.071,-0.885
1667426107365,2022-11-02T23.55.07.365,0.813,-0.403,0.176,-0.709
1667426107404,2022-11-02T23.55.07.404,0.852,-0.443,0.216,-0.770
1667426107445,2022-11-02T23.55.07.445,0.893,-0.526,0.149,-0.813
1667426107486,2022-11-02T23.55.07.486,0.934,-0.584,0.129,-0.848
1667426107527,2022-11-02T23.55.07.527,0.975,-0.602,0.089,-0.931
1667426107567,2022-11-02T23.55.07.567,1.015,-0.579,0.043,-0.938
1667426107608,2022-11-02T23.55.07.608,1.056,-0.540,0.032,-0.864
1667426107649,2022-11-02T23.55.07.649,1.097,-0.514,0.059,-0.828
1667426107689,2022-11-02T23.55.07.689,1.137,-0.514,0.051,-0.869
1667426107730,2022-11-02T23.55.07.730,1.178,-0.518,0.028,-0.878
1667426107771,2022-11-02T23.55.07.771,1.219,-0.516,0.024,-0.872
1667426107812,2022-11-02T23.55.07.812,1.260,-0.513,0.033,-0.860
1667426107851,2022-11-02T23.55.07.851,1.299,-0.512,0.034,-0.868
1667426107892,2022-11-02T23.55.07.892,1.340,-0.520,0.034,-0.872
1667426107933,2022-11-02T23.55.07.933,1.381,-0.517,0.029,-0.887
1667426107974,2022-11-02T23.55.07.974,1.422,-0.503,0.031,-0.905
1667426108014,2022-11-02T23.55.08.014,1.462,-0.491,0.035,-0.906
1667426108055,2022-11-02T23.55.08.055,1.503,-0.478,0.051,-0.899
1667426108096,2022-11-02T23.55.08.096,1.544,-0.477,0.044,-0.889
1667426108137,2022-11-02T23.55.08.137,1.585,-0.479,0.046,-0.882
1667426108176,2022-11-02T23.55.08.176,1.624,-0.482,0.041,-0.881
1667426108217,2022-11-02T23.55.08.217,1.665,-0.481,0.036,-0.884
1667426108258,2022-11-02T23.55.08.258,1.706,-0.479,0.037,-0.894
1667426108298,2022-11-02T23.55.08.298,1.746,-0.475,0.045,-0.918
1667426108339,2022-11-02T23.55.08.339,1.787,-0.473,0.044,-0.908
1667426108380,2022-11-02T23.55.08.380,1.828,-0.476,0.042,-0.892
1667426108421,2022-11-02T23.55.08.421,1.869,-0.484,0.030,-0.887
1667426108461,2022-11-02T23.55.08.461,1.909,-0.474,0.027,-0.900
1667426108502,2022-11-02T23.55.08.502,1.950,-0.467,0.044,-0.893
1667426108543,2022-11-02T23.55.08.543,1.991,-0.471,0.040,-0.899
1667426108584,2022-11-02T23.55.08.584,2.032,-0.478,0.029,-0.901
1667426108623,2022-11-02T23.55.08.623,2.071,-0.473,0.030,-0.890
1667426108664,2022-11-02T23.55.08.664,2.112,-0.466,0.042,-0.887
1667426108705,2022-11-02T23.55.08.705,2.153,-0.461,0.053,-0.907
1667426108745,2022-11-02T23.55.08.745,2.193,-0.464,0.046,-0.903
1667426108786,2022-11-02T23.55.08.786,2.234,-0.468,0.037,-0.895
1667426108827,2022-11-02T23.55.08.827,2.275,-0.464,0.042,-0.905
1667426108868,2022-11-02T23.55.08.868,2.316,-0.453,0.053,-0.910
1667426108907,2022-11-02T23.55.08.907,2.355,-0.448,0.060,-0.902
1667426108948,2022-11-02T23.55.08.948,2.396,-0.457,0.057,-0.887
1667426108989,2022-11-02T23.55.08.989,2.437,-0.457,0.051,-0.913
1667426109030,2022-11-02T23.55.09.030,2.478,-0.451,0.060,-0.901
1667426109070,2022-11-02T23.55.09.070,2.518,-0.456,0.059,-0.885
1667426109111,2022-11-02T23.55.09.111,2.559,-0.459,0.053,-0.909
1667426109152,2022-11-02T23.55.09.152,2.600,-0.457,0.057,-0.901
1667426109193,2022-11-02T23.55.09.193,2.641,-0.452,0.063,-0.902
1667426109233,2022-11-02T23.55.09.233,2.681,-0.449,0.061,-0.902
1667426109274,2022-11-02T23.55.09.274,2.722,-0.451,0.057,-0.904
1667426109315,2022-11-02T23.55.09.315,2.763,-0.455,0.061,-0.882
