epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1668353374483,2022-11-13T17.29.34.483,0.000,-0.270,0.149,-0.944
1668353374523,2022-11-13T17.29.34.523,0.040,-0.296,0.128,-0.959
1668353374563,2022-11-13T17.29.34.563,0.080,-0.256,0.117,-0.963
1668353374603,2022-11-13T17.29.34.603,0.120,-0.224,0.118,-0.967
1668353374643,2022-11-13T17.29.34.643,0.160,-0.247,0.086,-0.962
1668353374683,2022-11-13T17.29.34.683,0.200,-0.261,0.102,-0.959
1668353374723,2022-11-13T17.29.34.723,0.240,-0.265,0.113,-0.966
1668353374763,2022-11-13T17.29.34.763,0.280,-0.244,0.108,-0.962
1668353374803,2022-11-13T17.29.34.803,0.320,-0.236,0.102,-0.965
1668353374843,2022-11-13T17.29.34.843,0.360,-0.221,0.076,-0.967
1668353374883,2022-11-13T17.29.34.883,0.400,-0.226,0.113,-0.960
1668353374923,2022-11-13T17.29.34.923,0.440,-0.253,0.140,-0.972
1668353374963,2022-11-13T17.29.34.963,0.480,-0.260,0.094,-0.965
1668353375003,2022-11-13T17.29.35.003,0.520,-0.155,0.079,-0.972
1668353375043,2022-11-13T17.29.35.043,0.560,-0.164,0.088,-0.973
1668353375083,2022-11-13T17.29.35.083,0.600,-0.137,0.095,-0.980
1668353375123,2022-11-13T17.29.35.123,0.640,-0.149,0.097,-0.983
1668353375163,2022-11-13T17.29.35.163,0.680,-0.118,0.077,-0.975
1668353375203,2022-11-13T17.29.35.203,0.720,-0.092,0.106,-0.977
1668353375243,2022-11-13T17.29.35.243,0.760,-0.116,0.097,-0.982
1668353375283,2022-11-13T17.29.35.283,0.800,-0.126,0.069,-0.978
1668353375323,2022-11-13T17.29.35.323,0.840,-0.135,0.077,-0.976
1668353375363,2022-11-13T17.29.35.363,0.880,-0.132,0.092,-0.979
1668353375403,2022-11-13T17.29.35.403,0.920,-0.149,0.089,-0.984
1668353375443,2022-11-13T17.29.35.443,0.960,-0.168,0.082,-0.975
1668353375483,2022-11-13T17.29.35.483,1.000,-0.156,0.079,-0.988
1668353375523,2022-11-13T17.29.35.523,1.040,-0.152,0.085,-0.977
1668353375563,2022-11-13T17.29.35.563,1.080,-0.142,0.093,-0.984
1668353375603,2022-11-13T17.29.35.603,1.120,-0.105,0.103,-0.986
1668353375643,2022-11-13T17.29.35.643,1.160,-0.116,0.079,-0.980
1668353375683,2022-11-13T17.29.35.683,1.200,0.111,0.122,-0.993
1668353375723,2022-11-13T17.29.35.723,1.240,0.043,0.096,-0.998
1668353375763,2022-11-13T17.29.35.763,1.280,-0.170,0.033,-0.936
1668353375803,2022-11-13T17.29.35.803,1.320,0.115,0.116,-0.987
1668353375843,2022-11-13T17.29.35.843,1.360,0.004,0.113,-1.008
1668353375883,2022-11-13T17.29.35.883,1.400,-0.030,0.087,-0.984
1668353375923,2022-11-13T17.29.35.923,1.440,-0.041,0.091,-0.983
1668353375963,2022-11-13T17.29.35.963,1.480,-0.073,0.086,-0.995
1668353376003,2022-11-13T17.29.36.003,1.520,-0.105,0.103,-0.982
1668353376043,2022-11-13T17.29.36.043,1.560,-0.099,0.092,-0.988
1668353376083,2022-11-13T17.29.36.083,1.600,-0.100,0.094,-0.981
1668353376123,2022-11-13T17.29.36.123,1.640,-0.121,0.072,-0.980
1668353376163,2022-11-13T17.29.36.163,1.680,-0.131,0.080,-0.975
1668353376203,2022-11-13T17.29.36.203,1.720,-0.187,0.075,-0.975
1668353376243,2022-11-13T17.29.36.243,1.760,-0.188,0.053,-0.984
1668353376283,2022-11-13T17.29.36.283,1.800,-0.102,0.093,-0.966
1668353376323,2022-11-13T17.29.36.323,1.840,-0.192,0.072,-0.959
1668353376363,2022-11-13T17.29.36.363,1.880,-0.226,0.054,-0.971
1668353376403,2022-11-13T17.29.36.403,1.920,-0.239,0.020,-0.975
1668353376443,2022-11-13T17.29.36.443,1.960,-0.122,0.115,-0.975
