epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1667936452958,2022-11-08T21.40.52.958,0.000,1.189,0.000,0.183
1667936452999,2022-11-08T21.40.52.999,0.041,0.854,-0.030,0.213
1667936453040,2022-11-08T21.40.53.040,0.082,0.823,-0.030,0.244
1667936453080,2022-11-08T21.40.53.080,0.122,0.640,-0.122,0.549
1667936453121,2022-11-08T21.40.53.121,0.163,0.701,-0.152,0.579
1667936453162,2022-11-08T21.40.53.162,0.204,0.183,-0.305,0.671
1667936453203,2022-11-08T21.40.53.203,0.245,-0.091,-0.457,0.854
1667936453242,2022-11-08T21.40.53.242,0.284,0.091,-0.366,0.915
1667936453283,2022-11-08T21.40.53.283,0.325,0.457,-0.213,0.701
1667936453324,2022-11-08T21.40.53.324,0.366,0.213,-0.274,0.671
1667936453365,2022-11-08T21.40.53.365,0.407,0.213,-0.183,0.671
1667936453405,2022-11-08T21.40.53.405,0.447,0.366,0.000,0.549
1667936453446,2022-11-08T21.40.53.446,0.488,0.183,-0.213,0.671
1667936453487,2022-11-08T21.40.53.487,0.529,0.000,-0.518,1.006
1667936453528,2022-11-08T21.40.53.528,0.570,-0.091,-0.610,1.189
1667936453567,2022-11-08T21.40.53.567,0.609,-0.091,-0.366,0.945
1667936453608,2022-11-08T21.40.53.608,0.650,0.732,-0.122,0.518
1667936453649,2022-11-08T21.40.53.649,0.691,0.701,-0.183,0.610
1667936453690,2022-11-08T21.40.53.690,0.732,0.610,-0.213,0.701
1667936453731,2022-11-08T21.40.53.731,0.773,0.305,-0.183,0.701
1667936453771,2022-11-08T21.40.53.771,0.813,0.427,-0.152,0.518
1667936453812,2022-11-08T21.40.53.812,0.854,0.061,-0.335,0.793
1667936453853,2022-11-08T21.40.53.853,0.895,0.396,-0.274,0.732
1667936453894,2022-11-08T21.40.53.894,0.936,0.183,-0.396,0.854
1667936453934,2022-11-08T21.40.53.934,0.976,0.183,-0.396,0.823
1667936453975,2022-11-08T21.40.53.975,1.017,0.488,-0.213,0.579
1667936454016,2022-11-08T21.40.54.016,1.058,0.884,-0.152,0.427
1667936454057,2022-11-08T21.40.54.057,1.099,0.671,-0.274,0.701
1667936454096,2022-11-08T21.40.54.096,1.138,0.396,-0.305,0.732
1667936454137,2022-11-08T21.40.54.137,1.179,0.518,-0.274,0.579
1667936454178,2022-11-08T21.40.54.178,1.220,0.518,-0.274,0.762
1667936454219,2022-11-08T21.40.54.219,1.261,0.274,-0.274,0.945
1667936454259,2022-11-08T21.40.54.259,1.301,0.274,-0.183,0.640
1667936454300,2022-11-08T21.40.54.300,1.342,0.640,-0.122,0.457
