epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1668176142199,2022-11-11T16.15.42.199,0.000,-0.333,0.076,-0.932
1668176142239,2022-11-11T16.15.42.239,0.040,-0.335,0.077,-0.941
1668176142279,2022-11-11T16.15.42.279,0.080,-0.335,0.078,-0.938
1668176142319,2022-11-11T16.15.42.319,0.120,-0.336,0.078,-0.937
1668176142359,2022-11-11T16.15.42.359,0.160,-0.335,0.078,-0.938
1668176142399,2022-11-11T16.15.42.399,0.200,-0.335,0.078,-0.938
1668176142439,2022-11-11T16.15.42.439,0.240,-0.336,0.076,-0.938
1668176142479,2022-11-11T16.15.42.479,0.280,-0.336,0.078,-0.938
1668176142519,2022-11-11T16.15.42.519,0.320,-0.335,0.078,-0.938
1668176142559,2022-11-11T16.15.42.559,0.360,-0.335,0.080,-0.937
1668176142599,2022-11-11T16.15.42.599,0.400,-0.335,0.081,-0.936
1668176142639,2022-11-11T16.15.42.639,0.440,-0.335,0.079,-0.937
1668176142679,2022-11-11T16.15.42.679,0.480,-0.335,0.078,-0.938
1668176142719,2022-11-11T16.15.42.719,0.520,-0.335,0.080,-0.938
1668176142759,2022-11-11T16.15.42.759,0.560,-0.334,0.080,-0.936
1668176142799,2022-11-11T16.15.42.799,0.600,-0.335,0.080,-0.937
1668176142839,2022-11-11T16.15.42.839,0.640,-0.336,0.081,-0.936
1668176142879,2022-11-11T16.15.42.879,0.680,-0.336,0.079,-0.937
1668176142919,2022-11-11T16.15.42.919,0.720,-0.335,0.078,-0.938
1668176142959,2022-11-11T16.15.42.959,0.760,-0.336,0.077,-0.937
1668176142999,2022-11-11T16.15.42.999,0.800,-0.335,0.082,-0.936
1668176143039,2022-11-11T16.15.43.039,0.840,-0.335,0.083,-0.938
1668176143079,2022-11-11T16.15.43.079,0.880,-0.336,0.078,-0.938
1668176143119,2022-11-11T16.15.43.119,0.920,-0.336,0.074,-0.937
1668176143159,2022-11-11T16.15.43.159,0.960,-0.337,0.074,-0.936
1668176143199,2022-11-11T16.15.43.199,1.000,-0.336,0.078,-0.937
1668176143239,2022-11-11T16.15.43.239,1.040,-0.335,0.080,-0.938
1668176143279,2022-11-11T16.15.43.279,1.080,-0.335,0.080,-0.937
1668176143319,2022-11-11T16.15.43.319,1.120,-0.335,0.079,-0.938
1668176143359,2022-11-11T16.15.43.359,1.160,-0.335,0.079,-0.937
1668176143399,2022-11-11T16.15.43.399,1.200,-0.335,0.080,-0.938
1668176143439,2022-11-11T16.15.43.439,1.240,-0.336,0.080,-0.938
1668176143479,2022-11-11T16.15.43.479,1.280,-0.336,0.078,-0.937
1668176143519,2022-11-11T16.15.43.519,1.320,-0.335,0.080,-0.936
1668176143559,2022-11-11T16.15.43.559,1.360,-0.335,0.081,-0.937
1668176143599,2022-11-11T16.15.43.599,1.400,-0.336,0.079,-0.937
1668176143639,2022-11-11T16.15.43.639,1.440,-0.336,0.080,-0.936
1668176143679,2022-11-11T16.15.43.679,1.480,-0.335,0.080,-0.936
1668176143719,2022-11-11T16.15.43.719,1.520,-0.336,0.078,-0.937
1668176143759,2022-11-11T16.15.43.759,1.560,-0.336,0.078,-0.936
1668176143799,2022-11-11T16.15.43.799,1.600,-0.337,0.078,-0.937
1668176143839,2022-11-11T16.15.43.839,1.640,-0.336,0.077,-0.938
1668176143879,2022-11-11T16.15.43.879,1.680,-0.337,0.077,-0.937
1668176143919,2022-11-11T16.15.43.919,1.720,-0.336,0.078,-0.937
1668176143959,2022-11-11T16.15.43.959,1.760,-0.336,0.082,-0.937
1668176143999,2022-11-11T16.15.43.999,1.800,-0.336,0.083,-0.936
1668176144039,2022-11-11T16.15.44.039,1.840,-0.336,0.078,-0.935
1668176144079,2022-11-11T16.15.44.079,1.880,-0.337,0.084,-0.936
1668176144119,2022-11-11T16.15.44.119,1.920,-0.337,0.077,-0.937
1668176144159,2022-11-11T16.15.44.159,1.960,-0.336,0.072,-0.936
1668176144199,2022-11-11T16.15.44.199,2.000,-0.336,0.080,-0.938
1668176144239,2022-11-11T16.15.44.239,2.040,-0.338,0.082,-0.936
1668176144279,2022-11-11T16.15.44.279,2.080,-0.337,0.079,-0.937
1668176144319,2022-11-11T16.15.44.319,2.120,-0.336,0.080,-0.936
1668176144359,2022-11-11T16.15.44.359,2.160,-0.337,0.078,-0.935
1668176144399,2022-11-11T16.15.44.399,2.200,-0.337,0.078,-0.936
1668176144439,2022-11-11T16.15.44.439,2.240,-0.336,0.077,-0.936
1668176144479,2022-11-11T16.15.44.479,2.280,-0.337,0.079,-0.937
1668176144519,2022-11-11T16.15.44.519,2.320,-0.337,0.077,-0.937
1668176144559,2022-11-11T16.15.44.559,2.360,-0.335,0.079,-0.936
1668176144599,2022-11-11T16.15.44.599,2.400,-0.336,0.081,-0.937
1668176144639,2022-11-11T16.15.44.639,2.440,-0.335,0.078,-0.936
1668176144679,2022-11-11T16.15.44.679,2.480,-0.336,0.075,-0.935
1668176144719,2022-11-11T16.15.44.719,2.520,-0.336,0.077,-0.935
1668176144759,2022-11-11T16.15.44.759,2.560,-0.336,0.079,-0.936
1668176144799,2022-11-11T16.15.44.799,2.600,-0.335,0.077,-0.937
1668176144839,2022-11-11T16.15.44.839,2.640,-0.336,0.077,-0.937
1668176144879,2022-11-11T16.15.44.879,2.680,-0.336,0.077,-0.937
1668176144919,2022-11-11T16.15.44.919,2.720,-0.337,0.079,-0.936
1668176144959,2022-11-11T16.15.44.959,2.760,-0.336,0.078,-0.936
1668176144999,2022-11-11T16.15.44.999,2.800,-0.335,0.076,-0.936
1668176145039,2022-11-11T16.15.45.039,2.840,-0.335,0.078,-0.936
1668176145079,2022-11-11T16.15.45.079,2.880,-0.336,0.078,-0.936
1668176145119,2022-11-11T16.15.45.119,2.920,-0.336,0.076,-0.936
1668176145159,2022-11-11T16.15.45.159,2.960,-0.335,0.077,-0.936
1668176145199,2022-11-11T16.15.45.199,3.000,-0.335,0.078,-0.936
1668176145239,2022-11-11T16.15.45.239,3.040,-0.335,0.079,-0.936
1668176145279,2022-11-11T16.15.45.279,3.080,-0.336,0.079,-0.936
1668176145319,2022-11-11T16.15.45.319,3.120,-0.335,0.080,-0.936
1668176145359,2022-11-11T16.15.45.359,3.160,-0.335,0.075,-0.937
1668176145399,2022-11-11T16.15.45.399,3.200,-0.336,0.080,-0.936
1668176145439,2022-11-11T16.15.45.439,3.240,-0.335,0.080,-0.936
1668176145479,2022-11-11T16.15.45.479,3.280,-0.336,0.078,-0.936
1668176145519,2022-11-11T16.15.45.519,3.320,-0.336,0.077,-0.936
1668176145559,2022-11-11T16.15.45.559,3.360,-0.337,0.077,-0.936
1668176145599,2022-11-11T16.15.45.599,3.400,-0.336,0.079,-0.936
1668176145639,2022-11-11T16.15.45.639,3.440,-0.335,0.083,-0.935
1668176145679,2022-11-11T16.15.45.679,3.480,-0.335,0.082,-0.936
1668176145719,2022-11-11T16.15.45.719,3.520,-0.335,0.081,-0.937
1668176145759,2022-11-11T16.15.45.759,3.560,-0.336,0.081,-0.936
1668176145799,2022-11-11T16.15.45.799,3.600,-0.334,0.080,-0.936
1668176145839,2022-11-11T16.15.45.839,3.640,-0.334,0.084,-0.936
1668176145879,2022-11-11T16.15.45.879,3.680,-0.338,0.083,-0.936
1668176145919,2022-11-11T16.15.45.919,3.720,-0.336,0.078,-0.936
1668176145959,2022-11-11T16.15.45.959,3.760,-0.337,0.077,-0.937
1668176145999,2022-11-11T16.15.45.999,3.800,-0.336,0.079,-0.936
1668176146039,2022-11-11T16.15.46.039,3.840,-0.338,0.079,-0.937
1668176146079,2022-11-11T16.15.46.079,3.880,-0.335,0.077,-0.935
1668176146119,2022-11-11T16.15.46.119,3.920,-0.335,0.077,-0.934
1668176146159,2022-11-11T16.15.46.159,3.960,-0.335,0.078,-0.937
1668176146199,2022-11-11T16.15.46.199,4.000,-0.335,0.079,-0.937
1668176146239,2022-11-11T16.15.46.239,4.040,-0.336,0.079,-0.937
1668176146279,2022-11-11T16.15.46.279,4.080,-0.335,0.079,-0.936
1668176146319,2022-11-11T16.15.46.319,4.120,-0.335,0.078,-0.936
1668176146359,2022-11-11T16.15.46.359,4.160,-0.335,0.077,-0.936
1668176146399,2022-11-11T16.15.46.399,4.200,-0.335,0.076,-0.935
1668176146439,2022-11-11T16.15.46.439,4.240,-0.335,0.076,-0.936
1668176146479,2022-11-11T16.15.46.479,4.280,-0.336,0.077,-0.936
1668176146519,2022-11-11T16.15.46.519,4.320,-0.336,0.077,-0.937
1668176146559,2022-11-11T16.15.46.559,4.360,-0.337,0.078,-0.936
1668176146599,2022-11-11T16.15.46.599,4.400,-0.336,0.078,-0.936
1668176146639,2022-11-11T16.15.46.639,4.440,-0.336,0.078,-0.937
1668176146679,2022-11-11T16.15.46.679,4.480,-0.335,0.079,-0.936
1668176146719,2022-11-11T16.15.46.719,4.520,-0.335,0.080,-0.937
1668176146759,2022-11-11T16.15.46.759,4.560,-0.335,0.079,-0.936
1668176146799,2022-11-11T16.15.46.799,4.600,-0.336,0.077,-0.936
1668176146839,2022-11-11T16.15.46.839,4.640,-0.334,0.081,-0.938
1668176146879,2022-11-11T16.15.46.879,4.680,-0.337,0.077,-0.937
1668176146919,2022-11-11T16.15.46.919,4.720,-0.337,0.076,-0.936
1668176146959,2022-11-11T16.15.46.959,4.760,-0.336,0.076,-0.935
1668176146999,2022-11-11T16.15.46.999,4.800,-0.335,0.078,-0.936
1668176147039,2022-11-11T16.15.47.039,4.840,-0.336,0.078,-0.937
1668176147079,2022-11-11T16.15.47.079,4.880,-0.336,0.078,-0.936
1668176147119,2022-11-11T16.15.47.119,4.920,-0.336,0.079,-0.936
1668176147159,2022-11-11T16.15.47.159,4.960,-0.337,0.079,-0.936
1668176147199,2022-11-11T16.15.47.199,5.000,-0.337,0.080,-0.935
1668176147239,2022-11-11T16.15.47.239,5.040,-0.337,0.080,-0.937
1668176147279,2022-11-11T16.15.47.279,5.080,-0.335,0.079,-0.936
1668176147319,2022-11-11T16.15.47.319,5.120,-0.336,0.077,-0.936
1668176147359,2022-11-11T16.15.47.359,5.160,-0.336,0.078,-0.936
1668176147399,2022-11-11T16.15.47.399,5.200,-0.336,0.080,-0.937
1668176147439,2022-11-11T16.15.47.439,5.240,-0.336,0.080,-0.936
1668176147479,2022-11-11T16.15.47.479,5.280,-0.337,0.079,-0.937
1668176147519,2022-11-11T16.15.47.519,5.320,-0.337,0.078,-0.937
1668176147559,2022-11-11T16.15.47.559,5.360,-0.336,0.079,-0.936
1668176147599,2022-11-11T16.15.47.599,5.400,-0.337,0.079,-0.935
1668176147639,2022-11-11T16.15.47.639,5.440,-0.337,0.078,-0.936
1668176147679,2022-11-11T16.15.47.679,5.480,-0.336,0.080,-0.937
1668176147719,2022-11-11T16.15.47.719,5.520,-0.336,0.079,-0.935
1668176147759,2022-11-11T16.15.47.759,5.560,-0.336,0.077,-0.936
1668176147799,2022-11-11T16.15.47.799,5.600,-0.335,0.078,-0.936
1668176147839,2022-11-11T16.15.47.839,5.640,-0.335,0.079,-0.935
1668176147879,2022-11-11T16.15.47.879,5.680,-0.336,0.078,-0.935
1668176147919,2022-11-11T16.15.47.919,5.720,-0.337,0.079,-0.935
1668176147959,2022-11-11T16.15.47.959,5.760,-0.336,0.078,-0.935
1668176147999,2022-11-11T16.15.47.999,5.800,-0.336,0.078,-0.935
1668176148039,2022-11-11T16.15.48.039,5.840,-0.336,0.076,-0.936
1668176148079,2022-11-11T16.15.48.079,5.880,-0.336,0.079,-0.936
1668176148119,2022-11-11T16.15.48.119,5.920,-0.336,0.079,-0.937
1668176148159,2022-11-11T16.15.48.159,5.960,-0.335,0.077,-0.935
1668176148199,2022-11-11T16.15.48.199,6.000,-0.336,0.078,-0.937
1668176148239,2022-11-11T16.15.48.239,6.040,-0.336,0.077,-0.938
1668176148279,2022-11-11T16.15.48.279,6.080,-0.335,0.076,-0.937
1668176148319,2022-11-11T16.15.48.319,6.120,-0.338,0.077,-0.936
1668176148359,2022-11-11T16.15.48.359,6.160,-0.336,0.078,-0.937
1668176148399,2022-11-11T16.15.48.399,6.200,-0.336,0.077,-0.936
1668176148439,2022-11-11T16.15.48.439,6.240,-0.336,0.077,-0.936
1668176148479,2022-11-11T16.15.48.479,6.280,-0.335,0.079,-0.937
1668176148519,2022-11-11T16.15.48.519,6.320,-0.335,0.078,-0.937
1668176148559,2022-11-11T16.15.48.559,6.360,-0.336,0.077,-0.937
1668176148599,2022-11-11T16.15.48.599,6.400,-0.336,0.077,-0.936
1668176148639,2022-11-11T16.15.48.639,6.440,-0.335,0.078,-0.937
1668176148679,2022-11-11T16.15.48.679,6.480,-0.335,0.078,-0.936
1668176148719,2022-11-11T16.15.48.719,6.520,-0.335,0.078,-0.935
1668176148759,2022-11-11T16.15.48.759,6.560,-0.336,0.077,-0.935
1668176148799,2022-11-11T16.15.48.799,6.600,-0.335,0.079,-0.937
1668176148839,2022-11-11T16.15.48.839,6.640,-0.335,0.081,-0.936
1668176148879,2022-11-11T16.15.48.879,6.680,-0.336,0.078,-0.936
1668176148919,2022-11-11T16.15.48.919,6.720,-0.336,0.078,-0.936
1668176148959,2022-11-11T16.15.48.959,6.760,-0.336,0.078,-0.936
1668176148999,2022-11-11T16.15.48.999,6.800,-0.335,0.079,-0.936
1668176149039,2022-11-11T16.15.49.039,6.840,-0.336,0.080,-0.937
1668176149079,2022-11-11T16.15.49.079,6.880,-0.336,0.079,-0.936
1668176149119,2022-11-11T16.15.49.119,6.920,-0.336,0.079,-0.935
1668176149159,2022-11-11T16.15.49.159,6.960,-0.337,0.078,-0.936
1668176149199,2022-11-11T16.15.49.199,7.000,-0.336,0.077,-0.937
1668176149239,2022-11-11T16.15.49.239,7.040,-0.335,0.078,-0.935
1668176149279,2022-11-11T16.15.49.279,7.080,-0.335,0.078,-0.937
1668176149319,2022-11-11T16.15.49.319,7.120,-0.336,0.079,-0.936
1668176149359,2022-11-11T16.15.49.359,7.160,-0.336,0.078,-0.936
1668176149399,2022-11-11T16.15.49.399,7.200,-0.336,0.079,-0.935
1668176149439,2022-11-11T16.15.49.439,7.240,-0.335,0.078,-0.937
1668176149479,2022-11-11T16.15.49.479,7.280,-0.335,0.078,-0.937
1668176149519,2022-11-11T16.15.49.519,7.320,-0.336,0.079,-0.935
1668176149559,2022-11-11T16.15.49.559,7.360,-0.335,0.080,-0.936
1668176149599,2022-11-11T16.15.49.599,7.400,-0.335,0.079,-0.936
1668176149639,2022-11-11T16.15.49.639,7.440,-0.337,0.077,-0.936
1668176149679,2022-11-11T16.15.49.679,7.480,-0.335,0.080,-0.937
1668176149719,2022-11-11T16.15.49.719,7.520,-0.335,0.078,-0.935
1668176149759,2022-11-11T16.15.49.759,7.560,-0.335,0.078,-0.937
1668176149799,2022-11-11T16.15.49.799,7.600,-0.336,0.078,-0.936
1668176149839,2022-11-11T16.15.49.839,7.640,-0.335,0.079,-0.936
1668176149879,2022-11-11T16.15.49.879,7.680,-0.335,0.078,-0.935
1668176149919,2022-11-11T16.15.49.919,7.720,-0.335,0.078,-0.937
1668176149959,2022-11-11T16.15.49.959,7.760,-0.336,0.079,-0.936
1668176149999,2022-11-11T16.15.49.999,7.800,-0.336,0.079,-0.937
1668176150039,2022-11-11T16.15.50.039,7.840,-0.336,0.077,-0.936
1668176150079,2022-11-11T16.15.50.079,7.880,-0.336,0.078,-0.936
1668176150119,2022-11-11T16.15.50.119,7.920,-0.335,0.078,-0.936
1668176150159,2022-11-11T16.15.50.159,7.960,-0.336,0.078,-0.937
1668176150199,2022-11-11T16.15.50.199,8.000,-0.336,0.078,-0.936
1668176150239,2022-11-11T16.15.50.239,8.040,-0.335,0.077,-0.936
1668176150279,2022-11-11T16.15.50.279,8.080,-0.335,0.080,-0.937
1668176150319,2022-11-11T16.15.50.319,8.120,-0.336,0.080,-0.936
1668176150359,2022-11-11T16.15.50.359,8.160,-0.337,0.078,-0.937
1668176150399,2022-11-11T16.15.50.399,8.200,-0.335,0.077,-0.937
1668176150439,2022-11-11T16.15.50.439,8.240,-0.335,0.080,-0.936
1668176150479,2022-11-11T16.15.50.479,8.280,-0.335,0.077,-0.935
1668176150519,2022-11-11T16.15.50.519,8.320,-0.335,0.076,-0.936
1668176150559,2022-11-11T16.15.50.559,8.360,-0.335,0.079,-0.937
1668176150599,2022-11-11T16.15.50.599,8.400,-0.335,0.079,-0.937
1668176150639,2022-11-11T16.15.50.639,8.440,-0.336,0.078,-0.936
1668176150679,2022-11-11T16.15.50.679,8.480,-0.335,0.078,-0.938
1668176150719,2022-11-11T16.15.50.719,8.520,-0.335,0.079,-0.937
1668176150759,2022-11-11T16.15.50.759,8.560,-0.336,0.078,-0.936
1668176150799,2022-11-11T16.15.50.799,8.600,-0.336,0.078,-0.937
1668176150839,2022-11-11T16.15.50.839,8.640,-0.336,0.078,-0.936
1668176150879,2022-11-11T16.15.50.879,8.680,-0.336,0.078,-0.936
1668176150919,2022-11-11T16.15.50.919,8.720,-0.336,0.078,-0.937
1668176150959,2022-11-11T16.15.50.959,8.760,-0.336,0.078,-0.936
1668176150999,2022-11-11T16.15.50.999,8.800,-0.336,0.079,-0.937
1668176151039,2022-11-11T16.15.51.039,8.840,-0.336,0.079,-0.936
1668176151079,2022-11-11T16.15.51.079,8.880,-0.336,0.079,-0.935
1668176151119,2022-11-11T16.15.51.119,8.920,-0.337,0.078,-0.936
1668176151159,2022-11-11T16.15.51.159,8.960,-0.337,0.079,-0.937
1668176151199,2022-11-11T16.15.51.199,9.000,-0.337,0.078,-0.937
1668176151239,2022-11-11T16.15.51.239,9.040,-0.336,0.078,-0.936
1668176151279,2022-11-11T16.15.51.279,9.080,-0.336,0.078,-0.937
1668176151319,2022-11-11T16.15.51.319,9.120,-0.337,0.079,-0.936
1668176151359,2022-11-11T16.15.51.359,9.160,-0.336,0.077,-0.937
1668176151399,2022-11-11T16.15.51.399,9.200,-0.336,0.078,-0.936
1668176151439,2022-11-11T16.15.51.439,9.240,-0.336,0.079,-0.936
1668176151479,2022-11-11T16.15.51.479,9.280,-0.337,0.079,-0.935
1668176151519,2022-11-11T16.15.51.519,9.320,-0.336,0.078,-0.936
1668176151559,2022-11-11T16.15.51.559,9.360,-0.336,0.078,-0.937
1668176151599,2022-11-11T16.15.51.599,9.400,-0.338,0.078,-0.936
1668176151639,2022-11-11T16.15.51.639,9.440,-0.337,0.078,-0.936
1668176151679,2022-11-11T16.15.51.679,9.480,-0.337,0.080,-0.936
1668176151719,2022-11-11T16.15.51.719,9.520,-0.336,0.080,-0.936
1668176151759,2022-11-11T16.15.51.759,9.560,-0.337,0.079,-0.936
1668176151799,2022-11-11T16.15.51.799,9.600,-0.337,0.077,-0.935
1668176151839,2022-11-11T16.15.51.839,9.640,-0.337,0.079,-0.936
1668176151879,2022-11-11T16.15.51.879,9.680,-0.337,0.079,-0.936
1668176151919,2022-11-11T16.15.51.919,9.720,-0.336,0.079,-0.936
1668176151959,2022-11-11T16.15.51.959,9.760,-0.336,0.080,-0.937
1668176151999,2022-11-11T16.15.51.999,9.800,-0.336,0.078,-0.936
1668176152039,2022-11-11T16.15.52.039,9.840,-0.336,0.078,-0.936
1668176152079,2022-11-11T16.15.52.079,9.880,-0.337,0.079,-0.936
1668176152119,2022-11-11T16.15.52.119,9.920,-0.337,0.079,-0.936
1668176152159,2022-11-11T16.15.52.159,9.960,-0.336,0.078,-0.937
1668176152199,2022-11-11T16.15.52.199,10.000,-0.336,0.079,-0.936
1668176152239,2022-11-11T16.15.52.239,10.040,-0.337,0.080,-0.935
1668176152279,2022-11-11T16.15.52.279,10.080,-0.336,0.078,-0.936
1668176152319,2022-11-11T16.15.52.319,10.120,-0.336,0.079,-0.935
1668176152359,2022-11-11T16.15.52.359,10.160,-0.337,0.079,-0.936
1668176152399,2022-11-11T16.15.52.399,10.200,-0.335,0.079,-0.937
1668176152439,2022-11-11T16.15.52.439,10.240,-0.335,0.078,-0.936
1668176152479,2022-11-11T16.15.52.479,10.280,-0.336,0.077,-0.936
1668176152519,2022-11-11T16.15.52.519,10.320,-0.336,0.078,-0.937
1668176152559,2022-11-11T16.15.52.559,10.360,-0.337,0.079,-0.936
1668176152599,2022-11-11T16.15.52.599,10.400,-0.337,0.079,-0.936
1668176152639,2022-11-11T16.15.52.639,10.440,-0.336,0.077,-0.936
1668176152679,2022-11-11T16.15.52.679,10.480,-0.336,0.079,-0.935
1668176152719,2022-11-11T16.15.52.719,10.520,-0.337,0.079,-0.936
1668176152759,2022-11-11T16.15.52.759,10.560,-0.337,0.078,-0.936
1668176152799,2022-11-11T16.15.52.799,10.600,-0.336,0.079,-0.936
1668176152839,2022-11-11T16.15.52.839,10.640,-0.336,0.080,-0.935
1668176152879,2022-11-11T16.15.52.879,10.680,-0.337,0.079,-0.937
1668176152919,2022-11-11T16.15.52.919,10.720,-0.337,0.079,-0.937
1668176152959,2022-11-11T16.15.52.959,10.760,-0.336,0.079,-0.936
1668176152999,2022-11-11T16.15.52.999,10.800,-0.336,0.078,-0.935
1668176153039,2022-11-11T16.15.53.039,10.840,-0.336,0.078,-0.936
1668176153079,2022-11-11T16.15.53.079,10.880,-0.336,0.078,-0.937
1668176153119,2022-11-11T16.15.53.119,10.920,-0.336,0.080,-0.937
1668176153159,2022-11-11T16.15.53.159,10.960,-0.337,0.078,-0.936
1668176153199,2022-11-11T16.15.53.199,11.000,-0.336,0.077,-0.936
1668176153239,2022-11-11T16.15.53.239,11.040,-0.336,0.078,-0.937
