epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1667717446125,2022-11-06T08:50:46.125,0.000,0.427,0.213,0.457
1667717446165,2022-11-06T08:50:46.165,0.040,0.213,-0.030,0.518
1667717446205,2022-11-06T08:50:46.205,0.080,-0.213,-0.213,0.549
1667717446245,2022-11-06T08:50:46.245,0.120,0.549,0.000,0.274
1667717446285,2022-11-06T08:50:46.285,0.160,-0.152,-0.030,0.335
1667717446325,2022-11-06T08:50:46.325,0.200,0.244,-0.061,0.305
1667717446365,2022-11-06T08:50:46.365,0.240,0.305,-0.061,0.305
1667717446405,2022-11-06T08:50:46.405,0.280,-0.274,-0.244,0.610
1667717446445,2022-11-06T08:50:46.445,0.320,0.305,-0.091,0.518
1667717446485,2022-11-06T08:50:46.485,0.360,-0.030,-0.122,0.396
1667717446525,2022-11-06T08:50:46.525,0.400,-0.183,0.000,0.305
1667717446565,2022-11-06T08:50:46.565,0.440,0.305,-0.061,0.183
1667717446605,2022-11-06T08:50:46.605,0.480,-0.274,-0.152,0.396
1667717446645,2022-11-06T08:50:46.645,0.520,0.061,-0.061,0.579
1667717446685,2022-11-06T08:50:46.685,0.560,0.610,0.030,0.762
1667717446725,2022-11-06T08:50:46.725,0.600,0.152,0.000,0.976
1667717446765,2022-11-06T08:50:46.765,0.640,0.488,0.183,0.671
1667717446805,2022-11-06T08:50:46.805,0.680,0.335,0.091,0.488
1667717446845,2022-11-06T08:50:46.845,0.720,0.000,-0.030,0.488
1667717446885,2022-11-06T08:50:46.885,0.760,0.061,-0.091,0.305
1667717446925,2022-11-06T08:50:46.925,0.800,0.000,-0.244,0.457
1667717446965,2022-11-06T08:50:46.965,0.840,0.152,-0.274,0.732
1667717447005,2022-11-06T08:50:47.005,0.880,0.396,-0.061,0.793
1667717447045,2022-11-06T08:50:47.045,0.920,0.366,0.152,0.793
1667717447085,2022-11-06T08:50:47.085,0.960,0.610,0.091,0.457
1667717447125,2022-11-06T08:50:47.125,1.000,0.213,0.091,0.396
1667717447165,2022-11-06T08:50:47.165,1.040,-0.305,0.061,0.518
1667717447205,2022-11-06T08:50:47.205,1.080,0.488,-0.061,0.488
1667717447245,2022-11-06T08:50:47.245,1.120,0.427,-0.183,0.793
1667717447285,2022-11-06T08:50:47.285,1.160,0.640,-0.274,0.671
1667717447325,2022-11-06T08:50:47.325,1.200,0.122,-0.305,0.305
1667717447365,2022-11-06T08:50:47.365,1.240,0.122,-0.122,0.091
1667717447405,2022-11-06T08:50:47.405,1.280,0.122,0.122,-0.274
1667717447445,2022-11-06T08:50:47.445,1.320,0.122,-0.152,-0.579
1667717447485,2022-11-06T08:50:47.485,1.360,0.671,-0.152,-0.579
1667717447525,2022-11-06T08:50:47.525,1.400,0.152,0.000,-0.244
1667717447565,2022-11-06T08:50:47.565,1.440,0.183,0.152,-0.305
1667717447605,2022-11-06T08:50:47.605,1.480,0.122,0.030,-0.213
1667717447645,2022-11-06T08:50:47.645,1.520,-0.335,-0.030,0.000
1667717447685,2022-11-06T08:50:47.685,1.560,-0.213,-0.030,0.152
1667717447725,2022-11-06T08:50:47.725,1.600,0.030,-0.091,0.305
1667717447765,2022-11-06T08:50:47.765,1.640,-0.030,-0.122,0.549
1667717447805,2022-11-06T08:50:47.805,1.680,0.396,-0.122,0.762
1667717447845,2022-11-06T08:50:47.845,1.720,-0.274,-0.091,1.006
