epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1667755281733,2022-11-06T19.21.21.733,0.000,-0.266,0.230,-0.927
1667755281773,2022-11-06T19.21.21.773,0.040,-0.268,0.232,-0.937
1667755281813,2022-11-06T19.21.21.813,0.080,-0.267,0.231,-0.935
1667755281853,2022-11-06T19.21.21.853,0.120,-0.268,0.230,-0.934
1667755281893,2022-11-06T19.21.21.893,0.160,-0.268,0.232,-0.934
1667755281933,2022-11-06T19.21.21.933,0.200,-0.269,0.232,-0.934
1667755281973,2022-11-06T19.21.21.973,0.240,-0.268,0.230,-0.934
1667755282013,2022-11-06T19.21.22.013,0.280,-0.268,0.234,-0.934
1667755282053,2022-11-06T19.21.22.053,0.320,-0.266,0.231,-0.934
1667755282093,2022-11-06T19.21.22.093,0.360,-0.268,0.234,-0.933
1667755282133,2022-11-06T19.21.22.133,0.400,-0.269,0.230,-0.934
1667755282173,2022-11-06T19.21.22.173,0.440,-0.269,0.230,-0.934
1667755282213,2022-11-06T19.21.22.213,0.480,-0.268,0.230,-0.934
1667755282253,2022-11-06T19.21.22.253,0.520,-0.269,0.234,-0.932
1667755282293,2022-11-06T19.21.22.293,0.560,-0.269,0.231,-0.932
1667755282333,2022-11-06T19.21.22.333,0.600,-0.270,0.231,-0.932
1667755282373,2022-11-06T19.21.22.373,0.640,-0.266,0.235,-0.933
1667755282413,2022-11-06T19.21.22.413,0.680,-0.267,0.228,-0.934
1667755282453,2022-11-06T19.21.22.453,0.720,-0.269,0.232,-0.933
1667755282493,2022-11-06T19.21.22.493,0.760,-0.267,0.231,-0.932
1667755282533,2022-11-06T19.21.22.533,0.800,-0.267,0.234,-0.933
1667755282573,2022-11-06T19.21.22.573,0.840,-0.267,0.229,-0.934
1667755282613,2022-11-06T19.21.22.613,0.880,-0.268,0.231,-0.934
1667755282653,2022-11-06T19.21.22.653,0.920,-0.267,0.231,-0.934
1667755282693,2022-11-06T19.21.22.693,0.960,-0.266,0.233,-0.933
1667755282733,2022-11-06T19.21.22.733,1.000,-0.266,0.232,-0.932
1667755282773,2022-11-06T19.21.22.773,1.040,-0.269,0.229,-0.932
1667755282813,2022-11-06T19.21.22.813,1.080,-0.266,0.231,-0.933
1667755282853,2022-11-06T19.21.22.853,1.120,-0.266,0.234,-0.933
1667755282893,2022-11-06T19.21.22.893,1.160,-0.267,0.232,-0.933
1667755282933,2022-11-06T19.21.22.933,1.200,-0.268,0.230,-0.934
1667755282973,2022-11-06T19.21.22.973,1.240,-0.267,0.233,-0.933
1667755283013,2022-11-06T19.21.23.013,1.280,-0.267,0.231,-0.932
1667755283053,2022-11-06T19.21.23.053,1.320,-0.267,0.231,-0.933
1667755283093,2022-11-06T19.21.23.093,1.360,-0.267,0.233,-0.933
1667755283133,2022-11-06T19.21.23.133,1.400,-0.266,0.230,-0.933
1667755283173,2022-11-06T19.21.23.173,1.440,-0.267,0.232,-0.932
1667755283213,2022-11-06T19.21.23.213,1.480,-0.265,0.234,-0.934
1667755283253,2022-11-06T19.21.23.253,1.520,-0.270,0.233,-0.931
1667755283293,2022-11-06T19.21.23.293,1.560,-0.270,0.225,-0.933
1667755283333,2022-11-06T19.21.23.333,1.600,-0.268,0.229,-0.933
1667755283373,2022-11-06T19.21.23.373,1.640,-0.269,0.231,-0.932
1667755283413,2022-11-06T19.21.23.413,1.680,-0.272,0.230,-0.932
1667755283453,2022-11-06T19.21.23.453,1.720,-0.268,0.230,-0.933
1667755283493,2022-11-06T19.21.23.493,1.760,-0.271,0.228,-0.931
1667755283533,2022-11-06T19.21.23.533,1.800,-0.271,0.221,-0.933
1667755283573,2022-11-06T19.21.23.573,1.840,-0.269,0.230,-0.933
1667755283613,2022-11-06T19.21.23.613,1.880,-0.267,0.230,-0.933
1667755283653,2022-11-06T19.21.23.653,1.920,-0.268,0.232,-0.931
1667755283693,2022-11-06T19.21.23.693,1.960,-0.269,0.229,-0.933
1667755283733,2022-11-06T19.21.23.733,2.000,-0.269,0.226,-0.933
1667755283773,2022-11-06T19.21.23.773,2.040,-0.268,0.229,-0.933
1667755283813,2022-11-06T19.21.23.813,2.080,-0.270,0.225,-0.934
1667755283853,2022-11-06T19.21.23.853,2.120,-0.272,0.230,-0.931
1667755283893,2022-11-06T19.21.23.893,2.160,-0.271,0.233,-0.932
1667755283933,2022-11-06T19.21.23.933,2.200,-0.270,0.225,-0.934
1667755283973,2022-11-06T19.21.23.973,2.240,-0.271,0.228,-0.933
1667755284013,2022-11-06T19.21.24.013,2.280,-0.271,0.222,-0.934
1667755284053,2022-11-06T19.21.24.053,2.320,-0.271,0.230,-0.931
1667755284093,2022-11-06T19.21.24.093,2.360,-0.271,0.221,-0.933
1667755284133,2022-11-06T19.21.24.133,2.400,-0.271,0.226,-0.933
1667755284173,2022-11-06T19.21.24.173,2.440,-0.271,0.227,-0.934
1667755284213,2022-11-06T19.21.24.213,2.480,-0.271,0.225,-0.933
1667755284253,2022-11-06T19.21.24.253,2.520,-0.269,0.229,-0.933
1667755284293,2022-11-06T19.21.24.293,2.560,-0.271,0.228,-0.933
1667755284333,2022-11-06T19.21.24.333,2.600,-0.271,0.225,-0.933
1667755284373,2022-11-06T19.21.24.373,2.640,-0.271,0.228,-0.932
1667755284413,2022-11-06T19.21.24.413,2.680,-0.271,0.229,-0.933
1667755284453,2022-11-06T19.21.24.453,2.720,-0.271,0.225,-0.933
1667755284493,2022-11-06T19.21.24.493,2.760,-0.271,0.225,-0.933
1667755284533,2022-11-06T19.21.24.533,2.800,-0.269,0.229,-0.932
1667755284573,2022-11-06T19.21.24.573,2.840,-0.269,0.227,-0.934
1667755284613,2022-11-06T19.21.24.613,2.880,-0.269,0.229,-0.934
1667755284653,2022-11-06T19.21.24.653,2.920,-0.272,0.226,-0.931
1667755284693,2022-11-06T19.21.24.693,2.960,-0.270,0.226,-0.933
1667755284733,2022-11-06T19.21.24.733,3.000,-0.269,0.228,-0.932
1667755284773,2022-11-06T19.21.24.773,3.040,-0.269,0.230,-0.932
1667755284813,2022-11-06T19.21.24.813,3.080,-0.271,0.228,-0.932
1667755284853,2022-11-06T19.21.24.853,3.120,-0.271,0.228,-0.933
1667755284893,2022-11-06T19.21.24.893,3.160,-0.269,0.229,-0.933
1667755284933,2022-11-06T19.21.24.933,3.200,-0.270,0.229,-0.932
1667755284973,2022-11-06T19.21.24.973,3.240,-0.268,0.229,-0.934
1667755285013,2022-11-06T19.21.25.013,3.280,-0.270,0.227,-0.933
1667755285053,2022-11-06T19.21.25.053,3.320,-0.269,0.227,-0.933
1667755285093,2022-11-06T19.21.25.093,3.360,-0.270,0.232,-0.931
1667755285133,2022-11-06T19.21.25.133,3.400,-0.268,0.228,-0.933
1667755285173,2022-11-06T19.21.25.173,3.440,-0.270,0.231,-0.932
1667755285213,2022-11-06T19.21.25.213,3.480,-0.270,0.227,-0.932
1667755285253,2022-11-06T19.21.25.253,3.520,-0.269,0.228,-0.933
1667755285293,2022-11-06T19.21.25.293,3.560,-0.268,0.231,-0.932
1667755285333,2022-11-06T19.21.25.333,3.600,-0.268,0.229,-0.933
1667755285373,2022-11-06T19.21.25.373,3.640,-0.268,0.229,-0.934
1667755285413,2022-11-06T19.21.25.413,3.680,-0.269,0.227,-0.933
1667755285453,2022-11-06T19.21.25.453,3.720,-0.270,0.230,-0.931
1667755285493,2022-11-06T19.21.25.493,3.760,-0.269,0.231,-0.933
1667755285533,2022-11-06T19.21.25.533,3.800,-0.268,0.234,-0.932
1667755285573,2022-11-06T19.21.25.573,3.840,-0.270,0.228,-0.932
1667755285613,2022-11-06T19.21.25.613,3.880,-0.270,0.228,-0.932
1667755285653,2022-11-06T19.21.25.653,3.920,-0.267,0.234,-0.934
1667755285693,2022-11-06T19.21.25.693,3.960,-0.269,0.231,-0.933
1667755285733,2022-11-06T19.21.25.733,4.000,-0.271,0.227,-0.933
1667755285773,2022-11-06T19.21.25.773,4.040,-0.270,0.228,-0.933
1667755285813,2022-11-06T19.21.25.813,4.080,-0.269,0.229,-0.932
1667755285853,2022-11-06T19.21.25.853,4.120,-0.267,0.231,-0.932
1667755285893,2022-11-06T19.21.25.893,4.160,-0.270,0.231,-0.932
1667755285933,2022-11-06T19.21.25.933,4.200,-0.268,0.235,-0.931
1667755285973,2022-11-06T19.21.25.973,4.240,-0.267,0.236,-0.931
1667755286013,2022-11-06T19.21.26.013,4.280,-0.266,0.237,-0.931
1667755286053,2022-11-06T19.21.26.053,4.320,-0.269,0.229,-0.933
1667755286093,2022-11-06T19.21.26.093,4.360,-0.266,0.231,-0.934
1667755286133,2022-11-06T19.21.26.133,4.400,-0.272,0.231,-0.933
1667755286173,2022-11-06T19.21.26.173,4.440,-0.271,0.231,-0.930
1667755286213,2022-11-06T19.21.26.213,4.480,-0.271,0.230,-0.932
1667755286253,2022-11-06T19.21.26.253,4.520,-0.272,0.229,-0.932
1667755286293,2022-11-06T19.21.26.293,4.560,-0.274,0.227,-0.933
1667755286333,2022-11-06T19.21.26.333,4.600,-0.273,0.228,-0.931
1667755286373,2022-11-06T19.21.26.373,4.640,-0.273,0.224,-0.933
1667755286413,2022-11-06T19.21.26.413,4.680,-0.273,0.230,-0.933
1667755286453,2022-11-06T19.21.26.453,4.720,-0.272,0.225,-0.933
1667755286493,2022-11-06T19.21.26.493,4.760,-0.274,0.229,-0.932
1667755286533,2022-11-06T19.21.26.533,4.800,-0.274,0.222,-0.933
1667755286573,2022-11-06T19.21.26.573,4.840,-0.272,0.226,-0.932
1667755286613,2022-11-06T19.21.26.613,4.880,-0.273,0.226,-0.933
1667755286653,2022-11-06T19.21.26.653,4.920,-0.273,0.226,-0.933
1667755286693,2022-11-06T19.21.26.693,4.960,-0.274,0.226,-0.932
1667755286733,2022-11-06T19.21.26.733,5.000,-0.274,0.226,-0.932
1667755286773,2022-11-06T19.21.26.773,5.040,-0.274,0.228,-0.932
1667755286813,2022-11-06T19.21.26.813,5.080,-0.274,0.221,-0.932
1667755286853,2022-11-06T19.21.26.853,5.120,-0.274,0.221,-0.931
1667755286893,2022-11-06T19.21.26.893,5.160,-0.272,0.230,-0.933
1667755286933,2022-11-06T19.21.26.933,5.200,-0.271,0.225,-0.933
1667755286973,2022-11-06T19.21.26.973,5.240,-0.273,0.227,-0.933
1667755287013,2022-11-06T19.21.27.013,5.280,-0.273,0.226,-0.932
1667755287053,2022-11-06T19.21.27.053,5.320,-0.275,0.226,-0.932
1667755287093,2022-11-06T19.21.27.093,5.360,-0.273,0.228,-0.933
1667755287133,2022-11-06T19.21.27.133,5.400,-0.274,0.229,-0.931
1667755287173,2022-11-06T19.21.27.173,5.440,-0.274,0.225,-0.932
1667755287213,2022-11-06T19.21.27.213,5.480,-0.273,0.226,-0.933
1667755287253,2022-11-06T19.21.27.253,5.520,-0.272,0.226,-0.933
1667755287293,2022-11-06T19.21.27.293,5.560,-0.273,0.224,-0.933
1667755287333,2022-11-06T19.21.27.333,5.600,-0.273,0.226,-0.932
1667755287373,2022-11-06T19.21.27.373,5.640,-0.273,0.225,-0.932
1667755287413,2022-11-06T19.21.27.413,5.680,-0.274,0.227,-0.932
1667755287453,2022-11-06T19.21.27.453,5.720,-0.272,0.225,-0.932
1667755287493,2022-11-06T19.21.27.493,5.760,-0.273,0.226,-0.932
1667755287533,2022-11-06T19.21.27.533,5.800,-0.273,0.226,-0.932
1667755287573,2022-11-06T19.21.27.573,5.840,-0.273,0.227,-0.933
1667755287613,2022-11-06T19.21.27.613,5.880,-0.272,0.229,-0.933
1667755287653,2022-11-06T19.21.27.653,5.920,-0.274,0.223,-0.932
1667755287693,2022-11-06T19.21.27.693,5.960,-0.273,0.226,-0.933
1667755287733,2022-11-06T19.21.27.733,6.000,-0.272,0.224,-0.933
1667755287773,2022-11-06T19.21.27.773,6.040,-0.273,0.226,-0.932
1667755287813,2022-11-06T19.21.27.813,6.080,-0.272,0.226,-0.932
1667755287853,2022-11-06T19.21.27.853,6.120,-0.273,0.226,-0.932
1667755287893,2022-11-06T19.21.27.893,6.160,-0.273,0.226,-0.932
1667755287933,2022-11-06T19.21.27.933,6.200,-0.272,0.226,-0.932
1667755287973,2022-11-06T19.21.27.973,6.240,-0.273,0.226,-0.933
1667755288013,2022-11-06T19.21.28.013,6.280,-0.273,0.226,-0.933
1667755288053,2022-11-06T19.21.28.053,6.320,-0.274,0.225,-0.932
1667755288093,2022-11-06T19.21.28.093,6.360,-0.273,0.225,-0.932
1667755288133,2022-11-06T19.21.28.133,6.400,-0.274,0.228,-0.931
1667755288173,2022-11-06T19.21.28.173,6.440,-0.271,0.226,-0.933
1667755288213,2022-11-06T19.21.28.213,6.480,-0.273,0.227,-0.933
1667755288253,2022-11-06T19.21.28.253,6.520,-0.271,0.227,-0.933
1667755288293,2022-11-06T19.21.28.293,6.560,-0.273,0.224,-0.932
1667755288333,2022-11-06T19.21.28.333,6.600,-0.273,0.226,-0.933
1667755288373,2022-11-06T19.21.28.373,6.640,-0.273,0.227,-0.934
1667755288413,2022-11-06T19.21.28.413,6.680,-0.274,0.226,-0.932
1667755288453,2022-11-06T19.21.28.453,6.720,-0.274,0.225,-0.933
1667755288493,2022-11-06T19.21.28.493,6.760,-0.273,0.228,-0.933
1667755288533,2022-11-06T19.21.28.533,6.800,-0.274,0.224,-0.933
1667755288573,2022-11-06T19.21.28.573,6.840,-0.274,0.226,-0.932
1667755288613,2022-11-06T19.21.28.613,6.880,-0.275,0.227,-0.932
1667755288653,2022-11-06T19.21.28.653,6.920,-0.275,0.225,-0.932
1667755288693,2022-11-06T19.21.28.693,6.960,-0.273,0.226,-0.933
1667755288733,2022-11-06T19.21.28.733,7.000,-0.275,0.225,-0.932
1667755288773,2022-11-06T19.21.28.773,7.040,-0.274,0.226,-0.932
1667755288813,2022-11-06T19.21.28.813,7.080,-0.274,0.226,-0.930
