epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1667901355784,2022-11-08T11:55:55.784,0.000,0.164,-0.164,-0.937
1667901355824,2022-11-08T11:55:55.824,0.040,0.165,-0.157,-0.944
1667901355863,2022-11-08T11:55:55.863,0.079,0.163,-0.160,-0.942
1667901355903,2022-11-08T11:55:55.903,0.119,0.166,-0.151,-0.942
1667901355942,2022-11-08T11:55:55.942,0.158,0.167,-0.151,-0.943
1667901355982,2022-11-08T11:55:55.982,0.198,0.165,-0.157,-0.943
1667901356021,2022-11-08T11:55:56.021,0.237,0.165,-0.156,-0.945
1667901356061,2022-11-08T11:55:56.061,0.277,0.162,-0.152,-0.943
1667901356101,2022-11-08T11:55:56.101,0.317,0.159,-0.161,-0.943
1667901356140,2022-11-08T11:55:56.140,0.356,0.160,-0.158,-0.943
1667901356180,2022-11-08T11:55:56.180,0.396,0.159,-0.164,-0.943
1667901356219,2022-11-08T11:55:56.219,0.435,0.157,-0.159,-0.945
1667901356259,2022-11-08T11:55:56.259,0.475,0.158,-0.158,-0.943
1667901356298,2022-11-08T11:55:56.298,0.514,0.155,-0.164,-0.943
1667901356338,2022-11-08T11:55:56.338,0.554,0.158,-0.159,-0.944
1667901356377,2022-11-08T11:55:56.377,0.593,0.156,-0.155,-0.944
1667901356416,2022-11-08T11:55:56.416,0.632,0.156,-0.163,-0.943
1667901356455,2022-11-08T11:55:56.455,0.671,0.156,-0.160,-0.944
1667901356495,2022-11-08T11:55:56.495,0.711,0.155,-0.159,-0.944
1667901356534,2022-11-08T11:55:56.534,0.750,0.155,-0.160,-0.945
1667901356574,2022-11-08T11:55:56.574,0.790,0.155,-0.161,-0.944
1667901356613,2022-11-08T11:55:56.613,0.829,0.154,-0.159,-0.944
1667901356653,2022-11-08T11:55:56.653,0.869,0.152,-0.160,-0.943
1667901356692,2022-11-08T11:55:56.692,0.908,0.154,-0.163,-0.944
1667901356732,2022-11-08T11:55:56.732,0.948,0.152,-0.161,-0.944
1667901356771,2022-11-08T11:55:56.771,0.987,0.152,-0.161,-0.944
1667901356811,2022-11-08T11:55:56.811,1.027,0.154,-0.159,-0.944
1667901356851,2022-11-08T11:55:56.851,1.067,0.154,-0.160,-0.943
1667901356890,2022-11-08T11:55:56.890,1.106,0.154,-0.168,-0.945
1667901356930,2022-11-08T11:55:56.930,1.146,0.152,-0.165,-0.945
1667901356969,2022-11-08T11:55:56.969,1.185,0.151,-0.168,-0.944
1667901357009,2022-11-08T11:55:57.009,1.225,0.146,-0.162,-0.944
1667901357048,2022-11-08T11:55:57.048,1.264,0.147,-0.165,-0.944
1667901357088,2022-11-08T11:55:57.088,1.304,0.146,-0.170,-0.944
1667901357127,2022-11-08T11:55:57.127,1.343,0.145,-0.161,-0.944
1667901357167,2022-11-08T11:55:57.167,1.383,0.145,-0.175,-0.945
1667901357207,2022-11-08T11:55:57.207,1.423,0.143,-0.163,-0.945
1667901357246,2022-11-08T11:55:57.246,1.462,0.144,-0.157,-0.946
1667901357286,2022-11-08T11:55:57.286,1.502,0.147,-0.169,-0.945
1667901357325,2022-11-08T11:55:57.325,1.541,0.143,-0.156,-0.944
1667901357365,2022-11-08T11:55:57.365,1.581,0.145,-0.159,-0.944
1667901357404,2022-11-08T11:55:57.404,1.620,0.147,-0.173,-0.946
1667901357444,2022-11-08T11:55:57.444,1.660,0.144,-0.166,-0.946
1667901357483,2022-11-08T11:55:57.483,1.699,0.143,-0.163,-0.944
1667901357523,2022-11-08T11:55:57.523,1.739,0.146,-0.178,-0.945
1667901357563,2022-11-08T11:55:57.563,1.779,0.141,-0.154,-0.946
1667901357602,2022-11-08T11:55:57.602,1.818,0.143,-0.162,-0.946
1667901357642,2022-11-08T11:55:57.642,1.858,0.142,-0.173,-0.945
1667901357681,2022-11-08T11:55:57.681,1.897,0.140,-0.161,-0.945
1667901357721,2022-11-08T11:55:57.721,1.937,0.142,-0.168,-0.945
1667901357760,2022-11-08T11:55:57.760,1.976,0.144,-0.166,-0.945
1667901357800,2022-11-08T11:55:57.800,2.016,0.145,-0.161,-0.944
1667901357839,2022-11-08T11:55:57.839,2.055,0.143,-0.175,-0.946
1667901357879,2022-11-08T11:55:57.879,2.095,0.142,-0.162,-0.946
1667901357918,2022-11-08T11:55:57.918,2.134,0.145,-0.173,-0.945
1667901357958,2022-11-08T11:55:57.958,2.174,0.144,-0.166,-0.944
1667901357998,2022-11-08T11:55:57.998,2.214,0.141,-0.162,-0.944
1667901358037,2022-11-08T11:55:58.037,2.253,0.142,-0.175,-0.945
1667901358077,2022-11-08T11:55:58.077,2.293,0.144,-0.165,-0.945
1667901358116,2022-11-08T11:55:58.116,2.332,0.143,-0.170,-0.943
1667901358156,2022-11-08T11:55:58.156,2.372,0.142,-0.167,-0.945
1667901358195,2022-11-08T11:55:58.195,2.411,0.145,-0.175,-0.944
1667901358235,2022-11-08T11:55:58.235,2.451,0.142,-0.169,-0.944
1667901358274,2022-11-08T11:55:58.274,2.490,0.145,-0.170,-0.944
1667901358314,2022-11-08T11:55:58.314,2.530,0.144,-0.174,-0.943
1667901358354,2022-11-08T11:55:58.354,2.570,0.144,-0.170,-0.943
1667901358393,2022-11-08T11:55:58.393,2.609,0.143,-0.169,-0.944
1667901358433,2022-11-08T11:55:58.433,2.649,0.143,-0.179,-0.945
1667901358472,2022-11-08T11:55:58.472,2.688,0.140,-0.180,-0.946
1667901358512,2022-11-08T11:55:58.512,2.728,0.136,-0.176,-0.945
1667901358551,2022-11-08T11:55:58.551,2.767,0.132,-0.186,-0.944
1667901358591,2022-11-08T11:55:58.591,2.807,0.130,-0.190,-0.944
1667901358630,2022-11-08T11:55:58.630,2.846,0.127,-0.183,-0.944
1667901358670,2022-11-08T11:55:58.670,2.886,0.125,-0.191,-0.944
1667901358709,2022-11-08T11:55:58.709,2.925,0.123,-0.190,-0.947
1667901358749,2022-11-08T11:55:58.749,2.965,0.123,-0.184,-0.945
1667901358789,2022-11-08T11:55:58.789,3.005,0.124,-0.193,-0.945
1667901358828,2022-11-08T11:55:58.828,3.044,0.122,-0.187,-0.945
1667901358868,2022-11-08T11:55:58.868,3.084,0.122,-0.190,-0.946
1667901358907,2022-11-08T11:55:58.907,3.123,0.124,-0.194,-0.945
1667901358947,2022-11-08T11:55:58.947,3.163,0.121,-0.185,-0.945
1667901358986,2022-11-08T11:55:58.986,3.202,0.122,-0.190,-0.945
1667901359026,2022-11-08T11:55:59.026,3.242,0.120,-0.190,-0.945
1667901359065,2022-11-08T11:55:59.065,3.281,0.120,-0.192,-0.947
1667901359105,2022-11-08T11:55:59.105,3.321,0.121,-0.189,-0.948
