epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1668159591935,2022-11-11T11.39.51.935,0.000,-0.315,0.102,-0.936
1668159591975,2022-11-11T11.39.51.975,0.040,-0.318,0.107,-0.943
1668159592015,2022-11-11T11.39.52.015,0.080,-0.318,0.106,-0.942
1668159592055,2022-11-11T11.39.52.055,0.120,-0.319,0.105,-0.942
1668159592095,2022-11-11T11.39.52.095,0.160,-0.318,0.104,-0.942
1668159592135,2022-11-11T11.39.52.135,0.200,-0.317,0.107,-0.940
1668159592175,2022-11-11T11.39.52.175,0.240,-0.317,0.103,-0.941
1668159592215,2022-11-11T11.39.52.215,0.280,-0.318,0.108,-0.942
1668159592255,2022-11-11T11.39.52.255,0.320,-0.317,0.105,-0.941
1668159592295,2022-11-11T11.39.52.295,0.360,-0.318,0.105,-0.943
1668159592335,2022-11-11T11.39.52.335,0.400,-0.318,0.103,-0.944
1668159592375,2022-11-11T11.39.52.375,0.440,-0.317,0.106,-0.940
1668159592415,2022-11-11T11.39.52.415,0.480,-0.317,0.104,-0.940
1668159592455,2022-11-11T11.39.52.455,0.520,-0.319,0.107,-0.939
1668159592495,2022-11-11T11.39.52.495,0.560,-0.317,0.107,-0.941
1668159592535,2022-11-11T11.39.52.535,0.600,-0.319,0.108,-0.943
1668159592575,2022-11-11T11.39.52.575,0.640,-0.317,0.101,-0.941
1668159592615,2022-11-11T11.39.52.615,0.680,-0.317,0.106,-0.942
1668159592655,2022-11-11T11.39.52.655,0.720,-0.316,0.105,-0.942
1668159592695,2022-11-11T11.39.52.695,0.760,-0.317,0.105,-0.941
1668159592735,2022-11-11T11.39.52.735,0.800,-0.317,0.104,-0.941
1668159592775,2022-11-11T11.39.52.775,0.840,-0.317,0.103,-0.941
1668159592815,2022-11-11T11.39.52.815,0.880,-0.317,0.108,-0.940
1668159592855,2022-11-11T11.39.52.855,0.920,-0.318,0.103,-0.940
1668159592895,2022-11-11T11.39.52.895,0.960,-0.318,0.107,-0.940
1668159592935,2022-11-11T11.39.52.935,1.000,-0.319,0.104,-0.941
1668159592975,2022-11-11T11.39.52.975,1.040,-0.317,0.101,-0.941
1668159593015,2022-11-11T11.39.53.015,1.080,-0.319,0.105,-0.940
1668159593055,2022-11-11T11.39.53.055,1.120,-0.319,0.102,-0.940
1668159593095,2022-11-11T11.39.53.095,1.160,-0.319,0.103,-0.939
1668159593135,2022-11-11T11.39.53.135,1.200,-0.318,0.100,-0.942
1668159593175,2022-11-11T11.39.53.175,1.240,-0.321,0.109,-0.940
1668159593215,2022-11-11T11.39.53.215,1.280,-0.319,0.101,-0.940
1668159593255,2022-11-11T11.39.53.255,1.320,-0.320,0.103,-0.941
1668159593295,2022-11-11T11.39.53.295,1.360,-0.319,0.102,-0.940
1668159593335,2022-11-11T11.39.53.335,1.400,-0.320,0.101,-0.940
1668159593375,2022-11-11T11.39.53.375,1.440,-0.319,0.103,-0.940
1668159593415,2022-11-11T11.39.53.415,1.480,-0.319,0.106,-0.941
1668159593455,2022-11-11T11.39.53.455,1.520,-0.319,0.106,-0.941
1668159593495,2022-11-11T11.39.53.495,1.560,-0.318,0.102,-0.941
1668159593535,2022-11-11T11.39.53.535,1.600,-0.319,0.106,-0.940
1668159593575,2022-11-11T11.39.53.575,1.640,-0.319,0.103,-0.941
1668159593615,2022-11-11T11.39.53.615,1.680,-0.318,0.106,-0.941
1668159593655,2022-11-11T11.39.53.655,1.720,-0.316,0.097,-0.939
1668159593695,2022-11-11T11.39.53.695,1.760,-0.319,0.108,-0.940
1668159593735,2022-11-11T11.39.53.735,1.800,-0.316,0.100,-0.942
1668159593775,2022-11-11T11.39.53.775,1.840,-0.318,0.106,-0.942
1668159593815,2022-11-11T11.39.53.815,1.880,-0.317,0.103,-0.941
1668159593855,2022-11-11T11.39.53.855,1.920,-0.317,0.109,-0.941
1668159593895,2022-11-11T11.39.53.895,1.960,-0.315,0.102,-0.943
1668159593935,2022-11-11T11.39.53.935,2.000,-0.316,0.107,-0.942
1668159593975,2022-11-11T11.39.53.975,2.040,-0.316,0.105,-0.941
1668159594015,2022-11-11T11.39.54.015,2.080,-0.316,0.106,-0.941
1668159594055,2022-11-11T11.39.54.055,2.120,-0.316,0.110,-0.941
1668159594095,2022-11-11T11.39.54.095,2.160,-0.315,0.109,-0.941
1668159594135,2022-11-11T11.39.54.135,2.200,-0.314,0.109,-0.942
1668159594175,2022-11-11T11.39.54.175,2.240,-0.314,0.109,-0.943
1668159594215,2022-11-11T11.39.54.215,2.280,-0.317,0.113,-0.941
1668159594255,2022-11-11T11.39.54.255,2.320,-0.316,0.108,-0.938
1668159594295,2022-11-11T11.39.54.295,2.360,-0.316,0.109,-0.940
1668159594335,2022-11-11T11.39.54.335,2.400,-0.317,0.109,-0.941
1668159594375,2022-11-11T11.39.54.375,2.440,-0.316,0.109,-0.941
1668159594415,2022-11-11T11.39.54.415,2.480,-0.317,0.111,-0.940
1668159594455,2022-11-11T11.39.54.455,2.520,-0.316,0.110,-0.940
1668159594495,2022-11-11T11.39.54.495,2.560,-0.317,0.109,-0.940
1668159594535,2022-11-11T11.39.54.535,2.600,-0.317,0.111,-0.941
1668159594575,2022-11-11T11.39.54.575,2.640,-0.316,0.109,-0.939
1668159594615,2022-11-11T11.39.54.615,2.680,-0.317,0.110,-0.941
1668159594655,2022-11-11T11.39.54.655,2.720,-0.318,0.116,-0.941
1668159594695,2022-11-11T11.39.54.695,2.760,-0.318,0.109,-0.939
1668159594735,2022-11-11T11.39.54.735,2.800,-0.316,0.104,-0.941
1668159594775,2022-11-11T11.39.54.775,2.840,-0.319,0.115,-0.939
1668159594815,2022-11-11T11.39.54.815,2.880,-0.318,0.109,-0.940
1668159594855,2022-11-11T11.39.54.855,2.920,-0.318,0.110,-0.940
1668159594895,2022-11-11T11.39.54.895,2.960,-0.319,0.114,-0.939
1668159594935,2022-11-11T11.39.54.935,3.000,-0.320,0.113,-0.938
1668159594975,2022-11-11T11.39.54.975,3.040,-0.319,0.114,-0.940
1668159595015,2022-11-11T11.39.55.015,3.080,-0.319,0.110,-0.942
1668159595055,2022-11-11T11.39.55.055,3.120,-0.320,0.111,-0.940
1668159595095,2022-11-11T11.39.55.095,3.160,-0.319,0.109,-0.938
1668159595135,2022-11-11T11.39.55.135,3.200,-0.320,0.111,-0.939
1668159595175,2022-11-11T11.39.55.175,3.240,-0.320,0.113,-0.940
1668159595215,2022-11-11T11.39.55.215,3.280,-0.320,0.105,-0.941
1668159595255,2022-11-11T11.39.55.255,3.320,-0.322,0.114,-0.936
1668159595295,2022-11-11T11.39.55.295,3.360,-0.320,0.105,-0.938
1668159595335,2022-11-11T11.39.55.335,3.400,-0.319,0.119,-0.943
1668159595375,2022-11-11T11.39.55.375,3.440,-0.319,0.117,-0.939
1668159595415,2022-11-11T11.39.55.415,3.480,-0.319,0.112,-0.933
1668159595455,2022-11-11T11.39.55.455,3.520,-0.319,0.110,-0.940
1668159595495,2022-11-11T11.39.55.495,3.560,-0.320,0.110,-0.942
1668159595535,2022-11-11T11.39.55.535,3.600,-0.318,0.112,-0.939
1668159595575,2022-11-11T11.39.55.575,3.640,-0.316,0.108,-0.940
1668159595615,2022-11-11T11.39.55.615,3.680,-0.319,0.114,-0.941
1668159595655,2022-11-11T11.39.55.655,3.720,-0.318,0.115,-0.941
1668159595695,2022-11-11T11.39.55.695,3.760,-0.321,0.108,-0.939
1668159595735,2022-11-11T11.39.55.735,3.800,-0.320,0.109,-0.939
1668159595775,2022-11-11T11.39.55.775,3.840,-0.322,0.126,-0.935
1668159595815,2022-11-11T11.39.55.815,3.880,-0.321,0.110,-0.936
1668159595855,2022-11-11T11.39.55.855,3.920,-0.320,0.111,-0.941
1668159595895,2022-11-11T11.39.55.895,3.960,-0.324,0.121,-0.938
1668159595935,2022-11-11T11.39.55.935,4.000,-0.321,0.109,-0.938
1668159595975,2022-11-11T11.39.55.975,4.040,-0.322,0.116,-0.939
1668159596015,2022-11-11T11.39.56.015,4.080,-0.322,0.119,-0.941
1668159596055,2022-11-11T11.39.56.055,4.120,-0.321,0.114,-0.938
1668159596095,2022-11-11T11.39.56.095,4.160,-0.320,0.115,-0.937
1668159596135,2022-11-11T11.39.56.135,4.200,-0.321,0.113,-0.939
1668159596175,2022-11-11T11.39.56.175,4.240,-0.323,0.117,-0.940
1668159596215,2022-11-11T11.39.56.215,4.280,-0.322,0.116,-0.939
1668159596255,2022-11-11T11.39.56.255,4.320,-0.321,0.109,-0.937
1668159596295,2022-11-11T11.39.56.295,4.360,-0.323,0.111,-0.939
1668159596335,2022-11-11T11.39.56.335,4.400,-0.324,0.115,-0.940
1668159596375,2022-11-11T11.39.56.375,4.440,-0.323,0.110,-0.938
1668159596415,2022-11-11T11.39.56.415,4.480,-0.325,0.107,-0.934
1668159596455,2022-11-11T11.39.56.455,4.520,-0.325,0.109,-0.937
1668159596495,2022-11-11T11.39.56.495,4.560,-0.326,0.114,-0.938
1668159596535,2022-11-11T11.39.56.535,4.600,-0.326,0.111,-0.938
1668159596575,2022-11-11T11.39.56.575,4.640,-0.325,0.112,-0.937
1668159596615,2022-11-11T11.39.56.615,4.680,-0.327,0.111,-0.936
1668159596655,2022-11-11T11.39.56.655,4.720,-0.326,0.108,-0.939
1668159596695,2022-11-11T11.39.56.695,4.760,-0.325,0.111,-0.939
1668159596735,2022-11-11T11.39.56.735,4.800,-0.328,0.114,-0.936
1668159596775,2022-11-11T11.39.56.775,4.840,-0.324,0.110,-0.939
1668159596815,2022-11-11T11.39.56.815,4.880,-0.329,0.120,-0.936
1668159596855,2022-11-11T11.39.56.855,4.920,-0.330,0.113,-0.935
1668159596895,2022-11-11T11.39.56.895,4.960,-0.328,0.106,-0.936
1668159596935,2022-11-11T11.39.56.935,5.000,-0.327,0.112,-0.937
1668159596975,2022-11-11T11.39.56.975,5.040,-0.328,0.117,-0.935
1668159597015,2022-11-11T11.39.57.015,5.080,-0.328,0.112,-0.936
1668159597055,2022-11-11T11.39.57.055,5.120,-0.329,0.111,-0.938
1668159597095,2022-11-11T11.39.57.095,5.160,-0.328,0.112,-0.937
1668159597135,2022-11-11T11.39.57.135,5.200,-0.329,0.107,-0.938
1668159597175,2022-11-11T11.39.57.175,5.240,-0.328,0.111,-0.936
1668159597215,2022-11-11T11.39.57.215,5.280,-0.328,0.108,-0.937
1668159597255,2022-11-11T11.39.57.255,5.320,-0.330,0.111,-0.935
1668159597295,2022-11-11T11.39.57.295,5.360,-0.327,0.105,-0.937
1668159597335,2022-11-11T11.39.57.335,5.400,-0.329,0.102,-0.939
1668159597375,2022-11-11T11.39.57.375,5.440,-0.329,0.115,-0.936
1668159597415,2022-11-11T11.39.57.415,5.480,-0.327,0.101,-0.935
1668159597455,2022-11-11T11.39.57.455,5.520,-0.329,0.109,-0.938
1668159597495,2022-11-11T11.39.57.495,5.560,-0.329,0.107,-0.938
1668159597535,2022-11-11T11.39.57.535,5.600,-0.328,0.102,-0.936
1668159597575,2022-11-11T11.39.57.575,5.640,-0.328,0.104,-0.938
1668159597615,2022-11-11T11.39.57.615,5.680,-0.328,0.112,-0.937
1668159597655,2022-11-11T11.39.57.655,5.720,-0.328,0.105,-0.935
1668159597695,2022-11-11T11.39.57.695,5.760,-0.328,0.102,-0.937
1668159597735,2022-11-11T11.39.57.735,5.800,-0.329,0.107,-0.938
1668159597775,2022-11-11T11.39.57.775,5.840,-0.328,0.109,-0.937
1668159597815,2022-11-11T11.39.57.815,5.880,-0.327,0.105,-0.938
1668159597855,2022-11-11T11.39.57.855,5.920,-0.328,0.107,-0.936
1668159597895,2022-11-11T11.39.57.895,5.960,-0.327,0.108,-0.937
1668159597935,2022-11-11T11.39.57.935,6.000,-0.328,0.107,-0.937
1668159597975,2022-11-11T11.39.57.975,6.040,-0.327,0.105,-0.938
1668159598015,2022-11-11T11.39.58.015,6.080,-0.327,0.108,-0.937
1668159598055,2022-11-11T11.39.58.055,6.120,-0.328,0.105,-0.937
1668159598095,2022-11-11T11.39.58.095,6.160,-0.327,0.108,-0.936
1668159598135,2022-11-11T11.39.58.135,6.200,-0.326,0.105,-0.939
1668159598175,2022-11-11T11.39.58.175,6.240,-0.329,0.111,-0.938
1668159598215,2022-11-11T11.39.58.215,6.280,-0.326,0.104,-0.938
1668159598255,2022-11-11T11.39.58.255,6.320,-0.326,0.109,-0.935
1668159598295,2022-11-11T11.39.58.295,6.360,-0.327,0.106,-0.938
1668159598335,2022-11-11T11.39.58.335,6.400,-0.327,0.109,-0.941
1668159598375,2022-11-11T11.39.58.375,6.440,-0.327,0.108,-0.936
1668159598415,2022-11-11T11.39.58.415,6.480,-0.327,0.106,-0.936
1668159598455,2022-11-11T11.39.58.455,6.520,-0.328,0.107,-0.938
1668159598495,2022-11-11T11.39.58.495,6.560,-0.328,0.110,-0.937
1668159598535,2022-11-11T11.39.58.535,6.600,-0.326,0.106,-0.936
1668159598575,2022-11-11T11.39.58.575,6.640,-0.328,0.110,-0.939
1668159598615,2022-11-11T11.39.58.615,6.680,-0.328,0.108,-0.939
1668159598655,2022-11-11T11.39.58.655,6.720,-0.328,0.109,-0.936
1668159598695,2022-11-11T11.39.58.695,6.760,-0.327,0.108,-0.936
1668159598735,2022-11-11T11.39.58.735,6.800,-0.328,0.109,-0.936
1668159598775,2022-11-11T11.39.58.775,6.840,-0.328,0.108,-0.938
1668159598815,2022-11-11T11.39.58.815,6.880,-0.328,0.108,-0.937
1668159598855,2022-11-11T11.39.58.855,6.920,-0.328,0.107,-0.937
1668159598895,2022-11-11T11.39.58.895,6.960,-0.328,0.110,-0.936
1668159598935,2022-11-11T11.39.58.935,7.000,-0.328,0.107,-0.937
1668159598975,2022-11-11T11.39.58.975,7.040,-0.326,0.107,-0.938
1668159599015,2022-11-11T11.39.59.015,7.080,-0.328,0.109,-0.937
1668159599055,2022-11-11T11.39.59.055,7.120,-0.329,0.108,-0.936
1668159599095,2022-11-11T11.39.59.095,7.160,-0.328,0.108,-0.937
1668159599135,2022-11-11T11.39.59.135,7.200,-0.328,0.107,-0.938
1668159599175,2022-11-11T11.39.59.175,7.240,-0.328,0.108,-0.936
1668159599215,2022-11-11T11.39.59.215,7.280,-0.328,0.109,-0.938
1668159599255,2022-11-11T11.39.59.255,7.320,-0.328,0.107,-0.937
1668159599295,2022-11-11T11.39.59.295,7.360,-0.328,0.110,-0.937
1668159599335,2022-11-11T11.39.59.335,7.400,-0.327,0.107,-0.937
1668159599375,2022-11-11T11.39.59.375,7.440,-0.328,0.108,-0.937
1668159599415,2022-11-11T11.39.59.415,7.480,-0.329,0.109,-0.936
1668159599455,2022-11-11T11.39.59.455,7.520,-0.329,0.110,-0.934
1668159599495,2022-11-11T11.39.59.495,7.560,-0.328,0.105,-0.937
1668159599535,2022-11-11T11.39.59.535,7.600,-0.329,0.106,-0.939
1668159599575,2022-11-11T11.39.59.575,7.640,-0.329,0.109,-0.935
1668159599615,2022-11-11T11.39.59.615,7.680,-0.328,0.103,-0.935
1668159599655,2022-11-11T11.39.59.655,7.720,-0.328,0.106,-0.940
1668159599695,2022-11-11T11.39.59.695,7.760,-0.329,0.109,-0.937
1668159599735,2022-11-11T11.39.59.735,7.800,-0.328,0.102,-0.935
1668159599775,2022-11-11T11.39.59.775,7.840,-0.327,0.104,-0.939
1668159599815,2022-11-11T11.39.59.815,7.880,-0.329,0.107,-0.938
1668159599855,2022-11-11T11.39.59.855,7.920,-0.328,0.105,-0.936
1668159599895,2022-11-11T11.39.59.895,7.960,-0.328,0.100,-0.936
1668159599935,2022-11-11T11.39.59.935,8.000,-0.330,0.106,-0.940
