epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1668324183936,2022-11-13T09:23:03.936,0.000,3.079,-0.213,-1.098
1668324183976,2022-11-13T09:23:03.976,0.040,2.866,-0.457,0.244
1668324184016,2022-11-13T09:23:04.016,0.080,2.896,-0.305,-0.762
1668324184056,2022-11-13T09:23:04.056,0.120,2.409,-0.061,-1.037
1668324184096,2022-11-13T09:23:04.096,0.160,3.506,0.000,-1.250
1668324184136,2022-11-13T09:23:04.136,0.200,1.646,-0.152,-0.762
1668324184176,2022-11-13T09:23:04.176,0.240,0.305,-0.061,-0.244
1668324184216,2022-11-13T09:23:04.216,0.280,-0.183,-0.488,0.122
1668324184256,2022-11-13T09:23:04.256,0.320,0.152,-0.732,0.274
1668324184296,2022-11-13T09:23:04.296,0.360,-0.640,-0.945,0.793
1668324184336,2022-11-13T09:23:04.336,0.400,-1.159,-1.494,1.067
1668324184376,2022-11-13T09:23:04.376,0.440,-0.244,-1.585,0.945
1668324184416,2022-11-13T09:23:04.416,0.480,-0.122,-1.341,0.671
1668324184456,2022-11-13T09:23:04.456,0.520,0.091,-1.037,0.274
1668324184496,2022-11-13T09:23:04.496,0.560,-0.274,-1.372,-0.305
1668324184536,2022-11-13T09:23:04.536,0.600,1.372,-0.305,-0.884
1668324184576,2022-11-13T09:23:04.576,0.640,0.610,-0.518,-0.701
1668324184616,2022-11-13T09:23:04.616,0.680,-1.037,-0.915,-0.427
1668324184656,2022-11-13T09:23:04.656,0.720,0.671,-0.488,-0.274
1668324184696,2022-11-13T09:23:04.696,0.760,-0.152,-0.213,0.335
1668324184736,2022-11-13T09:23:04.736,0.800,-0.061,0.030,0.884
1668324184776,2022-11-13T09:23:04.776,0.840,0.823,-0.061,0.945
1668324184816,2022-11-13T09:23:04.816,0.880,0.366,0.274,1.098
1668324184856,2022-11-13T09:23:04.856,0.920,-0.152,-0.396,0.854
1668324184896,2022-11-13T09:23:04.896,0.960,-0.518,-1.098,0.213
1668324184936,2022-11-13T09:23:04.936,1.000,0.030,-1.189,-0.427
1668324184976,2022-11-13T09:23:04.976,1.040,-0.854,-0.549,-0.427
1668324185016,2022-11-13T09:23:05.016,1.080,1.311,0.274,-0.793
1668324185056,2022-11-13T09:23:05.056,1.120,0.610,-0.335,-0.427
