epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1667426106471,2022-11-02T23.55.06.471,0.000,-112.774,-16.524,18.994
1667426106511,2022-11-02T23.55.06.511,0.040,-111.616,-17.470,20.030
1667426106552,2022-11-02T23.55.06.552,0.081,-76.189,-19.421,10.701
1667426106593,2022-11-02T23.55.06.593,0.122,-43.018,-21.738,4.756
1667426106634,2022-11-02T23.55.06.634,0.163,-62.439,-15.610,14.604
1667426106673,2022-11-02T23.55.06.673,0.202,-53.384,-14.695,8.659
1667426106714,2022-11-02T23.55.06.714,0.243,-32.805,-22.317,5.305
1667426106755,2022-11-02T23.55.06.755,0.284,-20.762,-22.073,0.671
1667426106795,2022-11-02T23.55.06.795,0.324,-8.720,-24.329,-5.213
1667426106836,2022-11-02T23.55.06.836,0.365,8.445,-25.030,-4.360
1667426106877,2022-11-02T23.55.06.877,0.406,-10.488,-17.439,-0.274
1667426106918,2022-11-02T23.55.06.918,0.447,6.616,-20.183,-9.604
1667426106958,2022-11-02T23.55.06.958,0.487,25.732,-20.366,-19.024
1667426106999,2022-11-02T23.55.06.999,0.528,-2.652,-10.610,-14.299
1667426107040,2022-11-02T23.55.07.040,0.569,12.713,-11.250,-11.799
1667426107081,2022-11-02T23.55.07.081,0.610,17.866,-18.110,-8.902
1667426107120,2022-11-02T23.55.07.120,0.649,5.915,-21.098,-3.323
1667426107161,2022-11-02T23.55.07.161,0.690,5.000,-13.841,-3.384
1667426107202,2022-11-02T23.55.07.202,0.731,-3.506,-6.951,-2.927
1667426107242,2022-11-02T23.55.07.242,0.771,0.427,-3.232,1.098
1667426107283,2022-11-02T23.55.07.283,0.812,-4.909,9.878,9.970
1667426107324,2022-11-02T23.55.07.324,0.853,-17.805,6.037,11.372
1667426107365,2022-11-02T23.55.07.365,0.894,-1.707,1.524,6.494
1667426107404,2022-11-02T23.55.07.404,0.933,2.195,9.268,-7.957
1667426107445,2022-11-02T23.55.07.445,0.974,8.262,7.805,-22.287
1667426107486,2022-11-02T23.55.07.486,1.015,17.927,4.451,-24.482
1667426107527,2022-11-02T23.55.07.527,1.056,8.079,5.671,-20.091
1667426107567,2022-11-02T23.55.07.567,1.096,0.640,1.372,-13.872
1667426107608,2022-11-02T23.55.07.608,1.137,-0.671,0.122,-6.098
1667426107649,2022-11-02T23.55.07.649,1.178,4.085,2.043,-2.287
1667426107689,2022-11-02T23.55.07.689,1.218,3.354,4.024,-2.835
1667426107730,2022-11-02T23.55.07.730,1.259,2.652,2.317,-4.573
1667426107771,2022-11-02T23.55.07.771,1.300,2.530,0.884,-4.482
1667426107812,2022-11-02T23.55.07.812,1.341,2.256,1.159,-2.896
1667426107851,2022-11-02T23.55.07.851,1.380,4.665,2.774,-1.341
1667426107892,2022-11-02T23.55.07.892,1.421,5.030,3.232,0.366
