epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1667752142873,2022-11-06T18.29.02.873,0.000,-1.829,1.159,0.549
1667752142913,2022-11-06T18.29.02.913,0.040,-1.555,0.854,0.427
1667752142953,2022-11-06T18.29.02.953,0.080,0.183,0.793,0.366
1667752142993,2022-11-06T18.29.02.993,0.120,1.220,-0.488,0.274
1667752143033,2022-11-06T18.29.03.033,0.160,0.976,-0.701,0.122
1667752143073,2022-11-06T18.29.03.073,0.200,-0.091,0.152,0.396
1667752143113,2022-11-06T18.29.03.113,0.240,0.122,0.030,0.457
1667752143153,2022-11-06T18.29.03.153,0.280,0.549,-0.274,0.274
1667752143193,2022-11-06T18.29.03.193,0.320,0.518,-0.213,0.122
1667752143233,2022-11-06T18.29.03.233,0.360,0.610,0.213,0.274
1667752143273,2022-11-06T18.29.03.273,0.400,0.976,0.030,0.579
1667752143313,2022-11-06T18.29.03.313,0.440,1.067,-0.183,0.457
1667752143353,2022-11-06T18.29.03.353,0.480,1.280,-0.366,0.396
1667752143393,2022-11-06T18.29.03.393,0.520,0.823,-0.335,0.549
1667752143433,2022-11-06T18.29.03.433,0.560,0.305,-0.061,0.427
1667752143473,2022-11-06T18.29.03.473,0.600,0.701,-0.152,0.183
1667752143513,2022-11-06T18.29.03.513,0.640,0.671,-0.183,0.396
1667752143553,2022-11-06T18.29.03.553,0.680,0.213,-0.091,0.488
1667752143593,2022-11-06T18.29.03.593,0.720,0.732,0.091,0.274
1667752143633,2022-11-06T18.29.03.633,0.760,1.128,-0.122,0.335
1667752143673,2022-11-06T18.29.03.673,0.800,0.945,-0.366,0.213
1667752143713,2022-11-06T18.29.03.713,0.840,0.671,-0.427,0.366
1667752143753,2022-11-06T18.29.03.753,0.880,0.610,-0.183,0.671
1667752143793,2022-11-06T18.29.03.793,0.920,0.762,-0.244,0.793
1667752143833,2022-11-06T18.29.03.833,0.960,0.335,-0.122,0.732
1667752143873,2022-11-06T18.29.03.873,1.000,0.244,0.183,0.396
1667752143913,2022-11-06T18.29.03.913,1.040,0.366,0.122,0.427
1667752143953,2022-11-06T18.29.03.953,1.080,0.396,-0.274,0.335
1667752143993,2022-11-06T18.29.03.993,1.120,0.457,0.122,0.427
1667752144033,2022-11-06T18.29.04.033,1.160,0.488,-0.091,0.549
1667752144073,2022-11-06T18.29.04.073,1.200,1.128,-0.305,0.244
1667752144113,2022-11-06T18.29.04.113,1.240,1.738,-0.518,0.122
1667752144153,2022-11-06T18.29.04.153,1.280,1.707,-0.579,0.274
1667752144193,2022-11-06T18.29.04.193,1.320,1.707,-0.457,0.091
1667752144233,2022-11-06T18.29.04.233,1.360,1.341,-0.457,0.030
1667752144273,2022-11-06T18.29.04.273,1.400,1.128,-0.366,0.091
1667752144313,2022-11-06T18.29.04.313,1.440,1.372,-0.091,0.030
1667752144353,2022-11-06T18.29.04.353,1.480,0.457,-0.030,0.213
1667752144393,2022-11-06T18.29.04.393,1.520,0.518,-0.305,0.244
1667752144433,2022-11-06T18.29.04.433,1.560,0.366,-0.213,0.427
1667752144473,2022-11-06T18.29.04.473,1.600,0.701,-0.335,0.396
1667752144513,2022-11-06T18.29.04.513,1.640,0.549,-0.183,0.396
1667752144553,2022-11-06T18.29.04.553,1.680,0.823,-0.335,0.610
1667752144593,2022-11-06T18.29.04.593,1.720,0.884,-0.305,0.671
1667752144633,2022-11-06T18.29.04.633,1.760,0.762,-0.457,0.945
1667752144673,2022-11-06T18.29.04.673,1.800,0.518,-0.335,0.732
1667752144713,2022-11-06T18.29.04.713,1.840,0.274,-0.213,0.610
1667752144753,2022-11-06T18.29.04.753,1.880,0.061,-0.488,0.915
1667752144793,2022-11-06T18.29.04.793,1.920,-0.305,-0.183,0.732
1667752144833,2022-11-06T18.29.04.833,1.960,-0.762,0.274,0.762
1667752144873,2022-11-06T18.29.04.873,2.000,-1.311,0.000,0.640
1667752144913,2022-11-06T18.29.04.913,2.040,-0.366,-0.030,-0.030
1667752144953,2022-11-06T18.29.04.953,2.080,0.213,-0.061,0.152
1667752144993,2022-11-06T18.29.04.993,2.120,0.732,0.030,0.305
1667752145033,2022-11-06T18.29.05.033,2.160,0.335,-0.091,0.488
1667752145073,2022-11-06T18.29.05.073,2.200,0.579,-0.152,0.671
1667752145113,2022-11-06T18.29.05.113,2.240,1.098,-0.061,0.183
1667752145153,2022-11-06T18.29.05.153,2.280,1.037,-0.213,0.152
1667752145193,2022-11-06T18.29.05.193,2.320,-0.457,0.000,0.945
1667752145233,2022-11-06T18.29.05.233,2.360,-3.171,0.244,1.677
1667752145273,2022-11-06T18.29.05.273,2.400,0.518,0.152,-0.823
1667752145313,2022-11-06T18.29.05.313,2.440,1.951,-1.220,0.122
1667752145353,2022-11-06T18.29.05.353,2.480,1.433,-1.098,1.280
1667752145393,2022-11-06T18.29.05.393,2.520,1.037,-0.457,0.518
1667752145433,2022-11-06T18.29.05.433,2.560,1.585,-0.213,-0.244
1667752145473,2022-11-06T18.29.05.473,2.600,1.829,-0.518,-0.213
1667752145513,2022-11-06T18.29.05.513,2.640,1.341,-0.335,0.030
1667752145553,2022-11-06T18.29.05.553,2.680,0.305,-0.152,0.335
1667752145593,2022-11-06T18.29.05.593,2.720,-0.976,0.000,1.189
1667752145633,2022-11-06T18.29.05.633,2.760,-1.311,0.030,1.677
1667752145673,2022-11-06T18.29.05.673,2.800,-2.043,0.457,1.646
1667752145713,2022-11-06T18.29.05.713,2.840,-2.774,0.854,1.189
1667752145753,2022-11-06T18.29.05.753,2.880,-1.951,-0.122,0.671
1667752145793,2022-11-06T18.29.05.793,2.920,-1.555,-0.488,0.366
1667752145833,2022-11-06T18.29.05.833,2.960,-0.610,-0.335,0.671
1667752145873,2022-11-06T18.29.05.873,3.000,-0.396,-0.274,1.159
1667752145913,2022-11-06T18.29.05.913,3.040,-0.610,-0.030,0.854
1667752145953,2022-11-06T18.29.05.953,3.080,-0.213,0.213,-0.183
1667752145993,2022-11-06T18.29.05.993,3.120,-0.976,-1.372,1.280
1667752146033,2022-11-06T18.29.06.033,3.160,0.915,-0.427,-0.335
1667752146073,2022-11-06T18.29.06.073,3.200,2.256,0.671,-3.049
1667752146113,2022-11-06T18.29.06.113,3.240,-0.061,-0.091,0.244
1667752146153,2022-11-06T18.29.06.153,3.280,1.006,-0.305,0.000
1667752146193,2022-11-06T18.29.06.193,3.320,-0.396,-0.671,1.128
1667752146233,2022-11-06T18.29.06.233,3.360,-0.274,-0.854,0.976
1667752146273,2022-11-06T18.29.06.273,3.400,0.488,-0.030,0.244
1667752146313,2022-11-06T18.29.06.313,3.440,0.549,0.244,0.793
1667752146353,2022-11-06T18.29.06.353,3.480,0.732,0.213,0.640
