epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1667911102923,2022-11-08T14:38:22.923,0.000,0.026,0.178,-0.967
1667911102963,2022-11-08T14:38:22.963,0.040,0.028,0.183,-0.974
1667911103003,2022-11-08T14:38:23.003,0.080,0.028,0.183,-0.971
1667911103043,2022-11-08T14:38:23.043,0.120,0.028,0.181,-0.972
1667911103083,2022-11-08T14:38:23.083,0.160,0.029,0.184,-0.972
1667911103123,2022-11-08T14:38:23.123,0.200,0.029,0.182,-0.971
1667911103163,2022-11-08T14:38:23.163,0.240,0.027,0.179,-0.972
1667911103203,2022-11-08T14:38:23.203,0.280,0.030,0.185,-0.971
1667911103243,2022-11-08T14:38:23.243,0.320,0.028,0.182,-0.972
1667911103283,2022-11-08T14:38:23.283,0.360,0.026,0.178,-0.974
1667911103323,2022-11-08T14:38:23.323,0.400,0.027,0.183,-0.972
1667911103363,2022-11-08T14:38:23.363,0.440,0.026,0.187,-0.970
1667911103403,2022-11-08T14:38:23.403,0.480,0.028,0.179,-0.972
1667911103443,2022-11-08T14:38:23.443,0.520,0.028,0.181,-0.973
1667911103483,2022-11-08T14:38:23.483,0.560,0.026,0.181,-0.971
1667911103523,2022-11-08T14:38:23.523,0.600,0.030,0.184,-0.971
1667911103563,2022-11-08T14:38:23.563,0.640,0.028,0.179,-0.971
1667911103603,2022-11-08T14:38:23.603,0.680,0.027,0.180,-0.971
1667911103643,2022-11-08T14:38:23.643,0.720,0.026,0.180,-0.971
1667911103683,2022-11-08T14:38:23.683,0.760,0.026,0.178,-0.972
1667911103723,2022-11-08T14:38:23.723,0.800,0.030,0.181,-0.971
1667911103763,2022-11-08T14:38:23.763,0.840,0.027,0.180,-0.972
1667911103803,2022-11-08T14:38:23.803,0.880,0.029,0.178,-0.971
1667911103843,2022-11-08T14:38:23.843,0.920,0.029,0.180,-0.971
1667911103883,2022-11-08T14:38:23.883,0.960,0.027,0.177,-0.971
