epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1668001574859,2022-11-09T15:46:14.859,0.000,0.091,0.427,-0.610
1668001574898,2022-11-09T15:46:14.898,0.039,0.549,0.518,-0.305
1668001574938,2022-11-09T15:46:14.938,0.079,1.128,0.640,-0.640
1668001574978,2022-11-09T15:46:14.978,0.119,0.122,-0.213,-0.183
1668001575017,2022-11-09T15:46:15.017,0.158,-0.732,0.213,0.122
1668001575057,2022-11-09T15:46:15.057,0.198,0.244,-0.091,-0.366
1668001575096,2022-11-09T15:46:15.096,0.237,0.274,-0.122,-0.427
1668001575136,2022-11-09T15:46:15.136,0.277,-0.244,0.183,-0.610
1668001575175,2022-11-09T15:46:15.175,0.316,0.152,-0.030,-0.610
1668001575215,2022-11-09T15:46:15.215,0.356,-0.335,0.274,-0.366
1668001575254,2022-11-09T15:46:15.254,0.395,0.305,0.366,-0.396
1668001575294,2022-11-09T15:46:15.294,0.435,-0.030,-0.183,-0.122
1668001575334,2022-11-09T15:46:15.334,0.475,0.335,-0.366,-0.213
1668001575373,2022-11-09T15:46:15.373,0.514,0.518,-0.213,0.061
1668001575413,2022-11-09T15:46:15.413,0.554,0.152,-0.183,0.152
1668001575452,2022-11-09T15:46:15.452,0.593,0.549,-0.061,0.061
1668001575492,2022-11-09T15:46:15.492,0.633,0.579,-0.061,0.183
1668001575531,2022-11-09T15:46:15.531,0.672,0.579,-0.183,0.274
1668001575571,2022-11-09T15:46:15.571,0.712,0.152,-0.122,0.244
1668001575610,2022-11-09T15:46:15.610,0.751,0.457,-0.030,0.091
1668001575650,2022-11-09T15:46:15.650,0.791,0.518,-0.030,-0.152
1668001575689,2022-11-09T15:46:15.689,0.830,0.274,-0.091,-0.335
1668001575729,2022-11-09T15:46:15.729,0.870,-0.091,-0.152,-0.396
1668001575769,2022-11-09T15:46:15.769,0.910,-0.213,0.244,-0.183
1668001575808,2022-11-09T15:46:15.808,0.949,0.000,0.152,-0.213
1668001575848,2022-11-09T15:46:15.848,0.989,-0.091,0.183,-0.152
1668001575887,2022-11-09T15:46:15.887,1.028,0.457,0.244,-0.091
1668001575927,2022-11-09T15:46:15.927,1.068,0.213,-0.244,0.091
1668001575966,2022-11-09T15:46:15.966,1.107,0.213,-0.152,0.366
1668001576006,2022-11-09T15:46:16.006,1.147,0.793,-0.122,0.305
1668001576045,2022-11-09T15:46:16.045,1.186,0.976,0.000,0.152
1668001576085,2022-11-09T15:46:16.085,1.226,0.549,0.061,-0.183
1668001576125,2022-11-09T15:46:16.125,1.266,0.854,0.030,-0.396
1668001576164,2022-11-09T15:46:16.164,1.305,0.427,-0.152,-0.305
1668001576204,2022-11-09T15:46:16.204,1.345,-0.945,0.061,-0.122
1668001576243,2022-11-09T15:46:16.243,1.384,-1.280,0.122,-0.152
1668001576283,2022-11-09T15:46:16.283,1.424,-0.579,-0.061,-0.213
1668001576322,2022-11-09T15:46:16.322,1.463,-0.091,0.000,0.000
1668001576362,2022-11-09T15:46:16.362,1.503,-0.091,0.183,0.213
1668001576401,2022-11-09T15:46:16.401,1.542,0.305,-0.030,0.305
1668001576441,2022-11-09T15:46:16.441,1.582,0.335,-0.640,0.152
1668001576481,2022-11-09T15:46:16.481,1.622,-0.183,0.000,0.335
1668001576520,2022-11-09T15:46:16.520,1.661,0.366,0.122,0.488
1668001576560,2022-11-09T15:46:16.560,1.701,-0.305,-0.061,0.244
1668001576599,2022-11-09T15:46:16.599,1.740,0.000,0.518,0.152
1668001576639,2022-11-09T15:46:16.639,1.780,0.823,-0.213,-0.457
1668001576678,2022-11-09T15:46:16.678,1.819,0.915,-0.030,-0.305
1668001576718,2022-11-09T15:46:16.718,1.859,0.854,0.305,-0.122
1668001576757,2022-11-09T15:46:16.757,1.898,1.098,0.213,-0.335
1668001576795,2022-11-09T15:46:16.795,1.936,1.799,0.640,-0.610
1668001576835,2022-11-09T15:46:16.835,1.976,2.043,0.457,-0.915
1668001576875,2022-11-09T15:46:16.875,2.016,2.043,0.274,-0.549
1668001576914,2022-11-09T15:46:16.914,2.055,0.579,0.457,0.091
1668001576954,2022-11-09T15:46:16.954,2.095,1.037,0.427,0.030
1668001576993,2022-11-09T15:46:16.993,2.134,2.134,-0.305,-0.183
1668001577033,2022-11-09T15:46:17.033,2.174,1.341,-0.701,-0.122
1668001577072,2022-11-09T15:46:17.072,2.213,0.427,-0.396,0.244
1668001577112,2022-11-09T15:46:17.112,2.253,0.061,0.000,0.579
1668001577151,2022-11-09T15:46:17.151,2.292,0.549,0.152,0.000
1668001577191,2022-11-09T15:46:17.191,2.332,-0.610,-0.091,-0.579
1668001577231,2022-11-09T15:46:17.231,2.372,0.976,-0.213,-1.280
1668001577270,2022-11-09T15:46:17.270,2.411,1.616,0.366,-1.037
1668001577310,2022-11-09T15:46:17.310,2.451,1.738,1.067,-0.366
1668001577349,2022-11-09T15:46:17.349,2.490,1.646,1.250,-0.183
1668001577389,2022-11-09T15:46:17.389,2.530,1.098,0.366,-0.274
1668001577428,2022-11-09T15:46:17.428,2.569,0.274,-1.037,-0.122
1668001577468,2022-11-09T15:46:17.468,2.609,1.646,-0.915,-0.488
1668001577507,2022-11-09T15:46:17.507,2.648,2.073,-1.189,-0.701
1668001577547,2022-11-09T15:46:17.547,2.688,0.122,-0.305,-0.183
1668001577586,2022-11-09T15:46:17.586,2.727,-0.396,1.677,0.061
