epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1668178343712,2022-11-11T16.52.23.712,0.000,-0.288,-0.030,-0.947
1668178343752,2022-11-11T16.52.23.752,0.040,-0.288,-0.031,-0.956
1668178343792,2022-11-11T16.52.23.792,0.080,-0.289,-0.029,-0.954
1668178343832,2022-11-11T16.52.23.832,0.120,-0.287,-0.032,-0.954
1668178343872,2022-11-11T16.52.23.872,0.160,-0.290,-0.029,-0.953
1668178343912,2022-11-11T16.52.23.912,0.200,-0.288,-0.032,-0.952
1668178343952,2022-11-11T16.52.23.952,0.240,-0.288,-0.030,-0.953
1668178343992,2022-11-11T16.52.23.992,0.280,-0.288,-0.029,-0.955
1668178344032,2022-11-11T16.52.24.032,0.320,-0.286,-0.030,-0.954
1668178344072,2022-11-11T16.52.24.072,0.360,-0.290,-0.032,-0.953
1668178344112,2022-11-11T16.52.24.112,0.400,-0.289,-0.046,-0.953
1668178344152,2022-11-11T16.52.24.152,0.440,-0.289,-0.020,-0.951
1668178344192,2022-11-11T16.52.24.192,0.480,-0.286,-0.027,-0.954
1668178344232,2022-11-11T16.52.24.232,0.520,-0.289,-0.041,-0.954
1668178344272,2022-11-11T16.52.24.272,0.560,-0.291,-0.032,-0.952
1668178344312,2022-11-11T16.52.24.312,0.600,-0.290,-0.031,-0.953
1668178344352,2022-11-11T16.52.24.352,0.640,-0.288,-0.032,-0.953
1668178344392,2022-11-11T16.52.24.392,0.680,-0.288,-0.035,-0.953
1668178344432,2022-11-11T16.52.24.432,0.720,-0.288,-0.032,-0.952
1668178344472,2022-11-11T16.52.24.472,0.760,-0.287,-0.034,-0.953
1668178344512,2022-11-11T16.52.24.512,0.800,-0.289,-0.035,-0.952
1668178344552,2022-11-11T16.52.24.552,0.840,-0.288,-0.032,-0.951
1668178344592,2022-11-11T16.52.24.592,0.880,-0.289,-0.039,-0.953
1668178344632,2022-11-11T16.52.24.632,0.920,-0.290,-0.035,-0.952
1668178344672,2022-11-11T16.52.24.672,0.960,-0.290,-0.032,-0.952
1668178344712,2022-11-11T16.52.24.712,1.000,-0.290,-0.034,-0.953
1668178344752,2022-11-11T16.52.24.752,1.040,-0.288,-0.036,-0.954
1668178344792,2022-11-11T16.52.24.792,1.080,-0.290,-0.032,-0.954
1668178344832,2022-11-11T16.52.24.832,1.120,-0.288,-0.035,-0.953
1668178344872,2022-11-11T16.52.24.872,1.160,-0.289,-0.033,-0.953
1668178344912,2022-11-11T16.52.24.912,1.200,-0.287,-0.037,-0.952
1668178344952,2022-11-11T16.52.24.952,1.240,-0.289,-0.038,-0.952
1668178344992,2022-11-11T16.52.24.992,1.280,-0.291,-0.034,-0.951
1668178345032,2022-11-11T16.52.25.032,1.320,-0.289,-0.037,-0.952
1668178345072,2022-11-11T16.52.25.072,1.360,-0.289,-0.037,-0.953
1668178345112,2022-11-11T16.52.25.112,1.400,-0.289,-0.036,-0.953
1668178345152,2022-11-11T16.52.25.152,1.440,-0.289,-0.036,-0.950
1668178345192,2022-11-11T16.52.25.192,1.480,-0.288,-0.037,-0.952
1668178345232,2022-11-11T16.52.25.232,1.520,-0.289,-0.038,-0.952
1668178345272,2022-11-11T16.52.25.272,1.560,-0.290,-0.036,-0.953
1668178345312,2022-11-11T16.52.25.312,1.600,-0.289,-0.038,-0.951
1668178345352,2022-11-11T16.52.25.352,1.640,-0.289,-0.041,-0.952
1668178345392,2022-11-11T16.52.25.392,1.680,-0.290,-0.037,-0.952
1668178345432,2022-11-11T16.52.25.432,1.720,-0.289,-0.041,-0.951
1668178345472,2022-11-11T16.52.25.472,1.760,-0.289,-0.039,-0.952
1668178345512,2022-11-11T16.52.25.512,1.800,-0.289,-0.042,-0.951
1668178345552,2022-11-11T16.52.25.552,1.840,-0.289,-0.036,-0.952
1668178345592,2022-11-11T16.52.25.592,1.880,-0.291,-0.039,-0.953
1668178345632,2022-11-11T16.52.25.632,1.920,-0.288,-0.041,-0.953
1668178345672,2022-11-11T16.52.25.672,1.960,-0.290,-0.035,-0.953
1668178345712,2022-11-11T16.52.25.712,2.000,-0.291,-0.036,-0.951
1668178345752,2022-11-11T16.52.25.752,2.040,-0.291,-0.037,-0.952
1668178345792,2022-11-11T16.52.25.792,2.080,-0.291,-0.037,-0.953
