epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1667307338803,2022-11-01T14:55:38.803,0.000,-0.135,0.012,-0.976
1667307338842,2022-11-01T14:55:38.842,0.039,-0.137,0.003,-0.983
1667307338882,2022-11-01T14:55:38.882,0.079,-0.136,0.005,-0.982
1667307338922,2022-11-01T14:55:38.922,0.119,-0.135,0.009,-0.982
1667307338961,2022-11-01T14:55:38.961,0.158,-0.137,0.009,-0.982
1667307339001,2022-11-01T14:55:39.001,0.198,-0.137,0.006,-0.981
1667307339040,2022-11-01T14:55:39.040,0.237,-0.133,0.011,-0.981
1667307339080,2022-11-01T14:55:39.080,0.277,-0.137,0.008,-0.982
1667307339119,2022-11-01T14:55:39.119,0.316,-0.137,0.012,-0.981
1667307339159,2022-11-01T14:55:39.159,0.356,-0.133,0.013,-0.981
1667307339198,2022-11-01T14:55:39.198,0.395,-0.137,0.008,-0.981
1667307339238,2022-11-01T14:55:39.238,0.435,-0.136,0.014,-0.981
1667307339278,2022-11-01T14:55:39.278,0.475,-0.137,0.011,-0.980
1667307339317,2022-11-01T14:55:39.317,0.514,-0.136,0.014,-0.982
1667307339357,2022-11-01T14:55:39.357,0.554,-0.134,0.008,-0.982
1667307339396,2022-11-01T14:55:39.396,0.593,-0.135,0.013,-0.980
1667307339436,2022-11-01T14:55:39.436,0.633,-0.132,0.016,-0.981
1667307339475,2022-11-01T14:55:39.475,0.672,-0.136,0.008,-0.980
1667307339515,2022-11-01T14:55:39.515,0.712,-0.135,0.019,-0.980
1667307339554,2022-11-01T14:55:39.554,0.751,-0.132,0.015,-0.982
1667307339594,2022-11-01T14:55:39.594,0.791,-0.138,0.008,-0.981
1667307339634,2022-11-01T14:55:39.634,0.831,-0.136,0.020,-0.980
1667307339673,2022-11-01T14:55:39.673,0.870,-0.133,0.017,-0.982
1667307339713,2022-11-01T14:55:39.713,0.910,-0.136,-0.006,-0.981
1667307339752,2022-11-01T14:55:39.752,0.949,-0.133,0.026,-0.978
1667307339792,2022-11-01T14:55:39.792,0.989,-0.133,0.013,-0.981
1667307339831,2022-11-01T14:55:39.831,1.028,-0.139,0.016,-0.979
1667307339871,2022-11-01T14:55:39.871,1.068,-0.136,0.023,-0.980
1667307339910,2022-11-01T14:55:39.910,1.107,-0.134,0.011,-0.981
1667307339950,2022-11-01T14:55:39.950,1.147,-0.138,0.005,-0.981
1667307339989,2022-11-01T14:55:39.989,1.186,-0.134,0.022,-0.980
1667307340029,2022-11-01T14:55:40.029,1.226,-0.134,0.012,-0.980
1667307340069,2022-11-01T14:55:40.069,1.266,-0.137,0.005,-0.979
1667307340108,2022-11-01T14:55:40.108,1.305,-0.134,0.026,-0.980
1667307340148,2022-11-01T14:55:40.148,1.345,-0.135,0.010,-0.980
1667307340187,2022-11-01T14:55:40.187,1.384,-0.136,0.017,-0.981
1667307340227,2022-11-01T14:55:40.227,1.424,-0.134,0.012,-0.982
1667307340266,2022-11-01T14:55:40.266,1.463,-0.135,0.013,-0.980
1667307340306,2022-11-01T14:55:40.306,1.503,-0.136,0.018,-0.979
1667307340345,2022-11-01T14:55:40.345,1.542,-0.133,0.016,-0.979
1667307340385,2022-11-01T14:55:40.385,1.582,-0.134,0.009,-0.980
1667307340425,2022-11-01T14:55:40.425,1.622,-0.134,0.016,-0.980
1667307340464,2022-11-01T14:55:40.464,1.661,-0.136,0.016,-0.978
1667307340504,2022-11-01T14:55:40.504,1.701,-0.136,0.013,-0.980
1667307340543,2022-11-01T14:55:40.543,1.740,-0.135,0.016,-0.980
1667307340583,2022-11-01T14:55:40.583,1.780,-0.133,0.011,-0.981
1667307340622,2022-11-01T14:55:40.622,1.819,-0.136,0.009,-0.981
1667307340662,2022-11-01T14:55:40.662,1.859,-0.135,0.022,-0.979
1667307340701,2022-11-01T14:55:40.701,1.898,-0.135,0.013,-0.981
1667307340741,2022-11-01T14:55:40.741,1.938,-0.137,0.015,-0.981
1667307340780,2022-11-01T14:55:40.780,1.977,-0.136,0.019,-0.979
1667307340820,2022-11-01T14:55:40.820,2.017,-0.134,0.014,-0.981
1667307340860,2022-11-01T14:55:40.860,2.057,-0.135,0.013,-0.981
1667307340899,2022-11-01T14:55:40.899,2.096,-0.134,0.018,-0.980
1667307340939,2022-11-01T14:55:40.939,2.136,-0.137,0.017,-0.981
1667307340978,2022-11-01T14:55:40.978,2.175,-0.136,0.013,-0.979
1667307341018,2022-11-01T14:55:41.018,2.215,-0.134,0.017,-0.979
1667307341057,2022-11-01T14:55:41.057,2.254,-0.131,0.008,-0.979
1667307341097,2022-11-01T14:55:41.097,2.294,-0.135,0.017,-0.979
1667307341136,2022-11-01T14:55:41.136,2.333,-0.138,0.012,-0.980
1667307341176,2022-11-01T14:55:41.176,2.373,-0.135,0.010,-0.979
1667307341216,2022-11-01T14:55:41.216,2.413,-0.135,0.017,-0.979
1667307341255,2022-11-01T14:55:41.255,2.452,-0.135,0.006,-0.980
1667307341295,2022-11-01T14:55:41.295,2.492,-0.136,0.004,-0.980
1667307341334,2022-11-01T14:55:41.334,2.531,-0.134,0.014,-0.981
1667307341374,2022-11-01T14:55:41.374,2.571,-0.131,0.006,-0.981
1667307341413,2022-11-01T14:55:41.413,2.610,-0.135,0.011,-0.981
1667307341453,2022-11-01T14:55:41.453,2.650,-0.135,0.016,-0.979
1667307341492,2022-11-01T14:55:41.492,2.689,-0.134,0.013,-0.980
1667307341532,2022-11-01T14:55:41.532,2.729,-0.135,0.010,-0.980
1667307341571,2022-11-01T14:55:41.571,2.768,-0.135,0.015,-0.979
1667307341611,2022-11-01T14:55:41.611,2.808,-0.137,0.013,-0.980
1667307341651,2022-11-01T14:55:41.651,2.848,-0.135,0.012,-0.981
1667307341690,2022-11-01T14:55:41.690,2.887,-0.137,0.014,-0.980
1667307341730,2022-11-01T14:55:41.730,2.927,-0.135,0.012,-0.979
1667307341769,2022-11-01T14:55:41.769,2.966,-0.134,0.008,-0.980
1667307341809,2022-11-01T14:55:41.809,3.006,-0.136,0.019,-0.980
1667307341848,2022-11-01T14:55:41.848,3.045,-0.135,0.013,-0.980
1667307341888,2022-11-01T14:55:41.888,3.085,-0.135,0.010,-0.980
1667307341927,2022-11-01T14:55:41.927,3.124,-0.135,0.016,-0.979
1667307341967,2022-11-01T14:55:41.967,3.164,-0.134,0.013,-0.979
1667307342007,2022-11-01T14:55:42.007,3.204,-0.135,0.009,-0.981
1667307342046,2022-11-01T14:55:42.046,3.243,-0.136,0.013,-0.980
1667307342086,2022-11-01T14:55:42.086,3.283,-0.136,0.015,-0.980
1667307342125,2022-11-01T14:55:42.125,3.322,-0.134,0.007,-0.980
1667307342165,2022-11-01T14:55:42.165,3.362,-0.135,0.016,-0.979
1667307342204,2022-11-01T14:55:42.204,3.401,-0.136,0.011,-0.980
1667307342244,2022-11-01T14:55:42.244,3.441,-0.135,0.014,-0.980
1667307342283,2022-11-01T14:55:42.283,3.480,-0.136,0.017,-0.980
1667307342323,2022-11-01T14:55:42.323,3.520,-0.134,0.011,-0.980
1667307342363,2022-11-01T14:55:42.363,3.560,-0.135,0.013,-0.979
1667307342402,2022-11-01T14:55:42.402,3.599,-0.135,0.012,-0.980
1667307342442,2022-11-01T14:55:42.442,3.639,-0.134,0.014,-0.979
1667307342481,2022-11-01T14:55:42.481,3.678,-0.134,0.019,-0.979
1667307342521,2022-11-01T14:55:42.521,3.718,-0.135,0.007,-0.981
1667307342560,2022-11-01T14:55:42.560,3.757,-0.136,0.016,-0.980
1667307342600,2022-11-01T14:55:42.600,3.797,-0.135,0.015,-0.979
1667307342639,2022-11-01T14:55:42.639,3.836,-0.135,0.012,-0.980
1667307342679,2022-11-01T14:55:42.679,3.876,-0.136,0.017,-0.980
1667307342718,2022-11-01T14:55:42.718,3.915,-0.135,0.014,-0.981
1667307342758,2022-11-01T14:55:42.758,3.955,-0.134,0.015,-0.980
1667307342798,2022-11-01T14:55:42.798,3.995,-0.136,0.016,-0.979
1667307342837,2022-11-01T14:55:42.837,4.034,-0.134,0.013,-0.979
1667307342877,2022-11-01T14:55:42.877,4.074,-0.133,0.013,-0.980
1667307342916,2022-11-01T14:55:42.916,4.113,-0.135,0.016,-0.980
1667307342956,2022-11-01T14:55:42.956,4.153,-0.136,0.013,-0.979
1667307342995,2022-11-01T14:55:42.995,4.192,-0.134,0.014,-0.980
1667307343035,2022-11-01T14:55:43.035,4.232,-0.135,0.013,-0.980
1667307343074,2022-11-01T14:55:43.074,4.271,-0.136,0.011,-0.980
1667307343114,2022-11-01T14:55:43.114,4.311,-0.137,0.018,-0.979
1667307343154,2022-11-01T14:55:43.154,4.351,-0.136,0.015,-0.979
1667307343193,2022-11-01T14:55:43.193,4.390,-0.134,0.013,-0.979
1667307343233,2022-11-01T14:55:43.233,4.430,-0.136,0.016,-0.980
1667307343272,2022-11-01T14:55:43.272,4.469,-0.137,0.014,-0.980
1667307343312,2022-11-01T14:55:43.312,4.509,-0.134,0.013,-0.979
1667307343351,2022-11-01T14:55:43.351,4.548,-0.132,0.010,-0.980
1667307343391,2022-11-01T14:55:43.391,4.588,-0.136,0.012,-0.979
1667307343430,2022-11-01T14:55:43.430,4.627,-0.135,0.013,-0.979
1667307343470,2022-11-01T14:55:43.470,4.667,-0.133,0.012,-0.981
1667307343509,2022-11-01T14:55:43.509,4.706,-0.134,0.010,-0.980
1667307343549,2022-11-01T14:55:43.549,4.746,-0.135,0.015,-0.979
1667307343589,2022-11-01T14:55:43.589,4.786,-0.135,0.013,-0.979
1667307343628,2022-11-01T14:55:43.628,4.825,-0.135,0.013,-0.980
1667307343668,2022-11-01T14:55:43.668,4.865,-0.135,0.014,-0.979
1667307343707,2022-11-01T14:55:43.707,4.904,-0.136,0.015,-0.981
1667307343747,2022-11-01T14:55:43.747,4.944,-0.135,0.014,-0.980
1667307343786,2022-11-01T14:55:43.786,4.983,-0.135,0.013,-0.980
1667307343826,2022-11-01T14:55:43.826,5.023,-0.135,0.015,-0.981
1667307343865,2022-11-01T14:55:43.865,5.062,-0.135,0.014,-0.980
1667307343905,2022-11-01T14:55:43.905,5.102,-0.135,0.012,-0.981
1667307343945,2022-11-01T14:55:43.945,5.142,-0.135,0.016,-0.979
1667307343984,2022-11-01T14:55:43.984,5.181,-0.134,0.011,-0.980
1667307344024,2022-11-01T14:55:44.024,5.221,-0.135,0.009,-0.979
1667307344063,2022-11-01T14:55:44.063,5.260,-0.136,0.015,-0.979
1667307344103,2022-11-01T14:55:44.103,5.300,-0.135,0.012,-0.980
1667307344142,2022-11-01T14:55:44.142,5.339,-0.134,0.011,-0.980
1667307344182,2022-11-01T14:55:44.182,5.379,-0.134,0.012,-0.979
1667307344221,2022-11-01T14:55:44.221,5.418,-0.135,0.014,-0.980
1667307344261,2022-11-01T14:55:44.261,5.458,-0.135,0.012,-0.979
1667307344300,2022-11-01T14:55:44.300,5.497,-0.136,0.012,-0.979
1667307344340,2022-11-01T14:55:44.340,5.537,-0.134,0.013,-0.979
1667307344380,2022-11-01T14:55:44.380,5.577,-0.135,0.009,-0.979
1667307344419,2022-11-01T14:55:44.419,5.616,-0.134,0.014,-0.981
1667307344459,2022-11-01T14:55:44.459,5.656,-0.136,0.010,-0.980
1667307344498,2022-11-01T14:55:44.498,5.695,-0.137,0.009,-0.981
1667307344538,2022-11-01T14:55:44.538,5.735,-0.135,0.013,-0.981
1667307344577,2022-11-01T14:55:44.577,5.774,-0.136,0.013,-0.980
1667307344617,2022-11-01T14:55:44.617,5.814,-0.135,0.008,-0.981
1667307344656,2022-11-01T14:55:44.656,5.853,-0.135,0.010,-0.980
1667307344696,2022-11-01T14:55:44.696,5.893,-0.137,0.010,-0.980
1667307344736,2022-11-01T14:55:44.736,5.933,-0.135,0.008,-0.981
1667307344775,2022-11-01T14:55:44.775,5.972,-0.135,0.009,-0.981
1667307344815,2022-11-01T14:55:44.815,6.012,-0.135,0.003,-0.981
1667307344854,2022-11-01T14:55:44.854,6.051,-0.135,0.004,-0.980
1667307344894,2022-11-01T14:55:44.894,6.091,-0.136,-0.001,-0.980
1667307344933,2022-11-01T14:55:44.933,6.130,-0.135,0.003,-0.981
1667307344973,2022-11-01T14:55:44.973,6.170,-0.135,0.004,-0.980
1667307345012,2022-11-01T14:55:45.012,6.209,-0.132,0.001,-0.980
1667307345052,2022-11-01T14:55:45.052,6.249,-0.132,0.006,-0.980
1667307345092,2022-11-01T14:55:45.092,6.289,-0.137,-0.003,-0.980
1667307345130,2022-11-01T14:55:45.130,6.327,-0.135,0.010,-0.981
1667307345169,2022-11-01T14:55:45.169,6.366,-0.134,0.007,-0.982
1667307345209,2022-11-01T14:55:45.209,6.406,-0.136,0.002,-0.980
1667307345248,2022-11-01T14:55:45.248,6.445,-0.136,0.004,-0.980
1667307345288,2022-11-01T14:55:45.288,6.485,-0.135,0.003,-0.980
1667307345327,2022-11-01T14:55:45.327,6.524,-0.131,0.005,-0.981
1667307345367,2022-11-01T14:55:45.367,6.564,-0.135,-0.002,-0.980
1667307345406,2022-11-01T14:55:45.406,6.603,-0.134,0.006,-0.980
1667307345446,2022-11-01T14:55:45.446,6.643,-0.133,0.000,-0.982
1667307345486,2022-11-01T14:55:45.486,6.683,-0.134,0.006,-0.979
1667307345525,2022-11-01T14:55:45.525,6.722,-0.132,0.009,-0.979
1667307345565,2022-11-01T14:55:45.565,6.762,-0.134,0.002,-0.981
1667307345604,2022-11-01T14:55:45.604,6.801,-0.137,0.008,-0.980
1667307345644,2022-11-01T14:55:45.644,6.841,-0.136,0.014,-0.980
1667307345683,2022-11-01T14:55:45.683,6.880,-0.135,0.005,-0.980
1667307345723,2022-11-01T14:55:45.723,6.920,-0.135,0.005,-0.980
1667307345762,2022-11-01T14:55:45.762,6.959,-0.134,0.008,-0.979
1667307345802,2022-11-01T14:55:45.802,6.999,-0.136,0.004,-0.980
1667307345842,2022-11-01T14:55:45.842,7.039,-0.131,0.006,-0.980
1667307345881,2022-11-01T14:55:45.881,7.078,-0.135,0.005,-0.980
1667307345921,2022-11-01T14:55:45.921,7.118,-0.133,0.013,-0.981
1667307345960,2022-11-01T14:55:45.960,7.157,-0.135,0.008,-0.980
1667307346000,2022-11-01T14:55:46.000,7.197,-0.135,0.010,-0.980
1667307346039,2022-11-01T14:55:46.039,7.236,-0.133,0.008,-0.981
1667307346079,2022-11-01T14:55:46.079,7.276,-0.132,0.008,-0.980
1667307346118,2022-11-01T14:55:46.118,7.315,-0.131,0.009,-0.980
1667307346158,2022-11-01T14:55:46.158,7.355,-0.130,0.009,-0.981
1667307346197,2022-11-01T14:55:46.197,7.394,-0.135,0.008,-0.979
1667307346237,2022-11-01T14:55:46.237,7.434,-0.136,0.011,-0.980
1667307346277,2022-11-01T14:55:46.277,7.474,-0.133,0.015,-0.980
1667307346316,2022-11-01T14:55:46.316,7.513,-0.135,0.005,-0.979
1667307346356,2022-11-01T14:55:46.356,7.553,-0.135,0.007,-0.980
1667307346395,2022-11-01T14:55:46.395,7.592,-0.134,0.013,-0.981
1667307346435,2022-11-01T14:55:46.435,7.632,-0.136,0.014,-0.980
1667307346474,2022-11-01T14:55:46.474,7.671,-0.134,0.010,-0.980
1667307346514,2022-11-01T14:55:46.514,7.711,-0.134,0.011,-0.980
1667307346553,2022-11-01T14:55:46.553,7.750,-0.134,0.013,-0.980
1667307346593,2022-11-01T14:55:46.593,7.790,-0.137,0.012,-0.980
1667307346633,2022-11-01T14:55:46.633,7.830,-0.131,0.012,-0.981
1667307346672,2022-11-01T14:55:46.672,7.869,-0.138,0.012,-0.980
1667307346712,2022-11-01T14:55:46.712,7.909,-0.132,0.007,-0.981
1667307346751,2022-11-01T14:55:46.751,7.948,-0.134,0.010,-0.980
1667307346791,2022-11-01T14:55:46.791,7.988,-0.134,0.007,-0.979
1667307346830,2022-11-01T14:55:46.830,8.027,-0.134,0.009,-0.980
1667307346870,2022-11-01T14:55:46.870,8.067,-0.134,0.007,-0.980
1667307346909,2022-11-01T14:55:46.909,8.106,-0.132,0.006,-0.979
1667307346949,2022-11-01T14:55:46.949,8.146,-0.134,0.008,-0.980
1667307346988,2022-11-01T14:55:46.988,8.185,-0.133,0.008,-0.980
1667307347028,2022-11-01T14:55:47.028,8.225,-0.135,0.006,-0.980
1667307347068,2022-11-01T14:55:47.068,8.265,-0.135,0.009,-0.978
1667307347107,2022-11-01T14:55:47.107,8.304,-0.135,0.007,-0.980
1667307347147,2022-11-01T14:55:47.147,8.344,-0.132,0.006,-0.980
1667307347186,2022-11-01T14:55:47.186,8.383,-0.135,0.006,-0.980
1667307347226,2022-11-01T14:55:47.226,8.423,-0.137,0.006,-0.980
1667307347265,2022-11-01T14:55:47.265,8.462,-0.135,0.013,-0.980
1667307347305,2022-11-01T14:55:47.305,8.502,-0.132,0.005,-0.981
1667307347344,2022-11-01T14:55:47.344,8.541,-0.135,0.006,-0.979
1667307347384,2022-11-01T14:55:47.384,8.581,-0.134,0.008,-0.980
1667307347424,2022-11-01T14:55:47.424,8.621,-0.134,0.006,-0.980
1667307347463,2022-11-01T14:55:47.463,8.660,-0.134,0.004,-0.980
1667307347503,2022-11-01T14:55:47.503,8.700,-0.134,0.004,-0.980
1667307347542,2022-11-01T14:55:47.542,8.739,-0.134,0.005,-0.981
1667307347582,2022-11-01T14:55:47.582,8.779,-0.134,0.007,-0.980
1667307347621,2022-11-01T14:55:47.621,8.818,-0.134,0.003,-0.980
1667307347661,2022-11-01T14:55:47.661,8.858,-0.134,0.007,-0.981
1667307347700,2022-11-01T14:55:47.700,8.897,-0.135,0.004,-0.980
1667307347740,2022-11-01T14:55:47.740,8.937,-0.134,0.004,-0.981
1667307347780,2022-11-01T14:55:47.780,8.977,-0.134,0.002,-0.980
1667307347819,2022-11-01T14:55:47.819,9.016,-0.136,0.003,-0.980
1667307347859,2022-11-01T14:55:47.859,9.056,-0.133,0.006,-0.981
1667307347898,2022-11-01T14:55:47.898,9.095,-0.134,0.001,-0.981
1667307347938,2022-11-01T14:55:47.938,9.135,-0.135,0.003,-0.980
1667307347977,2022-11-01T14:55:47.977,9.174,-0.133,0.007,-0.980
1667307348017,2022-11-01T14:55:48.017,9.214,-0.135,-0.000,-0.980
1667307348056,2022-11-01T14:55:48.056,9.253,-0.135,0.004,-0.980
1667307348096,2022-11-01T14:55:48.096,9.293,-0.133,0.001,-0.980
1667307348135,2022-11-01T14:55:48.135,9.332,-0.135,0.002,-0.981
1667307348175,2022-11-01T14:55:48.175,9.372,-0.133,0.004,-0.980
1667307348215,2022-11-01T14:55:48.215,9.412,-0.134,0.002,-0.980
1667307348254,2022-11-01T14:55:48.254,9.451,-0.134,0.005,-0.982
1667307348294,2022-11-01T14:55:48.294,9.491,-0.135,0.002,-0.981
1667307348333,2022-11-01T14:55:48.333,9.530,-0.134,0.005,-0.979
1667307348373,2022-11-01T14:55:48.373,9.570,-0.135,0.005,-0.980
1667307348412,2022-11-01T14:55:48.412,9.609,-0.134,0.003,-0.981
1667307348452,2022-11-01T14:55:48.452,9.649,-0.134,0.005,-0.980
1667307348491,2022-11-01T14:55:48.491,9.688,-0.134,0.006,-0.981
1667307348531,2022-11-01T14:55:48.531,9.728,-0.135,0.002,-0.980
1667307348571,2022-11-01T14:55:48.571,9.768,-0.134,0.004,-0.979
1667307348610,2022-11-01T14:55:48.610,9.807,-0.134,0.004,-0.980
1667307348650,2022-11-01T14:55:48.650,9.847,-0.135,0.003,-0.980
1667307348689,2022-11-01T14:55:48.689,9.886,-0.135,0.002,-0.981
1667307348729,2022-11-01T14:55:48.729,9.926,-0.134,0.001,-0.981
1667307348768,2022-11-01T14:55:48.768,9.965,-0.133,0.003,-0.981
1667307348808,2022-11-01T14:55:48.808,10.005,-0.134,0.000,-0.983
1667307348847,2022-11-01T14:55:48.847,10.044,-0.135,0.001,-0.980
1667307348887,2022-11-01T14:55:48.887,10.084,-0.134,0.004,-0.979
1667307348926,2022-11-01T14:55:48.926,10.123,-0.134,0.000,-0.980
1667307348966,2022-11-01T14:55:48.966,10.163,-0.135,0.003,-0.981
1667307349006,2022-11-01T14:55:49.006,10.203,-0.135,0.003,-0.980
1667307349045,2022-11-01T14:55:49.045,10.242,-0.133,0.002,-0.979
1667307349085,2022-11-01T14:55:49.085,10.282,-0.134,0.001,-0.980
1667307349124,2022-11-01T14:55:49.124,10.321,-0.134,0.004,-0.981
1667307349164,2022-11-01T14:55:49.164,10.361,-0.134,0.002,-0.981
1667307349203,2022-11-01T14:55:49.203,10.400,-0.133,0.002,-0.979
1667307349243,2022-11-01T14:55:49.243,10.440,-0.134,0.003,-0.980
1667307349282,2022-11-01T14:55:49.282,10.479,-0.134,0.001,-0.980
1667307349322,2022-11-01T14:55:49.322,10.519,-0.134,0.005,-0.982
1667307349362,2022-11-01T14:55:49.362,10.559,-0.134,0.003,-0.981
1667307349401,2022-11-01T14:55:49.401,10.598,-0.134,0.002,-0.979
1667307349441,2022-11-01T14:55:49.441,10.638,-0.133,0.003,-0.981
1667307349480,2022-11-01T14:55:49.480,10.677,-0.136,0.000,-0.980
1667307349520,2022-11-01T14:55:49.520,10.717,-0.134,0.004,-0.979
1667307349559,2022-11-01T14:55:49.559,10.756,-0.136,-0.006,-0.980
1667307349599,2022-11-01T14:55:49.599,10.796,-0.134,0.006,-0.980
1667307349638,2022-11-01T14:55:49.638,10.835,-0.135,-0.001,-0.982
1667307349678,2022-11-01T14:55:49.678,10.875,-0.136,0.001,-0.981
1667307349717,2022-11-01T14:55:49.717,10.914,-0.135,0.004,-0.979
1667307349757,2022-11-01T14:55:49.757,10.954,-0.135,-0.000,-0.980
1667307349797,2022-11-01T14:55:49.797,10.994,-0.134,0.002,-0.980
1667307349836,2022-11-01T14:55:49.836,11.033,-0.134,0.001,-0.980
1667307349876,2022-11-01T14:55:49.876,11.073,-0.134,-0.001,-0.980
1667307349915,2022-11-01T14:55:49.915,11.112,-0.133,-0.002,-0.981
1667307349955,2022-11-01T14:55:49.955,11.152,-0.134,-0.000,-0.981
1667307349994,2022-11-01T14:55:49.994,11.191,-0.134,0.000,-0.981
1667307350034,2022-11-01T14:55:50.034,11.231,-0.134,0.001,-0.981
1667307350073,2022-11-01T14:55:50.073,11.270,-0.135,0.003,-0.980
1667307350113,2022-11-01T14:55:50.113,11.310,-0.135,0.002,-0.981
1667307350153,2022-11-01T14:55:50.153,11.350,-0.135,0.000,-0.979
1667307350192,2022-11-01T14:55:50.192,11.389,-0.134,0.001,-0.980
1667307350232,2022-11-01T14:55:50.232,11.429,-0.133,0.002,-0.981
1667307350271,2022-11-01T14:55:50.271,11.468,-0.135,0.002,-0.980
1667307350311,2022-11-01T14:55:50.311,11.508,-0.134,0.002,-0.979
1667307350350,2022-11-01T14:55:50.350,11.547,-0.134,0.002,-0.981
1667307350390,2022-11-01T14:55:50.390,11.587,-0.135,0.002,-0.981
1667307350429,2022-11-01T14:55:50.429,11.626,-0.134,0.003,-0.980
1667307350469,2022-11-01T14:55:50.469,11.666,-0.133,0.003,-0.981
1667307350509,2022-11-01T14:55:50.509,11.706,-0.134,0.001,-0.981
1667307350548,2022-11-01T14:55:50.548,11.745,-0.135,0.003,-0.980
1667307350588,2022-11-01T14:55:50.588,11.785,-0.132,0.006,-0.979
1667307350627,2022-11-01T14:55:50.627,11.824,-0.135,-0.001,-0.980
1667307350667,2022-11-01T14:55:50.667,11.864,-0.134,0.004,-0.981
1667307350706,2022-11-01T14:55:50.706,11.903,-0.135,0.006,-0.982
1667307350746,2022-11-01T14:55:50.746,11.943,-0.135,0.003,-0.980
1667307350785,2022-11-01T14:55:50.785,11.982,-0.133,0.003,-0.979
1667307350825,2022-11-01T14:55:50.825,12.022,-0.134,0.005,-0.980
1667307350864,2022-11-01T14:55:50.864,12.061,-0.134,0.004,-0.980
1667307350904,2022-11-01T14:55:50.904,12.101,-0.134,0.004,-0.980
1667307350944,2022-11-01T14:55:50.944,12.141,-0.134,0.004,-0.982
1667307350983,2022-11-01T14:55:50.983,12.180,-0.135,0.004,-0.981
1667307351023,2022-11-01T14:55:51.023,12.220,-0.135,0.006,-0.980
1667307351062,2022-11-01T14:55:51.062,12.259,-0.134,0.002,-0.980
1667307351102,2022-11-01T14:55:51.102,12.299,-0.133,0.007,-0.981
1667307351141,2022-11-01T14:55:51.141,12.338,-0.135,0.002,-0.981
1667307351181,2022-11-01T14:55:51.181,12.378,-0.134,-0.001,-0.979
1667307351220,2022-11-01T14:55:51.220,12.417,-0.132,0.007,-0.981
1667307351260,2022-11-01T14:55:51.260,12.457,-0.133,0.001,-0.981
1667307351300,2022-11-01T14:55:51.300,12.497,-0.134,0.001,-0.980
1667307351339,2022-11-01T14:55:51.339,12.536,-0.134,0.005,-0.981
1667307351379,2022-11-01T14:55:51.379,12.576,-0.135,0.002,-0.980
1667307351418,2022-11-01T14:55:51.418,12.615,-0.135,0.009,-0.980
1667307351458,2022-11-01T14:55:51.458,12.655,-0.132,0.007,-0.982
1667307351497,2022-11-01T14:55:51.497,12.694,-0.133,-0.001,-0.980
1667307351537,2022-11-01T14:55:51.537,12.734,-0.135,0.006,-0.981
1667307351576,2022-11-01T14:55:51.576,12.773,-0.135,0.005,-0.981
1667307351616,2022-11-01T14:55:51.616,12.813,-0.132,0.002,-0.981
1667307351655,2022-11-01T14:55:51.655,12.852,-0.135,0.007,-0.981
1667307351695,2022-11-01T14:55:51.695,12.892,-0.135,0.008,-0.980
1667307351735,2022-11-01T14:55:51.735,12.932,-0.133,0.004,-0.980
1667307351774,2022-11-01T14:55:51.774,12.971,-0.133,0.008,-0.980
1667307351814,2022-11-01T14:55:51.814,13.011,-0.134,0.004,-0.980
1667307351853,2022-11-01T14:55:51.853,13.050,-0.133,0.007,-0.981
1667307351893,2022-11-01T14:55:51.893,13.090,-0.134,0.005,-0.980
1667307351932,2022-11-01T14:55:51.932,13.129,-0.133,0.003,-0.979
1667307351972,2022-11-01T14:55:51.972,13.169,-0.132,0.008,-0.981
1667307352011,2022-11-01T14:55:52.011,13.208,-0.135,-0.000,-0.980
1667307352051,2022-11-01T14:55:52.051,13.248,-0.133,0.006,-0.979
1667307352091,2022-11-01T14:55:52.091,13.288,-0.133,0.003,-0.981
1667307352130,2022-11-01T14:55:52.130,13.327,-0.134,0.004,-0.980
1667307352170,2022-11-01T14:55:52.170,13.367,-0.134,0.004,-0.981
1667307352209,2022-11-01T14:55:52.209,13.406,-0.136,0.005,-0.980
1667307352249,2022-11-01T14:55:52.249,13.446,-0.132,0.010,-0.980
1667307352288,2022-11-01T14:55:52.288,13.485,-0.133,0.002,-0.980
1667307352328,2022-11-01T14:55:52.328,13.525,-0.134,0.009,-0.980
1667307352367,2022-11-01T14:55:52.367,13.564,-0.134,0.006,-0.980
1667307352407,2022-11-01T14:55:52.407,13.604,-0.133,0.005,-0.981
1667307352446,2022-11-01T14:55:52.446,13.643,-0.132,0.005,-0.980
1667307352486,2022-11-01T14:55:52.486,13.683,-0.134,0.003,-0.980
1667307352526,2022-11-01T14:55:52.526,13.723,-0.134,0.009,-0.979
1667307352565,2022-11-01T14:55:52.565,13.762,-0.133,0.005,-0.980
1667307352605,2022-11-01T14:55:52.605,13.802,-0.133,0.005,-0.982
1667307352644,2022-11-01T14:55:52.644,13.841,-0.134,0.006,-0.981
1667307352684,2022-11-01T14:55:52.684,13.881,-0.134,0.003,-0.980
1667307352723,2022-11-01T14:55:52.723,13.920,-0.134,0.007,-0.980
1667307352763,2022-11-01T14:55:52.763,13.960,-0.133,0.008,-0.980
