epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1667423793907,2022-11-02T23.16.33.907,0.000,-0.122,0.274,0.213
1667423793946,2022-11-02T23.16.33.946,0.039,0.061,0.366,0.213
1667423793987,2022-11-02T23.16.33.987,0.080,-0.274,0.213,0.030
1667423794028,2022-11-02T23.16.34.028,0.121,-0.305,0.244,-0.061
1667423794070,2022-11-02T23.16.34.070,0.163,-0.213,0.122,-0.091
1667423794109,2022-11-02T23.16.34.109,0.202,-0.122,-0.030,-0.061
1667423794150,2022-11-02T23.16.34.150,0.243,-0.061,0.061,-0.091
1667423794191,2022-11-02T23.16.34.191,0.284,-0.091,0.183,0.030
1667423794232,2022-11-02T23.16.34.232,0.325,-0.152,0.183,0.030
1667423794272,2022-11-02T23.16.34.272,0.365,-0.091,0.427,0.061
1667423794313,2022-11-02T23.16.34.313,0.406,-0.335,0.762,0.091
1667423794354,2022-11-02T23.16.34.354,0.447,-0.152,0.549,0.000
1667423794395,2022-11-02T23.16.34.395,0.488,-0.152,0.549,-0.091
1667423794434,2022-11-02T23.16.34.434,0.527,-0.061,0.427,-0.152
1667423794475,2022-11-02T23.16.34.475,0.568,-0.366,0.030,-0.091
1667423794516,2022-11-02T23.16.34.516,0.609,-0.549,-1.768,-0.061
1667423794556,2022-11-02T23.16.34.556,0.649,-4.451,-4.939,0.000
1667423794597,2022-11-02T23.16.34.597,0.690,-16.128,-10.366,0.884
1667423794638,2022-11-02T23.16.34.638,0.731,-25.244,-21.402,0.823
1667423794679,2022-11-02T23.16.34.679,0.772,-25.976,-22.348,2.287
1667423794718,2022-11-02T23.16.34.718,0.811,-13.598,-9.909,-1.463
1667423794759,2022-11-02T23.16.34.759,0.852,-5.884,-12.256,-1.006
1667423794800,2022-11-02T23.16.34.800,0.893,-12.287,-21.220,0.000
1667423794841,2022-11-02T23.16.34.841,0.934,2.348,-15.945,-9.878
1667423794881,2022-11-02T23.16.34.881,0.974,12.439,-21.341,-13.140
1667423794922,2022-11-02T23.16.34.922,1.015,5.518,-33.171,-12.012
1667423794963,2022-11-02T23.16.34.963,1.056,15.396,-11.829,-6.250
1667423795004,2022-11-02T23.16.35.004,1.097,15.884,-18.841,-8.506
1667423795044,2022-11-02T23.16.35.044,1.137,5.305,-28.323,-5.183
1667423795085,2022-11-02T23.16.35.085,1.178,5.122,-18.476,2.317
1667423795126,2022-11-02T23.16.35.126,1.219,8.384,-15.701,0.244
1667423795165,2022-11-02T23.16.35.165,1.258,11.341,-10.152,-3.354
1667423795206,2022-11-02T23.16.35.206,1.299,2.287,-0.183,2.073
1667423795247,2022-11-02T23.16.35.247,1.340,8.994,4.299,-3.262
1667423795288,2022-11-02T23.16.35.288,1.381,13.018,6.494,-4.299
1667423795328,2022-11-02T23.16.35.328,1.421,5.000,9.146,3.354
1667423795369,2022-11-02T23.16.35.369,1.462,9.238,6.921,0.945
1667423795410,2022-11-02T23.16.35.410,1.503,6.494,3.659,-0.518
1667423795451,2022-11-02T23.16.35.451,1.544,6.433,4.055,-3.110
1667423795490,2022-11-02T23.16.35.490,1.583,3.445,4.390,-4.421
1667423795531,2022-11-02T23.16.35.531,1.624,-1.128,2.713,-2.287
1667423795572,2022-11-02T23.16.35.572,1.665,-1.890,2.287,-1.524
1667423795613,2022-11-02T23.16.35.613,1.706,-0.854,6.189,-1.707
1667423795653,2022-11-02T23.16.35.653,1.746,-5.396,2.896,-1.280
1667423795694,2022-11-02T23.16.35.694,1.787,-1.128,-0.183,-3.232
