epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1667325764452,2022-11-01T20:02:44.452,0.000,0.427,-1.159,-0.061
1667325764492,2022-11-01T20:02:44.492,0.040,0.427,-0.701,-0.305
1667325764531,2022-11-01T20:02:44.531,0.079,-0.305,-0.335,-0.183
1667325764571,2022-11-01T20:02:44.571,0.119,-1.006,-0.244,-0.396
1667325764610,2022-11-01T20:02:44.610,0.158,0.061,0.335,-0.305
1667325764650,2022-11-01T20:02:44.650,0.198,-0.091,0.335,-0.305
1667325764689,2022-11-01T20:02:44.689,0.237,0.000,0.335,-0.152
1667325764729,2022-11-01T20:02:44.729,0.277,-0.366,0.152,-0.244
1667325764769,2022-11-01T20:02:44.769,0.317,0.366,0.274,-0.183
1667325764808,2022-11-01T20:02:44.808,0.356,0.518,0.518,0.030
1667325764848,2022-11-01T20:02:44.848,0.396,0.030,0.152,0.030
1667325764887,2022-11-01T20:02:44.887,0.435,-0.213,-0.457,0.000
1667325764927,2022-11-01T20:02:44.927,0.475,0.305,-0.152,-0.030
1667325764966,2022-11-01T20:02:44.966,0.514,0.457,0.000,0.061
1667325765006,2022-11-01T20:02:45.006,0.554,-0.762,-0.274,-0.305
1667325765045,2022-11-01T20:02:45.045,0.593,-0.427,-0.244,-0.488
1667325765085,2022-11-01T20:02:45.085,0.633,-1.159,-0.183,-0.671
1667325765124,2022-11-01T20:02:45.124,0.672,-2.561,-0.732,-1.098
1667325765164,2022-11-01T20:02:45.164,0.712,-1.128,-0.183,-1.037
1667325765204,2022-11-01T20:02:45.204,0.752,0.518,0.640,-0.335
1667325765243,2022-11-01T20:02:45.243,0.791,-0.640,0.396,-0.091
1667325765283,2022-11-01T20:02:45.283,0.831,0.061,0.091,0.030
1667325765322,2022-11-01T20:02:45.322,0.870,0.884,-0.122,0.091
1667325765362,2022-11-01T20:02:45.362,0.910,-0.274,-0.488,-0.091
1667325765401,2022-11-01T20:02:45.401,0.949,0.183,-0.122,-0.091
1667325765441,2022-11-01T20:02:45.441,0.989,0.884,0.091,-0.061
1667325765480,2022-11-01T20:02:45.480,1.028,0.091,0.091,-0.061
1667325765520,2022-11-01T20:02:45.520,1.068,0.061,0.396,0.000
1667325765560,2022-11-01T20:02:45.560,1.108,-0.488,0.366,-0.152
1667325765599,2022-11-01T20:02:45.599,1.147,-0.213,0.244,-0.366
1667325765639,2022-11-01T20:02:45.639,1.187,0.427,0.396,-0.305
1667325765678,2022-11-01T20:02:45.678,1.226,-0.396,0.427,-0.183
1667325765718,2022-11-01T20:02:45.718,1.266,-0.396,0.366,-0.152
1667325765757,2022-11-01T20:02:45.757,1.305,0.640,0.335,-0.030
1667325765797,2022-11-01T20:02:45.797,1.345,0.457,0.061,-0.061
1667325765836,2022-11-01T20:02:45.836,1.384,0.640,0.061,-0.061
1667325765876,2022-11-01T20:02:45.876,1.424,0.122,0.244,0.000
1667325765915,2022-11-01T20:02:45.915,1.463,-0.061,0.274,0.000
1667325765955,2022-11-01T20:02:45.955,1.503,0.244,0.213,-0.030
1667325765995,2022-11-01T20:02:45.995,1.543,0.061,0.122,-0.122
1667325766034,2022-11-01T20:02:46.034,1.582,0.122,0.213,-0.183
1667325766074,2022-11-01T20:02:46.074,1.622,0.549,0.213,-0.213
1667325766113,2022-11-01T20:02:46.113,1.661,-0.030,0.091,-0.183
1667325766153,2022-11-01T20:02:46.153,1.701,-0.579,0.274,-0.061
1667325766192,2022-11-01T20:02:46.192,1.740,-0.457,0.518,-0.244
1667325766232,2022-11-01T20:02:46.232,1.780,-0.305,0.549,-0.183
1667325766271,2022-11-01T20:02:46.271,1.819,-0.396,0.427,-0.061
1667325766311,2022-11-01T20:02:46.311,1.859,-0.183,0.244,-0.091
1667325766351,2022-11-01T20:02:46.351,1.899,0.427,0.366,-0.122
1667325766390,2022-11-01T20:02:46.390,1.938,0.152,0.335,-0.183
1667325766430,2022-11-01T20:02:46.430,1.978,-0.122,0.274,-0.244
1667325766469,2022-11-01T20:02:46.469,2.017,0.061,0.274,-0.213
1667325766509,2022-11-01T20:02:46.509,2.057,0.091,0.396,-0.091
