epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1668246289664,2022-11-12T11.44.49.664,0.000,-0.245,0.031,-0.956
1668246289704,2022-11-12T11.44.49.704,0.040,-0.246,0.030,-0.966
1668246289744,2022-11-12T11.44.49.744,0.080,-0.245,0.030,-0.964
1668246289784,2022-11-12T11.44.49.784,0.120,-0.245,0.030,-0.964
1668246289824,2022-11-12T11.44.49.824,0.160,-0.245,0.031,-0.963
1668246289864,2022-11-12T11.44.49.864,0.200,-0.245,0.029,-0.963
1668246289904,2022-11-12T11.44.49.904,0.240,-0.245,0.031,-0.965
1668246289944,2022-11-12T11.44.49.944,0.280,-0.246,0.030,-0.964
1668246289984,2022-11-12T11.44.49.984,0.320,-0.246,0.030,-0.962
1668246290024,2022-11-12T11.44.50.024,0.360,-0.245,0.028,-0.963
1668246290064,2022-11-12T11.44.50.064,0.400,-0.246,0.032,-0.964
1668246290104,2022-11-12T11.44.50.104,0.440,-0.245,0.031,-0.963
1668246290144,2022-11-12T11.44.50.144,0.480,-0.244,0.031,-0.963
1668246290184,2022-11-12T11.44.50.184,0.520,-0.245,0.028,-0.964
1668246290224,2022-11-12T11.44.50.224,0.560,-0.246,0.030,-0.963
1668246290264,2022-11-12T11.44.50.264,0.600,-0.245,0.029,-0.963
1668246290304,2022-11-12T11.44.50.304,0.640,-0.244,0.029,-0.964
1668246290344,2022-11-12T11.44.50.344,0.680,-0.246,0.030,-0.964
1668246290384,2022-11-12T11.44.50.384,0.720,-0.246,0.030,-0.963
1668246290424,2022-11-12T11.44.50.424,0.760,-0.246,0.030,-0.962
1668246290464,2022-11-12T11.44.50.464,0.800,-0.245,0.031,-0.962
1668246290504,2022-11-12T11.44.50.504,0.840,-0.245,0.029,-0.963
1668246290544,2022-11-12T11.44.50.544,0.880,-0.245,0.030,-0.963
1668246290584,2022-11-12T11.44.50.584,0.920,-0.245,0.029,-0.962
1668246290624,2022-11-12T11.44.50.624,0.960,-0.245,0.029,-0.963
1668246290664,2022-11-12T11.44.50.664,1.000,-0.245,0.031,-0.963
1668246290704,2022-11-12T11.44.50.704,1.040,-0.246,0.030,-0.962
1668246290744,2022-11-12T11.44.50.744,1.080,-0.246,0.028,-0.962
1668246290784,2022-11-12T11.44.50.784,1.120,-0.246,0.027,-0.963
1668246290824,2022-11-12T11.44.50.824,1.160,-0.245,0.027,-0.963
1668246290864,2022-11-12T11.44.50.864,1.200,-0.245,0.029,-0.961
1668246290904,2022-11-12T11.44.50.904,1.240,-0.245,0.028,-0.962
1668246290944,2022-11-12T11.44.50.944,1.280,-0.245,0.028,-0.963
1668246290984,2022-11-12T11.44.50.984,1.320,-0.246,0.030,-0.963
1668246291024,2022-11-12T11.44.51.024,1.360,-0.246,0.030,-0.963
1668246291064,2022-11-12T11.44.51.064,1.400,-0.247,0.029,-0.963
1668246291104,2022-11-12T11.44.51.104,1.440,-0.246,0.032,-0.963
1668246291144,2022-11-12T11.44.51.144,1.480,-0.246,0.030,-0.963
1668246291184,2022-11-12T11.44.51.184,1.520,-0.247,0.031,-0.961
1668246291224,2022-11-12T11.44.51.224,1.560,-0.246,0.029,-0.963
1668246291264,2022-11-12T11.44.51.264,1.600,-0.246,0.030,-0.962
1668246291304,2022-11-12T11.44.51.304,1.640,-0.247,0.029,-0.962
1668246291344,2022-11-12T11.44.51.344,1.680,-0.246,0.030,-0.962
1668246291384,2022-11-12T11.44.51.384,1.720,-0.245,0.028,-0.962
1668246291424,2022-11-12T11.44.51.424,1.760,-0.246,0.029,-0.962
1668246291464,2022-11-12T11.44.51.464,1.800,-0.246,0.029,-0.962
1668246291504,2022-11-12T11.44.51.504,1.840,-0.245,0.028,-0.964
1668246291544,2022-11-12T11.44.51.544,1.880,-0.245,0.027,-0.963
1668246291584,2022-11-12T11.44.51.584,1.920,-0.244,0.026,-0.963
1668246291624,2022-11-12T11.44.51.624,1.960,-0.244,0.030,-0.963
1668246291664,2022-11-12T11.44.51.664,2.000,-0.245,0.030,-0.964
1668246291704,2022-11-12T11.44.51.704,2.040,-0.246,0.030,-0.964
1668246291744,2022-11-12T11.44.51.744,2.080,-0.246,0.028,-0.962
1668246291784,2022-11-12T11.44.51.784,2.120,-0.247,0.030,-0.962
1668246291824,2022-11-12T11.44.51.824,2.160,-0.246,0.031,-0.962
1668246291864,2022-11-12T11.44.51.864,2.200,-0.246,0.028,-0.962
1668246291904,2022-11-12T11.44.51.904,2.240,-0.247,0.029,-0.963
1668246291944,2022-11-12T11.44.51.944,2.280,-0.246,0.026,-0.963
1668246291984,2022-11-12T11.44.51.984,2.320,-0.245,0.032,-0.963
1668246292024,2022-11-12T11.44.52.024,2.360,-0.245,0.027,-0.962
1668246292064,2022-11-12T11.44.52.064,2.400,-0.246,0.030,-0.963
1668246292104,2022-11-12T11.44.52.104,2.440,-0.245,0.024,-0.963
1668246292144,2022-11-12T11.44.52.144,2.480,-0.246,0.030,-0.963
1668246292184,2022-11-12T11.44.52.184,2.520,-0.245,0.031,-0.964
1668246292224,2022-11-12T11.44.52.224,2.560,-0.249,0.035,-0.962
1668246292264,2022-11-12T11.44.52.264,2.600,-0.245,0.026,-0.961
