epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1668025712517,2022-11-09T22.28.32.517,0.000,0.884,0.091,0.152
1668025712557,2022-11-09T22.28.32.557,0.040,0.945,-0.213,-0.122
1668025712597,2022-11-09T22.28.32.597,0.080,0.549,-0.183,0.549
1668025712637,2022-11-09T22.28.32.637,0.120,0.549,-0.152,0.579
1668025712677,2022-11-09T22.28.32.677,0.160,0.640,-0.152,0.457
1668025712717,2022-11-09T22.28.32.717,0.200,0.518,-0.122,0.518
1668025712757,2022-11-09T22.28.32.757,0.240,0.884,-0.061,0.427
1668025712797,2022-11-09T22.28.32.797,0.280,0.701,-0.152,0.488
1668025712837,2022-11-09T22.28.32.837,0.320,0.549,-0.122,0.457
1668025712877,2022-11-09T22.28.32.877,0.360,0.945,-0.061,0.366
1668025712917,2022-11-09T22.28.32.917,0.400,0.610,-0.152,0.488
1668025712957,2022-11-09T22.28.32.957,0.440,0.701,-0.091,0.457
1668025712997,2022-11-09T22.28.32.997,0.480,0.762,-0.061,0.427
1668025713037,2022-11-09T22.28.33.037,0.520,0.579,-0.152,0.549
1668025713077,2022-11-09T22.28.33.077,0.560,0.854,-0.122,0.427
1668025713117,2022-11-09T22.28.33.117,0.600,0.488,-0.122,0.610
1668025713157,2022-11-09T22.28.33.157,0.640,0.488,-0.152,0.549
1668025713197,2022-11-09T22.28.33.197,0.680,0.732,-0.122,0.366
1668025713237,2022-11-09T22.28.33.237,0.720,0.518,-0.183,0.579
1668025713277,2022-11-09T22.28.33.277,0.760,0.549,-0.152,0.579
1668025713317,2022-11-09T22.28.33.317,0.800,0.732,-0.152,0.396
1668025713357,2022-11-09T22.28.33.357,0.840,0.457,-0.183,0.549
1668025713397,2022-11-09T22.28.33.397,0.880,0.579,-0.091,0.549
1668025713437,2022-11-09T22.28.33.437,0.920,0.671,-0.091,0.457
1668025713477,2022-11-09T22.28.33.477,0.960,0.579,-0.122,0.610
1668025713517,2022-11-09T22.28.33.517,1.000,0.610,-0.183,0.549
1668025713557,2022-11-09T22.28.33.557,1.040,0.488,-0.152,0.457
1668025713597,2022-11-09T22.28.33.597,1.080,0.732,-0.091,0.427
1668025713637,2022-11-09T22.28.33.637,1.120,0.701,-0.091,0.366
1668025713677,2022-11-09T22.28.33.677,1.160,0.823,-0.091,0.396
1668025713717,2022-11-09T22.28.33.717,1.200,0.457,-0.122,0.640
1668025713757,2022-11-09T22.28.33.757,1.240,0.762,-0.122,0.396
1668025713797,2022-11-09T22.28.33.797,1.280,0.884,-0.122,0.335
1668025713837,2022-11-09T22.28.33.837,1.320,0.457,-0.183,0.610
1668025713877,2022-11-09T22.28.33.877,1.360,0.671,-0.152,0.427
1668025713917,2022-11-09T22.28.33.917,1.400,0.732,-0.122,0.457
1668025713957,2022-11-09T22.28.33.957,1.440,0.579,-0.183,0.579
1668025713997,2022-11-09T22.28.33.997,1.480,1.006,-0.061,0.366
1668025714037,2022-11-09T22.28.34.037,1.520,0.579,-0.091,0.518
1668025714077,2022-11-09T22.28.34.077,1.560,0.671,-0.091,0.488
1668025714117,2022-11-09T22.28.34.117,1.600,0.762,-0.122,0.396
1668025714157,2022-11-09T22.28.34.157,1.640,0.701,-0.122,0.457
1668025714197,2022-11-09T22.28.34.197,1.680,0.732,-0.091,0.396
1668025714237,2022-11-09T22.28.34.237,1.720,0.610,-0.091,0.457
1668025714277,2022-11-09T22.28.34.277,1.760,0.427,-0.183,0.610
