epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1667402753974,2022-11-02T17:25:53.974,0.000,-0.134,-0.252,-0.948
1667402754013,2022-11-02T17:25:54.013,0.039,-0.135,-0.257,-0.957
1667402754054,2022-11-02T17:25:54.054,0.080,-0.136,-0.255,-0.955
1667402754096,2022-11-02T17:25:54.096,0.122,-0.136,-0.255,-0.954
1667402754135,2022-11-02T17:25:54.135,0.161,-0.135,-0.255,-0.954
1667402754176,2022-11-02T17:25:54.176,0.202,-0.135,-0.256,-0.956
1667402754217,2022-11-02T17:25:54.217,0.243,-0.136,-0.254,-0.957
1667402754257,2022-11-02T17:25:54.257,0.283,-0.136,-0.256,-0.955
1667402754298,2022-11-02T17:25:54.298,0.324,-0.137,-0.260,-0.954
1667402754337,2022-11-02T17:25:54.337,0.363,-0.135,-0.256,-0.955
1667402754378,2022-11-02T17:25:54.378,0.404,-0.137,-0.253,-0.956
1667402754419,2022-11-02T17:25:54.419,0.445,-0.136,-0.257,-0.953
1667402754459,2022-11-02T17:25:54.459,0.485,-0.134,-0.257,-0.954
1667402754500,2022-11-02T17:25:54.500,0.526,-0.138,-0.255,-0.953
1667402754541,2022-11-02T17:25:54.541,0.567,-0.138,-0.251,-0.955
1667402754580,2022-11-02T17:25:54.580,0.606,-0.133,-0.259,-0.953
1667402754621,2022-11-02T17:25:54.621,0.647,-0.135,-0.255,-0.955
1667402754662,2022-11-02T17:25:54.662,0.688,-0.137,-0.254,-0.955
1667402754702,2022-11-02T17:25:54.702,0.728,-0.133,-0.258,-0.953
1667402754743,2022-11-02T17:25:54.743,0.769,-0.136,-0.255,-0.954
1667402754784,2022-11-02T17:25:54.784,0.810,-0.137,-0.252,-0.954
1667402754824,2022-11-02T17:25:54.824,0.850,-0.136,-0.254,-0.953
1667402754865,2022-11-02T17:25:54.865,0.891,-0.136,-0.259,-0.952
1667402754906,2022-11-02T17:25:54.906,0.932,-0.136,-0.257,-0.954
1667402754945,2022-11-02T17:25:54.945,0.971,-0.133,-0.255,-0.954
1667402754986,2022-11-02T17:25:54.986,1.012,-0.134,-0.255,-0.955
1667402755026,2022-11-02T17:25:55.026,1.052,-0.137,-0.255,-0.953
1667402755067,2022-11-02T17:25:55.067,1.093,-0.133,-0.255,-0.954
1667402755108,2022-11-02T17:25:55.108,1.134,-0.135,-0.256,-0.954
1667402755147,2022-11-02T17:25:55.147,1.173,-0.136,-0.254,-0.953
1667402755188,2022-11-02T17:25:55.188,1.214,-0.133,-0.255,-0.953
1667402755229,2022-11-02T17:25:55.229,1.255,-0.134,-0.257,-0.954
1667402755269,2022-11-02T17:25:55.269,1.295,-0.135,-0.253,-0.954
1667402755310,2022-11-02T17:25:55.310,1.336,-0.135,-0.252,-0.954
1667402755351,2022-11-02T17:25:55.351,1.377,-0.135,-0.256,-0.953
1667402755390,2022-11-02T17:25:55.390,1.416,-0.136,-0.255,-0.953
1667402755431,2022-11-02T17:25:55.431,1.457,-0.136,-0.253,-0.954
1667402755472,2022-11-02T17:25:55.472,1.498,-0.136,-0.255,-0.953
1667402755512,2022-11-02T17:25:55.512,1.538,-0.135,-0.253,-0.954
1667402755553,2022-11-02T17:25:55.553,1.579,-0.135,-0.256,-0.954
1667402755594,2022-11-02T17:25:55.594,1.620,-0.134,-0.254,-0.955
1667402755634,2022-11-02T17:25:55.634,1.660,-0.136,-0.255,-0.954
1667402755675,2022-11-02T17:25:55.675,1.701,-0.135,-0.256,-0.954
1667402755714,2022-11-02T17:25:55.714,1.740,-0.134,-0.255,-0.954
1667402755755,2022-11-02T17:25:55.755,1.781,-0.136,-0.255,-0.955
1667402755796,2022-11-02T17:25:55.796,1.822,-0.135,-0.254,-0.953
1667402755836,2022-11-02T17:25:55.836,1.862,-0.134,-0.257,-0.953
1667402755877,2022-11-02T17:25:55.877,1.903,-0.136,-0.255,-0.954
1667402755918,2022-11-02T17:25:55.918,1.944,-0.135,-0.253,-0.953
1667402755957,2022-11-02T17:25:55.957,1.983,-0.135,-0.257,-0.953
1667402755998,2022-11-02T17:25:55.998,2.024,-0.136,-0.256,-0.953
1667402756039,2022-11-02T17:25:56.039,2.065,-0.136,-0.254,-0.953
1667402756079,2022-11-02T17:25:56.079,2.105,-0.135,-0.257,-0.953
1667402756120,2022-11-02T17:25:56.120,2.146,-0.135,-0.255,-0.954
1667402756161,2022-11-02T17:25:56.161,2.187,-0.136,-0.255,-0.954
1667402756200,2022-11-02T17:25:56.200,2.226,-0.136,-0.262,-0.953
1667402756242,2022-11-02T17:25:56.242,2.268,-0.137,-0.254,-0.953
1667402756283,2022-11-02T17:25:56.283,2.309,-0.140,-0.252,-0.955
1667402756322,2022-11-02T17:25:56.322,2.348,-0.138,-0.240,-0.947
1667402756363,2022-11-02T17:25:56.363,2.389,-0.143,-0.229,-0.953
1667402756403,2022-11-02T17:25:56.403,2.429,-0.148,-0.247,-0.949
1667402756444,2022-11-02T17:25:56.444,2.470,-0.156,-0.228,-0.947
1667402756485,2022-11-02T17:25:56.485,2.511,-0.178,-0.204,-0.968
1667402756524,2022-11-02T17:25:56.524,2.550,-0.192,-0.212,-0.972
1667402756565,2022-11-02T17:25:56.565,2.591,-0.195,-0.185,-0.969
1667402756606,2022-11-02T17:25:56.606,2.632,-0.196,-0.183,-0.965
1667402756646,2022-11-02T17:25:56.646,2.672,-0.196,-0.194,-0.966
1667402756687,2022-11-02T17:25:56.687,2.713,-0.192,-0.189,-0.963
1667402756728,2022-11-02T17:25:56.728,2.754,-0.194,-0.191,-0.962
1667402756767,2022-11-02T17:25:56.767,2.793,-0.196,-0.192,-0.961
1667402756808,2022-11-02T17:25:56.808,2.834,-0.196,-0.201,-0.960
1667402756849,2022-11-02T17:25:56.849,2.875,-0.197,-0.205,-0.959
1667402756889,2022-11-02T17:25:56.889,2.915,-0.199,-0.203,-0.957
1667402756930,2022-11-02T17:25:56.930,2.956,-0.197,-0.201,-0.958
