epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1668363863448,2022-11-13T20.24.23.448,0.000,0.305,-0.579,0.762
1668363863488,2022-11-13T20.24.23.488,0.040,0.213,-0.854,0.762
1668363863528,2022-11-13T20.24.23.528,0.080,0.549,-0.396,0.671
1668363863568,2022-11-13T20.24.23.568,0.120,0.366,-0.518,1.067
1668363863608,2022-11-13T20.24.23.608,0.160,0.274,-0.579,1.189
1668363863648,2022-11-13T20.24.23.648,0.200,0.701,-0.427,1.098
1668363863688,2022-11-13T20.24.23.688,0.240,0.732,-0.549,1.159
1668363863728,2022-11-13T20.24.23.728,0.280,0.854,-0.427,1.098
1668363863768,2022-11-13T20.24.23.768,0.320,0.945,-0.427,0.976
1668363863808,2022-11-13T20.24.23.808,0.360,0.671,-0.244,0.976
1668363863848,2022-11-13T20.24.23.848,0.400,0.701,-0.122,0.945
1668363863888,2022-11-13T20.24.23.888,0.440,0.793,-0.274,0.884
1668363863928,2022-11-13T20.24.23.928,0.480,1.037,-0.091,0.610
1668363863968,2022-11-13T20.24.23.968,0.520,0.518,-0.061,0.732
1668363864008,2022-11-13T20.24.24.008,0.560,0.671,0.000,0.579
1668363864048,2022-11-13T20.24.24.048,0.600,0.732,0.305,0.701
1668363864088,2022-11-13T20.24.24.088,0.640,0.518,-0.030,0.640
1668363864128,2022-11-13T20.24.24.128,0.680,0.244,-0.335,0.457
1668363864168,2022-11-13T20.24.24.168,0.720,0.274,0.610,0.030
1668363864208,2022-11-13T20.24.24.208,0.760,0.518,0.457,-0.213
1668363864248,2022-11-13T20.24.24.248,0.800,0.396,-0.335,0.335
1668363864288,2022-11-13T20.24.24.288,0.840,0.152,-0.640,1.220
1668363864328,2022-11-13T20.24.24.328,0.880,0.305,-0.396,1.555
1668363864368,2022-11-13T20.24.24.368,0.920,0.701,-0.030,1.372
1668363864408,2022-11-13T20.24.24.408,0.960,0.457,-0.244,1.311
1668363864448,2022-11-13T20.24.24.448,1.000,0.732,-0.152,0.762
1668363864488,2022-11-13T20.24.24.488,1.040,1.280,-0.061,0.213
1668363864528,2022-11-13T20.24.24.528,1.080,0.610,-0.213,0.579
1668363864568,2022-11-13T20.24.24.568,1.120,0.701,0.061,0.396
1668363864608,2022-11-13T20.24.24.608,1.160,0.549,-0.152,0.244
1668363864648,2022-11-13T20.24.24.648,1.200,0.610,-0.213,0.091
1668363864688,2022-11-13T20.24.24.688,1.240,0.701,-0.152,0.122
1668363864728,2022-11-13T20.24.24.728,1.280,0.427,-0.884,0.976
1668363864768,2022-11-13T20.24.24.768,1.320,0.884,-0.640,1.402
1668363864808,2022-11-13T20.24.24.808,1.360,0.579,-0.823,1.616
1668363864848,2022-11-13T20.24.24.848,1.400,0.366,-1.402,1.524
1668363864888,2022-11-13T20.24.24.888,1.440,0.762,-0.244,0.884
1668363864928,2022-11-13T20.24.24.928,1.480,1.128,0.671,0.213
1668363864968,2022-11-13T20.24.24.968,1.520,0.396,0.061,0.000
1668363865008,2022-11-13T20.24.25.008,1.560,0.671,0.335,-0.366
1668363865048,2022-11-13T20.24.25.048,1.600,0.823,0.396,-0.305
1668363865088,2022-11-13T20.24.25.088,1.640,0.427,-0.488,-0.061
1668363865128,2022-11-13T20.24.25.128,1.680,1.189,-0.122,-0.183
1668363865168,2022-11-13T20.24.25.168,1.720,1.006,-0.335,0.305
1668363865208,2022-11-13T20.24.25.208,1.760,0.579,-0.823,0.762
1668363865248,2022-11-13T20.24.25.248,1.800,0.976,-0.122,0.640
1668363865288,2022-11-13T20.24.25.288,1.840,1.006,-0.122,0.427
1668363865328,2022-11-13T20.24.25.328,1.880,0.732,-0.183,0.549
1668363865368,2022-11-13T20.24.25.368,1.920,0.823,0.183,0.579
1668363865408,2022-11-13T20.24.25.408,1.960,1.067,0.854,0.183
1668363865448,2022-11-13T20.24.25.448,2.000,1.799,1.951,-0.671
1668363865488,2022-11-13T20.24.25.488,2.040,0.396,0.610,-0.030
1668363865528,2022-11-13T20.24.25.528,2.080,0.213,-0.396,0.396
1668363865568,2022-11-13T20.24.25.568,2.120,0.732,-0.183,0.610
1668363865608,2022-11-13T20.24.25.608,2.160,0.244,-0.823,0.945
1668363865648,2022-11-13T20.24.25.648,2.200,0.732,-0.640,0.915
1668363865688,2022-11-13T20.24.25.688,2.240,0.701,-0.305,1.128
1668363865728,2022-11-13T20.24.25.728,2.280,0.854,-0.518,0.884
1668363865768,2022-11-13T20.24.25.768,2.320,0.976,-0.335,0.549
1668363865808,2022-11-13T20.24.25.808,2.360,0.915,-0.640,0.427
1668363865848,2022-11-13T20.24.25.848,2.400,0.884,-0.854,0.366
1668363865888,2022-11-13T20.24.25.888,2.440,1.098,-1.402,-0.244
1668363865928,2022-11-13T20.24.25.928,2.480,0.976,-2.134,-0.762
1668363865968,2022-11-13T20.24.25.968,2.520,-0.213,-1.341,-0.091
1668363866008,2022-11-13T20.24.26.008,2.560,0.457,1.037,0.427
1668363866048,2022-11-13T20.24.26.048,2.600,0.823,0.122,0.366
1668363866088,2022-11-13T20.24.26.088,2.640,0.335,-0.457,0.884
1668363866128,2022-11-13T20.24.26.128,2.680,0.732,-0.091,0.671
1668363866168,2022-11-13T20.24.26.168,2.720,0.732,0.030,0.640
1668363866208,2022-11-13T20.24.26.208,2.760,0.823,0.061,0.396
1668363866248,2022-11-13T20.24.26.248,2.800,0.793,0.030,0.457
1668363866288,2022-11-13T20.24.26.288,2.840,0.579,-0.427,0.640
1668363866328,2022-11-13T20.24.26.328,2.880,0.427,-0.427,0.762
1668363866368,2022-11-13T20.24.26.368,2.920,0.701,-0.152,0.488
1668363866408,2022-11-13T20.24.26.408,2.960,0.701,-0.122,0.457
1668363866448,2022-11-13T20.24.26.448,3.000,0.671,-0.213,0.518
1668363866488,2022-11-13T20.24.26.488,3.040,1.159,0.152,0.366
1668363866528,2022-11-13T20.24.26.528,3.080,1.098,0.213,0.366
1668363866568,2022-11-13T20.24.26.568,3.120,0.854,-0.091,0.457
1668363866608,2022-11-13T20.24.26.608,3.160,0.671,-0.122,0.732
1668363866648,2022-11-13T20.24.26.648,3.200,0.488,-0.274,0.762
1668363866688,2022-11-13T20.24.26.688,3.240,0.366,-0.152,0.671
1668363866728,2022-11-13T20.24.26.728,3.280,0.732,0.061,0.366
1668363866768,2022-11-13T20.24.26.768,3.320,0.549,0.030,0.305
1668363866808,2022-11-13T20.24.26.808,3.360,0.732,0.244,0.152
1668363866848,2022-11-13T20.24.26.848,3.400,0.579,0.122,0.335
1668363866888,2022-11-13T20.24.26.888,3.440,0.244,0.213,0.732
1668363866928,2022-11-13T20.24.26.928,3.480,0.061,0.701,0.549
1668363866968,2022-11-13T20.24.26.968,3.520,0.488,0.793,0.122
1668363867008,2022-11-13T20.24.27.008,3.560,0.610,-0.152,0.274
1668363867048,2022-11-13T20.24.27.048,3.600,1.159,-1.250,0.945
1668363867088,2022-11-13T20.24.27.088,3.640,1.616,-0.457,2.226
1668363867128,2022-11-13T20.24.27.128,3.680,0.549,0.091,1.921
1668363867168,2022-11-13T20.24.27.168,3.720,0.579,-1.982,0.762
1668363867208,2022-11-13T20.24.27.208,3.760,1.098,-3.232,0.671
1668363867248,2022-11-13T20.24.27.248,3.800,1.433,-2.530,1.006
1668363867288,2022-11-13T20.24.27.288,3.840,1.098,-2.683,1.098
1668363867328,2022-11-13T20.24.27.328,3.880,3.323,-0.396,-0.457
1668363867368,2022-11-13T20.24.27.368,3.920,1.372,0.122,0.305
1668363867408,2022-11-13T20.24.27.408,3.960,1.128,-0.030,0.854
1668363867448,2022-11-13T20.24.27.448,4.000,1.372,0.457,0.610
1668363867488,2022-11-13T20.24.27.488,4.040,0.213,-0.671,0.549
1668363867528,2022-11-13T20.24.27.528,4.080,0.823,-0.366,0.274
1668363867568,2022-11-13T20.24.27.568,4.120,0.701,0.213,0.671
1668363867608,2022-11-13T20.24.27.608,4.160,0.213,-0.061,0.488
1668363867648,2022-11-13T20.24.27.648,4.200,1.524,-1.372,-0.091
1668363867688,2022-11-13T20.24.27.688,4.240,1.311,0.061,0.366
1668363867728,2022-11-13T20.24.27.728,4.280,0.518,-0.823,0.244
1668363867768,2022-11-13T20.24.27.768,4.320,1.280,-0.701,0.244
1668363867808,2022-11-13T20.24.27.808,4.360,1.250,-0.762,0.152
1668363867848,2022-11-13T20.24.27.848,4.400,0.518,-1.159,0.488
1668363867888,2022-11-13T20.24.27.888,4.440,1.585,-0.854,0.152
1668363867928,2022-11-13T20.24.27.928,4.480,1.707,-0.732,0.488
1668363867968,2022-11-13T20.24.27.968,4.520,0.854,0.030,0.518
1668363868008,2022-11-13T20.24.28.008,4.560,0.183,-0.396,0.274
1668363868048,2022-11-13T20.24.28.048,4.600,0.396,-0.488,0.061
1668363868088,2022-11-13T20.24.28.088,4.640,0.915,0.122,-0.152
1668363868128,2022-11-13T20.24.28.128,4.680,0.091,-0.457,-0.457
1668363868168,2022-11-13T20.24.28.168,4.720,-0.457,-1.402,-0.549
1668363868208,2022-11-13T20.24.28.208,4.760,-1.860,-0.518,0.000
1668363868248,2022-11-13T20.24.28.248,4.800,-1.646,0.518,-0.549
1668363868288,2022-11-13T20.24.28.288,4.840,-0.396,-0.244,-1.098
1668363868328,2022-11-13T20.24.28.328,4.880,-0.610,-0.366,-0.579
1668363868368,2022-11-13T20.24.28.368,4.920,-0.061,0.579,0.579
1668363868408,2022-11-13T20.24.28.408,4.960,0.701,-0.030,1.189
1668363868448,2022-11-13T20.24.28.448,5.000,1.220,-0.579,1.402
1668363868488,2022-11-13T20.24.28.488,5.040,0.122,-0.244,1.189
1668363868528,2022-11-13T20.24.28.528,5.080,1.677,0.183,-0.823
1668363868568,2022-11-13T20.24.28.568,5.120,0.061,-0.762,-0.640
1668363868608,2022-11-13T20.24.28.608,5.160,0.152,-0.457,-0.488
1668363868648,2022-11-13T20.24.28.648,5.200,0.091,-1.250,-0.244
1668363868688,2022-11-13T20.24.28.688,5.240,-0.762,-0.854,0.061
1668363868728,2022-11-13T20.24.28.728,5.280,-1.006,-1.037,0.091
1668363868768,2022-11-13T20.24.28.768,5.320,0.793,0.732,0.000
1668363868808,2022-11-13T20.24.28.808,5.360,1.037,1.037,1.067
1668363868848,2022-11-13T20.24.28.848,5.400,0.549,0.091,0.823
1668363868888,2022-11-13T20.24.28.888,5.440,1.982,0.427,-0.335
1668363868928,2022-11-13T20.24.28.928,5.480,1.280,0.061,0.122
1668363868968,2022-11-13T20.24.28.968,5.520,1.646,-2.165,0.335
1668363869008,2022-11-13T20.24.29.008,5.560,-0.030,-2.896,1.037
1668363869048,2022-11-13T20.24.29.048,5.600,0.335,0.061,-0.061
1668363869088,2022-11-13T20.24.29.088,5.640,0.793,-0.549,-0.762
1668363869128,2022-11-13T20.24.29.128,5.680,0.549,-1.433,0.427
1668363869168,2022-11-13T20.24.29.168,5.720,0.976,-0.061,0.945
1668363869208,2022-11-13T20.24.29.208,5.760,1.799,-0.884,1.341
1668363869248,2022-11-13T20.24.29.248,5.800,1.677,-0.396,2.226
1668363869288,2022-11-13T20.24.29.288,5.840,2.713,0.152,0.732
1668363869328,2022-11-13T20.24.29.328,5.880,1.738,-0.152,1.067
1668363869368,2022-11-13T20.24.29.368,5.920,-0.061,0.244,1.280
1668363869408,2022-11-13T20.24.29.408,5.960,0.884,0.213,-0.213
1668363869448,2022-11-13T20.24.29.448,6.000,0.640,-0.213,-0.396
1668363869488,2022-11-13T20.24.29.488,6.040,-0.762,-0.091,0.091
1668363869528,2022-11-13T20.24.29.528,6.080,1.250,0.518,-1.128
1668363869568,2022-11-13T20.24.29.568,6.120,0.213,0.152,-0.091
1668363869608,2022-11-13T20.24.29.608,6.160,0.061,0.793,0.396
1668363869648,2022-11-13T20.24.29.648,6.200,1.555,0.030,-0.640
1668363869688,2022-11-13T20.24.29.688,6.240,1.341,-0.366,-0.244
1668363869728,2022-11-13T20.24.29.728,6.280,1.037,0.244,0.122
1668363869768,2022-11-13T20.24.29.768,6.320,1.250,-0.213,0.335
1668363869808,2022-11-13T20.24.29.808,6.360,1.189,-0.823,0.854
1668363869848,2022-11-13T20.24.29.848,6.400,0.915,-0.213,1.128
1668363869888,2022-11-13T20.24.29.888,6.440,0.640,-0.244,0.762
1668363869928,2022-11-13T20.24.29.928,6.480,0.335,-0.030,0.549
1668363869968,2022-11-13T20.24.29.968,6.520,0.915,0.213,0.183
1668363870008,2022-11-13T20.24.30.008,6.560,1.037,-0.305,0.762
1668363870048,2022-11-13T20.24.30.048,6.600,-0.305,-0.823,2.378
1668363870088,2022-11-13T20.24.30.088,6.640,1.098,-0.427,1.494
1668363870128,2022-11-13T20.24.30.128,6.680,1.372,-0.335,0.762
1668363870168,2022-11-13T20.24.30.168,6.720,0.671,-0.305,0.884
1668363870208,2022-11-13T20.24.30.208,6.760,0.915,-0.213,0.640
1668363870248,2022-11-13T20.24.30.248,6.800,0.762,0.152,0.762
