epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1667311449752,2022-11-01T16:04:09.752,0.000,0.161,-0.080,-0.945
1667311449792,2022-11-01T16:04:09.792,0.040,0.177,-0.071,-0.954
1667311449831,2022-11-01T16:04:09.831,0.079,0.162,-0.067,-0.962
1667311449871,2022-11-01T16:04:09.871,0.119,0.154,-0.097,-0.966
1667311449911,2022-11-01T16:04:09.911,0.159,0.180,-0.141,-0.922
1667311449950,2022-11-01T16:04:09.950,0.198,0.163,-0.099,-0.952
1667311449990,2022-11-01T16:04:09.990,0.238,0.174,-0.096,-0.940
1667311450029,2022-11-01T16:04:10.029,0.277,0.174,-0.076,-0.907
1667311450069,2022-11-01T16:04:10.069,0.317,0.175,-0.082,-0.958
1667311450108,2022-11-01T16:04:10.108,0.356,0.164,-0.099,-0.972
1667311450148,2022-11-01T16:04:10.148,0.396,0.137,-0.145,-0.977
1667311450187,2022-11-01T16:04:10.187,0.435,0.151,-0.118,-0.951
1667311450225,2022-11-01T16:04:10.225,0.473,0.138,-0.119,-0.956
1667311450265,2022-11-01T16:04:10.265,0.513,0.142,-0.126,-0.960
1667311450305,2022-11-01T16:04:10.305,0.553,0.126,-0.105,-0.964
1667311450344,2022-11-01T16:04:10.344,0.592,0.121,-0.100,-0.966
1667311450384,2022-11-01T16:04:10.384,0.632,0.127,-0.109,-0.955
1667311450423,2022-11-01T16:04:10.423,0.671,0.115,-0.105,-0.968
1667311450463,2022-11-01T16:04:10.463,0.711,0.118,-0.102,-0.959
1667311450502,2022-11-01T16:04:10.502,0.750,0.116,-0.102,-0.961
1667311450542,2022-11-01T16:04:10.542,0.790,0.117,-0.098,-0.961
1667311450581,2022-11-01T16:04:10.581,0.829,0.120,-0.096,-0.959
1667311450621,2022-11-01T16:04:10.621,0.869,0.116,-0.095,-0.964
1667311450661,2022-11-01T16:04:10.661,0.909,0.119,-0.093,-0.963
1667311450700,2022-11-01T16:04:10.700,0.948,0.122,-0.102,-0.959
1667311450740,2022-11-01T16:04:10.740,0.988,0.123,-0.099,-0.960
1667311450779,2022-11-01T16:04:10.779,1.027,0.123,-0.093,-0.961
1667311450819,2022-11-01T16:04:10.819,1.067,0.124,-0.092,-0.961
1667311450858,2022-11-01T16:04:10.858,1.106,0.120,-0.096,-0.960
1667311450898,2022-11-01T16:04:10.898,1.146,0.116,-0.084,-0.961
1667311450937,2022-11-01T16:04:10.937,1.185,0.125,-0.088,-0.962
1667311450977,2022-11-01T16:04:10.977,1.225,0.124,-0.102,-0.959
1667311451016,2022-11-01T16:04:11.016,1.264,0.124,-0.093,-0.959
1667311451056,2022-11-01T16:04:11.056,1.304,0.125,-0.084,-0.960
1667311451096,2022-11-01T16:04:11.096,1.344,0.121,-0.090,-0.961
1667311451135,2022-11-01T16:04:11.135,1.383,0.118,-0.094,-0.960
1667311451175,2022-11-01T16:04:11.175,1.423,0.124,-0.076,-0.961
1667311451214,2022-11-01T16:04:11.214,1.462,0.120,-0.092,-0.961
1667311451254,2022-11-01T16:04:11.254,1.502,0.121,-0.098,-0.961
1667311451293,2022-11-01T16:04:11.293,1.541,0.120,-0.080,-0.960
1667311451333,2022-11-01T16:04:11.333,1.581,0.120,-0.085,-0.961
1667311451372,2022-11-01T16:04:11.372,1.620,0.124,-0.099,-0.961
1667311451412,2022-11-01T16:04:11.412,1.660,0.118,-0.090,-0.961
1667311451452,2022-11-01T16:04:11.452,1.700,0.122,-0.071,-0.961
1667311451491,2022-11-01T16:04:11.491,1.739,0.118,-0.078,-0.962
1667311451531,2022-11-01T16:04:11.531,1.779,0.121,-0.090,-0.961
1667311451570,2022-11-01T16:04:11.570,1.818,0.123,-0.068,-0.961
1667311451610,2022-11-01T16:04:11.610,1.858,0.115,-0.080,-0.963
1667311451649,2022-11-01T16:04:11.649,1.897,0.114,-0.085,-0.961
1667311451689,2022-11-01T16:04:11.689,1.937,0.129,-0.073,-0.960
1667311451728,2022-11-01T16:04:11.728,1.976,0.117,-0.088,-0.962
1667311451768,2022-11-01T16:04:11.768,2.016,0.110,-0.092,-0.962
1667311451807,2022-11-01T16:04:11.807,2.055,0.126,-0.070,-0.959
1667311451847,2022-11-01T16:04:11.847,2.095,0.125,-0.088,-0.960
1667311451887,2022-11-01T16:04:11.887,2.135,0.121,-0.093,-0.960
1667311451926,2022-11-01T16:04:11.926,2.174,0.119,-0.090,-0.962
1667311451966,2022-11-01T16:04:11.966,2.214,0.111,-0.094,-0.966
1667311452005,2022-11-01T16:04:12.005,2.253,0.126,-0.083,-0.960
1667311452045,2022-11-01T16:04:12.045,2.293,0.133,-0.097,-0.955
1667311452084,2022-11-01T16:04:12.084,2.332,0.136,-0.156,-0.951
1667311452124,2022-11-01T16:04:12.124,2.372,0.135,-0.120,-0.955
1667311452163,2022-11-01T16:04:12.163,2.411,0.132,-0.076,-0.961
1667311452203,2022-11-01T16:04:12.203,2.451,0.123,-0.108,-0.958
1667311452243,2022-11-01T16:04:12.243,2.491,0.121,-0.177,-0.950
1667311452282,2022-11-01T16:04:12.282,2.530,0.132,-0.157,-0.954
1667311452322,2022-11-01T16:04:12.322,2.570,0.132,-0.112,-0.958
1667311452361,2022-11-01T16:04:12.361,2.609,0.136,-0.141,-0.953
1667311452401,2022-11-01T16:04:12.401,2.649,0.124,-0.149,-0.953
1667311452440,2022-11-01T16:04:12.440,2.688,0.121,-0.103,-0.956
1667311452480,2022-11-01T16:04:12.480,2.728,0.136,-0.099,-0.956
1667311452519,2022-11-01T16:04:12.519,2.767,0.140,-0.170,-0.950
1667311452559,2022-11-01T16:04:12.559,2.807,0.132,-0.151,-0.952
1667311452599,2022-11-01T16:04:12.599,2.847,0.134,-0.089,-0.959
1667311452638,2022-11-01T16:04:12.638,2.886,0.138,-0.141,-0.954
1667311452678,2022-11-01T16:04:12.678,2.926,0.133,-0.159,-0.954
1667311452717,2022-11-01T16:04:12.717,2.965,0.131,-0.114,-0.956
1667311452757,2022-11-01T16:04:12.757,3.005,0.136,-0.126,-0.954
1667311452796,2022-11-01T16:04:12.796,3.044,0.140,-0.151,-0.952
1667311452836,2022-11-01T16:04:12.836,3.084,0.135,-0.113,-0.956
1667311452875,2022-11-01T16:04:12.875,3.123,0.137,-0.131,-0.953
1667311452915,2022-11-01T16:04:12.915,3.163,0.142,-0.146,-0.951
1667311452954,2022-11-01T16:04:12.954,3.202,0.133,-0.133,-0.956
1667311452994,2022-11-01T16:04:12.994,3.242,0.133,-0.136,-0.954
1667311453034,2022-11-01T16:04:13.034,3.282,0.136,-0.123,-0.952
1667311453073,2022-11-01T16:04:13.073,3.321,0.134,-0.138,-0.953
1667311453113,2022-11-01T16:04:13.113,3.361,0.138,-0.159,-0.952
1667311453152,2022-11-01T16:04:13.152,3.400,0.135,-0.123,-0.954
1667311453192,2022-11-01T16:04:13.192,3.440,0.139,-0.126,-0.954
1667311453231,2022-11-01T16:04:13.231,3.479,0.135,-0.137,-0.953
1667311453271,2022-11-01T16:04:13.271,3.519,0.134,-0.139,-0.953
1667311453310,2022-11-01T16:04:13.310,3.558,0.138,-0.149,-0.952
1667311453350,2022-11-01T16:04:13.350,3.598,0.132,-0.125,-0.954
1667311453390,2022-11-01T16:04:13.390,3.638,0.132,-0.117,-0.954
1667311453429,2022-11-01T16:04:13.429,3.677,0.133,-0.139,-0.953
1667311453469,2022-11-01T16:04:13.469,3.717,0.141,-0.140,-0.952
1667311453508,2022-11-01T16:04:13.508,3.756,0.141,-0.154,-0.950
1667311453548,2022-11-01T16:04:13.548,3.796,0.129,-0.134,-0.954
1667311453587,2022-11-01T16:04:13.587,3.835,0.132,-0.120,-0.955
1667311453627,2022-11-01T16:04:13.627,3.875,0.140,-0.128,-0.954
1667311453666,2022-11-01T16:04:13.666,3.914,0.134,-0.157,-0.951
1667311453706,2022-11-01T16:04:13.706,3.954,0.139,-0.123,-0.953
1667311453745,2022-11-01T16:04:13.745,3.993,0.143,-0.118,-0.955
1667311453785,2022-11-01T16:04:13.785,4.033,0.140,-0.153,-0.951
1667311453825,2022-11-01T16:04:13.825,4.073,0.135,-0.145,-0.952
1667311453864,2022-11-01T16:04:13.864,4.112,0.137,-0.131,-0.954
1667311453904,2022-11-01T16:04:13.904,4.152,0.140,-0.130,-0.952
1667311453943,2022-11-01T16:04:13.943,4.191,0.137,-0.134,-0.952
1667311453983,2022-11-01T16:04:13.983,4.231,0.136,-0.132,-0.952
1667311454022,2022-11-01T16:04:14.022,4.270,0.140,-0.122,-0.953
1667311454062,2022-11-01T16:04:14.062,4.310,0.139,-0.134,-0.954
1667311454101,2022-11-01T16:04:14.101,4.349,0.137,-0.147,-0.951
1667311454141,2022-11-01T16:04:14.141,4.389,0.149,-0.116,-0.953
1667311454181,2022-11-01T16:04:14.181,4.429,0.134,-0.131,-0.954
1667311454220,2022-11-01T16:04:14.220,4.468,0.137,-0.141,-0.953
1667311454260,2022-11-01T16:04:14.260,4.508,0.141,-0.118,-0.956
1667311454299,2022-11-01T16:04:14.299,4.547,0.141,-0.136,-0.953
1667311454339,2022-11-01T16:04:14.339,4.587,0.141,-0.137,-0.953
1667311454378,2022-11-01T16:04:14.378,4.626,0.134,-0.118,-0.956
1667311454418,2022-11-01T16:04:14.418,4.666,0.138,-0.129,-0.954
1667311454457,2022-11-01T16:04:14.457,4.705,0.141,-0.121,-0.953
1667311454497,2022-11-01T16:04:14.497,4.745,0.141,-0.134,-0.952
1667311454536,2022-11-01T16:04:14.536,4.784,0.144,-0.147,-0.951
1667311454576,2022-11-01T16:04:14.576,4.824,0.143,-0.127,-0.953
1667311454616,2022-11-01T16:04:14.616,4.864,0.132,-0.116,-0.955
1667311454655,2022-11-01T16:04:14.655,4.903,0.136,-0.120,-0.955
1667311454695,2022-11-01T16:04:14.695,4.943,0.140,-0.144,-0.951
1667311454734,2022-11-01T16:04:14.734,4.982,0.135,-0.135,-0.953
1667311454774,2022-11-01T16:04:14.774,5.022,0.137,-0.111,-0.955
1667311454813,2022-11-01T16:04:14.813,5.061,0.135,-0.127,-0.954
1667311454853,2022-11-01T16:04:14.853,5.101,0.136,-0.129,-0.954
1667311454892,2022-11-01T16:04:14.892,5.140,0.139,-0.114,-0.955
1667311454932,2022-11-01T16:04:14.932,5.180,0.133,-0.140,-0.952
1667311454972,2022-11-01T16:04:14.972,5.220,0.137,-0.139,-0.952
1667311455011,2022-11-01T16:04:15.011,5.259,0.141,-0.131,-0.953
1667311455051,2022-11-01T16:04:15.051,5.299,0.138,-0.125,-0.954
1667311455090,2022-11-01T16:04:15.090,5.338,0.137,-0.120,-0.955
1667311455130,2022-11-01T16:04:15.130,5.378,0.141,-0.129,-0.952
