epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1667842764825,2022-11-07T19:39:24.825,0.000,-0.289,0.319,-0.909
1667842764865,2022-11-07T19:39:24.865,0.040,-0.287,0.329,-0.914
1667842764905,2022-11-07T19:39:24.905,0.080,-0.290,0.328,-0.912
1667842764945,2022-11-07T19:39:24.945,0.120,-0.296,0.325,-0.912
1667842764985,2022-11-07T19:39:24.985,0.160,-0.289,0.325,-0.915
1667842765025,2022-11-07T19:39:25.025,0.200,-0.293,0.325,-0.911
1667842765065,2022-11-07T19:39:25.065,0.240,-0.303,0.326,-0.909
1667842765105,2022-11-07T19:39:25.105,0.280,-0.293,0.325,-0.911
1667842765145,2022-11-07T19:39:25.145,0.320,-0.283,0.332,-0.912
1667842765185,2022-11-07T19:39:25.185,0.360,-0.285,0.329,-0.913
1667842765225,2022-11-07T19:39:25.225,0.400,-0.297,0.339,-0.909
1667842765265,2022-11-07T19:39:25.265,0.440,-0.302,0.331,-0.909
1667842765305,2022-11-07T19:39:25.305,0.480,-0.299,0.306,-0.916
1667842765345,2022-11-07T19:39:25.345,0.520,-0.297,0.313,-0.919
1667842765385,2022-11-07T19:39:25.385,0.560,-0.290,0.340,-0.911
1667842765425,2022-11-07T19:39:25.425,0.600,-0.283,0.337,-0.909
1667842765465,2022-11-07T19:39:25.465,0.640,-0.282,0.328,-0.911
1667842765505,2022-11-07T19:39:25.505,0.680,-0.291,0.332,-0.909
1667842765545,2022-11-07T19:39:25.545,0.720,-0.295,0.328,-0.911
1667842765585,2022-11-07T19:39:25.585,0.760,-0.294,0.327,-0.918
1667842765625,2022-11-07T19:39:25.625,0.800,-0.302,0.325,-0.909
1667842765665,2022-11-07T19:39:25.665,0.840,-0.295,0.336,-0.908
1667842765705,2022-11-07T19:39:25.705,0.880,-0.286,0.337,-0.911
1667842765745,2022-11-07T19:39:25.745,0.920,-0.286,0.326,-0.911
1667842765785,2022-11-07T19:39:25.785,0.960,-0.291,0.324,-0.909
1667842765825,2022-11-07T19:39:25.825,1.000,-0.288,0.332,-0.911
1667842765865,2022-11-07T19:39:25.865,1.040,-0.291,0.330,-0.912
1667842765905,2022-11-07T19:39:25.905,1.080,-0.301,0.323,-0.910
1667842765945,2022-11-07T19:39:25.945,1.120,-0.298,0.325,-0.910
1667842765985,2022-11-07T19:39:25.985,1.160,-0.291,0.329,-0.909
1667842766025,2022-11-07T19:39:26.025,1.200,-0.286,0.331,-0.911
1667842766065,2022-11-07T19:39:26.065,1.240,-0.289,0.326,-0.911
1667842766105,2022-11-07T19:39:26.105,1.280,-0.294,0.324,-0.911
1667842766145,2022-11-07T19:39:26.145,1.320,-0.295,0.326,-0.911
1667842766185,2022-11-07T19:39:26.185,1.360,-0.295,0.328,-0.911
1667842766225,2022-11-07T19:39:26.225,1.400,-0.294,0.327,-0.911
1667842766265,2022-11-07T19:39:26.265,1.440,-0.291,0.330,-0.909
1667842766305,2022-11-07T19:39:26.305,1.480,-0.288,0.329,-0.912
1667842766345,2022-11-07T19:39:26.345,1.520,-0.291,0.325,-0.912
1667842766385,2022-11-07T19:39:26.385,1.560,-0.295,0.327,-0.910
1667842766425,2022-11-07T19:39:26.425,1.600,-0.294,0.328,-0.912
1667842766465,2022-11-07T19:39:26.465,1.640,-0.293,0.326,-0.914
1667842766505,2022-11-07T19:39:26.505,1.680,-0.302,0.323,-0.911
1667842766545,2022-11-07T19:39:26.545,1.720,-0.306,0.324,-0.906
1667842766585,2022-11-07T19:39:26.585,1.760,-0.296,0.327,-0.911
1667842766625,2022-11-07T19:39:26.625,1.800,-0.292,0.327,-0.915
1667842766665,2022-11-07T19:39:26.665,1.840,-0.294,0.327,-0.908
1667842766705,2022-11-07T19:39:26.705,1.880,-0.289,0.331,-0.908
1667842766745,2022-11-07T19:39:26.745,1.920,-0.286,0.335,-0.911
1667842766785,2022-11-07T19:39:26.785,1.960,-0.293,0.329,-0.909
1667842766825,2022-11-07T19:39:26.825,2.000,-0.297,0.326,-0.909
1667842766865,2022-11-07T19:39:26.865,2.040,-0.297,0.327,-0.911
1667842766905,2022-11-07T19:39:26.905,2.080,-0.299,0.324,-0.910
1667842766945,2022-11-07T19:39:26.945,2.120,-0.299,0.323,-0.911
1667842766985,2022-11-07T19:39:26.985,2.160,-0.295,0.323,-0.913
1667842767025,2022-11-07T19:39:27.025,2.200,-0.295,0.325,-0.911
1667842767065,2022-11-07T19:39:27.065,2.240,-0.295,0.330,-0.909
1667842767105,2022-11-07T19:39:27.105,2.280,-0.292,0.331,-0.908
1667842767145,2022-11-07T19:39:27.145,2.320,-0.293,0.329,-0.909
1667842767185,2022-11-07T19:39:27.185,2.360,-0.295,0.328,-0.910
1667842767225,2022-11-07T19:39:27.225,2.400,-0.296,0.328,-0.912
1667842767265,2022-11-07T19:39:27.265,2.440,-0.291,0.323,-0.912
1667842767305,2022-11-07T19:39:27.305,2.480,-0.296,0.324,-0.909
1667842767345,2022-11-07T19:39:27.345,2.520,-0.300,0.326,-0.910
1667842767385,2022-11-07T19:39:27.385,2.560,-0.297,0.321,-0.912
1667842767425,2022-11-07T19:39:27.425,2.600,-0.297,0.318,-0.913
1667842767465,2022-11-07T19:39:27.465,2.640,-0.297,0.327,-0.910
1667842767505,2022-11-07T19:39:27.505,2.680,-0.297,0.330,-0.908
1667842767545,2022-11-07T19:39:27.545,2.720,-0.296,0.331,-0.909
1667842767585,2022-11-07T19:39:27.585,2.760,-0.285,0.334,-0.905
1667842767625,2022-11-07T19:39:27.625,2.800,-0.278,0.333,-0.907
1667842767665,2022-11-07T19:39:27.665,2.840,-0.274,0.327,-0.920
1667842767705,2022-11-07T19:39:27.705,2.880,-0.296,0.322,-0.920
1667842767745,2022-11-07T19:39:27.745,2.920,-0.324,0.321,-0.911
1667842767785,2022-11-07T19:39:27.785,2.960,-0.310,0.306,-0.908
1667842767825,2022-11-07T19:39:27.825,3.000,-0.285,0.312,-0.912
1667842767865,2022-11-07T19:39:27.865,3.040,-0.281,0.319,-0.915
1667842767905,2022-11-07T19:39:27.905,3.080,-0.294,0.316,-0.915
1667842767945,2022-11-07T19:39:27.945,3.120,-0.303,0.311,-0.914
1667842767985,2022-11-07T19:39:27.985,3.160,-0.305,0.310,-0.915
1667842768025,2022-11-07T19:39:28.025,3.200,-0.294,0.319,-0.914
1667842768065,2022-11-07T19:39:28.065,3.240,-0.286,0.312,-0.918
1667842768105,2022-11-07T19:39:28.105,3.280,-0.290,0.313,-0.912
1667842768145,2022-11-07T19:39:28.145,3.320,-0.287,0.316,-0.912
1667842768185,2022-11-07T19:39:28.185,3.360,-0.290,0.327,-0.913
1667842768225,2022-11-07T19:39:28.225,3.400,-0.304,0.337,-0.909
1667842768265,2022-11-07T19:39:28.265,3.440,-0.319,0.326,-0.904
1667842768305,2022-11-07T19:39:28.305,3.480,-0.301,0.319,-0.914
1667842768345,2022-11-07T19:39:28.345,3.520,-0.275,0.314,-0.920
1667842768385,2022-11-07T19:39:28.385,3.560,-0.281,0.320,-0.912
1667842768425,2022-11-07T19:39:28.425,3.600,-0.288,0.322,-0.911
1667842768465,2022-11-07T19:39:28.465,3.640,-0.280,0.323,-0.914
1667842768505,2022-11-07T19:39:28.505,3.680,-0.288,0.337,-0.909
1667842768545,2022-11-07T19:39:28.545,3.720,-0.299,0.338,-0.902
1667842768585,2022-11-07T19:39:28.585,3.760,-0.296,0.307,-0.914
1667842768625,2022-11-07T19:39:28.625,3.800,-0.299,0.300,-0.922
1667842768665,2022-11-07T19:39:28.665,3.840,-0.308,0.323,-0.911
1667842768705,2022-11-07T19:39:28.705,3.880,-0.294,0.322,-0.910
1667842768745,2022-11-07T19:39:28.745,3.920,-0.290,0.309,-0.918
1667842768785,2022-11-07T19:39:28.785,3.960,-0.297,0.305,-0.915
1667842768825,2022-11-07T19:39:28.825,4.000,-0.300,0.312,-0.911
