epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1668508748942,2022-11-15T12:39:08.942,0.000,-0.164,-0.192,-0.981
1668508748982,2022-11-15T12:39:08.982,0.040,-0.165,-0.191,-0.988
1668508749022,2022-11-15T12:39:09.022,0.080,-0.164,-0.192,-0.986
1668508749062,2022-11-15T12:39:09.062,0.120,-0.165,-0.190,-0.987
1668508749102,2022-11-15T12:39:09.102,0.160,-0.165,-0.192,-0.988
1668508749142,2022-11-15T12:39:09.142,0.200,-0.164,-0.192,-0.987
1668508749182,2022-11-15T12:39:09.182,0.240,-0.164,-0.191,-0.987
1668508749222,2022-11-15T12:39:09.222,0.280,-0.165,-0.191,-0.986
1668508749262,2022-11-15T12:39:09.262,0.320,-0.162,-0.189,-0.988
1668508749302,2022-11-15T12:39:09.302,0.360,-0.163,-0.186,-0.989
1668508749342,2022-11-15T12:39:09.342,0.400,-0.164,-0.190,-0.987
1668508749382,2022-11-15T12:39:09.382,0.440,-0.164,-0.187,-0.988
1668508749422,2022-11-15T12:39:09.422,0.480,-0.167,-0.186,-0.990
1668508749462,2022-11-15T12:39:09.462,0.520,-0.167,-0.186,-0.987
1668508749502,2022-11-15T12:39:09.502,0.560,-0.167,-0.186,-0.986
1668508749542,2022-11-15T12:39:09.542,0.600,-0.166,-0.187,-0.989
1668508749582,2022-11-15T12:39:09.582,0.640,-0.173,-0.184,-0.985
1668508749622,2022-11-15T12:39:09.622,0.680,-0.170,-0.190,-0.986
1668508749662,2022-11-15T12:39:09.662,0.720,-0.169,-0.187,-0.986
1668508749702,2022-11-15T12:39:09.702,0.760,-0.170,-0.186,-0.986
1668508749742,2022-11-15T12:39:09.742,0.800,-0.170,-0.184,-0.986
1668508749782,2022-11-15T12:39:09.782,0.840,-0.171,-0.189,-0.986
1668508749822,2022-11-15T12:39:09.822,0.880,-0.171,-0.184,-0.987
1668508749862,2022-11-15T12:39:09.862,0.920,-0.170,-0.189,-0.988
1668508749902,2022-11-15T12:39:09.902,0.960,-0.171,-0.182,-0.986
1668508749942,2022-11-15T12:39:09.942,1.000,-0.172,-0.182,-0.986
1668508749982,2022-11-15T12:39:09.982,1.040,-0.173,-0.187,-0.986
1668508750022,2022-11-15T12:39:10.022,1.080,-0.172,-0.186,-0.987
1668508750062,2022-11-15T12:39:10.062,1.120,-0.171,-0.181,-0.986
1668508750102,2022-11-15T12:39:10.102,1.160,-0.171,-0.184,-0.986
1668508750142,2022-11-15T12:39:10.142,1.200,-0.172,-0.187,-0.986
1668508750182,2022-11-15T12:39:10.182,1.240,-0.172,-0.188,-0.986
1668508750222,2022-11-15T12:39:10.222,1.280,-0.171,-0.188,-0.986
1668508750262,2022-11-15T12:39:10.262,1.320,-0.172,-0.186,-0.986
1668508750302,2022-11-15T12:39:10.302,1.360,-0.171,-0.184,-0.986
1668508750342,2022-11-15T12:39:10.342,1.400,-0.170,-0.187,-0.987
1668508750382,2022-11-15T12:39:10.382,1.440,-0.172,-0.187,-0.986
1668508750422,2022-11-15T12:39:10.422,1.480,-0.171,-0.185,-0.985
1668508750462,2022-11-15T12:39:10.462,1.520,-0.172,-0.187,-0.987
1668508750502,2022-11-15T12:39:10.502,1.560,-0.171,-0.188,-0.986
1668508750542,2022-11-15T12:39:10.542,1.600,-0.172,-0.183,-0.986
1668508750582,2022-11-15T12:39:10.582,1.640,-0.172,-0.186,-0.987
1668508750622,2022-11-15T12:39:10.622,1.680,-0.172,-0.187,-0.985
1668508750662,2022-11-15T12:39:10.662,1.720,-0.172,-0.188,-0.985
1668508750702,2022-11-15T12:39:10.702,1.760,-0.170,-0.185,-0.987
1668508750742,2022-11-15T12:39:10.742,1.800,-0.173,-0.182,-0.986
1668508750782,2022-11-15T12:39:10.782,1.840,-0.170,-0.189,-0.985
1668508750822,2022-11-15T12:39:10.822,1.880,-0.170,-0.182,-0.986
1668508750862,2022-11-15T12:39:10.862,1.920,-0.174,-0.193,-0.985
1668508750902,2022-11-15T12:39:10.902,1.960,-0.171,-0.191,-0.986
1668508750942,2022-11-15T12:39:10.942,2.000,-0.172,-0.183,-0.987
1668508750982,2022-11-15T12:39:10.982,2.040,-0.173,-0.182,-0.986
1668508751022,2022-11-15T12:39:11.022,2.080,-0.170,-0.191,-0.984
1668508751062,2022-11-15T12:39:11.062,2.120,-0.171,-0.185,-0.986
1668508751102,2022-11-15T12:39:11.102,2.160,-0.172,-0.181,-0.987
1668508751142,2022-11-15T12:39:11.142,2.200,-0.172,-0.189,-0.984
1668508751182,2022-11-15T12:39:11.182,2.240,-0.171,-0.187,-0.985
1668508751222,2022-11-15T12:39:11.222,2.280,-0.171,-0.188,-0.986
