epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1668363863540,2022-11-13T20.24.23.540,0.000,-0.332,0.197,-0.921
1668363863580,2022-11-13T20.24.23.580,0.040,-0.335,0.197,-0.930
1668363863620,2022-11-13T20.24.23.620,0.080,-0.336,0.201,-0.927
1668363863660,2022-11-13T20.24.23.660,0.120,-0.335,0.199,-0.928
1668363863700,2022-11-13T20.24.23.700,0.160,-0.335,0.199,-0.928
1668363863740,2022-11-13T20.24.23.740,0.200,-0.336,0.201,-0.928
1668363863780,2022-11-13T20.24.23.780,0.240,-0.334,0.198,-0.926
1668363863820,2022-11-13T20.24.23.820,0.280,-0.336,0.200,-0.926
1668363863860,2022-11-13T20.24.23.860,0.320,-0.335,0.198,-0.928
1668363863900,2022-11-13T20.24.23.900,0.360,-0.336,0.204,-0.926
1668363863940,2022-11-13T20.24.23.940,0.400,-0.335,0.196,-0.927
1668363863980,2022-11-13T20.24.23.980,0.440,-0.336,0.201,-0.926
1668363864020,2022-11-13T20.24.24.020,0.480,-0.335,0.199,-0.926
1668363864060,2022-11-13T20.24.24.060,0.520,-0.335,0.198,-0.929
1668363864100,2022-11-13T20.24.24.100,0.560,-0.335,0.200,-0.928
1668363864140,2022-11-13T20.24.24.140,0.600,-0.334,0.199,-0.924
1668363864180,2022-11-13T20.24.24.180,0.640,-0.335,0.202,-0.927
1668363864220,2022-11-13T20.24.24.220,0.680,-0.332,0.199,-0.930
1668363864260,2022-11-13T20.24.24.260,0.720,-0.334,0.197,-0.928
1668363864300,2022-11-13T20.24.24.300,0.760,-0.334,0.198,-0.928
1668363864340,2022-11-13T20.24.24.340,0.800,-0.336,0.204,-0.925
1668363864380,2022-11-13T20.24.24.380,0.840,-0.333,0.201,-0.927
1668363864420,2022-11-13T20.24.24.420,0.880,-0.334,0.203,-0.926
1668363864460,2022-11-13T20.24.24.460,0.920,-0.336,0.207,-0.927
1668363864500,2022-11-13T20.24.24.500,0.960,-0.334,0.196,-0.929
1668363864540,2022-11-13T20.24.24.540,1.000,-0.335,0.203,-0.925
1668363864580,2022-11-13T20.24.24.580,1.040,-0.333,0.201,-0.927
1668363864620,2022-11-13T20.24.24.620,1.080,-0.334,0.201,-0.927
1668363864660,2022-11-13T20.24.24.660,1.120,-0.335,0.202,-0.926
1668363864700,2022-11-13T20.24.24.700,1.160,-0.336,0.196,-0.929
1668363864740,2022-11-13T20.24.24.740,1.200,-0.334,0.202,-0.925
