epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1668186647915,2022-11-11T19:10:47.915,0.000,-0.091,-0.488,0.457
1668186647955,2022-11-11T19:10:47.955,0.040,-0.213,-0.335,0.152
1668186647995,2022-11-11T19:10:47.995,0.080,-0.305,-0.335,0.457
1668186648035,2022-11-11T19:10:48.035,0.120,-0.335,-0.305,0.457
1668186648075,2022-11-11T19:10:48.075,0.160,-0.305,-0.305,0.457
1668186648115,2022-11-11T19:10:48.115,0.200,-0.274,-0.274,0.457
1668186648155,2022-11-11T19:10:48.155,0.240,-0.244,-0.305,0.457
1668186648195,2022-11-11T19:10:48.195,0.280,-0.274,-0.244,0.427
1668186648235,2022-11-11T19:10:48.235,0.320,-0.305,-0.244,0.427
1668186648275,2022-11-11T19:10:48.275,0.360,-0.274,-0.305,0.457
1668186648315,2022-11-11T19:10:48.315,0.400,-0.305,-0.335,0.488
1668186648355,2022-11-11T19:10:48.355,0.440,-0.366,-0.305,0.396
1668186648395,2022-11-11T19:10:48.395,0.480,-0.396,-0.305,0.396
1668186648435,2022-11-11T19:10:48.435,0.520,-0.335,-0.335,0.396
1668186648475,2022-11-11T19:10:48.475,0.560,-0.335,-0.305,0.396
1668186648515,2022-11-11T19:10:48.515,0.600,-0.335,-0.305,0.366
1668186648555,2022-11-11T19:10:48.555,0.640,-0.396,-0.335,0.396
1668186648595,2022-11-11T19:10:48.595,0.680,-0.396,-0.335,0.366
1668186648635,2022-11-11T19:10:48.635,0.720,-0.366,-0.335,0.366
1668186648675,2022-11-11T19:10:48.675,0.760,-0.366,-0.305,0.335
1668186648715,2022-11-11T19:10:48.715,0.800,-0.366,-0.305,0.305
1668186648755,2022-11-11T19:10:48.755,0.840,-0.366,-0.305,0.366
1668186648795,2022-11-11T19:10:48.795,0.880,-0.396,-0.305,0.427
1668186648835,2022-11-11T19:10:48.835,0.920,-0.549,-0.335,0.457
1668186648875,2022-11-11T19:10:48.875,0.960,-0.701,-0.274,0.518
