epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1668341846592,2022-11-13T14:17:26.592,0.000,-9.665,-37.104,-8.140
1668341846632,2022-11-13T14:17:26.632,0.040,-9.451,-39.085,-2.409
1668341846672,2022-11-13T14:17:26.672,0.080,-2.622,-33.049,-9.817
1668341846712,2022-11-13T14:17:26.712,0.120,23.049,-26.890,-12.073
1668341846752,2022-11-13T14:17:26.752,0.160,13.902,-9.848,-13.262
1668341846792,2022-11-13T14:17:26.792,0.200,-3.659,14.451,-5.366
1668341846832,2022-11-13T14:17:26.832,0.240,-13.841,-10.274,3.689
1668341846872,2022-11-13T14:17:26.872,0.280,-2.287,-6.402,3.720
1668341846912,2022-11-13T14:17:26.912,0.320,10.823,3.140,3.537
1668341846952,2022-11-13T14:17:26.952,0.360,9.299,0.579,4.177
1668341846992,2022-11-13T14:17:26.992,0.400,-4.817,-2.348,4.878
1668341847032,2022-11-13T14:17:27.032,0.440,-5.000,-4.695,3.293
1668341847072,2022-11-13T14:17:27.072,0.480,4.238,-11.768,0.579
1668341847112,2022-11-13T14:17:27.112,0.520,-2.104,-25.396,-1.799
1668341847152,2022-11-13T14:17:27.152,0.560,12.439,-21.829,-0.091
1668341847192,2022-11-13T14:17:27.192,0.600,-6.463,-18.354,5.793
1668341847232,2022-11-13T14:17:27.232,0.640,-11.402,-9.207,6.524
1668341847272,2022-11-13T14:17:27.272,0.680,5.488,8.079,2.256
1668341847312,2022-11-13T14:17:27.312,0.720,9.268,26.890,1.433
1668341847352,2022-11-13T14:17:27.352,0.760,17.378,37.378,2.591
1668341847392,2022-11-13T14:17:27.392,0.800,22.043,2.774,4.482
1668341847432,2022-11-13T14:17:27.432,0.840,53.780,22.561,5.335
1668341847472,2022-11-13T14:17:27.472,0.880,18.994,41.006,6.280
1668341847512,2022-11-13T14:17:27.512,0.920,-38.415,17.683,4.848
1668341847552,2022-11-13T14:17:27.552,0.960,-15.701,1.890,-1.280
1668341847592,2022-11-13T14:17:27.592,1.000,7.835,12.896,0.427
1668341847632,2022-11-13T14:17:27.632,1.040,-11.006,8.841,2.256
1668341847672,2022-11-13T14:17:27.672,1.080,-11.250,1.677,1.799
