epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1668268001711,2022-11-12T17.46.41.711,0.000,-0.428,0.100,-0.892
1668268001751,2022-11-12T17.46.41.751,0.040,-0.427,0.115,-0.905
1668268001791,2022-11-12T17.46.41.791,0.080,-0.427,0.105,-0.905
1668268001831,2022-11-12T17.46.41.831,0.120,-0.438,0.120,-0.897
1668268001871,2022-11-12T17.46.41.871,0.160,-0.430,0.110,-0.904
1668268001911,2022-11-12T17.46.41.911,0.200,-0.432,0.107,-0.903
1668268001951,2022-11-12T17.46.41.951,0.240,-0.435,0.114,-0.901
1668268001991,2022-11-12T17.46.41.991,0.280,-0.433,0.112,-0.902
1668268002031,2022-11-12T17.46.42.031,0.320,-0.436,0.110,-0.900
1668268002071,2022-11-12T17.46.42.071,0.360,-0.436,0.114,-0.901
1668268002111,2022-11-12T17.46.42.111,0.400,-0.435,0.115,-0.901
1668268002151,2022-11-12T17.46.42.151,0.440,-0.437,0.112,-0.899
1668268002191,2022-11-12T17.46.42.191,0.480,-0.437,0.112,-0.897
1668268002231,2022-11-12T17.46.42.231,0.520,-0.437,0.114,-0.901
1668268002271,2022-11-12T17.46.42.271,0.560,-0.437,0.113,-0.899
1668268002311,2022-11-12T17.46.42.311,0.600,-0.438,0.111,-0.900
1668268002351,2022-11-12T17.46.42.351,0.640,-0.431,0.101,-0.901
1668268002391,2022-11-12T17.46.42.391,0.680,-0.432,0.108,-0.902
1668268002431,2022-11-12T17.46.42.431,0.720,-0.438,0.116,-0.900
1668268002471,2022-11-12T17.46.42.471,0.760,-0.432,0.107,-0.903
1668268002511,2022-11-12T17.46.42.511,0.800,-0.435,0.106,-0.903
1668268002551,2022-11-12T17.46.42.551,0.840,-0.436,0.112,-0.898
1668268002591,2022-11-12T17.46.42.591,0.880,-0.430,0.102,-0.903
1668268002631,2022-11-12T17.46.42.631,0.920,-0.434,0.111,-0.903
1668268002671,2022-11-12T17.46.42.671,0.960,-0.432,0.104,-0.904
1668268002711,2022-11-12T17.46.42.711,1.000,-0.435,0.109,-0.898
1668268002751,2022-11-12T17.46.42.751,1.040,-0.430,0.101,-0.902
1668268002791,2022-11-12T17.46.42.791,1.080,-0.434,0.109,-0.900
1668268002831,2022-11-12T17.46.42.831,1.120,-0.437,0.106,-0.897
1668268002871,2022-11-12T17.46.42.871,1.160,-0.442,0.109,-0.896
1668268002911,2022-11-12T17.46.42.911,1.200,-0.436,0.105,-0.899
1668268002951,2022-11-12T17.46.42.951,1.240,-0.437,0.106,-0.901
1668268002991,2022-11-12T17.46.42.991,1.280,-0.435,0.104,-0.901
1668268003031,2022-11-12T17.46.43.031,1.320,-0.436,0.107,-0.900
1668268003071,2022-11-12T17.46.43.071,1.360,-0.433,0.105,-0.902
1668268003111,2022-11-12T17.46.43.111,1.400,-0.435,0.109,-0.899
1668268003151,2022-11-12T17.46.43.151,1.440,-0.433,0.105,-0.900
1668268003191,2022-11-12T17.46.43.191,1.480,-0.436,0.118,-0.899
1668268003231,2022-11-12T17.46.43.231,1.520,-0.423,0.087,-0.908
1668268003271,2022-11-12T17.46.43.271,1.560,-0.436,0.099,-0.907
1668268003311,2022-11-12T17.46.43.311,1.600,-0.456,0.145,-0.882
1668268003351,2022-11-12T17.46.43.351,1.640,-0.419,0.079,-0.906
1668268003391,2022-11-12T17.46.43.391,1.680,-0.439,0.114,-0.902
1668268003431,2022-11-12T17.46.43.431,1.720,-0.438,0.108,-0.900
1668268003471,2022-11-12T17.46.43.471,1.760,-0.433,0.101,-0.900
1668268003511,2022-11-12T17.46.43.511,1.800,-0.432,0.103,-0.903
1668268003551,2022-11-12T17.46.43.551,1.840,-0.433,0.104,-0.903
1668268003591,2022-11-12T17.46.43.591,1.880,-0.428,0.100,-0.905
1668268003631,2022-11-12T17.46.43.631,1.920,-0.432,0.107,-0.901
1668268003671,2022-11-12T17.46.43.671,1.960,-0.428,0.102,-0.903
1668268003711,2022-11-12T17.46.43.711,2.000,-0.431,0.104,-0.902
1668268003751,2022-11-12T17.46.43.751,2.040,-0.436,0.110,-0.900
1668268003791,2022-11-12T17.46.43.791,2.080,-0.430,0.103,-0.904
1668268003831,2022-11-12T17.46.43.831,2.120,-0.431,0.103,-0.904
1668268003871,2022-11-12T17.46.43.871,2.160,-0.437,0.109,-0.901
1668268003911,2022-11-12T17.46.43.911,2.200,-0.433,0.107,-0.902
1668268003951,2022-11-12T17.46.43.951,2.240,-0.433,0.108,-0.901
1668268003991,2022-11-12T17.46.43.991,2.280,-0.438,0.118,-0.896
1668268004031,2022-11-12T17.46.44.031,2.320,-0.438,0.111,-0.896
1668268004071,2022-11-12T17.46.44.071,2.360,-0.441,0.117,-0.896
1668268004111,2022-11-12T17.46.44.111,2.400,-0.437,0.109,-0.899
1668268004151,2022-11-12T17.46.44.151,2.440,-0.438,0.110,-0.902
1668268004191,2022-11-12T17.46.44.191,2.480,-0.437,0.110,-0.898
1668268004231,2022-11-12T17.46.44.231,2.520,-0.438,0.116,-0.897
1668268004271,2022-11-12T17.46.44.271,2.560,-0.441,0.114,-0.897
1668268004311,2022-11-12T17.46.44.311,2.600,-0.440,0.113,-0.898
1668268004351,2022-11-12T17.46.44.351,2.640,-0.436,0.109,-0.900
1668268004391,2022-11-12T17.46.44.391,2.680,-0.440,0.114,-0.897
1668268004431,2022-11-12T17.46.44.431,2.720,-0.438,0.110,-0.898
1668268004471,2022-11-12T17.46.44.471,2.760,-0.438,0.113,-0.897
1668268004511,2022-11-12T17.46.44.511,2.800,-0.439,0.111,-0.898
1668268004551,2022-11-12T17.46.44.551,2.840,-0.439,0.111,-0.901
1668268004591,2022-11-12T17.46.44.591,2.880,-0.438,0.111,-0.899
1668268004631,2022-11-12T17.46.44.631,2.920,-0.439,0.113,-0.899
1668268004671,2022-11-12T17.46.44.671,2.960,-0.440,0.113,-0.899
1668268004711,2022-11-12T17.46.44.711,3.000,-0.439,0.116,-0.896
1668268004751,2022-11-12T17.46.44.751,3.040,-0.438,0.108,-0.897
1668268004791,2022-11-12T17.46.44.791,3.080,-0.439,0.113,-0.898
1668268004831,2022-11-12T17.46.44.831,3.120,-0.438,0.112,-0.899
1668268004871,2022-11-12T17.46.44.871,3.160,-0.439,0.114,-0.896
1668268004911,2022-11-12T17.46.44.911,3.200,-0.440,0.113,-0.898
1668268004951,2022-11-12T17.46.44.951,3.240,-0.440,0.113,-0.897
1668268004991,2022-11-12T17.46.44.991,3.280,-0.438,0.115,-0.897
1668268005031,2022-11-12T17.46.45.031,3.320,-0.438,0.113,-0.897
1668268005071,2022-11-12T17.46.45.071,3.360,-0.439,0.114,-0.898
1668268005111,2022-11-12T17.46.45.111,3.400,-0.439,0.116,-0.896
1668268005151,2022-11-12T17.46.45.151,3.440,-0.438,0.114,-0.899
1668268005191,2022-11-12T17.46.45.191,3.480,-0.438,0.113,-0.897
1668268005231,2022-11-12T17.46.45.231,3.520,-0.438,0.115,-0.898
1668268005271,2022-11-12T17.46.45.271,3.560,-0.437,0.114,-0.898
1668268005311,2022-11-12T17.46.45.311,3.600,-0.439,0.115,-0.897
1668268005351,2022-11-12T17.46.45.351,3.640,-0.439,0.116,-0.898
1668268005391,2022-11-12T17.46.45.391,3.680,-0.438,0.112,-0.899
1668268005431,2022-11-12T17.46.45.431,3.720,-0.439,0.116,-0.899
1668268005471,2022-11-12T17.46.45.471,3.760,-0.438,0.114,-0.897
1668268005511,2022-11-12T17.46.45.511,3.800,-0.438,0.113,-0.897
1668268005551,2022-11-12T17.46.45.551,3.840,-0.438,0.116,-0.896
1668268005591,2022-11-12T17.46.45.591,3.880,-0.437,0.114,-0.898
1668268005631,2022-11-12T17.46.45.631,3.920,-0.438,0.114,-0.897
1668268005671,2022-11-12T17.46.45.671,3.960,-0.439,0.115,-0.897
1668268005711,2022-11-12T17.46.45.711,4.000,-0.438,0.115,-0.897
1668268005751,2022-11-12T17.46.45.751,4.040,-0.438,0.114,-0.898
1668268005791,2022-11-12T17.46.45.791,4.080,-0.439,0.114,-0.899
1668268005831,2022-11-12T17.46.45.831,4.120,-0.440,0.115,-0.896
1668268005871,2022-11-12T17.46.45.871,4.160,-0.438,0.114,-0.898
1668268005911,2022-11-12T17.46.45.911,4.200,-0.439,0.115,-0.897
1668268005951,2022-11-12T17.46.45.951,4.240,-0.439,0.115,-0.899
1668268005991,2022-11-12T17.46.45.991,4.280,-0.437,0.115,-0.898
1668268006031,2022-11-12T17.46.46.031,4.320,-0.440,0.115,-0.897
1668268006071,2022-11-12T17.46.46.071,4.360,-0.438,0.115,-0.897
1668268006111,2022-11-12T17.46.46.111,4.400,-0.438,0.115,-0.898
1668268006151,2022-11-12T17.46.46.151,4.440,-0.439,0.116,-0.898
1668268006191,2022-11-12T17.46.46.191,4.480,-0.439,0.116,-0.897
