epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1667731609311,2022-11-06T12:46:49.311,0.000,1.768,-1.951,1.128
1667731609351,2022-11-06T12:46:49.351,0.040,2.073,-1.829,0.610
1667731609391,2022-11-06T12:46:49.391,0.080,0.274,-1.098,1.189
1667731609431,2022-11-06T12:46:49.431,0.120,-0.854,-0.213,1.616
1667731609471,2022-11-06T12:46:49.471,0.160,0.884,-0.030,0.823
1667731609511,2022-11-06T12:46:49.511,0.200,0.671,-0.457,0.000
1667731609551,2022-11-06T12:46:49.551,0.240,-0.061,-0.427,-0.122
1667731609591,2022-11-06T12:46:49.591,0.280,0.610,0.000,0.213
1667731609631,2022-11-06T12:46:49.631,0.320,-0.701,0.000,1.128
1667731609671,2022-11-06T12:46:49.671,0.360,-0.793,-0.305,1.524
1667731609711,2022-11-06T12:46:49.711,0.400,-0.823,-0.671,1.220
1667731609751,2022-11-06T12:46:49.751,0.440,-3.506,-1.738,1.738
1667731609791,2022-11-06T12:46:49.791,0.480,0.518,-2.866,1.524
1667731609831,2022-11-06T12:46:49.831,0.520,7.043,-4.146,-0.122
1667731609871,2022-11-06T12:46:49.871,0.560,4.695,-2.835,0.488
1667731609911,2022-11-06T12:46:49.911,0.600,-1.616,-1.951,2.104
1667731609951,2022-11-06T12:46:49.951,0.640,-5.091,-4.573,2.957
1667731609991,2022-11-06T12:46:49.991,0.680,0.335,-6.128,1.890
1667731610031,2022-11-06T12:46:50.031,0.720,3.902,-5.244,0.884
1667731610071,2022-11-06T12:46:50.071,0.760,-1.646,-1.494,-0.061
1667731610111,2022-11-06T12:46:50.111,0.800,-0.305,1.524,0.732
1667731610151,2022-11-06T12:46:50.151,0.840,1.128,1.524,0.671
1667731610191,2022-11-06T12:46:50.191,0.880,0.152,0.488,1.921
1667731610231,2022-11-06T12:46:50.231,0.920,0.518,-0.274,1.677
1667731610271,2022-11-06T12:46:50.271,0.960,0.366,-0.122,0.945
1667731610311,2022-11-06T12:46:50.311,1.000,-6.067,-1.921,1.768
1667731610351,2022-11-06T12:46:50.351,1.040,-2.957,-3.841,2.774
1667731610391,2022-11-06T12:46:50.391,1.080,5.152,-5.701,0.640
