epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1667307338605,2022-11-01T14:55:38.605,0.000,-0.457,0.000,-0.152
1667307338645,2022-11-01T14:55:38.645,0.040,-0.152,0.244,0.488
1667307338684,2022-11-01T14:55:38.684,0.079,0.152,0.030,0.000
1667307338724,2022-11-01T14:55:38.724,0.119,0.091,0.000,-0.183
1667307338763,2022-11-01T14:55:38.763,0.158,-0.427,0.152,-0.213
1667307338803,2022-11-01T14:55:38.803,0.198,-0.305,0.152,-0.274
1667307338842,2022-11-01T14:55:38.842,0.237,0.610,0.335,-0.274
1667307338882,2022-11-01T14:55:38.882,0.277,-0.488,0.183,-0.305
1667307338922,2022-11-01T14:55:38.922,0.317,-0.793,0.122,-0.213
1667307338961,2022-11-01T14:55:38.961,0.356,-0.701,-0.030,-0.335
1667307339001,2022-11-01T14:55:39.001,0.396,-0.671,0.061,-0.305
1667307339040,2022-11-01T14:55:39.040,0.435,-0.518,0.335,-0.213
1667307339080,2022-11-01T14:55:39.080,0.475,-0.091,0.183,-0.152
1667307339119,2022-11-01T14:55:39.119,0.514,-0.884,0.183,-0.244
1667307339159,2022-11-01T14:55:39.159,0.554,-0.549,0.244,-0.213
1667307339198,2022-11-01T14:55:39.198,0.593,-0.183,0.152,-0.244
1667307339238,2022-11-01T14:55:39.238,0.633,-0.976,0.244,-0.366
1667307339278,2022-11-01T14:55:39.278,0.673,-0.213,0.183,-0.274
1667307339317,2022-11-01T14:55:39.317,0.712,-0.274,0.305,-0.274
1667307339357,2022-11-01T14:55:39.357,0.752,0.274,0.427,-0.213
1667307339396,2022-11-01T14:55:39.396,0.791,-0.823,0.152,-0.122
1667307339436,2022-11-01T14:55:39.436,0.831,-0.671,0.152,-0.030
1667307339475,2022-11-01T14:55:39.475,0.870,0.152,0.030,-0.030
1667307339515,2022-11-01T14:55:39.515,0.910,-1.372,0.061,-0.152
1667307339554,2022-11-01T14:55:39.554,0.949,0.213,0.274,-0.122
1667307339594,2022-11-01T14:55:39.594,0.989,0.610,0.000,-0.030
1667307339634,2022-11-01T14:55:39.634,1.029,-0.549,0.091,-0.122
1667307339673,2022-11-01T14:55:39.673,1.068,1.372,0.274,0.000
1667307339713,2022-11-01T14:55:39.713,1.108,1.616,0.061,0.213
1667307339752,2022-11-01T14:55:39.752,1.147,-2.835,-0.213,0.091
1667307339792,2022-11-01T14:55:39.792,1.187,-0.152,-0.152,0.122
1667307339831,2022-11-01T14:55:39.831,1.226,-0.427,-0.244,0.061
1667307339871,2022-11-01T14:55:39.871,1.266,-0.061,0.244,-0.183
1667307339910,2022-11-01T14:55:39.910,1.305,2.104,0.427,-0.152
1667307339950,2022-11-01T14:55:39.950,1.345,0.640,0.091,-0.305
1667307339989,2022-11-01T14:55:39.989,1.384,-0.884,0.274,-0.457
1667307340029,2022-11-01T14:55:40.029,1.424,1.037,0.305,-0.366
