epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1.66742E+12,2022-11-02T22.44.36.995,0,-4.512,0.366,-0.183
1.66742E+12,2022-11-02T22.44.37.036,0.041,-4.726,0.549,-0.152
1.66742E+12,2022-11-02T22.44.37.076,0.081,-2.5,0.396,-0.091
1.66742E+12,2022-11-02T22.44.37.117,0.122,1.28,0.335,0.335
1.66742E+12,2022-11-02T22.44.37.158,0.163,-0.274,0.884,1.098
1.66742E+12,2022-11-02T22.44.37.199,0.204,-0.518,0.122,0.274
1.66742E+12,2022-11-02T22.44.37.238,0.243,-0.762,0.671,0
1.66742E+12,2022-11-02T22.44.37.279,0.284,-1.22,0.762,0.427
1.66742E+12,2022-11-02T22.44.37.320,0.325,-0.854,-0.427,0.305
1.66742E+12,2022-11-02T22.44.37.361,0.366,-0.762,0,0.61
1.66742E+12,2022-11-02T22.44.37.401,0.406,-0.122,0.701,0.701
1.66742E+12,2022-11-02T22.44.37.442,0.447,-0.457,0.244,0.091
1.66742E+12,2022-11-02T22.44.37.483,0.488,-1.646,0.61,0.274
1.66742E+12,2022-11-02T22.44.37.524,0.529,0,0.396,0.244
1.66742E+12,2022-11-02T22.44.37.563,0.568,-0.183,0.396,0.244
1.66742E+12,2022-11-02T22.44.37.604,0.609,-1.067,0.945,0.488
1.66742E+12,2022-11-02T22.44.37.645,0.65,0.03,0.427,0.152
1.66742E+12,2022-11-02T22.44.37.686,0.691,-0.518,0.762,0.122
1.66742E+12,2022-11-02T22.44.37.726,0.731,-0.915,0.732,-0.03
1.66742E+12,2022-11-02T22.44.37.767,0.772,-1.037,0.518,-0.335
1.66742E+12,2022-11-02T22.44.37.808,0.813,-1.433,0.213,-0.396
1.66742E+12,2022-11-02T22.44.37.849,0.854,-0.854,0.427,-0.091
1.66742E+12,2022-11-02T22.44.37.889,0.894,0.183,0.549,0.183
1.66742E+12,2022-11-02T22.44.37.930,0.935,-0.701,0.457,0.061
1.66742E+12,2022-11-02T22.44.37.971,0.976,-1.311,0.213,-0.183
1.66742E+12,2022-11-02T22.44.38.010,1.015,-0.732,0.579,0.03
1.66742E+12,2022-11-02T22.44.38.051,1.056,-0.61,0.366,0.152
1.66742E+12,2022-11-02T22.44.38.092,1.097,-0.457,0.152,0.183
1.66742E+12,2022-11-02T22.44.38.133,1.138,-0.183,0.64,0.091
1.66742E+12,2022-11-02T22.44.38.173,1.178,0.152,0.488,0.091
1.66742E+12,2022-11-02T22.44.38.214,1.219,0.183,0.366,0.03
1.66742E+12,2022-11-02T22.44.38.255,1.26,-0.518,0.762,-0.122
1.66742E+12,2022-11-02T22.44.38.296,1.301,-0.884,0.579,-0.305
1.66742E+12,2022-11-02T22.44.38.335,1.34,-1.159,0.427,-0.457
1.66742E+12,2022-11-02T22.44.38.376,1.381,-0.274,0.427,-0.335
1.66742E+12,2022-11-02T22.44.38.417,1.422,-0.03,0.274,0.061
1.66742E+12,2022-11-02T22.44.38.457,1.462,-0.976,0.396,0.091
1.66742E+12,2022-11-02T22.44.38.498,1.503,-0.732,0.335,-0.152
1.66742E+12,2022-11-02T22.44.38.539,1.544,-0.213,0.701,-0.03
1.66742E+12,2022-11-02T22.44.38.580,1.585,-0.183,0.488,0.03
1.66742E+12,2022-11-02T22.44.38.620,1.625,-0.244,0.183,0.122
1.66742E+12,2022-11-02T22.44.38.661,1.666,-0.61,0.335,-0.03
1.66742E+12,2022-11-02T22.44.38.702,1.707,-0.274,0.518,-0.061
1.66742E+12,2022-11-02T22.44.38.743,1.748,-0.366,0.518,0
1.66742E+12,2022-11-02T22.44.38.782,1.787,-0.335,0.366,-0.061
1.66742E+12,2022-11-02T22.44.38.823,1.828,-0.64,0.518,-0.244
1.66742E+12,2022-11-02T22.44.38.864,1.869,-0.854,0.366,-0.244
1.66742E+12,2022-11-02T22.44.38.905,1.91,-0.793,0.274,0.091
1.66742E+12,2022-11-02T22.44.38.945,1.95,0.122,0.152,0.335
1.66742E+12,2022-11-02T22.44.38.986,1.991,0.274,0.366,0.427
1.66742E+12,2022-11-02T22.44.39.027,2.032,-0.183,0.366,0.305
1.66742E+12,2022-11-02T22.44.39.068,2.073,0.183,0.183,0.152
1.66742E+12,2022-11-02T22.44.39.107,2.112,-0.427,0.427,0.335
1.66742E+12,2022-11-02T22.44.39.148,2.153,-0.457,-0.03,0.396
1.66742E+12,2022-11-02T22.44.39.189,2.194,-0.366,0.152,0.427
1.66742E+12,2022-11-02T22.44.39.229,2.234,-0.518,0.274,0.183
1.66742E+12,2022-11-02T22.44.39.270,2.275,-0.823,0.152,-0.03
1.66742E+12,2022-11-02T22.44.39.311,2.316,-0.945,0.244,-0.122
1.66742E+12,2022-11-02T22.44.39.352,2.357,-0.579,0,-0.213
