epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1668601943807,2022-11-16T14:32:23.807,0.000,-0.396,-0.152,0.732
1668601943847,2022-11-16T14:32:23.847,0.040,-0.671,-0.305,0.915
1668601943887,2022-11-16T14:32:23.887,0.080,-0.152,-0.183,0.579
1668601943927,2022-11-16T14:32:23.927,0.120,-0.152,-0.244,0.457
1668601943967,2022-11-16T14:32:23.967,0.160,-0.152,-0.244,0.366
1668601944007,2022-11-16T14:32:24.007,0.200,-0.244,-0.122,0.305
1668601944047,2022-11-16T14:32:24.047,0.240,0.061,-0.091,0.091
1668601944087,2022-11-16T14:32:24.087,0.280,-0.061,-0.152,0.091
1668601944127,2022-11-16T14:32:24.127,0.320,-0.213,-0.122,0.061
1668601944167,2022-11-16T14:32:24.167,0.360,-0.091,-0.122,0.030
1668601944207,2022-11-16T14:32:24.207,0.400,0.030,-0.152,0.152
1668601944247,2022-11-16T14:32:24.247,0.440,0.366,0.213,0.183
1668601944287,2022-11-16T14:32:24.287,0.480,-0.152,0.091,0.396
1668601944327,2022-11-16T14:32:24.327,0.520,0.213,-0.152,0.305
1668601944367,2022-11-16T14:32:24.367,0.560,0.335,-0.061,0.335
1668601944407,2022-11-16T14:32:24.407,0.600,0.335,0.000,0.335
1668601944447,2022-11-16T14:32:24.447,0.640,0.091,-0.122,0.366
1668601944487,2022-11-16T14:32:24.487,0.680,-0.488,0.030,0.488
1668601944527,2022-11-16T14:32:24.527,0.720,-0.457,0.061,0.549
1668601944567,2022-11-16T14:32:24.567,0.760,-0.518,-0.152,0.549
1668601944607,2022-11-16T14:32:24.607,0.800,-1.006,-0.122,0.518
1668601944647,2022-11-16T14:32:24.647,0.840,-1.067,-0.183,0.579
1668601944687,2022-11-16T14:32:24.687,0.880,-0.518,-0.030,0.823
1668601944727,2022-11-16T14:32:24.727,0.920,-0.274,-0.305,0.762
1668601944767,2022-11-16T14:32:24.767,0.960,0.152,-0.152,0.640
1668601944807,2022-11-16T14:32:24.807,1.000,0.549,0.000,0.549
1668601944847,2022-11-16T14:32:24.847,1.040,0.945,0.122,0.457
1668601944887,2022-11-16T14:32:24.887,1.080,0.396,0.061,0.396
1668601944927,2022-11-16T14:32:24.927,1.120,0.335,0.274,0.274
1668601944967,2022-11-16T14:32:24.967,1.160,0.061,0.213,0.213
1668601945007,2022-11-16T14:32:25.007,1.200,-0.274,-0.030,0.061
1668601945047,2022-11-16T14:32:25.047,1.240,-0.122,-0.030,-0.030
1668601945087,2022-11-16T14:32:25.087,1.280,0.152,-0.122,0.274
1668601945127,2022-11-16T14:32:25.127,1.320,0.061,-0.213,0.518
1668601945167,2022-11-16T14:32:25.167,1.360,1.159,-0.152,0.366
1668601945207,2022-11-16T14:32:25.207,1.400,2.439,-0.366,0.457
1668601945247,2022-11-16T14:32:25.247,1.440,3.963,-0.762,0.427
1668601945287,2022-11-16T14:32:25.287,1.480,2.530,-0.335,0.518
1668601945327,2022-11-16T14:32:25.327,1.520,-1.159,0.793,0.945
1668601945367,2022-11-16T14:32:25.367,1.560,-1.463,0.366,0.488
1668601945407,2022-11-16T14:32:25.407,1.600,0.091,-0.396,0.122
1668601945447,2022-11-16T14:32:25.447,1.640,-0.091,-0.061,0.000
1668601945487,2022-11-16T14:32:25.487,1.680,-0.366,0.152,0.091
1668601945527,2022-11-16T14:32:25.527,1.720,0.610,-0.030,-0.030
1668601945567,2022-11-16T14:32:25.567,1.760,0.030,-0.030,0.061
1668601945607,2022-11-16T14:32:25.607,1.800,-0.610,0.183,0.183
1668601945647,2022-11-16T14:32:25.647,1.840,-0.274,0.000,0.396
1668601945687,2022-11-16T14:32:25.687,1.880,-0.305,-0.030,0.457
1668601945727,2022-11-16T14:32:25.727,1.920,-0.823,0.122,0.427
1668601945767,2022-11-16T14:32:25.767,1.960,-0.244,0.122,0.549
1668601945807,2022-11-16T14:32:25.807,2.000,0.122,0.091,0.518
1668601945847,2022-11-16T14:32:25.847,2.040,0.091,-0.030,0.335
1668601945887,2022-11-16T14:32:25.887,2.080,0.091,-0.061,0.305
1668601945927,2022-11-16T14:32:25.927,2.120,0.244,0.061,0.366
1668601945967,2022-11-16T14:32:25.967,2.160,0.427,0.000,0.305
1668601946007,2022-11-16T14:32:26.007,2.200,0.305,-0.091,0.213
1668601946047,2022-11-16T14:32:26.047,2.240,0.244,0.061,0.335
1668601946087,2022-11-16T14:32:26.087,2.280,-0.122,-0.030,0.457
1668601946127,2022-11-16T14:32:26.127,2.320,0.213,-0.091,0.335
1668601946167,2022-11-16T14:32:26.167,2.360,0.335,-0.244,0.335
1668601946207,2022-11-16T14:32:26.207,2.400,0.518,-0.213,0.396
1668601946247,2022-11-16T14:32:26.247,2.440,0.427,-0.091,0.396
1668601946287,2022-11-16T14:32:26.287,2.480,0.335,-0.274,0.457
1668601946327,2022-11-16T14:32:26.327,2.520,0.061,-0.305,0.518
1668601946367,2022-11-16T14:32:26.367,2.560,-0.183,-0.366,0.488
1668601946407,2022-11-16T14:32:26.407,2.600,0.122,-0.335,0.366
1668601946447,2022-11-16T14:32:26.447,2.640,0.091,-0.091,0.457
1668601946487,2022-11-16T14:32:26.487,2.680,-0.091,-0.030,0.518
1668601946527,2022-11-16T14:32:26.527,2.720,-0.030,0.000,0.183
1668601946567,2022-11-16T14:32:26.567,2.760,0.061,0.061,0.061
1668601946607,2022-11-16T14:32:26.607,2.800,-0.061,0.152,0.213
1668601946647,2022-11-16T14:32:26.647,2.840,-0.152,0.030,0.396
1668601946687,2022-11-16T14:32:26.687,2.880,-0.457,0.030,0.488
1668601946727,2022-11-16T14:32:26.727,2.920,-0.945,0.000,0.457
1668601946767,2022-11-16T14:32:26.767,2.960,-0.366,-0.061,0.244
1668601946807,2022-11-16T14:32:26.807,3.000,0.030,-0.152,0.244
1668601946847,2022-11-16T14:32:26.847,3.040,0.305,-0.061,0.244
1668601946887,2022-11-16T14:32:26.887,3.080,0.488,0.000,0.335
1668601946927,2022-11-16T14:32:26.927,3.120,0.244,0.061,0.457
1668601946967,2022-11-16T14:32:26.967,3.160,0.000,0.152,0.427
1668601947007,2022-11-16T14:32:27.007,3.200,0.030,0.061,0.518
1668601947047,2022-11-16T14:32:27.047,3.240,-0.030,-0.091,0.579
1668601947087,2022-11-16T14:32:27.087,3.280,-0.183,-0.030,0.518
1668601947127,2022-11-16T14:32:27.127,3.320,0.061,-0.030,0.488
1668601947167,2022-11-16T14:32:27.167,3.360,0.061,-0.091,0.518
1668601947207,2022-11-16T14:32:27.207,3.400,0.030,-0.061,0.396
1668601947247,2022-11-16T14:32:27.247,3.440,0.091,-0.030,0.305
1668601947287,2022-11-16T14:32:27.287,3.480,0.305,0.000,0.366
1668601947327,2022-11-16T14:32:27.327,3.520,0.366,0.030,0.427
1668601947367,2022-11-16T14:32:27.367,3.560,0.335,-0.091,0.457
1668601947407,2022-11-16T14:32:27.407,3.600,0.152,-0.061,0.427
1668601947447,2022-11-16T14:32:27.447,3.640,-0.030,-0.030,0.457
1668601947487,2022-11-16T14:32:27.487,3.680,0.152,-0.122,0.549
1668601947527,2022-11-16T14:32:27.527,3.720,0.000,-0.061,0.518
1668601947567,2022-11-16T14:32:27.567,3.760,-0.213,-0.061,0.549
1668601947607,2022-11-16T14:32:27.607,3.800,0.152,-0.122,0.549
1668601947647,2022-11-16T14:32:27.647,3.840,0.122,-0.091,0.518
1668601947687,2022-11-16T14:32:27.687,3.880,-0.122,-0.061,0.518
1668601947727,2022-11-16T14:32:27.727,3.920,-0.091,0.030,0.457
1668601947767,2022-11-16T14:32:27.767,3.960,-0.183,-0.061,0.488
1668601947807,2022-11-16T14:32:27.807,4.000,-0.427,-0.061,0.488
1668601947847,2022-11-16T14:32:27.847,4.040,-0.244,-0.091,0.457
1668601947887,2022-11-16T14:32:27.887,4.080,0.030,-0.122,0.488
1668601947927,2022-11-16T14:32:27.927,4.120,-0.213,0.030,0.457
1668601947967,2022-11-16T14:32:27.967,4.160,-0.152,-0.030,0.427
1668601948007,2022-11-16T14:32:28.007,4.200,0.213,-0.030,0.427
1668601948047,2022-11-16T14:32:28.047,4.240,-0.091,-0.122,0.427
1668601948087,2022-11-16T14:32:28.087,4.280,-0.213,-0.152,0.427
1668601948127,2022-11-16T14:32:28.127,4.320,-0.274,-0.061,0.488
1668601948167,2022-11-16T14:32:28.167,4.360,-0.396,-0.061,0.610
1668601948207,2022-11-16T14:32:28.207,4.400,0.061,-0.091,0.457
1668601948247,2022-11-16T14:32:28.247,4.440,-0.091,-0.122,0.518
1668601948287,2022-11-16T14:32:28.287,4.480,0.030,-0.030,0.518
1668601948327,2022-11-16T14:32:28.327,4.520,-0.122,-0.030,0.518
1668601948367,2022-11-16T14:32:28.367,4.560,-0.244,-0.122,0.518
1668601948407,2022-11-16T14:32:28.407,4.600,0.000,-0.030,0.457
1668601948447,2022-11-16T14:32:28.447,4.640,-0.152,0.000,0.518
1668601948487,2022-11-16T14:32:28.487,4.680,-0.061,-0.091,0.427
1668601948527,2022-11-16T14:32:28.527,4.720,-0.335,-0.152,0.457
1668601948567,2022-11-16T14:32:28.567,4.760,-0.152,-0.030,0.396
1668601948607,2022-11-16T14:32:28.607,4.800,0.152,-0.030,0.366
1668601948647,2022-11-16T14:32:28.647,4.840,-0.030,-0.061,0.274
1668601948687,2022-11-16T14:32:28.687,4.880,-0.030,0.030,0.366
1668601948727,2022-11-16T14:32:28.727,4.920,0.091,0.030,0.396
1668601948767,2022-11-16T14:32:28.767,4.960,-0.030,-0.091,0.335
1668601948807,2022-11-16T14:32:28.807,5.000,-0.061,-0.091,0.457
1668601948847,2022-11-16T14:32:28.847,5.040,-0.152,0.030,0.488
1668601948887,2022-11-16T14:32:28.887,5.080,0.061,-0.030,0.396
1668601948927,2022-11-16T14:32:28.927,5.120,-0.183,-0.152,0.488
1668601948967,2022-11-16T14:32:28.967,5.160,0.091,0.061,0.396
