epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1668442739135,2022-11-14T18.18.59.135,0.000,1.707,-0.579,0.793
1668442739175,2022-11-14T18.18.59.175,0.040,1.616,-0.244,1.067
1668442739215,2022-11-14T18.18.59.215,0.080,1.555,-0.213,0.884
1668442739255,2022-11-14T18.18.59.255,0.120,1.829,-0.091,0.610
1668442739295,2022-11-14T18.18.59.295,0.160,1.646,-0.152,0.579
1668442739335,2022-11-14T18.18.59.335,0.200,1.463,-0.854,0.579
1668442739375,2022-11-14T18.18.59.375,0.240,1.250,-0.854,0.915
1668442739415,2022-11-14T18.18.59.415,0.280,1.159,-0.610,1.037
1668442739455,2022-11-14T18.18.59.455,0.320,0.671,-0.274,1.006
1668442739495,2022-11-14T18.18.59.495,0.360,0.793,0.030,0.610
1668442739535,2022-11-14T18.18.59.535,0.400,0.549,0.091,0.518
1668442739575,2022-11-14T18.18.59.575,0.440,0.457,-0.152,0.518
1668442739615,2022-11-14T18.18.59.615,0.480,0.671,-0.183,0.335
1668442739655,2022-11-14T18.18.59.655,0.520,0.701,0.366,0.274
1668442739695,2022-11-14T18.18.59.695,0.560,0.579,0.061,0.244
1668442739735,2022-11-14T18.18.59.735,0.600,0.000,-1.006,0.488
1668442739775,2022-11-14T18.18.59.775,0.640,-0.305,-0.915,1.037
1668442739815,2022-11-14T18.18.59.815,0.680,0.488,-0.488,1.159
1668442739855,2022-11-14T18.18.59.855,0.720,1.128,-0.488,1.433
1668442739895,2022-11-14T18.18.59.895,0.760,1.585,0.488,1.494
1668442739935,2022-11-14T18.18.59.935,0.800,0.488,0.549,1.463
1668442739975,2022-11-14T18.18.59.975,0.840,0.762,0.213,0.183
1668442740015,2022-11-14T18.19.00.015,0.880,0.549,0.000,-0.183
1668442740055,2022-11-14T18.19.00.055,0.920,-0.335,0.335,0.091
1668442740095,2022-11-14T18.19.00.095,0.960,-0.183,0.305,-0.061
1668442740135,2022-11-14T18.19.00.135,1.000,0.518,0.396,-0.610
1668442740175,2022-11-14T18.19.00.175,1.040,0.396,-0.122,-0.457
1668442740215,2022-11-14T18.19.00.215,1.080,0.122,-0.122,0.152
1668442740255,2022-11-14T18.19.00.255,1.120,0.305,0.274,0.549
1668442740295,2022-11-14T18.19.00.295,1.160,0.945,0.488,0.518
1668442740335,2022-11-14T18.19.00.335,1.200,0.732,-0.091,0.579
1668442740375,2022-11-14T18.19.00.375,1.240,1.006,0.030,0.305
1668442740415,2022-11-14T18.19.00.415,1.280,0.976,0.518,0.213
1668442740455,2022-11-14T18.19.00.455,1.320,0.213,0.396,0.244
1668442740495,2022-11-14T18.19.00.495,1.360,-0.945,-0.518,0.274
1668442740535,2022-11-14T18.19.00.535,1.400,0.000,-0.701,0.396
1668442740575,2022-11-14T18.19.00.575,1.440,0.884,-0.213,0.854
