epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1667740410834,2022-11-06T15:13:30.834,0.000,-0.396,-0.061,0.091
1667740410874,2022-11-06T15:13:30.874,0.040,0.061,-0.030,0.122
1667740410913,2022-11-06T15:13:30.913,0.079,0.061,-0.030,-0.030
1667740410953,2022-11-06T15:13:30.953,0.119,-0.030,-0.091,0.000
1667740410992,2022-11-06T15:13:30.992,0.158,0.061,0.030,-0.030
1667740411032,2022-11-06T15:13:31.032,0.198,-0.030,-0.122,-0.122
1667740411071,2022-11-06T15:13:31.071,0.237,0.488,0.000,-0.122
1667740411111,2022-11-06T15:13:31.111,0.277,0.610,0.183,-0.244
1667740411151,2022-11-06T15:13:31.151,0.317,0.305,0.366,-0.183
1667740411190,2022-11-06T15:13:31.190,0.356,0.030,0.640,-0.183
1667740411230,2022-11-06T15:13:31.230,0.396,0.854,1.250,-0.152
1667740411269,2022-11-06T15:13:31.269,0.435,1.921,1.463,-0.274
1667740411309,2022-11-06T15:13:31.309,0.475,1.098,1.006,-0.152
1667740411348,2022-11-06T15:13:31.348,0.514,0.305,0.884,-0.061
1667740411388,2022-11-06T15:13:31.388,0.554,0.335,0.488,-0.061
1667740411427,2022-11-06T15:13:31.427,0.593,0.427,0.152,0.122
1667740411467,2022-11-06T15:13:31.467,0.633,0.152,0.061,0.244
1667740411507,2022-11-06T15:13:31.507,0.673,-0.152,-0.244,0.213
1667740411546,2022-11-06T15:13:31.546,0.712,0.091,-0.457,0.152
1667740411586,2022-11-06T15:13:31.586,0.752,0.335,-0.823,0.274
1667740411625,2022-11-06T15:13:31.625,0.791,-0.091,-0.671,0.335
1667740411665,2022-11-06T15:13:31.665,0.831,-0.366,-0.030,0.305
1667740411704,2022-11-06T15:13:31.704,0.870,-0.091,-0.061,0.030
1667740411744,2022-11-06T15:13:31.744,0.910,0.213,-0.427,-0.213
1667740411783,2022-11-06T15:13:31.783,0.949,0.122,-0.396,-0.122
1667740411823,2022-11-06T15:13:31.823,0.989,-0.213,-0.366,-0.183
1667740411862,2022-11-06T15:13:31.862,1.028,0.305,0.061,-0.030
1667740411902,2022-11-06T15:13:31.902,1.068,0.152,0.091,0.000
1667740411942,2022-11-06T15:13:31.942,1.108,-0.183,0.335,0.000
1667740411981,2022-11-06T15:13:31.981,1.147,0.000,0.640,0.244
1667740412021,2022-11-06T15:13:32.021,1.187,0.061,0.274,0.122
1667740412060,2022-11-06T15:13:32.060,1.226,0.030,0.183,0.000
1667740412100,2022-11-06T15:13:32.100,1.266,0.335,0.061,0.030
1667740412139,2022-11-06T15:13:32.139,1.305,0.152,-0.061,0.061
1667740412179,2022-11-06T15:13:32.179,1.345,0.030,0.183,-0.030
1667740412218,2022-11-06T15:13:32.218,1.384,0.122,0.091,-0.061
1667740412258,2022-11-06T15:13:32.258,1.424,0.305,0.030,-0.030
1667740412298,2022-11-06T15:13:32.298,1.464,-0.122,0.183,-0.061
1667740412337,2022-11-06T15:13:32.337,1.503,0.091,0.427,0.000
1667740412377,2022-11-06T15:13:32.377,1.543,0.091,0.244,-0.030
1667740412416,2022-11-06T15:13:32.416,1.582,0.183,0.396,-0.061
1667740412456,2022-11-06T15:13:32.456,1.622,0.000,0.122,-0.061
1667740412495,2022-11-06T15:13:32.495,1.661,0.152,0.061,-0.091
1667740412535,2022-11-06T15:13:32.535,1.701,0.335,0.183,-0.183
1667740412574,2022-11-06T15:13:32.574,1.740,1.220,0.183,-0.427
1667740412614,2022-11-06T15:13:32.614,1.780,1.433,-0.091,-0.274
1667740412654,2022-11-06T15:13:32.654,1.820,0.122,-0.091,-0.183
1667740412693,2022-11-06T15:13:32.693,1.859,0.335,0.152,-0.152
1667740412733,2022-11-06T15:13:32.733,1.899,0.793,0.183,-0.152
1667740412772,2022-11-06T15:13:32.772,1.938,0.549,0.122,-0.213
1667740412812,2022-11-06T15:13:32.812,1.978,0.457,0.000,-0.335
1667740412851,2022-11-06T15:13:32.851,2.017,0.640,0.183,-0.213
1667740412891,2022-11-06T15:13:32.891,2.057,-0.030,0.244,-0.152
1667740412930,2022-11-06T15:13:32.930,2.096,0.000,0.061,-0.152
1667740412970,2022-11-06T15:13:32.970,2.136,0.366,0.122,-0.183
1667740413009,2022-11-06T15:13:33.009,2.175,0.579,0.335,-0.152
1667740413049,2022-11-06T15:13:33.049,2.215,0.396,0.274,-0.091
1667740413089,2022-11-06T15:13:33.089,2.255,-0.061,0.274,-0.091
1667740413128,2022-11-06T15:13:33.128,2.294,-0.213,0.274,-0.183
1667740413168,2022-11-06T15:13:33.168,2.334,-0.091,0.396,-0.274
1667740413207,2022-11-06T15:13:33.207,2.373,-0.152,0.091,-0.305
1667740413247,2022-11-06T15:13:33.247,2.413,0.000,0.183,-0.183
1667740413286,2022-11-06T15:13:33.286,2.452,-0.305,0.030,-0.061
1667740413326,2022-11-06T15:13:33.326,2.492,-0.366,-0.427,-0.091
1667740413365,2022-11-06T15:13:33.365,2.531,-0.030,-0.091,-0.122
1667740413405,2022-11-06T15:13:33.405,2.571,-0.854,0.091,0.030
1667740413445,2022-11-06T15:13:33.445,2.611,-0.732,-0.518,-0.305
1667740413484,2022-11-06T15:13:33.484,2.650,0.457,0.396,-0.091
1667740413524,2022-11-06T15:13:33.524,2.690,-0.518,0.274,-0.213
1667740413563,2022-11-06T15:13:33.563,2.729,0.122,0.488,-0.274
1667740413603,2022-11-06T15:13:33.603,2.769,1.159,0.671,-0.427
1667740413642,2022-11-06T15:13:33.642,2.808,0.915,0.640,-0.488
1667740413682,2022-11-06T15:13:33.682,2.848,0.122,0.518,-0.366
1667740413721,2022-11-06T15:13:33.721,2.887,0.366,1.128,-0.335
1667740413761,2022-11-06T15:13:33.761,2.927,0.793,1.006,-0.274
1667740413800,2022-11-06T15:13:33.800,2.966,-0.244,-0.213,-0.213
1667740413840,2022-11-06T15:13:33.840,3.006,0.030,0.030,0.000
1667740413880,2022-11-06T15:13:33.880,3.046,0.244,0.122,0.030
1667740413919,2022-11-06T15:13:33.919,3.085,0.061,-0.152,-0.030
1667740413959,2022-11-06T15:13:33.959,3.125,0.274,-0.122,0.030
1667740413998,2022-11-06T15:13:33.998,3.164,-0.183,0.000,-0.061
1667740414038,2022-11-06T15:13:34.038,3.204,0.000,0.305,-0.091
1667740414077,2022-11-06T15:13:34.077,3.243,0.274,1.006,-0.335
1667740414117,2022-11-06T15:13:34.117,3.283,0.671,0.549,-0.457
1667740414156,2022-11-06T15:13:34.156,3.322,-1.098,-0.244,-0.671
1667740414196,2022-11-06T15:13:34.196,3.362,-1.372,0.244,-0.854
1667740414236,2022-11-06T15:13:34.236,3.402,-0.518,0.030,-1.006
1667740414275,2022-11-06T15:13:34.275,3.441,0.335,0.518,-0.823
1667740414315,2022-11-06T15:13:34.315,3.481,0.823,0.579,-0.488
1667740414354,2022-11-06T15:13:34.354,3.520,0.549,0.152,-0.305
1667740414394,2022-11-06T15:13:34.394,3.560,0.915,0.061,0.061
1667740414433,2022-11-06T15:13:34.433,3.599,1.524,0.610,0.244
1667740414473,2022-11-06T15:13:34.473,3.639,1.006,0.793,0.213
1667740414512,2022-11-06T15:13:34.512,3.678,0.762,0.915,0.244
1667740414552,2022-11-06T15:13:34.552,3.718,0.305,0.701,0.122
1667740414591,2022-11-06T15:13:34.591,3.757,-0.091,0.396,0.061
1667740414631,2022-11-06T15:13:34.631,3.797,-0.213,0.244,0.122
1667740414671,2022-11-06T15:13:34.671,3.837,-0.396,0.091,0.122
1667740414710,2022-11-06T15:13:34.710,3.876,-0.579,0.122,0.091
1667740414750,2022-11-06T15:13:34.750,3.916,-0.488,0.152,0.152
1667740414789,2022-11-06T15:13:34.789,3.955,-0.640,-0.091,0.091
1667740414829,2022-11-06T15:13:34.829,3.995,-0.274,-0.030,0.183
1667740414868,2022-11-06T15:13:34.868,4.034,-0.427,-0.183,0.213
1667740414908,2022-11-06T15:13:34.908,4.074,-0.366,0.091,0.274
1667740414947,2022-11-06T15:13:34.947,4.113,-0.396,0.122,0.244
1667740414987,2022-11-06T15:13:34.987,4.153,-0.671,-0.213,0.122
1667740415027,2022-11-06T15:13:35.027,4.193,-0.152,-0.061,0.183
1667740415066,2022-11-06T15:13:35.066,4.232,-0.244,-0.183,0.213
1667740415106,2022-11-06T15:13:35.106,4.272,-0.213,-0.091,0.305
1667740415145,2022-11-06T15:13:35.145,4.311,-0.366,0.061,0.213
1667740415185,2022-11-06T15:13:35.185,4.351,-0.457,0.122,0.030
1667740415224,2022-11-06T15:13:35.224,4.390,-0.396,-0.091,-0.122
1667740415264,2022-11-06T15:13:35.264,4.430,-0.549,-0.061,-0.122
1667740415303,2022-11-06T15:13:35.303,4.469,-0.488,0.030,-0.152
1667740415343,2022-11-06T15:13:35.343,4.509,-0.091,0.305,-0.183
1667740415383,2022-11-06T15:13:35.383,4.549,-0.274,0.335,-0.244
1667740415422,2022-11-06T15:13:35.422,4.588,-0.152,0.183,-0.183
1667740415462,2022-11-06T15:13:35.462,4.628,-0.030,0.122,-0.183
1667740415501,2022-11-06T15:13:35.501,4.667,0.061,0.244,-0.183
1667740415541,2022-11-06T15:13:35.541,4.707,-0.061,0.366,-0.183
1667740415580,2022-11-06T15:13:35.580,4.746,0.030,0.457,-0.213
1667740415620,2022-11-06T15:13:35.620,4.786,0.366,0.213,-0.152
1667740415659,2022-11-06T15:13:35.659,4.825,0.244,-0.122,0.030
1667740415699,2022-11-06T15:13:35.699,4.865,0.213,-0.030,0.213
1667740415738,2022-11-06T15:13:35.738,4.904,-0.274,0.061,0.183
1667740415778,2022-11-06T15:13:35.778,4.944,0.000,0.335,0.061
