epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1667740410992,2022-11-06T15:13:30.992,0.000,-0.232,0.176,-0.942
1667740411032,2022-11-06T15:13:31.032,0.040,-0.236,0.182,-0.951
1667740411071,2022-11-06T15:13:31.071,0.079,-0.235,0.178,-0.948
1667740411111,2022-11-06T15:13:31.111,0.119,-0.237,0.176,-0.950
1667740411151,2022-11-06T15:13:31.151,0.159,-0.236,0.177,-0.949
1667740411190,2022-11-06T15:13:31.190,0.198,-0.238,0.179,-0.950
1667740411230,2022-11-06T15:13:31.230,0.238,-0.231,0.178,-0.948
1667740411269,2022-11-06T15:13:31.269,0.277,-0.229,0.171,-0.950
1667740411309,2022-11-06T15:13:31.309,0.317,-0.234,0.170,-0.950
1667740411348,2022-11-06T15:13:31.348,0.356,-0.232,0.176,-0.949
1667740411388,2022-11-06T15:13:31.388,0.396,-0.230,0.175,-0.951
1667740411427,2022-11-06T15:13:31.427,0.435,-0.230,0.170,-0.952
1667740411467,2022-11-06T15:13:31.467,0.475,-0.230,0.173,-0.950
1667740411507,2022-11-06T15:13:31.507,0.515,-0.230,0.177,-0.949
1667740411546,2022-11-06T15:13:31.546,0.554,-0.230,0.174,-0.950
1667740411586,2022-11-06T15:13:31.586,0.594,-0.233,0.170,-0.949
1667740411625,2022-11-06T15:13:31.625,0.633,-0.239,0.172,-0.949
1667740411665,2022-11-06T15:13:31.665,0.673,-0.232,0.178,-0.950
1667740411704,2022-11-06T15:13:31.704,0.712,-0.230,0.179,-0.947
1667740411744,2022-11-06T15:13:31.744,0.752,-0.233,0.172,-0.950
1667740411783,2022-11-06T15:13:31.783,0.791,-0.231,0.169,-0.949
1667740411823,2022-11-06T15:13:31.823,0.831,-0.238,0.178,-0.950
1667740411862,2022-11-06T15:13:31.862,0.870,-0.236,0.174,-0.949
1667740411902,2022-11-06T15:13:31.902,0.910,-0.236,0.170,-0.950
1667740411942,2022-11-06T15:13:31.942,0.950,-0.236,0.175,-0.949
1667740411981,2022-11-06T15:13:31.981,0.989,-0.230,0.176,-0.948
1667740412021,2022-11-06T15:13:32.021,1.029,-0.232,0.177,-0.950
1667740412060,2022-11-06T15:13:32.060,1.068,-0.233,0.175,-0.949
1667740412100,2022-11-06T15:13:32.100,1.108,-0.233,0.173,-0.949
1667740412139,2022-11-06T15:13:32.139,1.147,-0.236,0.171,-0.950
1667740412179,2022-11-06T15:13:32.179,1.187,-0.233,0.174,-0.949
1667740412218,2022-11-06T15:13:32.218,1.226,-0.231,0.176,-0.950
