epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1668284453090,2022-11-12T22:20:53.090,0.000,0.457,0.122,-0.640
1668284453130,2022-11-12T22:20:53.130,0.040,0.488,-0.061,1.006
1668284453170,2022-11-12T22:20:53.170,0.080,0.762,-0.274,0.000
1668284453210,2022-11-12T22:20:53.210,0.120,1.280,-0.244,-0.030
1668284453250,2022-11-12T22:20:53.250,0.160,0.671,-0.244,0.396
1668284453290,2022-11-12T22:20:53.290,0.200,0.549,-0.244,0.152
1668284453330,2022-11-12T22:20:53.330,0.240,1.128,-0.244,-0.335
1668284453370,2022-11-12T22:20:53.370,0.280,1.220,-0.305,-0.366
1668284453410,2022-11-12T22:20:53.410,0.320,0.945,-0.335,-0.061
1668284453450,2022-11-12T22:20:53.450,0.360,1.037,-0.305,0.305
1668284453490,2022-11-12T22:20:53.490,0.400,0.457,-0.152,0.671
1668284453530,2022-11-12T22:20:53.530,0.440,-0.274,-0.030,0.671
1668284453570,2022-11-12T22:20:53.570,0.480,0.183,-0.030,0.122
1668284453610,2022-11-12T22:20:53.610,0.520,0.732,-0.244,0.183
1668284453650,2022-11-12T22:20:53.650,0.560,0.091,-0.091,0.762
1668284453690,2022-11-12T22:20:53.690,0.600,-0.549,0.122,1.128
1668284453730,2022-11-12T22:20:53.730,0.640,-0.152,0.366,0.823
1668284453770,2022-11-12T22:20:53.770,0.680,0.183,0.091,0.366
1668284453810,2022-11-12T22:20:53.810,0.720,0.610,-0.274,-0.274
1668284453850,2022-11-12T22:20:53.850,0.760,2.591,-0.610,-0.793
1668284453890,2022-11-12T22:20:53.890,0.800,0.884,-0.244,-1.524
1668284453930,2022-11-12T22:20:53.930,0.840,1.159,-0.213,-2.439
1668284453970,2022-11-12T22:20:53.970,0.880,2.256,-0.213,-2.073
1668284454010,2022-11-12T22:20:54.010,0.920,-0.152,-0.122,-0.396
1668284454050,2022-11-12T22:20:54.050,0.960,-0.335,-0.061,-0.549
1668284454090,2022-11-12T22:20:54.090,1.000,3.171,-1.189,-1.646
1668284454130,2022-11-12T22:20:54.130,1.040,1.982,-1.646,-1.494
1668284454170,2022-11-12T22:20:54.170,1.080,-0.457,-1.524,-0.884
1668284454210,2022-11-12T22:20:54.210,1.120,-0.030,-1.463,-1.037
1668284454250,2022-11-12T22:20:54.250,1.160,0.335,-1.524,-1.006
1668284454290,2022-11-12T22:20:54.290,1.200,-0.518,-1.402,-0.549
1668284454330,2022-11-12T22:20:54.330,1.240,-0.549,-1.098,-0.213
1668284454370,2022-11-12T22:20:54.370,1.280,-1.067,-1.098,-0.122
1668284454410,2022-11-12T22:20:54.410,1.320,0.274,-1.646,-0.854
1668284454450,2022-11-12T22:20:54.450,1.360,2.988,-1.860,-1.189
1668284454490,2022-11-12T22:20:54.490,1.400,1.738,-1.433,-0.518
1668284454530,2022-11-12T22:20:54.530,1.440,0.671,-1.159,0.152
1668284454570,2022-11-12T22:20:54.570,1.480,-0.366,-1.159,0.213
1668284454610,2022-11-12T22:20:54.610,1.520,0.122,-1.098,-0.213
1668284454650,2022-11-12T22:20:54.650,1.560,1.189,-0.884,-0.183
1668284454690,2022-11-12T22:20:54.690,1.600,-0.061,-0.213,0.335
1668284454730,2022-11-12T22:20:54.730,1.640,-0.457,-0.213,0.274
1668284454770,2022-11-12T22:20:54.770,1.680,1.006,-0.640,-0.335
1668284454810,2022-11-12T22:20:54.810,1.720,1.494,-0.640,-0.396
1668284454850,2022-11-12T22:20:54.850,1.760,0.061,-0.518,0.061
1668284454890,2022-11-12T22:20:54.890,1.800,0.457,-0.701,-0.244
1668284454930,2022-11-12T22:20:54.930,1.840,1.280,-0.640,-0.610
1668284454970,2022-11-12T22:20:54.970,1.880,0.488,-0.274,-0.305
1668284455010,2022-11-12T22:20:55.010,1.920,0.274,-0.152,-0.366
1668284455050,2022-11-12T22:20:55.050,1.960,0.640,-0.152,-0.671
1668284455090,2022-11-12T22:20:55.090,2.000,1.402,-0.366,-0.579
1668284455130,2022-11-12T22:20:55.130,2.040,0.701,-0.274,0.061
1668284455170,2022-11-12T22:20:55.170,2.080,-0.091,-0.030,0.305
1668284455210,2022-11-12T22:20:55.210,2.120,0.640,-0.213,0.061
1668284455250,2022-11-12T22:20:55.250,2.160,0.945,-0.396,0.000
1668284455290,2022-11-12T22:20:55.290,2.200,0.457,-0.274,0.152
1668284455330,2022-11-12T22:20:55.330,2.240,0.884,-0.305,0.030
1668284455370,2022-11-12T22:20:55.370,2.280,1.067,-0.244,-0.152
1668284455410,2022-11-12T22:20:55.410,2.320,0.793,-0.213,-0.061
1668284455450,2022-11-12T22:20:55.450,2.360,1.037,-0.305,-0.122
1668284455490,2022-11-12T22:20:55.490,2.400,0.884,-0.366,-0.061
1668284455530,2022-11-12T22:20:55.530,2.440,0.396,-0.305,-0.061
1668284455570,2022-11-12T22:20:55.570,2.480,0.976,-0.244,-0.061
1668284455610,2022-11-12T22:20:55.610,2.520,0.610,-0.274,0.122
1668284455650,2022-11-12T22:20:55.650,2.560,1.098,-0.549,0.122
1668284455690,2022-11-12T22:20:55.690,2.600,1.829,-0.793,-0.152
1668284455730,2022-11-12T22:20:55.730,2.640,1.494,-0.518,-0.396
1668284455770,2022-11-12T22:20:55.770,2.680,0.244,-0.152,-0.122
1668284455810,2022-11-12T22:20:55.810,2.720,-0.213,0.030,0.000
1668284455850,2022-11-12T22:20:55.850,2.760,-0.305,-0.091,-0.152
1668284455890,2022-11-12T22:20:55.890,2.800,1.250,-0.579,-0.183
1668284455930,2022-11-12T22:20:55.930,2.840,1.280,-0.488,0.274
1668284455970,2022-11-12T22:20:55.970,2.880,0.091,-0.244,0.518
1668284456010,2022-11-12T22:20:56.010,2.920,1.524,-0.457,-0.030
1668284456050,2022-11-12T22:20:56.050,2.960,1.555,-0.396,-0.244
1668284456090,2022-11-12T22:20:56.090,3.000,0.213,-0.183,0.030
1668284456130,2022-11-12T22:20:56.130,3.040,0.457,-0.152,-0.152
1668284456170,2022-11-12T22:20:56.170,3.080,0.701,-0.152,-0.183
1668284456210,2022-11-12T22:20:56.210,3.120,0.061,-0.061,-0.061
1668284456250,2022-11-12T22:20:56.250,3.160,0.549,-0.152,-0.152
1668284456290,2022-11-12T22:20:56.290,3.200,1.402,-0.335,-0.183
1668284456330,2022-11-12T22:20:56.330,3.240,1.037,-0.213,0.091
1668284456370,2022-11-12T22:20:56.370,3.280,0.823,-0.122,0.244
