epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1668337084772,2022-11-13T12:58:04.772,0.000,-0.083,0.452,-0.880
1668337084812,2022-11-13T12:58:04.812,0.040,-0.086,0.454,-0.890
1668337084852,2022-11-13T12:58:04.852,0.080,-0.087,0.443,-0.889
1668337084892,2022-11-13T12:58:04.892,0.120,-0.085,0.448,-0.888
1668337084932,2022-11-13T12:58:04.932,0.160,-0.083,0.445,-0.888
1668337084972,2022-11-13T12:58:04.972,0.200,-0.085,0.448,-0.887
1668337085012,2022-11-13T12:58:05.012,0.240,-0.086,0.443,-0.889
1668337085052,2022-11-13T12:58:05.052,0.280,-0.084,0.455,-0.886
1668337085092,2022-11-13T12:58:05.092,0.320,-0.081,0.458,-0.885
1668337085132,2022-11-13T12:58:05.132,0.360,-0.087,0.449,-0.890
1668337085172,2022-11-13T12:58:05.172,0.400,-0.085,0.448,-0.886
1668337085212,2022-11-13T12:58:05.212,0.440,-0.085,0.456,-0.890
1668337085252,2022-11-13T12:58:05.252,0.480,-0.082,0.443,-0.889
1668337085292,2022-11-13T12:58:05.292,0.520,-0.083,0.449,-0.888
1668337085332,2022-11-13T12:58:05.332,0.560,-0.083,0.448,-0.889
1668337085372,2022-11-13T12:58:05.372,0.600,-0.083,0.443,-0.887
1668337085412,2022-11-13T12:58:05.412,0.640,-0.084,0.442,-0.890
1668337085452,2022-11-13T12:58:05.452,0.680,-0.080,0.448,-0.887
1668337085492,2022-11-13T12:58:05.492,0.720,-0.085,0.451,-0.891
1668337085532,2022-11-13T12:58:05.532,0.760,-0.084,0.439,-0.892
1668337085572,2022-11-13T12:58:05.572,0.800,-0.087,0.432,-0.899
1668337085612,2022-11-13T12:58:05.612,0.840,-0.082,0.437,-0.895
1668337085652,2022-11-13T12:58:05.652,0.880,-0.081,0.438,-0.891
1668337085692,2022-11-13T12:58:05.692,0.920,-0.083,0.428,-0.896
1668337085732,2022-11-13T12:58:05.732,0.960,-0.081,0.428,-0.893
1668337085772,2022-11-13T12:58:05.772,1.000,-0.083,0.440,-0.893
1668337085812,2022-11-13T12:58:05.812,1.040,-0.082,0.429,-0.894
1668337085852,2022-11-13T12:58:05.852,1.080,-0.084,0.438,-0.895
1668337085892,2022-11-13T12:58:05.892,1.120,-0.084,0.431,-0.895
1668337085932,2022-11-13T12:58:05.932,1.160,-0.085,0.436,-0.896
1668337085972,2022-11-13T12:58:05.972,1.200,-0.083,0.430,-0.894
1668337086012,2022-11-13T12:58:06.012,1.240,-0.083,0.433,-0.893
1668337086052,2022-11-13T12:58:06.052,1.280,-0.083,0.439,-0.893
1668337086092,2022-11-13T12:58:06.092,1.320,-0.083,0.430,-0.893
1668337086132,2022-11-13T12:58:06.132,1.360,-0.084,0.437,-0.895
1668337086172,2022-11-13T12:58:06.172,1.400,-0.083,0.436,-0.894
1668337086212,2022-11-13T12:58:06.212,1.440,-0.086,0.432,-0.895
1668337086252,2022-11-13T12:58:06.252,1.480,-0.085,0.431,-0.897
1668337086292,2022-11-13T12:58:06.292,1.520,-0.080,0.434,-0.892
1668337086332,2022-11-13T12:58:06.332,1.560,-0.085,0.440,-0.896
1668337086372,2022-11-13T12:58:06.372,1.600,-0.083,0.421,-0.895
1668337086412,2022-11-13T12:58:06.412,1.640,-0.084,0.440,-0.896
1668337086452,2022-11-13T12:58:06.452,1.680,-0.082,0.434,-0.894
1668337086492,2022-11-13T12:58:06.492,1.720,-0.085,0.432,-0.896
1668337086532,2022-11-13T12:58:06.532,1.760,-0.085,0.434,-0.897
1668337086572,2022-11-13T12:58:06.572,1.800,-0.081,0.430,-0.893
1668337086612,2022-11-13T12:58:06.612,1.840,-0.082,0.437,-0.895
1668337086652,2022-11-13T12:58:06.652,1.880,-0.085,0.428,-0.897
1668337086692,2022-11-13T12:58:06.692,1.920,-0.084,0.426,-0.895
1668337086732,2022-11-13T12:58:06.732,1.960,-0.085,0.438,-0.897
1668337086772,2022-11-13T12:58:06.772,2.000,-0.082,0.424,-0.895
1668337086812,2022-11-13T12:58:06.812,2.040,-0.084,0.438,-0.895
1668337086852,2022-11-13T12:58:06.852,2.080,-0.083,0.435,-0.896
1668337086892,2022-11-13T12:58:06.892,2.120,-0.085,0.423,-0.897
1668337086932,2022-11-13T12:58:06.932,2.160,-0.083,0.434,-0.895
1668337086972,2022-11-13T12:58:06.972,2.200,-0.083,0.433,-0.895
1668337087012,2022-11-13T12:58:07.012,2.240,-0.084,0.422,-0.896
1668337087052,2022-11-13T12:58:07.052,2.280,-0.083,0.435,-0.897
1668337087092,2022-11-13T12:58:07.092,2.320,-0.081,0.436,-0.895
1668337087132,2022-11-13T12:58:07.132,2.360,-0.086,0.427,-0.897
1668337087172,2022-11-13T12:58:07.172,2.400,-0.084,0.436,-0.894
1668337087212,2022-11-13T12:58:07.212,2.440,-0.085,0.433,-0.897
1668337087252,2022-11-13T12:58:07.252,2.480,-0.080,0.429,-0.895
1668337087292,2022-11-13T12:58:07.292,2.520,-0.085,0.433,-0.898
1668337087332,2022-11-13T12:58:07.332,2.560,-0.083,0.427,-0.895
1668337087372,2022-11-13T12:58:07.372,2.600,-0.085,0.429,-0.897
1668337087412,2022-11-13T12:58:07.412,2.640,-0.083,0.430,-0.896
1668337087452,2022-11-13T12:58:07.452,2.680,-0.084,0.432,-0.896
1668337087492,2022-11-13T12:58:07.492,2.720,-0.086,0.426,-0.896
1668337087532,2022-11-13T12:58:07.532,2.760,-0.085,0.432,-0.896
1668337087572,2022-11-13T12:58:07.572,2.800,-0.083,0.428,-0.898
1668337087612,2022-11-13T12:58:07.612,2.840,-0.084,0.427,-0.897
1668337087652,2022-11-13T12:58:07.652,2.880,-0.086,0.429,-0.898
1668337087692,2022-11-13T12:58:07.692,2.920,-0.084,0.425,-0.896
1668337087732,2022-11-13T12:58:07.732,2.960,-0.082,0.436,-0.897
1668337087772,2022-11-13T12:58:07.772,3.000,-0.083,0.423,-0.898
1668337087812,2022-11-13T12:58:07.812,3.040,-0.085,0.427,-0.899
1668337087852,2022-11-13T12:58:07.852,3.080,-0.081,0.430,-0.897
1668337087892,2022-11-13T12:58:07.892,3.120,-0.085,0.430,-0.900
1668337087932,2022-11-13T12:58:07.932,3.160,-0.083,0.422,-0.898
1668337087972,2022-11-13T12:58:07.972,3.200,-0.083,0.427,-0.899
1668337088012,2022-11-13T12:58:08.012,3.240,-0.084,0.423,-0.900
1668337088052,2022-11-13T12:58:08.052,3.280,-0.083,0.428,-0.898
1668337088092,2022-11-13T12:58:08.092,3.320,-0.083,0.425,-0.900
1668337088132,2022-11-13T12:58:08.132,3.360,-0.082,0.425,-0.898
1668337088172,2022-11-13T12:58:08.172,3.400,-0.085,0.420,-0.901
1668337088212,2022-11-13T12:58:08.212,3.440,-0.083,0.425,-0.899
1668337088252,2022-11-13T12:58:08.252,3.480,-0.082,0.429,-0.899
1668337088292,2022-11-13T12:58:08.292,3.520,-0.083,0.416,-0.900
1668337088332,2022-11-13T12:58:08.332,3.560,-0.084,0.427,-0.901
1668337088372,2022-11-13T12:58:08.372,3.600,-0.082,0.427,-0.899
1668337088412,2022-11-13T12:58:08.412,3.640,-0.082,0.425,-0.899
1668337088452,2022-11-13T12:58:08.452,3.680,-0.083,0.423,-0.899
1668337088492,2022-11-13T12:58:08.492,3.720,-0.083,0.426,-0.899
1668337088532,2022-11-13T12:58:08.532,3.760,-0.083,0.428,-0.899
1668337088572,2022-11-13T12:58:08.572,3.800,-0.083,0.423,-0.900
1668337088612,2022-11-13T12:58:08.612,3.840,-0.082,0.421,-0.899
1668337088652,2022-11-13T12:58:08.652,3.880,-0.086,0.426,-0.902
1668337088692,2022-11-13T12:58:08.692,3.920,-0.083,0.422,-0.899
1668337088732,2022-11-13T12:58:08.732,3.960,-0.083,0.427,-0.899
1668337088772,2022-11-13T12:58:08.772,4.000,-0.084,0.422,-0.900
1668337088812,2022-11-13T12:58:08.812,4.040,-0.083,0.423,-0.899
1668337088852,2022-11-13T12:58:08.852,4.080,-0.084,0.422,-0.900
1668337088892,2022-11-13T12:58:08.892,4.120,-0.085,0.420,-0.900
1668337088932,2022-11-13T12:58:08.932,4.160,-0.084,0.425,-0.901
1668337088972,2022-11-13T12:58:08.972,4.200,-0.082,0.413,-0.899
1668337089012,2022-11-13T12:58:09.012,4.240,-0.085,0.434,-0.901
1668337089052,2022-11-13T12:58:09.052,4.280,-0.085,0.410,-0.902
1668337089092,2022-11-13T12:58:09.092,4.320,-0.083,0.426,-0.900
1668337089132,2022-11-13T12:58:09.132,4.360,-0.084,0.431,-0.900
1668337089172,2022-11-13T12:58:09.172,4.400,-0.084,0.413,-0.900
1668337089212,2022-11-13T12:58:09.212,4.440,-0.086,0.430,-0.901
1668337089252,2022-11-13T12:58:09.252,4.480,-0.085,0.416,-0.899
1668337089292,2022-11-13T12:58:09.292,4.520,-0.084,0.426,-0.901
1668337089332,2022-11-13T12:58:09.332,4.560,-0.084,0.419,-0.900
1668337089372,2022-11-13T12:58:09.372,4.600,-0.085,0.422,-0.901
