epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1668250363560,2022-11-12T12:52:43.560,0.000,0.518,-0.640,0.976
1668250363600,2022-11-12T12:52:43.600,0.040,0.335,-0.762,0.701
1668250363640,2022-11-12T12:52:43.640,0.080,0.183,-1.311,-0.030
1668250363680,2022-11-12T12:52:43.680,0.120,1.585,-1.555,-1.037
1668250363720,2022-11-12T12:52:43.720,0.160,3.323,-2.896,-2.043
1668250363760,2022-11-12T12:52:43.760,0.200,2.927,-2.500,-2.043
1668250363800,2022-11-12T12:52:43.800,0.240,-0.335,-1.951,-0.244
1668250363840,2022-11-12T12:52:43.840,0.280,-0.915,-0.701,0.579
1668250363880,2022-11-12T12:52:43.880,0.320,-0.061,0.427,0.183
1668250363920,2022-11-12T12:52:43.920,0.360,-0.732,-0.244,-0.122
1668250363960,2022-11-12T12:52:43.960,0.400,-1.128,-0.488,-0.122
1668250364000,2022-11-12T12:52:44.000,0.440,-0.671,-0.671,0.152
1668250364040,2022-11-12T12:52:44.040,0.480,-1.098,0.488,0.610
1668250364080,2022-11-12T12:52:44.080,0.520,-1.067,0.213,0.640
1668250364120,2022-11-12T12:52:44.120,0.560,-0.030,-0.549,-0.091
1668250364160,2022-11-12T12:52:44.160,0.600,-0.274,-0.396,0.213
1668250364200,2022-11-12T12:52:44.200,0.640,-0.640,-1.128,0.427
1668250364240,2022-11-12T12:52:44.240,0.680,-0.274,-0.122,0.366
1668250364280,2022-11-12T12:52:44.280,0.720,0.274,-0.213,0.396
1668250364320,2022-11-12T12:52:44.320,0.760,0.091,0.061,0.427
1668250364360,2022-11-12T12:52:44.360,0.800,0.061,-0.366,0.335
1668250364400,2022-11-12T12:52:44.400,0.840,-1.189,-0.427,0.518
1668250364440,2022-11-12T12:52:44.440,0.880,-1.494,-0.061,0.762
1668250364480,2022-11-12T12:52:44.480,0.920,-0.671,-0.305,0.396
1668250364520,2022-11-12T12:52:44.520,0.960,-2.195,-0.335,0.701
1668250364560,2022-11-12T12:52:44.560,1.000,-2.348,-1.006,0.183
1668250364600,2022-11-12T12:52:44.600,1.040,1.067,-0.579,-1.402
1668250364640,2022-11-12T12:52:44.640,1.080,1.280,-0.274,-1.311
1668250364680,2022-11-12T12:52:44.680,1.120,0.122,-0.396,0.396
1668250364720,2022-11-12T12:52:44.720,1.160,-0.061,0.854,0.976
1668250364760,2022-11-12T12:52:44.760,1.200,0.122,0.030,0.488
1668250364800,2022-11-12T12:52:44.800,1.240,-0.030,-1.311,0.030
1668250364840,2022-11-12T12:52:44.840,1.280,0.274,-0.091,0.122
1668250364880,2022-11-12T12:52:44.880,1.320,-0.610,-0.122,0.427
1668250364920,2022-11-12T12:52:44.920,1.360,0.183,-0.274,-0.244
