epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1668268001652,2022-11-12T17.46.41.652,0.000,2.165,-1.860,-0.396
1668268001692,2022-11-12T17.46.41.692,0.040,1.982,-1.707,-0.793
1668268001732,2022-11-12T17.46.41.732,0.080,0.701,-2.530,-0.610
1668268001772,2022-11-12T17.46.41.772,0.120,0.823,-1.128,0.640
1668268001812,2022-11-12T17.46.41.812,0.160,0.884,-1.220,1.006
1668268001852,2022-11-12T17.46.41.852,0.200,-0.061,-1.707,1.189
1668268001892,2022-11-12T17.46.41.892,0.240,1.463,-0.579,0.244
1668268001932,2022-11-12T17.46.41.932,0.280,0.701,-0.945,0.671
1668268001972,2022-11-12T17.46.41.972,0.320,-0.122,-1.189,0.884
1668268002012,2022-11-12T17.46.42.012,0.360,0.335,-0.884,0.427
1668268002052,2022-11-12T17.46.42.052,0.400,0.274,-0.976,0.610
1668268002092,2022-11-12T17.46.42.092,0.440,0.610,-0.762,0.823
1668268002132,2022-11-12T17.46.42.132,0.480,0.884,-0.884,0.457
1668268002172,2022-11-12T17.46.42.172,0.520,0.915,-0.945,0.030
1668268002212,2022-11-12T17.46.42.212,0.560,0.884,-0.457,0.152
1668268002252,2022-11-12T17.46.42.252,0.600,1.311,0.183,0.274
1668268002292,2022-11-12T17.46.42.292,0.640,1.433,0.152,0.061
1668268002332,2022-11-12T17.46.42.332,0.680,1.707,0.457,-0.244
1668268002372,2022-11-12T17.46.42.372,0.720,2.165,1.067,-0.457
1668268002412,2022-11-12T17.46.42.412,0.760,0.244,0.549,0.518
1668268002452,2022-11-12T17.46.42.452,0.800,0.030,0.457,0.366
1668268002492,2022-11-12T17.46.42.492,0.840,1.280,0.823,-0.457
1668268002532,2022-11-12T17.46.42.532,0.880,0.732,-0.091,0.244
1668268002572,2022-11-12T17.46.42.572,0.920,1.098,-0.274,0.396
1668268002612,2022-11-12T17.46.42.612,0.960,1.890,0.457,0.396
1668268002652,2022-11-12T17.46.42.652,1.000,1.098,-0.091,0.976
1668268002692,2022-11-12T17.46.42.692,1.040,1.433,-0.793,0.549
1668268002732,2022-11-12T17.46.42.732,1.080,0.945,-1.311,0.457
1668268002772,2022-11-12T17.46.42.772,1.120,0.854,-0.579,0.396
1668268002812,2022-11-12T17.46.42.812,1.160,-0.488,-1.341,0.884
1668268002852,2022-11-12T17.46.42.852,1.200,1.890,-1.555,0.732
1668268002892,2022-11-12T17.46.42.892,1.240,1.768,-0.671,0.640
1668268002932,2022-11-12T17.46.42.932,1.280,1.646,0.366,-0.122
1668268002972,2022-11-12T17.46.42.972,1.320,-0.061,0.610,0.183
1668268003012,2022-11-12T17.46.43.012,1.360,0.152,0.640,0.244
1668268003052,2022-11-12T17.46.43.052,1.400,-0.091,0.152,0.305
1668268003092,2022-11-12T17.46.43.092,1.440,0.122,-0.030,0.335
1668268003132,2022-11-12T17.46.43.132,1.480,0.030,-0.244,0.518
1668268003172,2022-11-12T17.46.43.172,1.520,0.549,0.213,0.152
1668268003212,2022-11-12T17.46.43.212,1.560,-0.030,0.305,0.183
1668268003252,2022-11-12T17.46.43.252,1.600,2.500,1.829,-0.305
1668268003292,2022-11-12T17.46.43.292,1.640,-0.823,-2.774,3.598
1668268003332,2022-11-12T17.46.43.332,1.680,0.579,-3.171,2.226
1668268003372,2022-11-12T17.46.43.372,1.720,5.366,3.110,-1.555
1668268003412,2022-11-12T17.46.43.412,1.760,-0.213,1.037,1.616
1668268003452,2022-11-12T17.46.43.452,1.800,1.768,0.488,0.152
1668268003492,2022-11-12T17.46.43.492,1.840,1.677,0.762,-0.396
1668268003532,2022-11-12T17.46.43.532,1.880,1.098,1.128,0.152
1668268003572,2022-11-12T17.46.43.572,1.920,0.823,0.915,0.244
1668268003612,2022-11-12T17.46.43.612,1.960,0.915,0.366,0.488
1668268003652,2022-11-12T17.46.43.652,2.000,0.183,-0.244,0.793
1668268003692,2022-11-12T17.46.43.692,2.040,0.061,-0.061,0.488
1668268003732,2022-11-12T17.46.43.732,2.080,-0.610,-0.549,0.579
1668268003772,2022-11-12T17.46.43.772,2.120,-0.549,-0.579,0.183
1668268003812,2022-11-12T17.46.43.812,2.160,0.000,-0.366,-0.335
1668268003852,2022-11-12T17.46.43.852,2.200,-0.579,-0.945,0.244
1668268003892,2022-11-12T17.46.43.892,2.240,-1.677,-1.372,0.549
1668268003932,2022-11-12T17.46.43.932,2.280,-1.159,-1.433,0.061
1668268003972,2022-11-12T17.46.43.972,2.320,-1.829,-2.348,0.488
1668268004012,2022-11-12T17.46.44.012,2.360,-1.799,-2.378,0.518
1668268004052,2022-11-12T17.46.44.052,2.400,-0.213,-1.128,0.305
1668268004092,2022-11-12T17.46.44.092,2.440,0.701,0.000,0.213
1668268004132,2022-11-12T17.46.44.132,2.480,1.555,0.396,-0.091
1668268004172,2022-11-12T17.46.44.172,2.520,0.518,-0.366,0.152
1668268004212,2022-11-12T17.46.44.212,2.560,-2.652,-1.738,0.762
1668268004252,2022-11-12T17.46.44.252,2.600,-0.305,-0.732,0.732
1668268004292,2022-11-12T17.46.44.292,2.640,2.043,0.244,0.213
1668268004332,2022-11-12T17.46.44.332,2.680,2.012,0.457,-0.061
1668268004372,2022-11-12T17.46.44.372,2.720,1.585,0.488,0.091
1668268004412,2022-11-12T17.46.44.412,2.760,0.488,-0.061,0.549
1668268004452,2022-11-12T17.46.44.452,2.800,0.640,-0.061,0.396
1668268004492,2022-11-12T17.46.44.492,2.840,0.366,-0.244,0.366
1668268004532,2022-11-12T17.46.44.532,2.880,0.366,-0.183,0.213
1668268004572,2022-11-12T17.46.44.572,2.920,0.183,-0.183,0.396
1668268004612,2022-11-12T17.46.44.612,2.960,0.305,-0.305,0.457
1668268004652,2022-11-12T17.46.44.652,3.000,0.305,-0.579,0.518
1668268004692,2022-11-12T17.46.44.692,3.040,0.000,-0.579,0.457
1668268004732,2022-11-12T17.46.44.732,3.080,0.701,-0.213,0.335
1668268004772,2022-11-12T17.46.44.772,3.120,1.524,0.335,0.335
1668268004812,2022-11-12T17.46.44.812,3.160,0.427,0.152,0.640
1668268004852,2022-11-12T17.46.44.852,3.200,0.122,-0.244,0.518
1668268004892,2022-11-12T17.46.44.892,3.240,-0.030,-0.396,0.518
1668268004932,2022-11-12T17.46.44.932,3.280,0.244,-0.152,0.549
1668268004972,2022-11-12T17.46.44.972,3.320,0.244,-0.213,0.488
1668268005012,2022-11-12T17.46.45.012,3.360,0.152,-0.274,0.488
1668268005052,2022-11-12T17.46.45.052,3.400,0.579,-0.030,0.366
1668268005092,2022-11-12T17.46.45.092,3.440,0.488,0.061,0.396
1668268005132,2022-11-12T17.46.45.132,3.480,0.061,-0.061,0.335
1668268005172,2022-11-12T17.46.45.172,3.520,0.610,0.061,0.305
1668268005212,2022-11-12T17.46.45.212,3.560,0.701,0.061,0.213
1668268005252,2022-11-12T17.46.45.252,3.600,0.579,-0.122,0.335
1668268005292,2022-11-12T17.46.45.292,3.640,0.427,-0.213,0.335
1668268005332,2022-11-12T17.46.45.332,3.680,0.305,-0.244,0.305
