epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1667156064169,2022-10-30T20:54:24.169,0.000,-0.277,-0.265,-0.924
1667156064209,2022-10-30T20:54:24.209,0.040,-0.277,-0.271,-0.931
1667156064248,2022-10-30T20:54:24.248,0.079,-0.277,-0.271,-0.928
1667156064288,2022-10-30T20:54:24.288,0.119,-0.279,-0.266,-0.931
1667156064328,2022-10-30T20:54:24.328,0.159,-0.278,-0.269,-0.932
1667156064367,2022-10-30T20:54:24.367,0.198,-0.277,-0.270,-0.930
1667156064407,2022-10-30T20:54:24.407,0.238,-0.278,-0.271,-0.930
1667156064446,2022-10-30T20:54:24.446,0.277,-0.279,-0.269,-0.929
1667156064486,2022-10-30T20:54:24.486,0.317,-0.277,-0.269,-0.929
1667156064525,2022-10-30T20:54:24.525,0.356,-0.276,-0.269,-0.930
1667156064565,2022-10-30T20:54:24.565,0.396,-0.278,-0.270,-0.928
1667156064604,2022-10-30T20:54:24.604,0.435,-0.277,-0.269,-0.929
1667156064644,2022-10-30T20:54:24.644,0.475,-0.278,-0.270,-0.932
1667156064683,2022-10-30T20:54:24.683,0.514,-0.277,-0.268,-0.930
1667156064723,2022-10-30T20:54:24.723,0.554,-0.278,-0.271,-0.929
1667156064763,2022-10-30T20:54:24.763,0.594,-0.276,-0.269,-0.930
1667156064802,2022-10-30T20:54:24.802,0.633,-0.278,-0.270,-0.929
1667156064842,2022-10-30T20:54:24.842,0.673,-0.278,-0.269,-0.929
1667156064881,2022-10-30T20:54:24.881,0.712,-0.277,-0.269,-0.930
1667156064921,2022-10-30T20:54:24.921,0.752,-0.278,-0.269,-0.929
1667156064960,2022-10-30T20:54:24.960,0.791,-0.279,-0.268,-0.929
1667156065000,2022-10-30T20:54:25.000,0.831,-0.279,-0.268,-0.929
1667156065039,2022-10-30T20:54:25.039,0.870,-0.276,-0.272,-0.931
1667156065079,2022-10-30T20:54:25.079,0.910,-0.281,-0.269,-0.928
1667156065119,2022-10-30T20:54:25.119,0.950,-0.277,-0.268,-0.932
1667156065158,2022-10-30T20:54:25.158,0.989,-0.279,-0.267,-0.928
1667156065198,2022-10-30T20:54:25.198,1.029,-0.278,-0.270,-0.930
1667156065237,2022-10-30T20:54:25.237,1.068,-0.276,-0.267,-0.930
1667156065277,2022-10-30T20:54:25.277,1.108,-0.279,-0.267,-0.929
1667156065316,2022-10-30T20:54:25.316,1.147,-0.278,-0.269,-0.930
1667156065356,2022-10-30T20:54:25.356,1.187,-0.279,-0.269,-0.928
1667156065395,2022-10-30T20:54:25.395,1.226,-0.279,-0.267,-0.929
1667156065435,2022-10-30T20:54:25.435,1.266,-0.279,-0.271,-0.929
1667156065475,2022-10-30T20:54:25.475,1.306,-0.279,-0.269,-0.929
1667156065514,2022-10-30T20:54:25.514,1.345,-0.278,-0.267,-0.930
1667156065554,2022-10-30T20:54:25.554,1.385,-0.279,-0.269,-0.927
1667156065593,2022-10-30T20:54:25.593,1.424,-0.279,-0.272,-0.931
1667156065633,2022-10-30T20:54:25.633,1.464,-0.281,-0.268,-0.929
1667156065672,2022-10-30T20:54:25.672,1.503,-0.277,-0.267,-0.931
1667156065712,2022-10-30T20:54:25.712,1.543,-0.280,-0.272,-0.927
1667156065751,2022-10-30T20:54:25.751,1.582,-0.280,-0.268,-0.930
1667156065791,2022-10-30T20:54:25.791,1.622,-0.279,-0.266,-0.931
1667156065830,2022-10-30T20:54:25.830,1.661,-0.280,-0.269,-0.929
1667156065870,2022-10-30T20:54:25.870,1.701,-0.278,-0.269,-0.928
1667156065910,2022-10-30T20:54:25.910,1.741,-0.279,-0.269,-0.928
1667156065949,2022-10-30T20:54:25.949,1.780,-0.277,-0.265,-0.928
1667156065989,2022-10-30T20:54:25.989,1.820,-0.280,-0.266,-0.930
1667156066028,2022-10-30T20:54:26.028,1.859,-0.277,-0.269,-0.930
1667156066068,2022-10-30T20:54:26.068,1.899,-0.278,-0.271,-0.927
1667156066107,2022-10-30T20:54:26.107,1.938,-0.280,-0.266,-0.928
1667156066147,2022-10-30T20:54:26.147,1.978,-0.277,-0.265,-0.931
1667156066186,2022-10-30T20:54:26.186,2.017,-0.276,-0.264,-0.930
1667156066226,2022-10-30T20:54:26.226,2.057,-0.279,-0.266,-0.929
1667156066266,2022-10-30T20:54:26.266,2.097,-0.280,-0.266,-0.929
1667156066305,2022-10-30T20:54:26.305,2.136,-0.277,-0.267,-0.931
