epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1668086120029,2022-11-10T15.15.20.029,0.000,-0.295,0.106,-0.939
1668086120069,2022-11-10T15.15.20.069,0.040,-0.298,0.112,-0.947
1668086120109,2022-11-10T15.15.20.109,0.080,-0.296,0.109,-0.945
1668086120149,2022-11-10T15.15.20.149,0.120,-0.297,0.112,-0.945
1668086120189,2022-11-10T15.15.20.189,0.160,-0.298,0.104,-0.945
1668086120229,2022-11-10T15.15.20.229,0.200,-0.295,0.113,-0.945
1668086120269,2022-11-10T15.15.20.269,0.240,-0.292,0.116,-0.947
1668086120309,2022-11-10T15.15.20.309,0.280,-0.292,0.116,-0.945
1668086120349,2022-11-10T15.15.20.349,0.320,-0.294,0.108,-0.945
1668086120389,2022-11-10T15.15.20.389,0.360,-0.295,0.109,-0.945
1668086120429,2022-11-10T15.15.20.429,0.400,-0.295,0.106,-0.945
1668086120469,2022-11-10T15.15.20.469,0.440,-0.295,0.114,-0.946
1668086120509,2022-11-10T15.15.20.509,0.480,-0.293,0.109,-0.946
1668086120549,2022-11-10T15.15.20.549,0.520,-0.295,0.115,-0.944
1668086120589,2022-11-10T15.15.20.589,0.560,-0.294,0.112,-0.944
1668086120629,2022-11-10T15.15.20.629,0.600,-0.296,0.112,-0.946
1668086120669,2022-11-10T15.15.20.669,0.640,-0.295,0.109,-0.945
1668086120709,2022-11-10T15.15.20.709,0.680,-0.297,0.110,-0.944
1668086120749,2022-11-10T15.15.20.749,0.720,-0.294,0.109,-0.945
1668086120789,2022-11-10T15.15.20.789,0.760,-0.294,0.113,-0.945
1668086120829,2022-11-10T15.15.20.829,0.800,-0.293,0.116,-0.944
1668086120869,2022-11-10T15.15.20.869,0.840,-0.292,0.118,-0.946
1668086120909,2022-11-10T15.15.20.909,0.880,-0.295,0.113,-0.944
1668086120949,2022-11-10T15.15.20.949,0.920,-0.294,0.110,-0.943
1668086120989,2022-11-10T15.15.20.989,0.960,-0.293,0.114,-0.946
1668086121029,2022-11-10T15.15.21.029,1.000,-0.293,0.116,-0.946
1668086121069,2022-11-10T15.15.21.069,1.040,-0.296,0.114,-0.944
1668086121109,2022-11-10T15.15.21.109,1.080,-0.294,0.113,-0.944
1668086121149,2022-11-10T15.15.21.149,1.120,-0.294,0.120,-0.944
1668086121189,2022-11-10T15.15.21.189,1.160,-0.296,0.112,-0.944
1668086121229,2022-11-10T15.15.21.229,1.200,-0.295,0.102,-0.945
1668086121269,2022-11-10T15.15.21.269,1.240,-0.295,0.113,-0.944
1668086121309,2022-11-10T15.15.21.309,1.280,-0.295,0.112,-0.945
1668086121349,2022-11-10T15.15.21.349,1.320,-0.296,0.106,-0.943
1668086121389,2022-11-10T15.15.21.389,1.360,-0.295,0.111,-0.944
1668086121429,2022-11-10T15.15.21.429,1.400,-0.296,0.110,-0.944
1668086121469,2022-11-10T15.15.21.469,1.440,-0.296,0.107,-0.943
1668086121509,2022-11-10T15.15.21.509,1.480,-0.297,0.110,-0.944
1668086121549,2022-11-10T15.15.21.549,1.520,-0.297,0.106,-0.945
1668086121589,2022-11-10T15.15.21.589,1.560,-0.297,0.108,-0.943
1668086121629,2022-11-10T15.15.21.629,1.600,-0.296,0.112,-0.944
1668086121669,2022-11-10T15.15.21.669,1.640,-0.297,0.110,-0.943
1668086121709,2022-11-10T15.15.21.709,1.680,-0.293,0.111,-0.944
1668086121749,2022-11-10T15.15.21.749,1.720,-0.296,0.114,-0.944
1668086121789,2022-11-10T15.15.21.789,1.760,-0.296,0.109,-0.944
1668086121829,2022-11-10T15.15.21.829,1.800,-0.298,0.107,-0.943
1668086121869,2022-11-10T15.15.21.869,1.840,-0.296,0.109,-0.943
1668086121909,2022-11-10T15.15.21.909,1.880,-0.298,0.107,-0.942
1668086121949,2022-11-10T15.15.21.949,1.920,-0.295,0.108,-0.945
1668086121989,2022-11-10T15.15.21.989,1.960,-0.296,0.111,-0.944
1668086122029,2022-11-10T15.15.22.029,2.000,-0.298,0.110,-0.943
1668086122069,2022-11-10T15.15.22.069,2.040,-0.296,0.110,-0.943
1668086122109,2022-11-10T15.15.22.109,2.080,-0.297,0.112,-0.944
1668086122149,2022-11-10T15.15.22.149,2.120,-0.297,0.106,-0.944
1668086122189,2022-11-10T15.15.22.189,2.160,-0.297,0.110,-0.942
1668086122229,2022-11-10T15.15.22.229,2.200,-0.297,0.114,-0.944
1668086122269,2022-11-10T15.15.22.269,2.240,-0.297,0.109,-0.944
1668086122309,2022-11-10T15.15.22.309,2.280,-0.297,0.110,-0.943
1668086122349,2022-11-10T15.15.22.349,2.320,-0.298,0.114,-0.943
1668086122389,2022-11-10T15.15.22.389,2.360,-0.297,0.110,-0.943
1668086122429,2022-11-10T15.15.22.429,2.400,-0.298,0.109,-0.943
1668086122469,2022-11-10T15.15.22.469,2.440,-0.297,0.107,-0.944
1668086122509,2022-11-10T15.15.22.509,2.480,-0.298,0.114,-0.943
1668086122549,2022-11-10T15.15.22.549,2.520,-0.298,0.115,-0.943
1668086122589,2022-11-10T15.15.22.589,2.560,-0.302,0.110,-0.941
1668086122629,2022-11-10T15.15.22.629,2.600,-0.298,0.111,-0.942
1668086122669,2022-11-10T15.15.22.669,2.640,-0.298,0.116,-0.943
1668086122709,2022-11-10T15.15.22.709,2.680,-0.302,0.101,-0.942
1668086122749,2022-11-10T15.15.22.749,2.720,-0.299,0.107,-0.944
1668086122789,2022-11-10T15.15.22.789,2.760,-0.299,0.112,-0.943
1668086122829,2022-11-10T15.15.22.829,2.800,-0.301,0.109,-0.942
1668086122869,2022-11-10T15.15.22.869,2.840,-0.301,0.106,-0.944
1668086122909,2022-11-10T15.15.22.909,2.880,-0.299,0.105,-0.944
1668086122949,2022-11-10T15.15.22.949,2.920,-0.300,0.103,-0.944
1668086122989,2022-11-10T15.15.22.989,2.960,-0.300,0.103,-0.943
1668086123029,2022-11-10T15.15.23.029,3.000,-0.300,0.104,-0.943
1668086123069,2022-11-10T15.15.23.069,3.040,-0.298,0.109,-0.944
1668086123109,2022-11-10T15.15.23.109,3.080,-0.300,0.116,-0.943
1668086123149,2022-11-10T15.15.23.149,3.120,-0.299,0.112,-0.943
1668086123189,2022-11-10T15.15.23.189,3.160,-0.300,0.105,-0.943
1668086123229,2022-11-10T15.15.23.229,3.200,-0.301,0.109,-0.943
1668086123269,2022-11-10T15.15.23.269,3.240,-0.299,0.106,-0.944
1668086123309,2022-11-10T15.15.23.309,3.280,-0.298,0.113,-0.942
1668086123349,2022-11-10T15.15.23.349,3.320,-0.300,0.115,-0.942
1668086123389,2022-11-10T15.15.23.389,3.360,-0.301,0.105,-0.943
1668086123429,2022-11-10T15.15.23.429,3.400,-0.301,0.099,-0.944
1668086123469,2022-11-10T15.15.23.469,3.440,-0.300,0.103,-0.944
