epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1668159591875,2022-11-11T11.39.51.875,0.000,0.823,0.000,0.701
1668159591915,2022-11-11T11.39.51.915,0.040,0.610,-0.030,0.579
1668159591955,2022-11-11T11.39.51.955,0.080,0.762,-0.152,0.488
1668159591995,2022-11-11T11.39.51.995,0.120,0.610,-0.091,0.549
1668159592035,2022-11-11T11.39.52.035,0.160,0.640,0.091,0.427
1668159592075,2022-11-11T11.39.52.075,0.200,0.610,0.030,0.274
1668159592115,2022-11-11T11.39.52.115,0.240,0.488,-0.152,0.244
1668159592155,2022-11-11T11.39.52.155,0.280,0.427,-0.213,0.274
1668159592195,2022-11-11T11.39.52.195,0.320,0.610,0.000,0.213
1668159592235,2022-11-11T11.39.52.235,0.360,0.305,-0.183,0.396
1668159592275,2022-11-11T11.39.52.275,0.400,0.701,-0.091,0.213
1668159592315,2022-11-11T11.39.52.315,0.440,0.579,0.091,0.274
1668159592355,2022-11-11T11.39.52.355,0.480,0.579,-0.244,0.427
1668159592395,2022-11-11T11.39.52.395,0.520,0.579,-0.823,0.823
1668159592435,2022-11-11T11.39.52.435,0.560,1.067,-0.762,0.884
1668159592475,2022-11-11T11.39.52.475,0.600,0.579,-0.122,0.854
1668159592515,2022-11-11T11.39.52.515,0.640,0.579,0.701,0.793
1668159592555,2022-11-11T11.39.52.555,0.680,0.640,0.579,0.579
1668159592595,2022-11-11T11.39.52.595,0.720,0.884,0.213,0.457
1668159592635,2022-11-11T11.39.52.635,0.760,0.244,0.000,0.457
1668159592675,2022-11-11T11.39.52.675,0.800,0.335,0.000,0.274
1668159592715,2022-11-11T11.39.52.715,0.840,0.427,-0.152,0.244
1668159592755,2022-11-11T11.39.52.755,0.880,0.579,-0.244,0.213
1668159592795,2022-11-11T11.39.52.795,0.920,0.305,-0.305,0.366
1668159592835,2022-11-11T11.39.52.835,0.960,0.640,-0.549,0.427
1668159592875,2022-11-11T11.39.52.875,1.000,1.189,-0.549,0.549
1668159592915,2022-11-11T11.39.52.915,1.040,0.915,-0.457,0.793
1668159592955,2022-11-11T11.39.52.955,1.080,1.159,-0.427,0.549
1668159592995,2022-11-11T11.39.52.995,1.120,1.189,-0.549,0.518
1668159593035,2022-11-11T11.39.53.035,1.160,0.976,-0.701,0.549
1668159593075,2022-11-11T11.39.53.075,1.200,1.067,-0.366,0.427
1668159593115,2022-11-11T11.39.53.115,1.240,0.793,-0.122,0.335
1668159593155,2022-11-11T11.39.53.155,1.280,0.305,-0.030,0.244
1668159593195,2022-11-11T11.39.53.195,1.320,0.366,-0.518,0.244
1668159593235,2022-11-11T11.39.53.235,1.360,1.159,-0.244,0.000
1668159593275,2022-11-11T11.39.53.275,1.400,0.823,-0.091,0.427
1668159593315,2022-11-11T11.39.53.315,1.440,0.762,-0.244,0.579
1668159593355,2022-11-11T11.39.53.355,1.480,0.366,-0.122,0.610
1668159593395,2022-11-11T11.39.53.395,1.520,-0.305,0.274,0.549
1668159593435,2022-11-11T11.39.53.435,1.560,-0.335,0.457,0.701
1668159593475,2022-11-11T11.39.53.475,1.600,0.549,0.488,0.671
1668159593515,2022-11-11T11.39.53.515,1.640,0.701,0.518,0.762
1668159593555,2022-11-11T11.39.53.555,1.680,1.006,0.000,0.854
1668159593595,2022-11-11T11.39.53.595,1.720,1.128,-0.549,0.640
1668159593635,2022-11-11T11.39.53.635,1.760,1.433,-0.305,0.305
1668159593675,2022-11-11T11.39.53.675,1.800,1.280,0.000,0.305
1668159593715,2022-11-11T11.39.53.715,1.840,0.061,0.518,0.488
1668159593755,2022-11-11T11.39.53.755,1.880,-0.122,1.067,0.152
1668159593795,2022-11-11T11.39.53.795,1.920,-0.335,0.671,0.244
1668159593835,2022-11-11T11.39.53.835,1.960,-0.152,0.457,0.274
1668159593875,2022-11-11T11.39.53.875,2.000,-0.244,0.366,0.396
1668159593915,2022-11-11T11.39.53.915,2.040,0.305,0.335,0.213
1668159593955,2022-11-11T11.39.53.955,2.080,0.244,0.091,0.213
1668159593995,2022-11-11T11.39.53.995,2.120,-0.122,0.305,0.152
1668159594035,2022-11-11T11.39.54.035,2.160,-0.793,0.305,0.244
1668159594075,2022-11-11T11.39.54.075,2.200,-1.128,0.122,0.335
1668159594115,2022-11-11T11.39.54.115,2.240,-1.128,0.305,0.274
1668159594155,2022-11-11T11.39.54.155,2.280,-0.030,-0.030,0.488
1668159594195,2022-11-11T11.39.54.195,2.320,0.305,-0.701,0.854
1668159594235,2022-11-11T11.39.54.235,2.360,0.610,-1.128,0.884
1668159594275,2022-11-11T11.39.54.275,2.400,1.128,-0.884,0.671
