epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1667990573695,2022-11-09T12:42:53.695,0.000,0.488,-0.366,-0.030
1667990573736,2022-11-09T12:42:53.736,0.041,-0.061,-0.610,-0.396
1667990573776,2022-11-09T12:42:53.776,0.081,0.000,-0.610,-0.091
1667990573817,2022-11-09T12:42:53.817,0.122,0.244,-0.732,-0.061
1667990573856,2022-11-09T12:42:53.856,0.161,0.183,-0.884,0.000
1667990573897,2022-11-09T12:42:53.897,0.202,0.396,-0.762,-0.213
1667990573938,2022-11-09T12:42:53.938,0.243,0.396,-0.732,-0.305
1667990573978,2022-11-09T12:42:53.978,0.283,0.518,-0.762,-0.213
1667990574019,2022-11-09T12:42:54.019,0.324,0.213,-0.427,-0.091
1667990574060,2022-11-09T12:42:54.060,0.365,-0.152,0.000,0.030
1667990574100,2022-11-09T12:42:54.100,0.405,0.152,-0.305,-0.061
1667990574141,2022-11-09T12:42:54.141,0.446,0.396,-0.640,0.000
1667990574182,2022-11-09T12:42:54.182,0.487,0.244,-0.671,-0.061
1667990574221,2022-11-09T12:42:54.221,0.526,0.457,-0.762,-0.061
1667990574262,2022-11-09T12:42:54.262,0.567,0.366,-0.732,-0.122
1667990574303,2022-11-09T12:42:54.303,0.608,0.366,-0.854,-0.152
1667990574343,2022-11-09T12:42:54.343,0.648,0.213,-0.701,-0.091
1667990574384,2022-11-09T12:42:54.384,0.689,0.274,-0.732,-0.213
1667990574425,2022-11-09T12:42:54.425,0.730,0.366,-0.762,-0.152
1667990574464,2022-11-09T12:42:54.464,0.769,0.091,-0.793,-0.152
1667990574505,2022-11-09T12:42:54.505,0.810,0.030,-0.762,-0.305
1667990574546,2022-11-09T12:42:54.546,0.851,-0.213,-0.457,-0.244
1667990574586,2022-11-09T12:42:54.586,0.891,-0.091,-0.488,-0.122
1667990574627,2022-11-09T12:42:54.627,0.932,0.030,-0.671,-0.061
1667990574668,2022-11-09T12:42:54.668,0.973,-0.030,-0.762,0.000
1667990574708,2022-11-09T12:42:54.708,1.013,0.122,-0.732,-0.152
1667990574749,2022-11-09T12:42:54.749,1.054,0.183,-0.732,-0.213
1667990574790,2022-11-09T12:42:54.790,1.095,-0.030,-0.518,-0.183
1667990574829,2022-11-09T12:42:54.829,1.134,0.030,-0.610,-0.305
1667990574870,2022-11-09T12:42:54.870,1.175,0.030,-0.762,-0.122
1667990574910,2022-11-09T12:42:54.910,1.215,0.244,-0.701,-0.030
1667990574951,2022-11-09T12:42:54.951,1.256,0.274,-0.701,-0.213
1667990574992,2022-11-09T12:42:54.992,1.297,0.152,-0.610,-0.091
1667990575031,2022-11-09T12:42:55.031,1.336,0.274,-0.701,-0.091
