epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1668353374396,2022-11-13T17.29.34.396,0.000,3.628,-12.409,9.177
1668353374436,2022-11-13T17.29.34.436,0.040,2.866,-10.122,8.049
1668353374476,2022-11-13T17.29.34.476,0.080,-3.476,-0.122,1.159
1668353374516,2022-11-13T17.29.34.516,0.120,-9.909,8.750,-14.817
1668353374556,2022-11-13T17.29.34.556,0.160,-9.817,11.280,-14.695
1668353374596,2022-11-13T17.29.34.596,0.200,-8.293,2.683,-13.598
1668353374636,2022-11-13T17.29.34.636,0.240,1.433,1.250,-9.085
1668353374676,2022-11-13T17.29.34.676,0.280,-0.122,2.835,-17.957
1668353374716,2022-11-13T17.29.34.716,0.320,3.598,2.805,-21.067
1668353374756,2022-11-13T17.29.34.756,0.360,4.512,0.945,-23.384
1668353374796,2022-11-13T17.29.34.796,0.400,4.421,4.604,-9.970
1668353374836,2022-11-13T17.29.34.836,0.440,4.390,7.866,3.049
1668353374876,2022-11-13T17.29.34.876,0.480,1.189,8.415,4.512
1668353374916,2022-11-13T17.29.34.916,0.520,-0.915,8.933,6.646
1668353374956,2022-11-13T17.29.34.956,0.560,5.366,21.037,-3.201
1668353374996,2022-11-13T17.29.34.996,0.600,0.488,28.415,-2.652
1668353375036,2022-11-13T17.29.35.036,0.640,4.817,21.616,8.811
1668353375076,2022-11-13T17.29.35.076,0.680,-0.183,22.805,35.091
1668353375116,2022-11-13T17.29.35.116,0.720,-1.128,25.457,16.768
1668353375156,2022-11-13T17.29.35.156,0.760,7.439,25.152,-8.902
1668353375196,2022-11-13T17.29.35.196,0.800,6.677,9.512,-1.921
1668353375236,2022-11-13T17.29.35.236,0.840,2.713,-1.463,10.549
1668353375276,2022-11-13T17.29.35.276,0.880,3.354,-1.494,16.524
1668353375316,2022-11-13T17.29.35.316,0.920,6.006,-10.640,9.878
1668353375356,2022-11-13T17.29.35.356,0.960,5.610,-16.189,6.463
1668353375396,2022-11-13T17.29.35.396,1.000,0.000,-16.707,12.226
1668353375436,2022-11-13T17.29.35.436,1.040,0.610,-7.287,15.549
1668353375476,2022-11-13T17.29.35.476,1.080,3.476,-1.067,18.354
1668353375516,2022-11-13T17.29.35.516,1.120,3.811,10.518,23.445
1668353375556,2022-11-13T17.29.35.556,1.160,-0.488,18.018,15.335
1668353375596,2022-11-13T17.29.35.596,1.200,1.707,24.695,4.939
1668353375636,2022-11-13T17.29.35.636,1.240,-1.250,29.543,0.945
1668353375676,2022-11-13T17.29.35.676,1.280,-4.543,51.098,-12.622
