epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1668246289573,2022-11-12T11.44.49.573,0.000,0.610,-0.091,0.518
1668246289613,2022-11-12T11.44.49.613,0.040,0.762,-0.122,0.579
1668246289653,2022-11-12T11.44.49.653,0.080,0.671,-0.213,0.549
1668246289693,2022-11-12T11.44.49.693,0.120,0.793,-0.152,0.427
1668246289733,2022-11-12T11.44.49.733,0.160,0.610,0.030,0.366
1668246289773,2022-11-12T11.44.49.773,0.200,0.488,-0.030,0.427
1668246289813,2022-11-12T11.44.49.813,0.240,0.732,-0.152,0.366
1668246289853,2022-11-12T11.44.49.853,0.280,0.793,-0.030,0.335
1668246289893,2022-11-12T11.44.49.893,0.320,0.518,0.000,0.457
1668246289933,2022-11-12T11.44.49.933,0.360,0.549,-0.183,0.335
1668246289973,2022-11-12T11.44.49.973,0.400,0.671,-0.152,0.183
1668246290013,2022-11-12T11.44.50.013,0.440,0.640,0.122,0.305
1668246290053,2022-11-12T11.44.50.053,0.480,0.335,0.000,0.427
1668246290093,2022-11-12T11.44.50.093,0.520,0.610,0.030,0.335
1668246290133,2022-11-12T11.44.50.133,0.560,0.762,-0.152,0.305
1668246290173,2022-11-12T11.44.50.173,0.600,0.854,-0.152,0.274
1668246290213,2022-11-12T11.44.50.213,0.640,0.488,-0.061,0.335
1668246290253,2022-11-12T11.44.50.253,0.680,0.488,-0.061,0.396
1668246290293,2022-11-12T11.44.50.293,0.720,0.457,-0.183,0.518
1668246290333,2022-11-12T11.44.50.333,0.760,0.366,-0.274,0.671
1668246290373,2022-11-12T11.44.50.373,0.800,0.488,-0.213,0.610
1668246290413,2022-11-12T11.44.50.413,0.840,0.640,-0.152,0.549
1668246290453,2022-11-12T11.44.50.453,0.880,0.579,-0.091,0.518
1668246290493,2022-11-12T11.44.50.493,0.920,0.640,-0.030,0.518
1668246290533,2022-11-12T11.44.50.533,0.960,0.671,-0.152,0.457
