epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1668176142048,2022-11-11T16.15.42.048,0.000,0.457,-0.152,0.427
1668176142088,2022-11-11T16.15.42.088,0.040,0.549,0.030,0.610
1668176142128,2022-11-11T16.15.42.128,0.080,1.098,-0.183,0.335
1668176142168,2022-11-11T16.15.42.168,0.120,1.311,-0.061,0.244
1668176142208,2022-11-11T16.15.42.208,0.160,1.067,-0.152,0.305
1668176142248,2022-11-11T16.15.42.248,0.200,0.762,-0.183,0.366
1668176142288,2022-11-11T16.15.42.288,0.240,0.671,-0.152,0.427
1668176142328,2022-11-11T16.15.42.328,0.280,0.671,-0.183,0.457
1668176142368,2022-11-11T16.15.42.368,0.320,0.579,-0.122,0.518
1668176142408,2022-11-11T16.15.42.408,0.360,0.518,-0.122,0.518
1668176142448,2022-11-11T16.15.42.448,0.400,0.335,-0.091,0.671
1668176142488,2022-11-11T16.15.42.488,0.440,0.061,-0.122,0.854
1668176142528,2022-11-11T16.15.42.528,0.480,0.061,-0.213,0.854
1668176142568,2022-11-11T16.15.42.568,0.520,0.457,-0.183,0.610
1668176142608,2022-11-11T16.15.42.608,0.560,0.671,-0.152,0.549
1668176142648,2022-11-11T16.15.42.648,0.600,0.732,-0.183,0.488
1668176142688,2022-11-11T16.15.42.688,0.640,0.579,-0.244,0.488
1668176142728,2022-11-11T16.15.42.728,0.680,0.701,-0.152,0.549
1668176142768,2022-11-11T16.15.42.768,0.720,0.915,-0.091,0.518
1668176142808,2022-11-11T16.15.42.808,0.760,0.915,-0.305,0.457
1668176142848,2022-11-11T16.15.42.848,0.800,0.915,-0.213,0.305
1668176142888,2022-11-11T16.15.42.888,0.840,0.762,-0.213,0.488
1668176142928,2022-11-11T16.15.42.928,0.880,0.488,-0.244,0.610
1668176142968,2022-11-11T16.15.42.968,0.920,0.396,-0.244,0.579
1668176143008,2022-11-11T16.15.43.008,0.960,0.976,-0.183,0.366
1668176143048,2022-11-11T16.15.43.048,1.000,1.402,-0.244,0.091
1668176143088,2022-11-11T16.15.43.088,1.040,1.311,-0.244,0.122
1668176143128,2022-11-11T16.15.43.128,1.080,0.640,-0.213,0.427
1668176143168,2022-11-11T16.15.43.168,1.120,0.030,-0.183,0.762
1668176143208,2022-11-11T16.15.43.208,1.160,0.030,-0.183,0.762
1668176143248,2022-11-11T16.15.43.248,1.200,0.366,-0.244,0.640
1668176143288,2022-11-11T16.15.43.288,1.240,0.549,-0.213,0.457
1668176143328,2022-11-11T16.15.43.328,1.280,0.457,-0.183,0.610
1668176143368,2022-11-11T16.15.43.368,1.320,0.427,-0.213,0.579
1668176143408,2022-11-11T16.15.43.408,1.360,0.701,-0.244,0.457
1668176143448,2022-11-11T16.15.43.448,1.400,0.854,-0.152,0.427
1668176143488,2022-11-11T16.15.43.488,1.440,0.518,-0.122,0.549
1668176143528,2022-11-11T16.15.43.528,1.480,0.610,-0.213,0.366
1668176143568,2022-11-11T16.15.43.568,1.520,0.701,-0.152,0.396
1668176143608,2022-11-11T16.15.43.608,1.560,0.610,-0.183,0.488
1668176143648,2022-11-11T16.15.43.648,1.600,0.762,-0.183,0.579
1668176143688,2022-11-11T16.15.43.688,1.640,0.884,-0.183,0.427
1668176143728,2022-11-11T16.15.43.728,1.680,0.793,-0.244,0.396
1668176143768,2022-11-11T16.15.43.768,1.720,0.732,-0.244,0.518
1668176143808,2022-11-11T16.15.43.808,1.760,0.732,-0.244,0.396
1668176143848,2022-11-11T16.15.43.848,1.800,0.640,-0.183,0.518
1668176143888,2022-11-11T16.15.43.888,1.840,0.213,-0.152,0.732
1668176143928,2022-11-11T16.15.43.928,1.880,-0.122,-0.274,0.884
1668176143968,2022-11-11T16.15.43.968,1.920,0.518,-0.335,0.640
1668176144008,2022-11-11T16.15.44.008,1.960,1.006,-0.274,0.335
1668176144048,2022-11-11T16.15.44.048,2.000,0.884,-0.335,0.427
1668176144088,2022-11-11T16.15.44.088,2.040,1.707,-0.274,-0.183
1668176144128,2022-11-11T16.15.44.128,2.080,1.220,-0.335,0.152
1668176144168,2022-11-11T16.15.44.168,2.120,0.091,-0.335,0.915
1668176144208,2022-11-11T16.15.44.208,2.160,0.396,-0.244,0.732
1668176144248,2022-11-11T16.15.44.248,2.200,0.854,-0.213,0.335
1668176144288,2022-11-11T16.15.44.288,2.240,0.762,-0.183,0.396
1668176144328,2022-11-11T16.15.44.328,2.280,1.006,-0.061,0.335
1668176144368,2022-11-11T16.15.44.368,2.320,0.884,0.030,0.366
1668176144408,2022-11-11T16.15.44.408,2.360,0.732,0.061,0.549
1668176144448,2022-11-11T16.15.44.448,2.400,0.549,-0.061,0.579
1668176144488,2022-11-11T16.15.44.488,2.440,0.579,-0.091,0.518
1668176144528,2022-11-11T16.15.44.528,2.480,0.488,0.061,0.579
1668176144568,2022-11-11T16.15.44.568,2.520,0.671,0.000,0.457
1668176144608,2022-11-11T16.15.44.608,2.560,1.098,-0.122,0.061
1668176144648,2022-11-11T16.15.44.648,2.600,1.067,-0.091,0.244
1668176144688,2022-11-11T16.15.44.688,2.640,0.610,0.030,0.549
1668176144728,2022-11-11T16.15.44.728,2.680,0.579,0.000,0.549
1668176144768,2022-11-11T16.15.44.768,2.720,0.701,-0.030,0.518
1668176144808,2022-11-11T16.15.44.808,2.760,0.640,-0.061,0.579
1668176144848,2022-11-11T16.15.44.848,2.800,0.488,-0.030,0.579
1668176144888,2022-11-11T16.15.44.888,2.840,0.518,-0.091,0.671
1668176144928,2022-11-11T16.15.44.928,2.880,0.671,-0.091,0.518
1668176144968,2022-11-11T16.15.44.968,2.920,0.610,-0.122,0.488
