epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1668324184138,2022-11-13T09:23:04.138,0.000,-0.138,0.224,-0.961
1668324184178,2022-11-13T09:23:04.178,0.040,-0.135,0.228,-0.968
1668324184218,2022-11-13T09:23:04.218,0.080,-0.137,0.233,-0.966
1668324184258,2022-11-13T09:23:04.258,0.120,-0.140,0.229,-0.965
1668324184298,2022-11-13T09:23:04.298,0.160,-0.135,0.230,-0.966
1668324184338,2022-11-13T09:23:04.338,0.200,-0.137,0.238,-0.965
1668324184378,2022-11-13T09:23:04.378,0.240,-0.138,0.237,-0.964
1668324184418,2022-11-13T09:23:04.418,0.280,-0.140,0.238,-0.964
1668324184458,2022-11-13T09:23:04.458,0.320,-0.134,0.239,-0.965
1668324184498,2022-11-13T09:23:04.498,0.360,-0.140,0.244,-0.964
1668324184538,2022-11-13T09:23:04.538,0.400,-0.146,0.237,-0.963
1668324184578,2022-11-13T09:23:04.578,0.440,-0.135,0.229,-0.967
1668324184618,2022-11-13T09:23:04.618,0.480,-0.142,0.246,-0.963
1668324184658,2022-11-13T09:23:04.658,0.520,-0.144,0.234,-0.963
1668324184698,2022-11-13T09:23:04.698,0.560,-0.142,0.239,-0.964
1668324184738,2022-11-13T09:23:04.738,0.600,-0.137,0.243,-0.964
1668324184778,2022-11-13T09:23:04.778,0.640,-0.142,0.238,-0.964
1668324184818,2022-11-13T09:23:04.818,0.680,-0.141,0.239,-0.963
1668324184858,2022-11-13T09:23:04.858,0.720,-0.137,0.241,-0.963
1668324184898,2022-11-13T09:23:04.898,0.760,-0.145,0.248,-0.961
1668324184938,2022-11-13T09:23:04.938,0.800,-0.143,0.236,-0.963
1668324184978,2022-11-13T09:23:04.978,0.840,-0.145,0.250,-0.960
1668324185018,2022-11-13T09:23:05.018,0.880,-0.136,0.244,-0.964
1668324185058,2022-11-13T09:23:05.058,0.920,-0.143,0.239,-0.964
1668324185098,2022-11-13T09:23:05.098,0.960,-0.146,0.248,-0.962
1668324185138,2022-11-13T09:23:05.138,1.000,-0.141,0.242,-0.963
1668324185178,2022-11-13T09:23:05.178,1.040,-0.139,0.240,-0.963
1668324185218,2022-11-13T09:23:05.218,1.080,-0.141,0.248,-0.963
1668324185258,2022-11-13T09:23:05.258,1.120,-0.137,0.246,-0.963
1668324185298,2022-11-13T09:23:05.298,1.160,-0.135,0.245,-0.963
1668324185338,2022-11-13T09:23:05.338,1.200,-0.136,0.244,-0.964
1668324185378,2022-11-13T09:23:05.378,1.240,-0.138,0.247,-0.963
1668324185418,2022-11-13T09:23:05.418,1.280,-0.134,0.240,-0.964
1668324185458,2022-11-13T09:23:05.458,1.320,-0.136,0.243,-0.963
1668324185498,2022-11-13T09:23:05.498,1.360,-0.137,0.247,-0.962
1668324185538,2022-11-13T09:23:05.538,1.400,-0.133,0.234,-0.964
1668324185578,2022-11-13T09:23:05.578,1.440,-0.135,0.231,-0.964
1668324185618,2022-11-13T09:23:05.618,1.480,-0.134,0.245,-0.964
1668324185658,2022-11-13T09:23:05.658,1.520,-0.133,0.232,-0.965
1668324185698,2022-11-13T09:23:05.698,1.560,-0.135,0.232,-0.964
1668324185738,2022-11-13T09:23:05.738,1.600,-0.132,0.235,-0.964
1668324185778,2022-11-13T09:23:05.778,1.640,-0.138,0.252,-0.962
1668324185818,2022-11-13T09:23:05.818,1.680,-0.135,0.241,-0.963
1668324185858,2022-11-13T09:23:05.858,1.720,-0.135,0.238,-0.964
1668324185898,2022-11-13T09:23:05.898,1.760,-0.137,0.251,-0.962
1668324185938,2022-11-13T09:23:05.938,1.800,-0.139,0.245,-0.961
1668324185978,2022-11-13T09:23:05.978,1.840,-0.136,0.233,-0.965
1668324186018,2022-11-13T09:23:06.018,1.880,-0.130,0.232,-0.965
1668324186058,2022-11-13T09:23:06.058,1.920,-0.137,0.256,-0.960
1668324186098,2022-11-13T09:23:06.098,1.960,-0.138,0.248,-0.961
1668324186138,2022-11-13T09:23:06.138,2.000,-0.130,0.240,-0.963
1668324186178,2022-11-13T09:23:06.178,2.040,-0.135,0.244,-0.962
1668324186218,2022-11-13T09:23:06.218,2.080,-0.138,0.250,-0.961
1668324186258,2022-11-13T09:23:06.258,2.120,-0.136,0.243,-0.962
1668324186298,2022-11-13T09:23:06.298,2.160,-0.134,0.243,-0.963
1668324186338,2022-11-13T09:23:06.338,2.200,-0.135,0.247,-0.963
1668324186378,2022-11-13T09:23:06.378,2.240,-0.136,0.245,-0.961
1668324186418,2022-11-13T09:23:06.418,2.280,-0.136,0.244,-0.962
1668324186458,2022-11-13T09:23:06.458,2.320,-0.134,0.247,-0.961
1668324186498,2022-11-13T09:23:06.498,2.360,-0.138,0.252,-0.959
1668324186538,2022-11-13T09:23:06.538,2.400,-0.136,0.243,-0.962
1668324186578,2022-11-13T09:23:06.578,2.440,-0.135,0.246,-0.962
1668324186618,2022-11-13T09:23:06.618,2.480,-0.135,0.249,-0.961
1668324186658,2022-11-13T09:23:06.658,2.520,-0.136,0.248,-0.962
1668324186698,2022-11-13T09:23:06.698,2.560,-0.138,0.246,-0.963
1668324186738,2022-11-13T09:23:06.738,2.600,-0.136,0.246,-0.962
1668324186778,2022-11-13T09:23:06.778,2.640,-0.136,0.246,-0.962
1668324186818,2022-11-13T09:23:06.818,2.680,-0.136,0.247,-0.961
1668324186858,2022-11-13T09:23:06.858,2.720,-0.135,0.246,-0.962
1668324186898,2022-11-13T09:23:06.898,2.760,-0.136,0.247,-0.962
1668324186938,2022-11-13T09:23:06.938,2.800,-0.135,0.244,-0.962
1668324186978,2022-11-13T09:23:06.978,2.840,-0.137,0.246,-0.962
1668324187018,2022-11-13T09:23:07.018,2.880,-0.135,0.246,-0.962
1668324187058,2022-11-13T09:23:07.058,2.920,-0.133,0.246,-0.961
1668324187098,2022-11-13T09:23:07.098,2.960,-0.133,0.246,-0.962
1668324187138,2022-11-13T09:23:07.138,3.000,-0.134,0.246,-0.961
1668324187178,2022-11-13T09:23:07.178,3.040,-0.134,0.245,-0.962
1668324187218,2022-11-13T09:23:07.218,3.080,-0.135,0.247,-0.961
1668324187258,2022-11-13T09:23:07.258,3.120,-0.134,0.247,-0.962
1668324187298,2022-11-13T09:23:07.298,3.160,-0.133,0.246,-0.962
1668324187338,2022-11-13T09:23:07.338,3.200,-0.133,0.246,-0.961
1668324187378,2022-11-13T09:23:07.378,3.240,-0.133,0.247,-0.962
1668324187418,2022-11-13T09:23:07.418,3.280,-0.134,0.247,-0.962
1668324187458,2022-11-13T09:23:07.458,3.320,-0.133,0.245,-0.963
1668324187498,2022-11-13T09:23:07.498,3.360,-0.132,0.246,-0.962
1668324187538,2022-11-13T09:23:07.538,3.400,-0.133,0.247,-0.962
1668324187578,2022-11-13T09:23:07.578,3.440,-0.132,0.246,-0.963
1668324187618,2022-11-13T09:23:07.618,3.480,-0.130,0.245,-0.963
1668324187658,2022-11-13T09:23:07.658,3.520,-0.132,0.245,-0.963
1668324187698,2022-11-13T09:23:07.698,3.560,-0.131,0.245,-0.962
1668324187738,2022-11-13T09:23:07.738,3.600,-0.130,0.243,-0.962
1668324187778,2022-11-13T09:23:07.778,3.640,-0.131,0.246,-0.962
1668324187818,2022-11-13T09:23:07.818,3.680,-0.128,0.246,-0.963
1668324187858,2022-11-13T09:23:07.858,3.720,-0.130,0.245,-0.962
1668324187898,2022-11-13T09:23:07.898,3.760,-0.131,0.244,-0.962
1668324187938,2022-11-13T09:23:07.938,3.800,-0.128,0.243,-0.963
1668324187978,2022-11-13T09:23:07.978,3.840,-0.131,0.245,-0.963
1668324188018,2022-11-13T09:23:08.018,3.880,-0.131,0.242,-0.963
1668324188058,2022-11-13T09:23:08.058,3.920,-0.130,0.244,-0.964
1668324188098,2022-11-13T09:23:08.098,3.960,-0.128,0.246,-0.963
1668324188138,2022-11-13T09:23:08.138,4.000,-0.130,0.242,-0.963
1668324188178,2022-11-13T09:23:08.178,4.040,-0.128,0.244,-0.963
1668324188218,2022-11-13T09:23:08.218,4.080,-0.127,0.243,-0.963
1668324188258,2022-11-13T09:23:08.258,4.120,-0.130,0.242,-0.963
1668324188298,2022-11-13T09:23:08.298,4.160,-0.129,0.243,-0.962
1668324188338,2022-11-13T09:23:08.338,4.200,-0.122,0.243,-0.964
1668324188378,2022-11-13T09:23:08.378,4.240,-0.128,0.243,-0.963
1668324188418,2022-11-13T09:23:08.418,4.280,-0.132,0.243,-0.962
1668324188458,2022-11-13T09:23:08.458,4.320,-0.126,0.244,-0.964
1668324188498,2022-11-13T09:23:08.498,4.360,-0.128,0.240,-0.964
1668324188538,2022-11-13T09:23:08.538,4.400,-0.129,0.244,-0.962
1668324188578,2022-11-13T09:23:08.578,4.440,-0.125,0.245,-0.963
1668324188618,2022-11-13T09:23:08.618,4.480,-0.126,0.247,-0.962
1668324188658,2022-11-13T09:23:08.658,4.520,-0.125,0.246,-0.964
1668324188698,2022-11-13T09:23:08.698,4.560,-0.124,0.245,-0.964
1668324188738,2022-11-13T09:23:08.738,4.600,-0.125,0.244,-0.963
1668324188778,2022-11-13T09:23:08.778,4.640,-0.125,0.243,-0.963
1668324188818,2022-11-13T09:23:08.818,4.680,-0.123,0.244,-0.964
1668324188858,2022-11-13T09:23:08.858,4.720,-0.126,0.244,-0.962
1668324188898,2022-11-13T09:23:08.898,4.760,-0.129,0.243,-0.962
1668324188938,2022-11-13T09:23:08.938,4.800,-0.127,0.245,-0.963
1668324188978,2022-11-13T09:23:08.978,4.840,-0.122,0.248,-0.963
1668324189018,2022-11-13T09:23:09.018,4.880,-0.123,0.248,-0.964
1668324189058,2022-11-13T09:23:09.058,4.920,-0.123,0.243,-0.963
1668324189098,2022-11-13T09:23:09.098,4.960,-0.120,0.234,-0.964
1668324189138,2022-11-13T09:23:09.138,5.000,-0.125,0.238,-0.963
1668324189178,2022-11-13T09:23:09.178,5.040,-0.129,0.240,-0.964
1668324189218,2022-11-13T09:23:09.218,5.080,-0.126,0.236,-0.965
1668324189258,2022-11-13T09:23:09.258,5.120,-0.118,0.243,-0.965
1668324189298,2022-11-13T09:23:09.298,5.160,-0.119,0.245,-0.964
1668324189338,2022-11-13T09:23:09.338,5.200,-0.121,0.235,-0.965
1668324189378,2022-11-13T09:23:09.378,5.240,-0.126,0.238,-0.964
1668324189418,2022-11-13T09:23:09.418,5.280,-0.122,0.236,-0.967
1668324189458,2022-11-13T09:23:09.458,5.320,-0.122,0.232,-0.966
1668324189498,2022-11-13T09:23:09.498,5.360,-0.122,0.230,-0.965
1668324189538,2022-11-13T09:23:09.538,5.400,-0.121,0.241,-0.965
1668324189578,2022-11-13T09:23:09.578,5.440,-0.121,0.234,-0.965
1668324189618,2022-11-13T09:23:09.618,5.480,-0.123,0.236,-0.964
1668324189658,2022-11-13T09:23:09.658,5.520,-0.122,0.235,-0.965
1668324189698,2022-11-13T09:23:09.698,5.560,-0.121,0.233,-0.965
1668324189738,2022-11-13T09:23:09.738,5.600,-0.122,0.233,-0.966
1668324189778,2022-11-13T09:23:09.778,5.640,-0.122,0.235,-0.966
1668324189818,2022-11-13T09:23:09.818,5.680,-0.120,0.235,-0.965
1668324189858,2022-11-13T09:23:09.858,5.720,-0.121,0.235,-0.966
1668324189898,2022-11-13T09:23:09.898,5.760,-0.121,0.235,-0.965
1668324189938,2022-11-13T09:23:09.938,5.800,-0.120,0.237,-0.965
1668324189978,2022-11-13T09:23:09.978,5.840,-0.121,0.235,-0.965
1668324190018,2022-11-13T09:23:10.018,5.880,-0.122,0.237,-0.965
1668324190058,2022-11-13T09:23:10.058,5.920,-0.121,0.238,-0.967
1668324190098,2022-11-13T09:23:10.098,5.960,-0.123,0.239,-0.964
1668324190138,2022-11-13T09:23:10.138,6.000,-0.123,0.238,-0.964
1668324190178,2022-11-13T09:23:10.178,6.040,-0.121,0.239,-0.965
1668324190218,2022-11-13T09:23:10.218,6.080,-0.123,0.238,-0.965
1668324190258,2022-11-13T09:23:10.258,6.120,-0.122,0.238,-0.964
1668324190298,2022-11-13T09:23:10.298,6.160,-0.120,0.235,-0.965
1668324190338,2022-11-13T09:23:10.338,6.200,-0.120,0.237,-0.966
1668324190378,2022-11-13T09:23:10.378,6.240,-0.121,0.239,-0.965
1668324190418,2022-11-13T09:23:10.418,6.280,-0.122,0.237,-0.965
1668324190458,2022-11-13T09:23:10.458,6.320,-0.121,0.236,-0.964
1668324190498,2022-11-13T09:23:10.498,6.360,-0.121,0.241,-0.964
1668324190538,2022-11-13T09:23:10.538,6.400,-0.123,0.238,-0.965
1668324190578,2022-11-13T09:23:10.578,6.440,-0.120,0.240,-0.964
1668324190618,2022-11-13T09:23:10.618,6.480,-0.120,0.240,-0.964
1668324190658,2022-11-13T09:23:10.658,6.520,-0.122,0.243,-0.964
1668324190698,2022-11-13T09:23:10.698,6.560,-0.119,0.240,-0.965
1668324190738,2022-11-13T09:23:10.738,6.600,-0.119,0.239,-0.964
1668324190778,2022-11-13T09:23:10.778,6.640,-0.119,0.243,-0.964
1668324190818,2022-11-13T09:23:10.818,6.680,-0.123,0.240,-0.964
1668324190858,2022-11-13T09:23:10.858,6.720,-0.125,0.231,-0.965
1668324190898,2022-11-13T09:23:10.898,6.760,-0.124,0.246,-0.963
1668324190938,2022-11-13T09:23:10.938,6.800,-0.122,0.239,-0.964
1668324190978,2022-11-13T09:23:10.978,6.840,-0.120,0.238,-0.964
1668324191018,2022-11-13T09:23:11.018,6.880,-0.124,0.243,-0.962
1668324191058,2022-11-13T09:23:11.058,6.920,-0.125,0.243,-0.963
1668324191098,2022-11-13T09:23:11.098,6.960,-0.126,0.246,-0.963
1668324191138,2022-11-13T09:23:11.138,7.000,-0.121,0.249,-0.961
1668324191178,2022-11-13T09:23:11.178,7.040,-0.122,0.239,-0.965
1668324191218,2022-11-13T09:23:11.218,7.080,-0.127,0.246,-0.962
1668324191258,2022-11-13T09:23:11.258,7.120,-0.127,0.241,-0.963
1668324191298,2022-11-13T09:23:11.298,7.160,-0.125,0.250,-0.962
1668324191338,2022-11-13T09:23:11.338,7.200,-0.120,0.248,-0.962
1668324191378,2022-11-13T09:23:11.378,7.240,-0.123,0.252,-0.962
1668324191418,2022-11-13T09:23:11.418,7.280,-0.124,0.242,-0.963
1668324191458,2022-11-13T09:23:11.458,7.320,-0.125,0.241,-0.964
1668324191498,2022-11-13T09:23:11.498,7.360,-0.125,0.247,-0.963
1668324191538,2022-11-13T09:23:11.538,7.400,-0.125,0.248,-0.961
1668324191578,2022-11-13T09:23:11.578,7.440,-0.122,0.246,-0.962
1668324191618,2022-11-13T09:23:11.618,7.480,-0.123,0.251,-0.963
1668324191658,2022-11-13T09:23:11.658,7.520,-0.124,0.257,-0.961
1668324191698,2022-11-13T09:23:11.698,7.560,-0.126,0.251,-0.962
1668324191738,2022-11-13T09:23:11.738,7.600,-0.124,0.254,-0.961
