epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1667497052828,2022-11-03T19:37:32.828,0.000,1.220,0.915,-0.244
1667497052868,2022-11-03T19:37:32.868,0.040,1.280,0.488,-0.335
1667497052907,2022-11-03T19:37:32.907,0.079,0.152,0.183,0.000
1667497052947,2022-11-03T19:37:32.947,0.119,0.305,0.122,-0.244
1667497052986,2022-11-03T19:37:32.986,0.158,0.335,0.061,-0.274
1667497053026,2022-11-03T19:37:33.026,0.198,0.183,0.427,-0.061
1667497053066,2022-11-03T19:37:33.066,0.238,0.030,-0.152,0.030
1667497053105,2022-11-03T19:37:33.105,0.277,0.488,0.183,-0.152
1667497053145,2022-11-03T19:37:33.145,0.317,0.488,0.366,-0.213
1667497053184,2022-11-03T19:37:33.184,0.356,0.518,0.366,-0.061
1667497053224,2022-11-03T19:37:33.224,0.396,0.030,0.549,0.579
1667497053263,2022-11-03T19:37:33.263,0.435,-0.183,0.091,0.549
1667497053303,2022-11-03T19:37:33.303,0.475,-0.061,0.274,0.549
1667497053342,2022-11-03T19:37:33.342,0.514,-0.061,0.030,0.244
1667497053382,2022-11-03T19:37:33.382,0.554,0.305,0.305,-0.122
1667497053422,2022-11-03T19:37:33.422,0.594,-0.244,0.366,-0.122
1667497053461,2022-11-03T19:37:33.461,0.633,-0.274,0.366,0.000
1667497053501,2022-11-03T19:37:33.501,0.673,-0.152,0.091,0.335
1667497053540,2022-11-03T19:37:33.540,0.712,0.793,0.335,0.122
1667497053580,2022-11-03T19:37:33.580,0.752,0.854,0.579,-0.366
1667497053619,2022-11-03T19:37:33.619,0.791,1.250,0.823,-0.366
1667497053659,2022-11-03T19:37:33.659,0.831,1.555,0.793,-0.213
1667497053698,2022-11-03T19:37:33.698,0.870,0.366,0.366,0.427
1667497053738,2022-11-03T19:37:33.738,0.910,1.220,0.884,-0.122
1667497053777,2022-11-03T19:37:33.777,0.949,0.366,0.884,0.183
1667497053817,2022-11-03T19:37:33.817,0.989,-0.061,0.793,0.122
1667497053857,2022-11-03T19:37:33.857,1.029,0.000,0.671,-0.244
1667497053896,2022-11-03T19:37:33.896,1.068,-0.518,0.335,-0.213
1667497053936,2022-11-03T19:37:33.936,1.108,-1.159,0.091,0.427
1667497053975,2022-11-03T19:37:33.975,1.147,-0.671,-0.305,0.305
1667497054015,2022-11-03T19:37:34.015,1.187,-0.091,-0.061,-0.244
1667497054054,2022-11-03T19:37:34.054,1.226,-0.945,-0.610,-0.122
1667497054094,2022-11-03T19:37:34.094,1.266,-0.366,-0.335,-0.244
1667497054133,2022-11-03T19:37:34.133,1.305,-0.305,-0.335,-0.152
1667497054173,2022-11-03T19:37:34.173,1.345,-0.183,-0.396,-0.091
1667497054213,2022-11-03T19:37:34.213,1.385,-0.030,0.030,0.122
1667497054252,2022-11-03T19:37:34.252,1.424,0.000,0.061,-0.183
1667497054292,2022-11-03T19:37:34.292,1.464,0.427,0.488,-0.061
1667497054331,2022-11-03T19:37:34.331,1.503,-0.091,0.030,0.396
1667497054371,2022-11-03T19:37:34.371,1.543,-0.030,0.091,0.335
1667497054410,2022-11-03T19:37:34.410,1.582,-0.122,-0.213,-0.335
1667497054450,2022-11-03T19:37:34.450,1.622,0.244,-0.061,-0.823
1667497054489,2022-11-03T19:37:34.489,1.661,0.122,0.061,-0.427
1667497054529,2022-11-03T19:37:34.529,1.701,0.122,0.030,0.213
1667497054568,2022-11-03T19:37:34.568,1.740,0.122,0.183,0.152
1667497054608,2022-11-03T19:37:34.608,1.780,-0.213,0.000,-0.152
1667497054648,2022-11-03T19:37:34.648,1.820,0.366,0.305,-0.091
1667497054687,2022-11-03T19:37:34.687,1.859,0.000,0.061,-0.213
1667497054727,2022-11-03T19:37:34.727,1.899,0.030,-0.030,-0.244
1667497054766,2022-11-03T19:37:34.766,1.938,0.244,-0.183,-0.579
1667497054806,2022-11-03T19:37:34.806,1.978,0.183,-0.183,-0.366
1667497054845,2022-11-03T19:37:34.845,2.017,0.671,0.427,-0.122
1667497054885,2022-11-03T19:37:34.885,2.057,0.305,-0.152,-0.152
1667497054924,2022-11-03T19:37:34.924,2.096,0.305,0.213,-0.091
1667497054964,2022-11-03T19:37:34.964,2.136,0.457,0.274,-0.183
